[00:00] 投资品欢迎收听早晨财经速解读
[00:02] 现在是台北时间2026年4月22号礼拜三
[00:05] 早上8点31分
[00:06] 大家好我是邓浩
[00:07] 明天早上开门前半小时
[00:09] 我们在这边陪伴着各位一起解读国际财经新闻时事变化
[00:12] 整美欧股市终于收跌了
[00:14] 回吐了早盘的涨幅
[00:16] 市场上持续去聚焦美伊的谈判陷入僵局
[00:19] 不过呢这一次川普释放了谈话
[00:22] 在几个小时之前
[00:24] 这一次川普宣布将停火协议进一步的延长
[00:28] 那就代表着市场上虽然针对伊朗港口持续有封锁态势
[00:32] 但双方仍然在一个和谈期
[00:35] 仍然有第二轮谈判的机会
[00:37] 当然从市场现在股市谈到现在这样的位阶
[00:41] 就算没有这样的一个消息
[00:43] 或者利空来尝试的做一定程度的股价抑制
[00:47] 基本上美国股市本身就已经涨很多了
[00:49] 过去三周的涨幅非常非常之惊人
[00:52] 本来遇到高乖里都应该休息一下
[00:55] 我们看到年初到3月30号的时候
[00:58] 当时标普白指数一度下跌了接近有7%
[01:01] 现在已经回到正报酬4.5%了
[01:04] 所以如果是以今年一季度来看的话
[01:06] 这算是历史上第十二差的开年表现
[01:09] 现在也不过刚刚说服完跌幅
[01:11] 可是呢
[01:12] 由于短线乖离是在拉高速度太快了
[01:15] 适度休息一下反而更为健康
[01:17] 事实上如果我们以长周期
[01:19] 以2020年的新冠疫情来做一个上升轨道线来看的话
[01:24] 美国股市一直以来都在标准的上行通道
[01:27] 那现在呢更是碰到了上行通道的上缘
[01:31] 这也就意味着当情绪部位资金站在同一边的时候
[01:35] 市场上都没空军了
[01:37] 那当然股价的自然回挡的乖离下修
[01:39] 那就会形成自然现象
[01:41] 当然回过头来说
[01:43] 川普的态度的确会引发接下来是否有自然回挡的空间
[01:47] 这一致川普反而持续释出被市场认为tackle的讯息
[01:52] 宣布无限期延长伊朗的停火协议
[01:55] 那本来是我记得是到月底嘛
[01:58] 应该讲说本来是到本周五嘛
[02:00] 然后本来预估到月底嘛
[02:02] 后来预估到五月中嘛
[02:04] 现在是无限期的延长
[02:06] 但同时也对和姆兹海峡的海上封锁持续
[02:09] 就变成这种看起来是不会重新开战
[02:12] 可是也不会真正降温的局面
[02:14] 那这项决定是在谈判破局之下
[02:16] 做出的折中选择
[02:18] 本来JD Vance已经准备前往巴基斯坦
[02:21] 重启谈话
[02:22] 但伊朗这一次拒绝参与
[02:24] 认为美方条件过于强硬
[02:26] 最后在巴基斯坦的斡旋底下
[02:28] 美方决定要暂缓军事行动
[02:30] 等待伊朗提出新方案
[02:32] 某种程度算是一些浪利行为
[02:35] 那这种策略上
[02:36] 本质就是边封锁边谈判
[02:38] 我们也知道压力没有完全解除
[02:40] 可是看起来是可控的节奏
[02:42] 市场也快速反应
[02:44] 油价在川普发完文之后
[02:46] 开始回跌
[02:47] 股市也开始回稳
[02:48] 很多投资人把这样的一个做法
[02:51] 视为风险降温的讯号
[02:53] 不过结构问题是真的没有解决了
[02:55] 现在亚洲各国的原油天然气压力
[02:58] 是越来越大的
[02:59] 双方在核问题
[03:00] 在制裁条件上分歧也非常大
[03:03] 伊朗也拒绝在威胁下谈判
[03:05] 那最后就变成战争也没有结束
[03:07] 但是它被延后了
[03:09] 真正的风险就变成了
[03:10] 冲突会用什么样的方式回来
[03:13] 那你说很意外吗
[03:14] 好像川普宣布无限期延长停火
[03:18] 好像也不是特别意外
[03:19] 这个名义上停火
[03:21] 实质上好像要告诉你
[03:22] 准备结束战争了
[03:24] 干脆就这样子一直延后
[03:25] 延后到卸任为止
[03:27] 我本来想打你的
[03:28] 但是我卸任了
[03:30] 没办法
[03:30] 看起来好像是好事
[03:32] 但实质上我们还是要知道
[03:34] 战事如果还在
[03:35] 海峡还是没有人敢过
[03:37] 我们看能源危机的压力
[03:40] 在亚洲市场越来越大
[03:41] 在荷姆斯海峡
[03:42] 几乎停摆的情况底下
[03:44] 现在亚洲主要能源进口国
[03:46] 面临的真正压力
[03:47] 你像是中国
[03:48] 印度原本透过各种替代方案来撑住
[03:52] 比如说用海上的浮动邮轮
[03:54] 和伊朗达成双边协议
[03:56] 甚至增加俄罗斯的供应
[03:57] 但这些缓冲资源正在快速的消耗
[04:01] 目前海上可用的油量
[04:03] 因为一个月已经过去了
[04:04] 能够运到的都已经运到了
[04:06] 大概就只剩下几百万桶
[04:07] 市场开始进入到真正的紧缩阶段
[04:10] 印度宣布可能会迎来
[04:12] 四年来首次柴油价格的全面上涨
[04:15] 中国现在是有十亿桶的战略原油储备
[04:18] 相对稳定
[04:19] 但是迟迟不肯释放
[04:20] 你要知道他还要为台海做准备
[04:23] 还要为未来的国际变速做准备
[04:25] 那现在呢
[04:26] 如果太快的进行原油储备释放
[04:28] 反而有可能会影响到市场的心理情绪
[04:31] 俄罗斯的油品缓冲也在快速的缩水
[04:34] 我们看不管是海上运输的原油量
[04:37] 还是浮动储存都出现了明显下滑
[04:39] 就代表着俄罗斯的油快被抢光了
[04:41] 现在也没办法填补赫姆兹海峡的缺口
[04:45] 事实上如果我们从宏观地图来做思维
[04:48] 会发现荷姆兹海峡
[04:49] 现在每天运量是2090万桶
[04:52] 那其他海峡
[04:54] 虽然有的比荷姆兹海峡来得大
[04:56] 可是总体而言
[04:57] 荷姆兹海峡如果不打通
[04:59] 这个缺口
[05:00] 不管怎么调配都调配不上
[05:02] 马六甲海峡的确更大
[05:04] 它大概是每天2320万桶
[05:06] 可是它是能源进口的关键通道
[05:09] 但它并不是一个能源生产国通道
[05:11] 其他像是好望角910万桶
[05:14] 苏伊士运河
[05:15] 还有丹麦海峡
[05:17] 大概490万桶
[05:18] 土耳其海峡370万桶
[05:20] 所以荷姆兹海峡
[05:21] 应该是全球第二大运量的海峡
[05:24] 如今却遭受到持续性的封锁
[05:26] 压力就很大了
[05:27] 那这样的一个传导效果
[05:29] 导致川普采取了一定程度的折衷方案
