[00:01] 投资变化收听早晨财经速解读
[00:03] 现在是台北时间2026年3月30号礼拜一
[00:06] 早上8点31分
[00:07] 大家早上我是田浩
[00:08] 每天早上开播前半小时
[00:09] 我们在这边陪伴着各位一起解读国际财经新闻时事变化
[00:13] 美欧股市尾盘迎来一大利空
[00:16] 以色列袭击的伊朗能源设施消息传出之后
[00:19] 后续胡塞武装也采取了一定性的动作
[00:22] 我们看到全球恐慌指数VIX持续飙升
[00:26] 不过呢
[00:26] 如果从恐慌情绪拿来跟过去几年
[00:30] 不管是关税战 乌二战事
[00:32] 或者当时日元套利平仓卖压
[00:35] 整体而言情绪也没有急剧的放大
[00:38] 但美国股市毕竟已经第一根跌破了年线出现
[00:41] 道琼尾盘收跌了接近有800点
[00:44] 纳斯达克指数也同步陷入到修正区间
[00:47] 标普派指数距离修正门槛也仅仅只有一步之遥
[00:50] 那纳斯达克周跌幅也有3.23%
[00:53] 这算是25年4月份以来
[00:55] 最差的表现
[00:57] 其中科技巨头跌得特别重
[00:59] 阿发贝周迭福有9%
[01:00] 微软周迭福有7%
[01:02] 其他像辉达
[01:04] 亚马逊
[01:04] 特斯拉
[01:05] 同步回落3%
[01:06] 有网友提到
[01:08] 对太阳今天出来了
[01:09] 可以把纸箱拿去晒一晒
[01:11] 但油价的冲击的全面扩散
[01:14] 对于美国股市的影响
[01:15] 第一根破线
[01:16] 是否会有显著的买盘来做支撑呢
[01:18] 毕竟这一次随着叶蒙胡赛武装
[01:21] 加入战局之后
[01:22] 油价是进一步的走高
[01:24] 那美国军力也在同时进驻中东
[01:26] 使得局势更加的紧张
[01:28] 那我们要知道
[01:29] 市场有时候害怕的是不确定性
[01:31] 要打不打都可以
[01:33] 那重点是不能要打不打
[01:35] 不确定到底要打不打
[01:37] 而不确定性本身就是一种市场卖压
[01:39] 那这波冲击同时传导到各大市场
[01:42] 像是铝鞍或者肥料等原物料市场
[01:46] 因为中东产能受损而出现紧张
