[00:00] 欢迎收听谷爱,我是星梦宫,本集节目由Sally赞助
[00:03] 清明年假才刚过完,大家有充饱电吗?
[00:05] 还是已经在计划下一趟出国了?
[00:07] 不管你是刚回来还是准备下一趟,千万要记得网路优先处理
[00:11] 因为在国外没有网路,影响的不会只是不方便
[00:14] 是整个行程都卡住乱掉
[00:15] 比方说导航不能用,轿车会失败,餐厅查不到
[00:18] 甚至订单确认验证码,航班资讯全部都卡住
[00:22] 你会花很多时间去解决问题
[00:23] 而不是在旅行,整个旅游品质下降许多
[00:26] 以前我也都是拖到最后一刻才去处理上网
[00:28] 要么是SIM卡来不及
[00:30] 要么就是在机场排队浪费生命
[00:32] 像现在比较单纯都是直接使用eSIM
[00:34] 像我现在惯用Sally
[00:35] 在出发前把APP装好落地直接连线
[00:38] 不用换卡也不用在那边找工具
[00:39] 而且它的设计蛮直觉
[00:41] 你只要把方案买好去到不同的地区就可以切换
[00:44] APP里面也可以直接看到流量的使用状况
[00:46] 如果你是那种会一直开地图滑影片的人
[00:48] 你的用量掉很快
[00:49] 至少是可控的
[00:51] 不够就直接加
[00:52] 不用临时找WiFi或是重买一张卡
[00:54] 另外它有内建VPN
[00:55] 有时候你在国外订房查价格
[00:57] 切不同的地区会有差
[00:59] 或是你想要用台湾网站也不会被挡
[01:01] 再加上广告阻挡的功能
[01:03] 页面干净一点流量也省一点
[01:05] 接下来夏天就要到啦
[01:06] 会慢慢进入旅游旺季
[01:08] 如果说你已经在看机票了
[01:09] 网路这件事情可以先解决
[01:11] 少一个不确定性
[01:12] 整趟行程会轻松许多
[01:13] 好那非常感谢富邦球团
[01:23] 以及球员陈真的邀请
[01:25] 同时我们先希望
[01:26] 陈真可以尽快干回去
[01:28] 一军拿下MVP
[01:29] 非常感谢他们的邀请之下
[01:31] 让小弟去参加了
[01:33] 林泽轩的退役仪式
[01:35] 本来这个仪式是两天
[01:36] 就是4月5号跟4月6号
[01:38] 4月5号刚好就撞到
[01:40] 我儿子的生日
[01:41] 可是因为我真的
[01:41] 蛮想去这个仪式的
[01:43] 所以我就有跟我老婆讲说
[01:45] 可不可以我晚上去看个球
[01:46] 然后接着就被干年抢上
[01:47] 所以这后面只有4月6号可以去
[01:49] 4月5号抓周的时候
[01:51] 其实我心中是很希望
[01:53] 儿子可以去抓橄榄球
[01:54] 就橄榄球它象征的
[01:55] 就是说这个孩子
[01:56] 有机会可以成为运动员之类的
[01:59] 那虽然我家本身
[01:59] 对于抓周的一个
[02:01] 这个信赖程度
[02:02] 可能没有到很高
[02:03] 因为像我大儿子抓元宝
[02:04] 当然身为父亲
[02:05] 是感受得出来
[02:06] 就这个孩子
[02:07] 他可能对物质的要求
[02:09] 或者说
[02:09] 未来会不会想要去
[02:11] work hard
[02:12] 然后去make more money
[02:13] 这件事情
[02:13] 我会打上一个超级大的问号
[02:15] 但是反正就好玩
[02:17] 就是一个仪式
[02:18] 那小儿子
[02:18] 我们从小就已经观察到说
[02:20] 他是非常好动
[02:21] 那同时
[02:22] 他刚学会走路
[02:24] 他就很爱踢球
[02:25] 到现在他看到球就会疯掉
[02:27] 他只要看到圆形的东西
[02:28] 他就会
[02:28] 他就要赶快去抓
[02:30] 跟我们玩丢球
[02:31] 或是要我们牵着他的手踢球
[02:33] 开始学会走路
[02:34] 就自己在那边踢着球烙场
[02:36] 其他玩具他都不怎么玩
[02:38] 像是什么车车
[02:39] 一些可以敲打的东西
[02:40] 会发出声音的玩具
[02:41] 大儿子喜欢玩
[02:42] 像他就是完全不玩
[02:44] 所以我们就一直觉得说
[02:45] 这个家伙有可能以后会变运动员
[02:47] 虽然我们知道说
[02:48] 在基因里面是看不到
[02:49] 在我跟在他妈的身体里面
[02:51] 是看不到说
[02:52] 有成为运动员的可能性
[02:53] 可是大家都知道说
[02:54] 在过往的一些QA
[02:55] 我都很常回答大家
[02:56] 我觉得如果孩子可以当运动员的话
[02:59] 我觉得是一个很帅很酷的事情
[03:01] 因为可能是身负没有办法办到的事
[03:03] 如果看到小孩可以当
[03:05] 同时又知道说像这些运动员
[03:07] 当你在场上的时候
[03:08] 是大家都在帮你加油
[03:09] 你扛了超级巨大的压力
[03:11] 那是一个超级帅的事情
[03:13] 所以其实还蛮希望他会抓到橄榄球
[03:15] 但是后面他抓了什么
[03:16] 他抓了一个笔电
[03:17] 然后他抓了一个锤子
[03:19] 然后跟抓了一个钢琴
[03:20] 同时我在我的IG上面
[03:22] 就看到有人回复
[03:23] 蛮好笑
[03:23] 让我说这不就是你吗
[03:25] 因为笔电的话
[03:26] 就像我们自己是喜欢做交易
