[00:00] 欢迎收听谷爱,我是星梦宫,本集节目由Sally赞助
[00:03] 最近有一个感觉蛮明显,就是东西一旦习惯就很难回去
[00:06] 像以前出国,大家先研究怎么买SIM卡,如何换卡,如何设定
[00:10] 现在eSIM用久之后,很少人在做这类的事情
[00:13] 再加上iOS26开始支援原生eSIM自动切换
[00:17] 出国的时候自动启用旅游方案,回国再切回原本的门号
[00:20] 这种功能平常没有什么存在感,但少掉之后反而不习惯
[00:23] 我觉得好的产品很多时候都是这样
[00:25] 它不一定会让你觉得特别厉害
[00:27] 但会慢慢把一些原本很烦的流程拿掉
[00:29] 像我自己家出国都是直接使用Sally eSIM
[00:32] 在出发前先用APP把方案买好
[00:34] 落地直接连线
[00:35] 不用换卡也不用找WiFi
[00:36] 比较有趣的是
[00:37] 最近他们推出Sally超级方案
[00:39] 简单讲它不只是eSIM
[00:41] 还把很多旅游相关的服务整合在一起
[00:43] 除了流量之外
[00:44] 还包含VPN广告阻挡
[00:46] 甚至是有机场的贵宾室
[00:47] 快速通关福利跟航班延误保障
[00:50] 现在有很多服务都在做同一件事情
[00:52] 就是把原本要分开处理的事集中起来
[00:55] 因为大家平常就已经够忙了
[00:57] 少管理几个账号
[00:58] 少处理几件事
[00:59] 其实就差很多
[01:00] 现在下载SETI App
[01:01] 输入我们的优惠代码
[01:02] GOOAYE
[01:03] 或是透过资讯栏的连结
[01:05] seti.com
[01:05] slash
[01:06] GOOAYE
[01:07] 向eSIM方案
[01:08] 八五折优惠
[01:09] 好那希望这次的风灾
[01:10] 大家都可以全身而退了
[01:12] 目前看起来
[01:12] 我想应该是还好
[01:13] 但当然我们的flag
[01:14] 不要差太快
[01:15] 因为有时候是什么
[01:16] 外围环流
[01:17] 才造成一些严重的破坏嘛
[01:19] 那现阶段来看的话呢
[01:21] 像台北的朋友说
[01:22] 感觉就是一个
[01:23] 比较大的下雨天
[01:24] 那我们台中的朋友
[01:25] 是讲说
[01:26] 已经出去玩了
[01:27] 那林口的话呢
[01:28] 没有办法出去玩
[01:29] 你感觉那个风是还蛮大的
[01:31] 但相较之下呢
[01:32] 因为它本来的预期超高
[01:34] 就是我担心这个台风
[01:35] 担心个要死
[01:36] 因为看到大家都说什么
[01:37] 是可能不知道
[01:37] 就几年来最强的台风之类的
[01:40] 那自己上windy.com
[01:41] 去看一下那个暴风圈的半径
[01:43] 缜密程度什么都觉得说
[01:45] 应该是蛮大条的
[01:46] 所以赶快去call自己的植物厂商
[01:48] 来把所有东西能够绑
[01:49] 都把它绑一绑
[01:50] 因为上次印象很深刻
[01:51] 就除了台风
[01:52] 有时候会造成一些破坏之外
[01:54] 有一次是完全没有事情
