[00:00] 欢迎收听谷爱,我是圣梦宫,本集节目由Sally赞助
[00:03] 午夜这个时间点蛮有趣的,清明年假,劳动节刚过
[00:06] 大家的状态大概是钱花完了,体力也还没有回来
[00:09] 但我相信已经有人在偷看端午要不要请假,把它凑长一点
[00:13] 简单讲,人还在上班,但心已经在排假
[00:15] 然后到这种时候呢,就会出现一种很固定的需求,也就是出国
[00:19] 但出国这件事,有一件事永远被低估,那就是网路
[00:22] 很多人会在那边研究机票比饭店,看行程排到报
[00:26] 但最后让你旅程爆裂的
[00:27] 通常不是行程不够好
[00:29] 而是当地没网路
[00:30] 没网路会发生什么事情
[00:31] 很简单
[00:32] 导航失效
[00:33] 人在路口变路障
[00:34] 叫车叫不到
[00:35] 开始跟司机比手画脚
[00:36] 餐厅定位找不到
[00:38] 只能够随便进去堵
[00:39] 更惨的是验证码收不到
[00:41] 订单查不了
[00:41] 登机资讯卡住
[00:43] 然后你的整趟旅行就变成
[00:44] 是一直在处理问题
[00:45] 而不是享受
[00:46] 以前大家最常用的解法
[00:48] 是实体SIM卡或是机场买
[00:49] 但那个状况大家也知道
[00:51] 不是忘记买
[00:52] 就是现场排队排到怀疑人生
[00:53] 现在比较简单一点的做法就是eSIM
[00:56] 像Sally这种工具
[00:57] 基本上就是在出国前把设定弄好
[00:59] 落地直接连线
[01:00] 不用换卡不用开SIM卡槽
[01:01] 也不用在机场翻包包找针
[01:03] 它比较实际的点是在APP里面
[01:05] 可以直接看到剩余的流量
[01:07] 对于那种一出国就开始找地图
[01:09] IG影片连发的人来说
[01:11] 其实比较有感
[01:12] 至少你知道自己快用完了
[01:13] 不会莫名其妙爆掉
[01:15] 不够用也不用重来一张卡
[01:16] 直接加就好
[01:17] 比较像是流量版及时补仓
[01:20] 另外它有内建VPN
[01:21] 有些人在国外会遇到的定房价格
[01:23] 网站内容地区不同的情况
[01:24] 切换起来比较顺一点
[01:26] 再加上广告阻挡
[01:28] 基本上就是帮你少一点干扰
[01:29] 多一点可用流量
[01:30] 讲白一点就是
[01:31] 把你在国外会烦的那些网络问题都处理掉
[01:34] 五月到暑假前这段时间
[01:36] 本来就是旅游开始升温的区间
[01:38] 如果已经在看机票
[01:39] 那网络这件事情可以先解决掉
[01:41] 因为旅行这种事情
[01:42] 最贵的从来不是机票
[01:43] 而是你的时间浪费在没网络这件事情上
[01:46] 现在只要下载Sally App
[01:47] 在结账的时候输入谷外的优惠代码
[01:49] GOOAY
[01:50] 或透过我们资讯栏专属连结
[01:52] sellit.com
[01:52] GOOAY
[01:53] 购买方案及享有八五折的专属优惠
[01:56] 那最近在运动上面获得很多新的启发
[01:59] 有时候我觉得也是需要有一些
[02:01] 像地方的听众给我一些认证
[02:04] 然后我就又再一次有动力
[02:05] 其实我就是一个蛮肤浅的人
[02:07] 那所以呢
[02:08] 因为最近有一个地方的兄弟
[02:09] 在建设房跟我合照
[02:10] 那后来这张照片呢
[02:12] 他发给我转发
[02:13] 那就蛮多人就讲说
[02:14] 干你真的变超级瘦
[02:16] 你脸是尖的或什么的
[02:17] 我就觉得心情特爽
[02:18] 然后就觉得
[02:19] 接下来我也可以再回去
[02:20] 健身房拉个几下
[02:21] 或者去打个什么
[02:22] 网球之类的
[02:23] 突然觉得自己充满了活力
[02:25] 那我觉得瘦肉针
[02:26] 对我的帮助真的很大
[02:27] 最主要并不是说
[02:28] 它真的限制了
[02:29] 我多少的食欲
[02:30] 它就是给我一个
[02:31] 精神跟心理上的cue
[02:33] 让我知道说
[02:33] 针都打了
[02:34] 所以你就要好好地振作起来
[02:36] 那所以跟自己的身边朋友相比
[02:37] 蛮多人针打下去之后
[02:38] 他是吃不下
[02:39] 那喝酒就会吐
[02:40] 或者说可能
[02:41] 肠胃不舒服
[02:42] 然后根本就没有力气
[02:43] 去运动之类的
[02:44] 那我算是相对幸运
[02:45] 就是我食欲都是正常的
