[00:00] 欢迎收听谷爱,我是星风公,本集节目由NordVPN赞助
[00:03] 现在天气开始升温,正是春游好时机
[00:06] 大家正忙着把握时机规划日本赏银行程
[00:09] 或者准备亲民廉价出游
[00:10] 查机票看住宿往往比较有弹性
[00:12] 在规划行程的时候
[00:14] 常常会在家里,咖啡厅或是外出的时候
[00:16] 使用各种网络环境查资料定行程
[00:18] 但公共网络实在是在安全性上比较难掌握
[00:21] 那这种时候使用NordVPN可以帮助你加密网络连线
[00:24] 就算是公共的WiFi环境去查住宿机票
[00:27] 登入账号处理付款也多一层保障
[00:29] 同时连线速度稳定
[00:31] 不太会影响实际操作体验
[00:32] 另外透过NordVPN切换不同地区来比价
[00:35] 也是不少人在规划旅游的时候会使用的方式
[00:38] 在住宿或是查机票的时候
[00:40] 不同地区显示的价格有时候有所差异
[00:42] 你想要控制预算
[00:43] 提早规划行程来说就相当实用
[00:45] 操作也很简单
[00:46] 只要一键就可以完成切换
[00:48] 如果你在国外
[00:49] NordVPN也可以切换回台湾的IP
[00:51] 连接熟悉的网站或常用服务
[00:53] 使用上更加顺畅
[00:54] 那时候遇到海底电缆又卡住的话
[00:56] 透过VPN可以减少自己手游的一个延迟
[00:59] 那现在NordVPN
[01:00] 不只是支援手机平板跟电脑
[01:02] 也支援Smart TV和Apple Vision Pro
[01:04] 一个商场最多可以用于实台装置
[01:06] 无论是在家或是外出都能够灵活的使用
[01:09] 下次要透过我们资讯网专属连结
[01:10] nordvpn.com slash goaie
[01:13] 或在结账的时候输入优惠码goaie
[01:15] 立即享有期间限定优惠
[01:17] 购买两年方案加送四个月
[01:19] 并提供30天的退款保证
[01:21] 不满意都能够随时取消
[01:22] 零风险尝试
[01:23] 好那这个礼拜被好朋友
[01:24] 邀请去他们的投资公司
[01:26] 稍微的增长见闻一下
[01:28] 那其实我是没有去参加一些
[01:30] 那种定期的聚会或是开会
[01:32] 那之前也会有一些股友
[01:33] 会跟我讲说什么
[01:34] 早上有晨会啊
[01:35] 或是每个礼拜可以到哪里
[01:36] 开个会或什么的
[01:37] 那我都全跳
[01:38] 那其实我一直以来
[01:39] 都还蛮清楚自己要的东西是什么
[01:41] 那基本上也算是一个幸运的存在
[01:43] 就是我只要坐在家里
[01:44] 就有很多情报会往我身上跑
[01:46] 那所以呢我就不用出去
[01:47] 但我算是一个比较特例的案例
[01:49] 一般我觉得还是需要去跟人家交流一下
[01:52] 有时候真的会找到一些盲点
[01:54] 像这次去的话
[01:55] 他们在讨论的一些标题
[01:56] 其实我听一听我觉得就蛮有意思的
[01:58] 像是美国的Bloom Energy
[01:59] 或者说Bloom Energy
[02:00] 在台湾的一些supply chain
[02:02] 大家可能就会丢出他们的数字
[02:05] 那些都长期持有者
[02:06] 都已经持有很久了
[02:07] 然后就想说这个数字应该是多少
[02:09] 因为现在产品线是怎么样
[02:10] 别人听到可能就会告诉你说
[02:12] 我们了解到的状况是怎么样
[02:13] 我可能也认识公司的谁之类的
[02:15] 所以大家对一对之后
[02:16] 有时候就会那种真相越辨越明的感觉
[02:18] 其中有一段我觉得蛮有趣的
[02:20] 就是聊到说
[02:20] 因为现在美国Data Center是缺电
[02:22] 其实最缺的并不是说什么电力的产出
[02:25] 而是电网
[02:25] 电网的建制是跟不上
[02:27] 所以当然就是有开始去讨论一些
[02:29] 就是可能on-site的发电的方式
[02:31] 之前也花过几集
[02:32] 跟大家聊过一些on-site的发电方式
[02:34] 其中一个就是SMR
[02:36] 也就是说小型的核反应炉
[02:37] 不知道大家是不是跟我一样
[02:39] 就是我对这个产业其实不熟悉
[02:40] 我也没有去买什么SMR相关类股
[02:42] 今天有一次可能朋友跟我讲说
[02:44] 这个现行可以稍微买一点
[02:45] 有点一点
[02:46] 那我都没有往这方面去布局
[02:48] 那我以前听到SMR
[02:49] 我心中想象就是说
[02:50] 小型核反应炉嘛
[02:52] 所以不知道
[02:52] 就可能是一间教室再大一点之类的
[02:55] 我真的本来想象是这样子
