[00:00] 欢迎收听谷爱,我是孟公
[00:01] 本集节目由台湾莱雅集团全球No.1医学美容品牌休利可赞助
[00:06] 最近被各种广告打到都在讲母亲节
[00:09] 我自己也在寻思一件事
[00:11] 如果说送礼这件事是一种投资
[00:13] 你要做短线还是长头
[00:14] 花是短线,漂亮一下就没了
[00:17] 但保养是每天复利在跑
[00:19] 我知道我们很多听众是男生
[00:21] 最近也在思考母亲节要送什么
[00:23] 如果只是包红包送花这种一次性的情绪价值
[00:26] 那没什么记忆点
[00:27] 所以今年直接选择把一枚等级的保养带回家
[00:30] 当成是一个长期资产配置送出去
[00:33] 修力可这个品牌如果是老听众一定都知道
[00:36] 本来想说上次介绍的差不多
[00:38] 这次没什么好聊
[00:39] 但最近因为母亲节快到了
[00:41] 是个帮老婆囤货的好时机
[00:43] 所以趁这个机会分享自己的独家优惠给大家
[00:46] 而且送礼就要送最新最有话题的才有面子
[00:49] 只选一组的话
[00:50] 首推修力可最新AGE极效复活紧致精华
[00:54] 这瓶被网友疯传为电波V脸瓶
[00:57] 不是没有道理
[00:58] 因为它的质地
[00:59] 能够模拟术后的紧实感
[01:01] 清澈最有感的
[01:02] 就是原本偏圆脸的U型轮廓
[01:04] 会慢慢收紧
[01:05] 成为精致的V脸
[01:07] 然后抗老这件事情
[01:08] 我太太很常提醒我
[01:09] 一个重点就要抗氧化
[01:11] 因为氧化就像是老化的加速器
[01:13] 会造成肌肤的干燥
[01:14] 粗糙跟出现细纹
[01:16] 所以白天很推荐
[01:17] 搭配黄金专利明星CE抗氧化精华
[01:20] 延缓肌肤老化
[01:22] 再用AGE精华把结构给撑起来
[01:24] 这样子整套抗老的routine才完整
[01:27] 那当然还有其他的明星商品可以搭配
[01:29] 简单讲就是CE抗氧化精华
[01:31] 延缓老化
[01:32] 这负责防守
[01:33] PTOX抗臭精华
[01:35] 管细纹
[01:36] 这个修正你的波动
[01:37] AGE精华称结构
[01:38] 这是你的核心资产
[01:40] 那最后再用AGE紧致霜锁住
[01:42] 稳定收尾
[01:43] 一整套下来
[01:44] 其实就是把抗老这件事情
[01:45] 从短线操作变成一个完整的长期策略
[01:48] 直接说一句
[01:49] 他一定不记得你去年送过什么花
[01:51] 但他绝对记得这一关
[01:53] 让他的脸变紧
[01:54] 送妈妈跟老婆年轻
[01:56] 肯定是最好的礼物
[01:57] 那注意我们的重点来了
[01:58] 支持使用我们古来的专属连结
[02:00] 一美直接送到家
[02:01] 精美礼盒八折起
[02:02] 如果说只能够推荐一组
[02:04] 请一定要带上电波V脸瓶
[02:06] 不仅面子十足
[02:07] 凑满了还可以顺便把
[02:08] KINGYO小圆锅跟明星精华
[02:10] 一起带回家
[02:11] 透过的独家连结下单
[02:12] 再送紫米精华4毫升
[02:14] 送妈妈送老婆送女友
[02:15] 都很适合
[02:16] 这种高端一美品牌
[02:17] 送起来非常的有质感
[02:19] 而且是早晚保养都会拿起来用
[02:21] 那我们每用一次就会想说
[02:22] 这个是你送的多划算
[02:24] 连结放在资讯栏这边
[02:25] 有需要的朋友可以自己去研究
[02:27] 那最近我太太介绍了
[02:28] 她的医美的医师给我认识
[02:30] 她也是我们的快乐好邻居
[02:32] 也是因为她才有办法
[02:35] 推荐我们网球教练
[02:36] 然后现在我们全家都变成
[02:37] 是网球的学员
[02:39] 所以非常感谢这个
[02:40] 非常要好的邻居
[02:42] 那她来我们家看一看的时候
[02:43] 因为在这个对话之中
[02:45] 她就有提到说
[02:46] 她是有一点点
[02:47] 要怎么讲
[02:48] 不能说是灵异体质
[02:49] 但他就是可以感受到东西的
[02:51] 也就是他可能在他服务的一些单位
[02:53] 曾经感受到一些东西
[02:55] 那最后面就会印证到说
[02:56] 可能真的有一些东西在那一边
[02:58] 那就像是我岳母
[02:59] 可能在好几年前跟我讲的
[03:01] 他就说反正我的生命之中
[03:03] 就会遇到很多人都想要帮我算命
[03:05] 或是感受一下这种
[03:06] 可能灵能之类的事情
[03:08] 那我也觉得蛮神奇的
[03:09] 就是真的是在人生的路途中
[03:10] 很常遇到这样子特别的事情
[03:12] 那虽然我自己是没有到特别的相信
[03:14] 但虽然可能我之前也很常跑去算命
[03:17] 那真的就只是为了去了解说
[03:18] 到底这个圈子在干什么
[03:19] 就跟我就去了解
[03:21] 各式各样的新的玩意儿的想法是一样的
[03:24] 那我就是因为知道说
[03:25] 他可以感受到一些东西
[03:27] 所以我就想到
[03:28] 因为我背后有一个观音大爷嘛
[03:30] 那这个观音大爷呢
[03:31] 稍微前行提要一下
[03:32] 虽然绝大多数的听众都知道
[03:34] 但反正总之呢
[03:35] 他就是我自己交易圈的一个朋友
[03:37] 因为他本身呢
[03:38] 是上传佛教的一个非常大的donor
[03:40] 那他整天在那边捐钱
[03:41] 人家就会送他各种token
[03:43] 什么挂轴啊
[03:44] 观音的小雕像或什么的
[03:46] 那就拿了一大堆东西嘛
[03:47] 那有些呢
[03:48] 可能就会在他去朝圣的时候
[03:50] 就会请那边的喇嘛
[03:51] 还和尚什么的
[03:52] 帮帮他加持一下
[03:53] 那我一直都不知道
[03:54] 说这个东西是有加持过
[03:55] 只知道说是他送我的一个纪念品
[03:57] 然后他还跟我半开玩笑
[03:58] 讲说你就放在你后面
[03:59] 你放在你后面的绩效
[04:00] 应该就会变好
[04:01] 那后来是我跟他
[04:02] 有一次分享到说
[04:03] 因为我的小儿子
[04:04] 那时候有一些病痛的困扰
[04:05] 现在当然都已经是解决了
[04:07] 那所以呢
[04:08] 我就带他去认了
[04:09] 林口的观音当作是感爹
[04:11] 他跟我讲说
[04:12] 为什么你要跑去观音庙
[04:13] 你后面那个就是有开光过的
[04:14] 那个里面就是有祝神明的
[04:16] 所以从那之后呢
[04:17] 我就是都直接跟这个神明许愿
[04:19] 那当然其实还是跟我们林口在地的寺庙
[04:21] 维持一个良好的关系
[04:23] 都还会持续做捐献
[04:24] 他们都会送我一些什么
[04:25] 反正就是那种祈福的
[04:28] 什么福寿米
[04:29] 还是什么有的没有的东西
[04:30] 那whatever
[04:31] 反正就是我心中就是觉得说
[04:33] OK那我后面的观音应该是有神力的
[04:35] 然后搞到我们自己的一些听众
[04:36] 现在都会讲说
[04:37] 他不知道跟我讲话
[04:38] 他知道跟我后面的观音都还讲话
[04:39] 但总之
[04:40] 因为我知道这个东西是有点东西的
[04:43] 至少我是这样相信
[04:44] 那我就拿出去给那一位朋友
[04:46] 就叫他帮我感受一下
[04:48] 这个东西有没有料
[04:49] 那接着他就把手
[04:50] 环绕在这个雕像上面
[04:52] 然后接着就说
[04:53] 这个上面的气质非常强的
[04:55] 那当然其实我对于这一种
[04:57] 就是所谓的
[04:58] 比较偏向是玄学的东西
[04:59] 怎么说我非常的熟悉
[05:01] 我也看过一堆这样子的人
[05:02] 所以其实我没有觉得
[05:03] 特别的意外
[05:04] 我就说OK
[05:04] 那你感受得到是不是
[05:05] 那你要不要来帮我感受一下
[05:07] 因为他那时候有提到说
[05:08] 你知道这些雕像
[05:09] 其实它里面是可以去住一些灵的
[05:11] 就像是可能哈利波特
[05:12] 演的分灵体这样
[05:13] 然后就说
