[00:00] 欢迎收听赵华语古惑仔第1070集
[00:09] 今天是2026年的4月2号
[00:12] 好 昨天我们说是台湾的愚人节
[00:15] 大涨了将近1500点
[00:17] 那今天呢 今天早上大家都在等川普的全国演说
[00:21] 结果没有想到他演说的时间还在美国的愚人节
[00:26] 那他演说的内容呢
[00:28] 其实有人就整理出一个懒人包
[00:30] 来跟大家分享
[00:31] 他说呢
[00:32] 大概是这样子
[00:33] 我们赢了
[00:34] 美国有很多的石油
[00:36] 欢迎大家向美国买石油
[00:38] 骂伊朗
[00:38] 骂欧巴马
[00:39] 虽然我们赢了
[00:40] 但是我们要继续把伊朗打回
[00:42] 石器时代
[00:44] 美国好棒棒
[00:45] 晚安
[00:45] 随着这番话一路讲
[00:48] 我们就发现
[00:49] 这个美股的电子旗一路跌
[00:50] 我们的台股也一路跌
[00:52] 当然也不是很奇怪
[00:53] 因为昨天涨1500点
[00:55] 可能真的有点太多了
[00:56] 那今天中场是回吐了
[00:58] 600点
[00:59] 再加上我们今天录完这一集
[01:01] 我们要放新名廉价
[01:03] 要放四天廉价
[01:05] 美国在这个礼拜五的晚上
[01:07] 也没有开盘
[01:08] 所以也许变数少一天
[01:10] 不过呢
[01:11] 今天盘面上很多的中小型股
[01:12] 表现还是非常好的
[01:13] 所以今天我们的达人
[01:16] 本来是礼拜五
[01:17] 这个Friday boy
[01:19] 变成今天来
[01:20] 今天来的是我们的
[01:22] 国家级基金操盘手
[01:24] 黄峰凯凯哥
[01:25] 早上好
[01:25] 各位听众大家午安
[01:26] 因为现在呢
[01:28] 这个明天放假
[01:29] 就把你提早一天搬过来
[01:31] 昨天有很戏剧性的反转
[01:33] 涨了1500点
[01:34] 不过也有跟我们的听众朋友
[01:36] 特别分享说
[01:37] 不用特别在大涨的时候去追
[01:40] 因为他又是因为一句话
[01:42] 就是伊朗说愿意参加和谈
[01:44] 可是早上听完这个川普的演说之后
[01:47] 就会觉得这个和谈会不会有一点
[01:49] 又出现变数了
[01:50] 因为看来川普并没有放弃
[01:52] 继续打伊朗
[01:53] 到底川普他想的是什么
[01:55] 不是很想和谈吗
[01:56] 那这个对盘面上
[01:57] 过完清明节的变数是什么
[01:59] 我觉得第一个是
[02:00] 基本上两国和谈
[02:02] 有一个很虚无的东西
[02:04] 就是他是总统出来讲要和谈
[02:07] 伊朗总统
[02:08] 伊朗总统上一次讲说
[02:09] 他不打中东国家了
[02:10] 结果后来非但继续设
[02:11] 就告诉你说
[02:12] 他根本控制不了
[02:13] 这一些所谓的将领们
[02:15] 对所以基本上
[02:17] 这个和谈基本上
[02:18] 大家就听听就好了
[02:18] 所以昨天在大展的时候
[02:20] 我说你也不用太兴奋
[02:21] 兴奋因为马上就要进入清明假期
[02:23] 所以今天早上一起来
[02:25] 我就想说
[02:26] 其实这个大盘你也不用太高兴
[02:28] 因为虽然大涨了
[02:30] 可是我们的台子旗跟我们的台积电
[02:32] 基本上都才回到大量的中指附近
[02:36] 也就是说他们在中指干嘛
[02:38] 等川普要讲什么
[02:40] 对
[02:41] 所以他们不敢站上中指以上
[02:43] 甚至站上大量高
[02:45] 所以就有人问我说
[02:46] 凯哥是不是站上大量高就可以了
[02:48] 我说对
[02:49] 站上大量高就是大军的部队要开把了
[02:51] 现在就是小部队的伺候
[02:54] 去试探军情的状况
[02:56] 那我基本上觉得
[02:58] 他有一个论调
[02:59] 我觉得你可以去关注
[03:00] 就是他看起来是要以战逼合
[03:02] 就是他的地面部队
[03:04] 还是要往伊朗开进
[03:05] 再加上萨布尼亚伯
[03:07] 也宣布要投入这场战争
[03:09] 所以可能会有些变化
[03:11] 因为你要知道
[03:11] 在没有打之前
[03:13] 伊朗是全球第16大军事强国
[03:15] 萨布尼亚伯是排名在五六十名的
[03:18] 是落差很大的
[03:19] 可是经过伊朗
[03:20] 已经被美国炸成这样子
[03:21] 被世界炸成这样子
