[00:00] 欢迎收听赵华与古惑仔第1145集
[00:09] 今天是2026年的7月23号
[00:12] 历经了一段时间的洗洗刷
[00:15] 其实今天的盘也算是小洗洗刷
[00:19] 看大家用什么样的心态看
[00:20] 像今天我几乎什么动作都没做
[00:23] 我就属于比较在旁边观望的
[00:25] 看了会有点打瞌睡
[00:27] 那当然如果今天还是在里面
[00:29] 想要说做一点短线买卖的
[00:31] 自然也还是会觉得蛮忙的
[00:33] 因为今天盘中
[00:34] 一度也有下杀到四五百点
[00:36] 然后尾盘拉台积电
[00:38] 拉鸿海
[00:39] 拉所谓的一线全支股
[00:41] 所以尾盘是直接V转翻红
[00:44] 收红在25点
[00:46] 那成交量还是只有8925亿
[00:50] 这几天不管杀不杀
[00:52] 盘的量都不是非常的足够
[00:55] 等于是
[00:55] 你说要去抵抗
[00:58] 这个被洗出去的人
[00:59] 他应该前面
[01:00] 有累积了一些底气
[01:01] 但是你说
[01:02] 大家要很积极踊跃的
[01:04] 想要做波段
[01:05] 进来抄底
[01:06] 进来猛追
[01:07] 可能这样的意愿
[01:08] 也并不是很高
[01:09] 所以你会发现一件事情
[01:11] 就是盘面上
[01:12] 每天在轮涨的族群
[01:14] 就开始不连贯了
[01:16] 会有一点不一样
[01:17] 同样在避风的
[01:19] 就是台速集团
[01:20] 所以也可以看到
[01:22] 市场上避风的那个心情
[01:23] 他并没有退去
[01:24] 并没有退去
[01:25] 那我们在今天凌晨等的是什么呢
[01:28] 当然就是等所谓的美国科技股的超级财报周的第一枪
[01:34] 是谷歌Google大哦
[01:36] 这家很重要
[01:37] 因为有段时间像这个Google的TPU概念股在盘面上是非常热门的
[01:42] 但是谷歌在盘后是跌了大概四个百分点
[01:46] 好发生什么事我们等一下可以来聊聊
[01:48] 不过因为Google对台厂
[01:50] 我想最直接的就是他又调高了全年的资本支出
[01:55] 在今天的盘面上
[01:56] 其实不太有反应
[01:58] 这也代表现在盘的气氛
[02:01] 它就是一个不够好
[02:02] 我觉得大家一定要理解这件事情
[02:04] 虽然经过了史上的第一大跌点
[02:07] 跟史上的第一大涨点
[02:09] 但受到创伤的事情
[02:12] 它真的有时候就是需要
[02:14] 一点点的时间做平复
[02:15] 好 那在洗洗刷的盘里面
[02:18] 或者是你如果没有参与
[02:19] 就无聊盘里面
[02:20] 该怎么做呢
[02:22] 我们来请教今天的来宾
[02:24] 来欢迎他
[02:24] 今天来的是我们的选股教练
[02:26] 黄金右下角 韦泰
[02:27] 哈喽 赵华好 大家好
[02:29] 好 这段时间有听我们Podcast的朋友
[02:32] 一定知道
[02:33] 韦泰就是会属于
[02:34] 前一阵子还没有跌下来的时候
[02:36] 他有特别提到
[02:36] 他觉得怪怪的
[02:38] 他觉得因为这一次台股
[02:40] 冲到48000点之后
[02:41] 实在是蛮热的
[02:42] 然后呢
[02:43] 接下来其实我们就有进入到
[02:46] 我记得有一次跟大家形容
[02:47] 我觉得有点像温水煮青蛙
[02:49] 就是量有点缩下来
[02:51] 然后一开始跌得没有那么凶
[02:53] 所以你会随时觉得
[02:55] 我有机会上去
[02:56] 然后呢
[02:57] 又叠在哪里
[02:58] 后来就慢慢叠在
[02:59] 像被动元件
[03:00] 功率元件
[03:01] 就是这一类型
[03:03] 大家后面很喜欢的股票上面
[03:05] 所以这一波的下来
[03:07] 很多人就觉得
[03:07] 哇受伤很惨重
[03:08] 好
[03:09] 昨天大家看到宅板
[03:10] 通通上去
[03:11] 今天宅板相对就比较休息
[03:14] 那另外像矽晶圆
[03:15] 有没有
[03:15] 在股灾的时候
[03:16] 矽晶圆其实很强
[03:18] 但是昨天
[03:19] 环球晶
[03:20] 说到他的意大利厂
[03:21] 烧火灾
[03:23] 火灾了
[03:24] 应该主要会影响到
[03:26] 八寸矽金园的产能
[03:27] 那比较奇妙的是
[03:28] 环球金今天缓缓跌停就算了
[03:30] 台胜科也跟着跌停
[03:32] 有人的产能烧掉
[03:34] 不是应该会吃紧吗
[03:36] 想象的时候应该是这个样子
[03:38] 但总之今天的矽金园的状况
[03:41] 就相对比较不理想
[03:42] 那今天盘面上老挨挨有撑盘
[03:45] 因为鸿海的状况不错
[03:47] 伪创昨天涨停板之后
[03:48] 今天有续强
[03:49] 就是他的美国德州厂动工
[03:52] 回到老挨身上是不错的
[03:54] 还有最弱的CPO
[03:56] 昨天反攻
[03:57] 今天有续攻
[03:59] 所以今天排名上
[04:00] 有一点强者在休息
[04:02] 弱者在反弹的味道
[04:05] 这也是我讲的
[04:06] 大家并不是很连贯
[04:07] 而是都轮流来一下
[04:09] 然后盘就平平
[04:10] 大概是这个样子
[04:11] 好 想要请教韦泰
[04:12] 大概把今天的轮廓讲了一下
[04:15] 但是今天的轮廓里面
[04:16] 有没有你觉得
[04:17] 值得投入朋友要特别留意的
[04:19] 还是我们就是在一个修复期里面
[04:22] 好的
[04:23] 我想最近的盘式
[04:25] 简单来讲就是
[04:27] 它没有说出现明显的一个转空
[04:30] 但是呢
[04:31] 先前涨多的这些的个股
[04:33] 他们仍然在进行
[04:35] 所谓的本益比的一个修正
[04:38] 过高的本益比的修正
[04:40] 所以在这种情况之下呢
[04:42] 会看到的是肋骨轮动
[04:44] 然后呢
[04:45] 高档的或者是高位阶的个股
[04:47] 他们容易会出现
[04:49] 这个拉回跟修正
[04:51] 然后呢已经修正过的
[04:53] 像刚刚我们所提到的
[04:54] 像CPU相关的个股
[04:56] 那么今天像是这个联亚
[04:59] 3081的联亚
[05:00] 就是拉到了这个涨停板
[05:03] 而且是连续两天
[05:05] 都是呈现了一个大涨
[05:06] 那么其他的包括像是
[05:10] 散热里面的齐鸿
[05:12] 今天也是有曾经盘中
[05:14] 有看到涨停板的一个价位
[05:16] 他们首先呢
[05:18] 第一个就是
[05:18] 他们要么就修正的时间比较久
[05:21] 以奇宏来讲
[05:23] 他是在今年的四月中间高点
[05:27] 然后就一直拉回修正
[05:29] 但是修正并没有说跌得非常的重
[05:33] 而是说他修正的这个时间
[05:36] 拖得比较久
[05:37] 而且别人都在创高
[05:39] 然后这就显得散热
[05:41] 你不是纯AI族群吗
[05:42] 怎么那么弱这样
[05:43] 对
[05:44] 那么像联亚的部分
[05:46] 价就是比较是属于
[05:48] 就是一样是四月中四月底见高点
[05:51] 但是他这一波修正就修得比较深一点点
[05:54] 他的高价是在3305
[05:57] 可是这次的低价在1335
[05:59] 这波段的低点
[06:00] 所以基本上都快要跌掉2000块钱
[06:03] 所以在这些跌得比较重的这些个股
[06:08] 目前看起来就轮到他们去做一个
[06:11] 直接跟反弹
[06:12] 那所以呢
[06:14] 现在在相对高档的刚提到
[06:16] 不管是环球金啊
[06:18] 或者是这个中美金啊
[06:21] 或其他的一些被动元件
[06:23] 从上个礼拜开始的一个修正
[06:26] 目前看起来
[06:27] 就是属于就是高档的个股修正
[06:30] 然后低档的个股在这个反弹跟上涨
[06:33] 那么这种情况之下呢
[06:36] 第一个就是市场上面
[06:38] 不管你今天是要去低阶高档拉回的
[06:43] 那这边你去做低阶
[06:45] 想要去做超出的话
[06:47] 大概也就是想要做一种
[06:49] 所谓的短线上面的操作
[06:51] 那你说要去接这种联亚
[06:53] 这种跌掉2000块钱的
[06:55] 这样子的一个股票
[06:57] 说实话
[06:58] 它跌掉2000块钱
[07:00] 它的短中期均线都下弯
[07:03] 那它往上再走过程
[07:05] 我们可以想象得到
[07:07] 光是这个解套性的麦芽
[07:10] 可能也就是一层又一层
[07:11] 所以不管是哪一种的操作
[07:13] 基本上呢
[07:15] 这种所谓的获利的一个幅度
[07:17] 空间可能都不是太大
[07:19] 所以我们刚刚
[07:20] 在节目一开始的时候
[07:22] 我有跟赵华聊天
[07:23] 我说这个行情叫什么
[07:25] 就是鸡腿吃完了
[07:27] 还剩下什么
[07:28] 因为刚刚
[07:30] 刚刚我一太就突然跟我说
[07:33] 鸡腿吃完了
[07:33] 然后我就想说
[07:34] 是不是刚刚害他午餐
[07:36] 很赶着吃
[07:37] 所以正在把他的便当里的鸡腿吃完了
[07:40] 我说什么意思啊
[07:41] 他就说因为鸡腿最好赚的
[07:43] 最肥美的
[07:44] 最好吃的
[07:45] 已经吃掉了
[07:47] 接下来可能看吃鸡翅
[07:48] 吃鸡翅还不错
[07:49] 他还说要不要吃鸡脖子
[07:51] 可是我小时候超喜欢吃鸡脖子
[07:54] 是那个像咸酥鸡摊卖那种吗
[07:57] 没有
[07:57] 小时候就是家附近会有那种流动的夜市
[08:00] 然后我特别喜欢吃的就是鸡翅跟鸡脖子
[08:04] 然后家里面煮那种
[08:05] 怎么扯到这
[08:06] 在那边煮那个
[08:07] 红烧鸡肉的时候
[08:09] 我特别喜欢拿那个
[08:10] 卤的鸡爪来吃
[08:12] 然后我小时候
[08:13] 特爱吃这些东西
