[00:00] 欢迎收听赵华宇古货载第1124集
[00:09] 今天是2026年的6月23号
[00:12] 今天的台股终于跌了
[00:14] 但也没有非常奇怪
[00:16] 因为昨天的台股说实话
[00:18] 涨到这个1300 1400多点的时候
[00:21] 有那么一点超涨的味道
[00:23] 今天有点把超涨的部分给跌回来
[00:26] 不过因为如果大家手上比较多是中小型股的话
[00:29] 今天的体感温度就相对比较烂一点
[00:32] 尤其今天盘面上的族群性
[00:34] 几乎只剩下功率元件跟部分的细光子
[00:37] 像大家耳熟难详
[00:39] 可能手上也买了不少的被动元件
[00:41] 今天是有点团灭的味道
[00:43] 光学细晶圆也在叠
[00:45] 今天的大牛股大概还是联电表现的最好
[00:48] 昨天晚上的ADR联电是涨了14个百分点
[00:51] 但今天也因为盘式的关系
[00:54] 它就受到了一点压抑
[00:55] 而且因为台积电
[00:57] 演了大半场的这个撑盘要脚
[00:59] 最后杀尾盘
[01:01] 所以中场我们下跌了640点
[01:03] 感觉640点还好
[01:05] 不过这个640点有带量
[01:08] 今天的量在上市的部分
[01:09] 有放大到1.6兆
[01:12] 而上柜的部分是3000多亿
[01:14] 加起来是快两兆的量
[01:15] 在今天是个下跌盘
[01:17] 那下跌加速是远远高于上涨加速
[01:20] 所以今天的体感严格来说不好
[01:23] 不过呢
[01:24] 今天的来宾
[01:25] 他看到我的第一句话是说
[01:27] 有跌吗
[01:28] 跌的没有很多
[01:29] 因为我们两个其实都知道
[01:32] 如果下跌是要给机会
[01:33] 我们的信念真的是如此
[01:35] 今天有影片版
[01:36] 所以我先不啰嗦
[01:37] 我先欢迎他出场
[01:39] 免得在影片上看到他被晾在旁边
[01:41] 今天来的是AI达人蔡明翰
[01:44] 赵华
[01:45] 观众朋友听众朋友大家好
[01:47] 因为刚刚我一看到明翰
[01:49] 我就说你今天来的时机很好
[01:51] 因为明翰不喜欢在大涨的时候来
[01:53] 大涨的时候比较不好讲你知道吗
[01:55] 然后他喜欢在大跌的时候来
[01:57] 但今天又跌的不够多
[01:59] 不过我有提到
[02:00] 今天中小型股的体感比较差
