[00:00] 欢迎收听赵华语古惑仔第1056集
[00:09] 今天是2026年的3月16号
[00:12] 这个周末其实还是围绕在美伊的战事上面
[00:16] 因为这个看起来川普没有办法
[00:19] 在短时间内阻止伊朗的攻势
[00:22] 而伊朗这次的无人机真的蛮猛的
[00:24] 跑到杜拜炸了这个美国大使馆的屋顶
[00:28] 没有整间炸掉
[00:29] 但屋顶着火了
[00:30] 那现在杜拜机场
[00:32] 是全面禁止升降了
[00:34] 之前有说
[00:35] 大家好像还会急匆匆的去一下杜拜
[00:38] 赶最后一班飞机
[00:39] 偷等舱回来
[00:40] 那也有人说杜拜的居民
[00:42] 好像就过着日常般的生活
[00:43] 但现在的状况有点升温了
[00:46] 有点升温了
[00:47] 那当然因为油价又开始往上跑
[00:50] 虽然没有像之前一样跑到120
[00:52] 但也是破100的上下
[00:54] 就是没有降温了
[00:56] 不像之前川普喊话
[00:58] 接点降温
[00:58] 现在又升上去了
[01:00] 所以大家对通膨的疑虑
[01:02] 也变得比较高
[01:02] 那联准会这个礼拜
[01:04] 也有要开会
[01:05] 看来是降息这件事情
[01:07] 在今年因为这个通膨的因素
[01:09] 又加回来
[01:10] 现在看起来遥遥无期
[01:12] 所以本来在六日的时候
[01:14] 大家预期今天的台股
[01:16] 应该会开得相当低
[01:18] 至少500点
[01:19] 礼拜五的夜盘市上
[01:20] 也跌了将近500点
[01:22] 可是今天的台股
[01:23] 真的还是非常强
[01:25] 就是你今天一看到台子
[01:27] 其实一戳就还好
[01:29] 然后现股一开盘是涨300点
[01:31] 就想哇
[01:32] 我们台股怎么可以这么样的强
[01:35] 是因为这个中东战士
[01:37] 跟我们真的没关系
[01:38] 油价上涨
[01:38] 我们真的不影响
[01:40] 我们完全是因为AI的成长
[01:42] 所以现在可以不要担心吗
[01:45] 大家一边这样看
[01:46] 一边内心还是有一点毛毛的
[01:48] 但是今天上市加上柜
[01:50] 涨停板的加速有快80加
[01:52] 而且有很多是大家耳熟能详的热门产业
[01:55] 当然今天记忆体
[01:56] 旺宏那亚科金豪科等等的涨停板
[01:59] 那今天载板三档公司都创高
[02:02] 南电当然他的历史新高比较远
[02:04] 新兴锦硕创历史高
[02:06] 南电今天涨停板
[02:08] 好所以今天热门族群
[02:10] 还是非常多涨停的情况下
[02:12] 似乎回到了中小型股
[02:15] 当道的快乐市场
[02:17] 难道都不要担心吗
[02:18] 还是就顺势而为
[02:20] 到明天早上的凌晨
[02:22] 这个GTC大会台湾时间正式开始
[02:25] 黄文勋也要演讲
[02:26] 那这个跟今天的盘面有没有关系
[02:28] 但今天也看得出来
[02:29] 大型圈支股的表现还是比较疲弱的
[02:32] 比较疲弱的
[02:33] 尤其是这个鸿海
[02:35] 今天也公布了他第四季的财报
[02:37] 哇不理想
[02:38] 不理想
[02:39] 等一下跟大家讲
[02:40] 怎样不理想
[02:41] 这个黄仁勋似乎是让台积电涨价
[02:44] 所以今天台积电相关的周遭
[02:47] 也都涨超凶
[02:48] 设备股
[02:49] 但是让组装代工厂
[02:51] 没有吃到甜头
[02:53] 怎么回事
[02:53] 现在欢迎今天的来宾
[02:55] 今天来的是题材猎人汉伟哥
[02:57] 大家好 各位听众大家好
[02:59] 今天我本来以为是一个大碟盘
[03:02] 然后正想要说大碟的时候
[03:04] 看看来捡什么或是安慰大家
[03:05] 不用了
[03:06] 今天中小股超级强
[03:09] 然后台积电当然今天没有什么表现
[03:12] 也是把空间给浪出来
