[00:00] 欢迎收听赵华仪古货载第1154集
[00:09] 今天是2026年的8月5号
[00:12] 今天又是一个千点的反攻日哦
[00:16] 哇短短这个从上礼拜五大反攻到今天
[00:20] 礼拜三连续四天都算是有反攻
[00:24] 尤其是中小型股有
[00:25] 那今天的话中大型股也有
[00:27] 不过今天的话
[00:29] 虽然整个指数涨了1000多点
[00:31] 但有一些股票因为台积电拉
[00:34] 因为大型股拉
[00:35] 所以反而有一点点开高走低的现象
[00:38] 那也有不少人就线润线
[00:41] 或者就过去的经验连续谈了4天
[00:44] 连续谈了4天之后
[00:46] 甚至这中间有两天三天
[00:48] 可能都是用涨停板
[00:50] 有一些跌得深的也谈得快的股票
[00:53] 所以到这里
[00:54] 有没有第一
[00:55] 长福或谈福满足
[00:57] 那到底要不要
[00:58] 做所谓的第二只脚
[01:00] 其实我在讲这个的时候
[01:02] 为什么突然有点想要微笑出来
[01:04] 是因为好像每一次都这样
[01:06] 杀下去了
[01:07] 然后在杀下去的过程中
[01:09] 每一个都会往背
[01:10] 更悲观去想
[01:12] 然后如果这个时候
[01:13] 想要给大家鼓励
[01:13] 往往会被解读成
[01:14] 不要再叫人家买了
[01:16] 不要再催人家买了
[01:17] 害死人了
[01:17] 后来到了要逼上来了
[01:20] 那大家就会觉得
[01:21] 谈不了多久了
[01:22] 谈上去也马上被打下来
[01:24] 不要再骗我了
[01:25] 然后谈了四天了
[01:27] 大家就会想说
[01:29] 好像要V了
[01:30] 可是当然有另外一派
[01:32] 印象里经验里
[01:33] 我们过去的经验是这样
[01:35] 通常谈到一个满足点的时候
[01:36] 还是会稍微再打
[01:37] 所谓的第二只脚
[01:38] 大脚小脚而已
[01:39] 好
[01:40] 那因为我们的立足点
[01:42] 有跟大家已经
[01:43] 不知道分享过多少次了
[01:44] 就是所谓的基本面的状况
[01:45] 都是很不错的
[01:46] 所以接下来我们要应对的
[01:48] 就是一个盘面的策略
[01:50] 盘面的一些进度的观察
[01:53] 那前面几次有讲到
[01:55] 有一些美股的云端伺服器大厂
[01:57] 揭露的财报其实都很漂亮
[02:00] 可是市场就往往会有一刀切
[02:02] 从礼拜五之后
[02:03] 你提高资本支出没问题
[02:05] 你展望好就好了
[02:07] 你自由现金的维护也没有关系
[02:09] 不过昨天晚上公布的
[02:10] SpaceX财报还有AMD的财报
[02:13] 市场都用不满意来解读
[02:16] 那包括今天看到
[02:17] 昨天环球金开发说
[02:19] 好MD跟环球金都是女战神系列
[02:22] 那他们讲了什么
[02:23] 为什么今天市场是不买单的
