[00:00] 歡迎收聽趙華與古惑仔第1029集
[00:09] 今天是2026年的1月30號
[00:12] 也是1月的最後一個交易日了
[00:15] 因為明天要放假了
[00:16] 那今天的盤是非常的洗刷
[00:19] 也擺脫了說臺股永遠不會跌
[00:22] 但說實話臺股還是蠻厲害的
[00:25] 怎麼說呢
[00:26] 昨天晚上大家有沒有看一下夜盤呢
[00:28] 其實快要12點吧
[00:29] 記得那時候
[00:30] 有一度殺到700多點的液盤
[00:32] 因為那時候是跟著美股在殺
[00:35] 就美股很多的大型科技股都在跌
[00:37] 包括微軟當時跌到了12%之多
[00:41] 雖然我們知道財報出來
[00:43] 大家可能對於AI
[00:44] 能不能回收這件事情
[00:45] 又開始有一滴滴的疑慮
[00:47] 但是一下子看到微軟殺12%
[00:49] 是也真的蠻震撼的
[00:50] 而那時候臺積電的ADR
[00:52] 我記得也跌了三四%
[00:53] 更不要提把法說開成法會的聯電ADR
[00:56] 也是跌了8%左右
[00:58] 所以昨天晚上一度殺到750的時候
[01:01] 我心裡面真的覺得說
[01:02] 哎呀哎呀
[01:03] 真的會來一個像樣的回檔
[01:05] 還是隔天又傳過水無痕呢
[01:08] 好那今天看起來
[01:10] 也不能說是傳過水無痕
[01:12] 但似乎也沒有想象中的恐怖
[01:14] 今天是下跌了472點
[01:16] 而且我覺得最猛的是
[01:17] 大家看今天的開盤
[01:19] 今天開盤是開紅哦
[01:20] 開紅在殺
[01:22] 所以可見的大家並沒有急著
[01:24] 要在一開盤就瘋狂到哦
[01:26] 那盤中還一度拉拉拉
[01:28] 拉到剩下大概疊200多點而已
[01:30] 而今天當然大家看到
[01:32] 記憶體還是非常的威猛
[01:33] 這個南亞科漲停板
[01:35] 金豪科漲停板
[01:36] 戲劇性的載板
[01:37] 昨天載板三雄幾乎都摸到疊停板
[01:40] 今天錦碩星星都漲停板
[01:43] 連真鼎也來漲停板
[01:45] 所以這個盤
[01:46] 你說大家會不會有點捨不得走
[01:48] 我想真的是會越來越捨不得走
[01:50] 甚至你會覺得殺下去
[01:51] 好像就會再回來
[01:52] 那我們提到昨天
[01:54] 圍臺散戶是第一天的翻多
[01:56] 就迎來了一個真漢蛋
[01:58] 就這麼巧
[01:59] 還是其實有總經面上
[02:01] 我們要注意的事情
[02:02] 先來歡迎今天的來賓
[02:03] 禮拜五了
[02:04] 固定是他
[02:05] 固定是他
[02:06] 好 今天來的是我們的
[02:07] 國家級基金操盤手
[02:09] 黃峰凱 凱哥
[02:10] 早好 各位聽眾大家好
[02:11] 好 發生什麼事了
[02:13] 直接問你
[02:13] 我覺得
[02:14] 其實昨天的盤面
[02:16] 其實就有點不太對勁
[02:17] 真的嗎
[02:18] 你可以看
[02:19] 因為我們其實
[02:20] 大部分的人
[02:20] 其實手上的股票
[02:21] 不會是臺積電
[02:22] 所以大家比較多的股票
[02:24] 還是在貴買的股票
[02:25] 那昨天的貴買
[02:26] 其實就破了前一天的低點
[02:28] 破前一天
[02:29] 其實前一天是帶量的
[02:30] 所以它等於是
[02:31] 破了近期的大量低
[02:32] 所以其實昨天的盤面
[02:34] 就告訴你說
[02:34] 這個盤可能有點怪怪的
[02:36] 要稍微留意一下
[02:37] 所以我就跟我朋友講說
[02:39] 基本上這個時間點的
[02:40] 總部位就不要再增加了
[02:42] 就是你在你的部位裡面
[02:44] 做微調就好了
[02:45] 那昨天晚上
[02:47] 其實在睡覺前
[02:47] 我看哇不得了
[02:49] 怎麼殺成這樣子
[02:50] 對我想說
[02:51] 哇難道真的是要結束了嗎
[02:53] 可是
[02:53] 他解釋會很嚴重
[02:55] 回檔而已
[02:56] 醒過來好像又還好
[02:58] 醒過來真的還好
[02:59] 像昨天OTC只是開始有一點點的震盪
[03:03] 所以開始震盪會加劇
[03:05] 那剛好圍臺也增加
[03:07] 那震盪加劇就告訴你說
[03:08] 我們慣性我們先看的是月線的走勢
[03:12] 因為走勢基本上它還是一個多頭架構
[03:14] 沒有改變
[03:14] 那所以我說你基本上還是可以
[03:16] 這邊做一些微調
[03:17] 就是說你去買強勢的股票
[03:19] 踢掉一些相對比較弱勢的
[03:22] 所以這邊不是叫大家要減部位
[03:24] 而是說你的部位不要再增加
[03:26] 為什麼
[03:26] 因為已經快要過年了
[03:28] 其實過了今天就已經進入二月了
[03:30] 進入二月
[03:31] 基本上就離過年沒有多久的時間
[03:33] 那你要知道
[03:34] 其實市場上除了法人資金以外
[03:37] 散戶資金以外
[03:37] 還有一個很重要的資金
[03:38] 就是餅種資金
[03:39] 這個吃餅乾的資金
[03:41] 吃餅乾的資金
[03:41] 基本上在過年它是一定會撤退的
[03:43] 因為你過年期間
[03:45] 如果你沒有
[03:45] 這錢沒有收回去
[03:46] 基本上它是要算利息的
[03:48] 所以利息是很可觀的
[03:50] 因為這個餅種資金的利息
[03:52] 是成本很高的
[03:53] 所以大盤主力
[03:53] 會趁這時候
[03:54] 做一些調節的動作
[03:56] 就是把錢
[03:57] 從秉總這邊收回來
[03:59] 就是他寧可他自己去壓
[04:01] 和他不用秉總的資金壓
[04:03] 所以就會形成
[04:03] 部分的資金在撤退
[04:05] 好 那我們看
[04:05] 昨天比較關鍵就是
[04:07] 其實五日線
[04:09] 幾乎都快要跌破了
[04:10] 昨天五日線
[04:11] 基本上就岌岌可危
[04:12] 那今天就不用講
[04:13] 就全部都破了
[04:14] 所以大盤破五日線
[04:15] 貴買破五日線
[04:17] 那通常在破五日線的時候
[04:19] 就該說明什麼
[04:20] 就開始要進入整理了
[04:21] 進入整理
[04:22] 但昨天Sandisk
[04:24] 其實交出一個很漂亮的成績單
[04:26] 他也告訴你說
[04:27] 目前看起來
[04:28] 整個Flash的狀況是非常的好
[04:30] 但是也不要忘記
[04:31] 這個Sandisk的好
[04:32] Flash的好
[04:33] 基本上是架構在HBM很好
[04:35] DDR很好
[04:36] Flash還跟得好
[04:38] 因為這一波就是
[04:39] 大家都在吃剩餘的價值
[04:42] 例如說DDR
[04:43] 他就在吃HBM剩餘的價值
[04:45] 就是大咖的選擇去做HBM
[04:47] DDR放棄
[04:48] 所以臺灣這些廠商
[04:49] 就吃了DDR的市場
[04:50] 那現在是DDR也很好
[04:53] 所以大家又放棄Flash
[04:54] 轉去做DDR
[04:55] 所以Flash基本上
[04:57] 我認為啦
[04:58] 你這樣來看基本上
[04:59] Flash如果最後開始不漲了
[05:02] 就告訴你整個記憶體就全部結束了
[05:04] 因為它是最後的剩餘的價值
[05:06] 那回頭回來看就說
[05:08] 你看今天南亞科還逆勢拉漲停
[05:10] 那你看投信南亞科沒有結碼
[05:12] 沒有
[05:12] 南亞科投信還在加碼
[05:14] 投信決定跟你尬到最後一刻
[05:16] 可是你如果仔細去觀察
[05:17] 其實記憶體已經分兩批的阻力走了
[05:20] 哪兩批
[05:21] 就是前面有一批已經先走了
[05:23] 然後昨天又有一批走
[05:25] 因為昨天也是相對比較弱勢
[05:26] 但是我就稍微看了一下
[05:28] 我看到有一個大咖是還沒有走
[05:31] 所以我覺得基本上
[05:32] 他是跟著投信同進退的
[05:34] 所以看起來投信也沒有打算要
[05:36] 立刻就要退出低溫市場
[05:38] 所以你今天看Flash的旺宏
[05:40] 今天能不能表現得好一點
[05:42] 今天旺宏表現算差強人意
[05:45] 我就說你看Sandy講那麼好
[05:47] 基本上他應該亮燈才對
[05:49] 可是他沒亮燈
[05:50] 但是至少他
[05:51] 今天的盤相對是弱的
[05:53] 因為今天的盤
[05:53] 基本上是破均價的
[05:54] 不管是大盤或貴買
[05:55] 都是破均價
[05:56] 可是他今天還是收紅的
[05:57] 所以根據說他也沒有很差
[05:59] 回過來就看說
[06:00] 你再看ABF這一塊
[06:02] 其實ABF昨天很弱
[06:04] 可是今天又全部都拉起來
[06:05] 你還創高有的
[06:07] 他昨天很弱
[06:08] 基本上有一個原因
[06:09] 就是說因為南電在分盤交易
[06:11] 基本上南電這時候
[06:13] 資金進不去
[06:14] 我就想說
[06:15] 昨天的南電
[06:16] 他幾乎快跌停
[06:17] 我就很想買了
[06:18] 對我就很想買
[06:19] 要圈錢很麻煩
[06:21] 算了
[06:22] 可是我就想說
[06:23] 既然這個南電這麼難買
[06:24] 我去買點錦碩好了
[06:25] 所以我昨天
[06:26] 錦碩就買
[06:27] 買在最低的位置
[06:29] 然後今天錦碩就拉漲停
[06:32] 但是你不要忘記
[06:33] 其實南電是因為分盤
[06:35] 可是錦碩是因為他要憲爭
[06:37] 可是你看
[06:38] 錦碩是要辦憲爭
[06:39] 表示什麼
[06:40] 會有特定的賣老股
[06:42] 準備去認新股的
[06:43] 這一個所謂的套利賣壓
[06:45] 可是他居然今天還逆勢的往上拉
[06:48] 其實他不是今天會來拉
[06:49] 他其實前一天就拉了
[06:50] 欣欣不是也是嗎
[06:51] 欣欣已經認完了
[06:53] 已經辦完了
[06:53] 他已經辦完了
[06:54] 所以這一波其實兩檔股票要觀察
[06:56] 一個就是有麥老股認新股壓力的緊縮
[06:59] 跟目前被20分鐘一盤的這個南電
[07:05] 那這兩檔股票其實今天都逆勢拉紅
[07:08] 那我說比較關鍵就在緊縮
[07:10] 因為緊縮是前一天
[07:12] 不是今天也不是昨天
[07:13] 是前一天
[07:14] 他就逆勢拉上去了
[07:16] 所以告訴你什麼
[07:17] 告訴你這一個套利賣壓
[07:20] 其實壓不住股票
[07:21] 那你就去想說
[07:22] 發生什麼基本面的故事
[07:24] 還記不記得我講過
[07:25] 我說Apple回來要產能
[07:27] Apple回來要ABF的產能
[07:28] 所以你看今天連真頂都拉上去了
[07:32] 那真頂跟藍電是屬於Apple的供應鏈的
[07:35] 所以告訴你說
[07:37] 其實ABF是很緊的
