[00:00] 欢迎收听赵华谊古惑仔第1067集
[00:09] 今天是2026年的3月30号
[00:12] 好再过一两天我们就要迈入到4月了
[00:16] 4月大家就有一点点创伤争后群
[00:19] 因为去年的4月也就是清明廉价之后
[00:23] 大家面临到川普拿出了对等关税
[00:26] 让大家真的是叫做史上的黑天鹅
[00:29] 那现在有没有呢
[00:31] 现在似乎飞出来的
[00:33] 还不能算是黑天鹅
[00:35] 就是战争
[00:36] 当然战争如果一旦让油价失控
[00:39] 或是通膨失控
[00:40] maybe
[00:41] 它就是个黑天鹅
[00:42] 但我现在说出来了嘛
[00:43] 说出来了
[00:44] 天鹅就不黑了
[00:45] 黑天鹅就是你想不到的事情
[00:47] 那我觉得台股的投资人
[00:50] 厉害的地方就在这里
[00:53] 以发生之事实和利空
[00:55] 很容易就会慢慢的顿化
[00:57] 在周末的时候
[00:59] 我想大家也知道
[01:00] 周五的夜盘又跌了800多点
[01:02] 而且周末的时候
[01:03] 你可以看到
[01:04] 不管川普讲什么
[01:05] 伊朗就是否认
[01:06] 伊朗就是否认
[01:07] 然后以色列就是不断的想要
[01:09] 趁他们两边还没有和谈的时候
[01:11] 赶快炸一炸
[01:12] 一直处于这样的状态
[01:14] 到今天还是
[01:15] 今天台子旗开盘
[01:17] 其实是跌破1000点的
[01:18] 所以我们就皮竖紧了
[01:21] 竖紧了想说
[01:22] 等一下台股开盘
[01:23] 会不会是一个腥风邪雨呢
[01:25] 会不会去杀去碰际线呢
[01:27] 因为我们离季线刚好差不多
[01:29] 我在周末有算过
[01:30] 就是1000点多一点点
[01:32] 我们就会碰到季线了
[01:34] 但台股一开盘
[01:35] 大家也看到了
[01:36] 就是600点
[01:37] 就在600点附近而已
[01:39] 量缩起来
[01:40] 就再也下不去了
[01:41] 韩股一开盘还跌了5%多
[01:44] 那我们为什么那么强劲呢
[01:46] 当然早上川普又讲了
[01:48] 有一些邮轮
[01:49] 可以通过荷姆治海峡
[01:51] 很快会停战
[01:52] 然后伊朗也一如既往的说
[01:54] 没有这回事
[01:55] 就在这样的情况中
[01:57] 台股跌不下去哦
[01:58] 线股的部分
[02:00] 台股跌不下去
[02:01] 跌不下去是好事吗
[02:04] 会不会拖延了
[02:05] 折磨大家的时间
[02:07] 还是跌不下去
[02:09] 就不会再跌下去了
[02:10] 这两件事情不一样
[02:12] 不过上礼拜
[02:13] 我觉得有特别跟大家聊
[02:15] 跟凯克在的时候有提到
[02:16] 我们之前在每一次
[02:17] 杀比较深的时候
[02:18] 我们都有做加码
[02:20] 对不对
[02:20] 那现在反而可以怎么样
[02:21] 等一等
[02:22] 不用挤
[02:23] 手上已经有部位了
[02:24] 等一等
[02:25] 今天说实话也没有多便宜
[02:27] 今天我刚才给来宾看了一下
[02:29] 等一下欢迎他出场
[02:30] 我手上今天大概六七笔的委托单
[02:33] 全部都是委托但没有成交
[02:35] 今天没有减便宜的机会
[02:37] 好 先来欢迎他
[02:38] 今天来的是题材猎人
[02:40] 哈伟哥
[02:41] 大家好 各位听众朋友大家好
[02:43] 你今天在干嘛
[02:44] 我今天看盘啊 认真看盘当中
[02:48] 但是你今天是不是也比较没有大手笔的动作
[02:51] 对 因为看好的股票基本上来讲都没有大跌
[02:55] 对啊
[02:55] 那你说真的要去追
[02:57] 今天盘面上强势的战争社会股
