[00:00] 欢迎收听赵华语古货载第1086集
[00:09] 今天是2026年的4月28号
[00:12] 好今天的盘中还是一度摸到了4万点
[00:16] 但是尾盘又没守住
[00:18] 跟昨天有点类似的戏码
[00:20] 尾盘台积电杀了下去
[00:22] 杀了50块钱
[00:24] 这两天台积电都是有这样子一个杀尾盘的状况
[00:28] 那昨天是开高走低
[00:30] 今天几乎大部分的时间都在平盘下
[00:33] 我觉得有一点点小呼应
[00:35] 昨天跟大家聊的
[00:37] 虽然金管会开放了所谓的基金和主动式ETF
[00:41] 单一持股上限25个百分点
[00:43] 昨天有个事情没有讲清楚
[00:45] 这个是针对权重已经超过10个百分点
[00:49] 因为他们有很多的ETF或者是基金
[00:52] 可能当初是规定一档股票最多只有持有10%
[00:55] 但是因为有一些股票的权重
[00:58] 有可能是在台股市场超越10%的
[01:00] 有超越的
[01:02] 就可以来顺应着这一次的新制度
[01:05] 就是上限提升25%来调整
[01:07] 那当然目前唯一符合的叫做台积电
[01:11] 因此也有人认为这是一个台积电条款
[01:14] 不过我昨天有跟大家分享
[01:17] 我不认为会因为这个条款
[01:19] 所有的主动CTF跟所有的基金
[01:21] 就会去把台积电补好补满
[01:24] 为什么
[01:24] 因为大家有自己的路
[01:26] 大家有自己的绩效比赛
[01:27] 大家有自己的形状要走
[01:31] 如果所有的人都是25%台积电的形状
[01:33] 那就不用玩了
[01:34] 好昨天盘后的筹码
[01:36] 其实也看得出来
[01:37] 投信买超台积电是4000多张
[01:39] 大概我有看了一下
[01:40] 所有主动式ETF
[01:42] 昨天大概有5档的主动式ETF
[01:43] 有加码台积电
[01:44] 但其他的没有
[01:46] 没有加码台积电
[01:47] 好这个现象我们继续观察
[01:49] 但今天呢
[01:50] 今天的盘面
[01:51] 其实体感搞不好
[01:53] 对大多数人来说是比较好的
[01:56] 因为今天贵买恢复上涨了
[01:58] 今天大盘被台电拖累
[02:00] 然后收黑
[02:01] 但贵买却是出现了上涨
[02:03] 那今天的涨停板加速呢
[02:05] 也来到了大概60几家
[02:08] 所以如果喜欢中小型股的朋友
[02:10] 反而可能会比昨天摸4万
[02:13] 两天都摸4万
[02:14] 没有没有没有登顶上去
[02:16] 下来
[02:17] 但今天的体感可能好一点
[02:19] 而今天比较低位阶的
[02:20] 例如机器人大复活
[02:22] 例如记忆体复活第二天
[02:24] 所以盘面上的产业轮动
[02:26] 我想就是比较健康的
[02:28] 那不免俗啦
[02:29] 还是很多人
[02:30] 可能在这段时间
[02:31] 会有很formal的感觉
[02:34] 例如我今天早上
[02:36] 在我听到身边所有的同事
[02:38] 都在讨论股票的时候
[02:39] 我突然很感触
[02:41] 因为我做股票节目
[02:43] 投资节目
[02:44] 从我毕业以来
[02:45] 我就在财经圈
[02:46] 对
[02:47] 然后一直到现在
[02:48] 我都没有看过
[02:50] 我是说实话
[02:50] 我身边的人
[02:51] 是如此热烈的在讨论股票
[02:54] 三万点的时候没有
[02:55] 但四万点的时候真的有
[02:57] 我先来欢迎今天的来宾
[02:59] 今天来宾
[03:00] 他也往往会带给大家
[03:01] 另外不一样的思考
[03:03] 当大家很FOMO的时候
[03:05] 他是稳扎稳打的在规划
[03:07] 他退休的现金流
[03:09] 那也有不少人
[03:10] 有时候会私讯问我说
[03:12] 不晓得最近他的操作想法怎么样
[03:14] 因为他是比较不信奉
[03:16] 所谓的AI标股的
[03:17] 那会不会有FOMO感呢
[03:19] 会不会有用方法
[03:21] 所谓的反败为胜
[03:22] 还是就是稳扎稳打
[03:23] 用自己的方式
[03:25] 先来欢迎他
[03:25] 接下来的是我们的存股总编
[03:27] 傅旭哥
[03:28] 赵华你好
[03:29] 股货仔的听众朋友大家好
[03:31] 先恭喜傅旭哥出了一本新书
[03:34] 这个叫做中年财富觉醒
[03:38] 活用低利杠杆
[03:40] 还是有杠杆
[03:41] 月领十万元股利的
[03:42] 穷大书翻身笔记
[03:45] 金周刊帮忙出版的
[03:48] 大家有兴趣的话
[03:49] 可以去书店
[03:50] 网络书店
[03:51] 实体书店
[03:52] 应该都可以买得到
[03:54] 来去看看
[03:55] 我觉得应该是蛮棒的
[03:57] 它也没有非常厚
[03:58] 我觉得是非常容易阅读的
[04:00] 而且对大家的观念
[04:01] 应该颇有启发
[04:02] 现在请教傅旭哥
[04:04] 昨天今天我们都摸到4万
[04:06] 是4万
[04:07] 3万可能大家都觉得
[04:09] 有点高了
[04:09] 还4万
[04:10] 那接下来如果
[04:11] 5 6 7 8万上去的话
[04:13] 你会不会在你的选股逻辑上
[04:15] 做一些调整
[04:16] 或者是你会怎么样应对
[04:18] 现在这种AI疯狂的时代
[04:20] 我的目标一向是很明确
[04:22] 当然前几
[04:23] 怎么讲
[04:25] 这一个多月来
[04:27] 尤其是进入四月以来
[04:29] 好像光四月台股就涨了二十几%
[04:33] 那我自己的投资的部位是
[04:36] 大概没涨
[04:37] 但是也没什么跌
[04:39] 就是躺在那里
[04:41] 躺在那里
[04:42] 那看盘的时候是有点落寞
[04:46] 但是看完之后我又没有感觉
[04:48] 又很淡定
[04:49] 那为什么会这样呢
[04:51] 因为我的目标非常的清楚
[04:53] 对我的目标很清楚
[04:55] 现在跟你们讲我的目标也没什么
[04:58] 我的目标就是赶快在我60岁之前
[05:01] 60岁之前
[05:03] 存到50张的新产
[05:07] 200张的群力证
[05:10] 然后大概是200张的高股息ETF
[05:15] 还有大概是20张的长龙
[05:19] 这些是我占我规划的部位
[05:22] 大概是六七十%
[05:24] 然后其他在有一些
[05:26] 拉拉扎扎的股票组成
[05:28] 那这个部位
[05:30] 我的目标很清楚
[05:31] 就是我希望在我
[05:33] 五年后退休的时候
[05:34] 一年大概是两百万的股利收入
[05:38] 我就专注于这个目标
[05:40] 所以有时候我在想说
[05:42] 手上股票没涨也好
[05:44] 像譬如说新产
[05:45] 我目标五十张
[05:47] 现在大概是三十五六张
[05:49] 还是有段差距啊
[05:50] 对对对
[05:51] 或许等新产股利发下来
[05:53] 我又可以往我的目标更进一步
[05:56] 所以这是我比较淡定的原因
[06:00] 是
[06:00] 但是在股票市场要保持这样的初衷
[06:03] 不容易哦
[06:03] 为什么这么说
