[00:00] 欢迎收听赵华宇古货载第1143集
[00:09] 今天是2026年的7月21号
[00:13] 上礼拜五我们才遇到史上最大的跌点
[00:15] 今天我们就遇到史上最大的涨点了
[00:18] 今天大反攻上涨了1783点
[00:24] 在最后一盘因为拉了一个尾盘
[00:26] 所以我们就创造了史上最大的涨点
[00:30] 当然一样
[00:31] 同样跟去年
[00:32] 这个退等关税比
[00:33] 因为基期毕竟是比较不一样的
[00:35] 不过今天的反弹
[00:37] 从一开始爱谈不谈
[00:39] 到后来中间慢慢的越来越多涨停板的
[00:43] 而且尤其是那些跌深的
[00:45] 例如说像载板
[00:46] 或者说CCL
[00:48] 也不能说跌深
[00:49] 就是说有的跌深
[00:50] 没错
[00:50] CCL跌深
[00:52] 就是他们因为股性活泼的关系
[00:55] 所以今天一反弹就攻上涨停板
[00:58] 当然今天的疑问
[01:00] 我想就会集中在
[01:01] 如果我是这几天套牢吗
[01:04] 因为很多人说杀下来
[01:05] 搞不好赚钱都变赔钱
[01:07] 我是套牢的
[01:08] 今天到底这根涨停板或是大涨
[01:11] 我是要卖吗
[01:12] 还是已经酝酿反攻了
[01:15] 我应该忍一下
[01:16] 那继续抱
[01:18] 我觉得这事情第一
[01:20] 没有标准答案
[01:21] 然后第二的话
[01:23] 一切的一切都要看你手上
[01:25] 到底还持有多少可以加码的现金
[01:28] 以及你的部位
[01:29] 有没有让你觉得有压力
[01:30] 这都会影响到后面你的决策
[01:33] 好那昨天赵华做了什么
[01:35] 昨天赵华是减码了个股
[01:37] 对不对赚的跟赔的都有做减码
[01:41] 然后加到哪里去
[01:42] 有跟大家提醒说
[01:43] 虽然大家都在骂主动式的ETF最近很烂
[01:46] 可是我还是选择加码他们
[01:47] 今天主动式的ETF就蛮威的
[01:50] 因为在这种反弹局
[01:52] 我不许讲
[01:53] 昨天敢说什么
[01:54] 大幅资金进去勇敢钞的人
[01:56] 只有谁
[01:57] 只有投信
[01:58] 昨天投信其实买了非常多
[02:00] 我记得买了将近150亿元
[02:02] 大家也在说
[02:03] 很奇怪
[02:04] 国际都腰斩了
[02:06] 为什么981
[02:06] 你都还不愿意把国际卖掉
[02:08] 还敢买
[02:09] 他们就是因为
[02:11] 他们有相当多的资金
[02:13] 你也可以说
[02:15] 有人就抱怨前一阵子
[02:16] 就说他们拿别人的钱
[02:18] 所以就可以这样子乱花
[02:19] 其实也不见得
[02:20] 因为他们就有资金配置
[02:21] 或者分批进场
[02:23] 或是气比较长的优势
[02:24] 所以今天很多主动式的ETF
[02:27] 一反弹也是六七趴
[02:29] 所以这件事情就也让大家可以
[02:32] 慢慢的斟酌
[02:33] 如何在投资的布局上
[02:35] 您的个股跟ETF的分布
[02:37] 好 先来欢迎今天的来宾
[02:39] 今天来宾以前都礼拜一来
[02:40] 今天礼拜二来
[02:41] 今天来的是我们的题材猎人汉伟哥
[02:44] 大家好 哥今天怎么大家好
[02:46] 刚刚的问题很难
[02:47] 所以一开场我就录音前跟他讲
[02:50] 今天反弹
[02:50] 然后又是史上最大的涨点
[02:52] 到底要不要卖
[02:54] 他就先回我说
[02:54] 当然不要卖
[02:55] 我说可是如果是有一些套牢的人
[02:58] 对不对
[02:59] 今天可以少赔一根
[03:00] 那个感受可能就真的有点想卖
[03:03] 那今天可能只是获利小回吐
[03:05] 今天多赚回一根
[03:06] 那他就也许不会想卖
[03:08] 觉得回血
[03:09] 我觉得每个人的心境会不太一样
[03:11] 对所以我觉得
[03:12] 但第一个啦
[03:13] 就是说要卖不卖的关键取决于说
[03:16] 你相信未来台股还会没有反弹的空间
[03:18] 如果说你觉得台股今天是一个人道走廊
[03:21] 明天就要开始补跌
[03:22] 那当然今天反弹上
[03:24] 你要站在卖方
[03:24] 就不知道啊
[03:25] 就要问你啊
[03:26] 对
[03:27] 所以我们会跟大家讲
[03:28] 要从几个角度来观察
[03:30] 第一件事情是
[03:31] 这一波所谓的
[03:32] 全球的重灾区
[03:33] 是韩国股市嘛
[03:34] 对
[03:35] 那韩国股市今天涨到熔断
[03:36] 对
[03:37] 所以代表说
[03:38] 最弱的韩国股市
[03:39] 开始跌身反弹了
[03:40] 突然想到韩国粉丝
[03:41] 跟我们提醒说
[03:43] 他们不叫熔断
[03:44] 他们就是暂停交易而已
[03:45] 对
[03:46] 城市暂停交易
[03:47] 对
[03:48] 他们觉得熔断
[03:48] 是很严重的事情
[03:49] 对
[03:50] 他们有分成那种所谓的期货5%
[03:52] 所谓占领交易
[03:53] 还有所谓指数可能7%
[03:55] 也是占领交易
[03:56] 规则不一样
[03:57] 但总结上来讲就代表
[03:59] 他们波动太大了
[04:00] 那也代表说
[04:02] 我觉得这一波
[04:02] 当然大家所说的
[04:03] 韩国股市的去杠杆
[04:04] 近期可以观察一下
[04:06] 有没有所谓去杠杆
[04:08] 结束了一个状况
[04:09] 那第二件事情
[04:10] 当然就在于说
[04:10] 基本面的一个观察
[04:12] 目前来看
[04:13] 不管你对台建法
[04:14] 所谓什么样的看法
[04:15] 但台建跟你讲
[04:16] 今年的营收年增于40%
[04:18] 这个是一个铁定会发生的事实
[04:21] 那台积的年增40%代表相关AI供应链
[04:24] 从晶片到组装到相关的一个上中下游
[04:28] 应该今年的业绩都会比去年来更好
[04:31] 所以基本面我觉得没有太大问题
[04:33] 那技术面的部分
[04:34] 因为上个礼拜我是史上最大的叠点
[04:38] 跌破季线的关卡
[04:39] 今天是史上最大的长点
[04:41] 站回到季线的支撑
[04:43] 所以目前来看
[04:44] 我觉得如果以技术面的角度来看
[04:47] 我们讲上升的季线
[04:48] 第一次被跌破通常会反弹
[04:50] 所以你接下来只要确认季线
[04:52] 不要再被跌破的话
[04:54] 那我觉得最早可以确认的是
[04:56] 短线上昨天的一个低点
[04:58] 应该是短线的低点
[04:59] 那有了一个历史高
[05:01] 有了一个波段低的话
[05:03] 你大概就可以用技术面的角度去看
[05:05] 台股后面反弹空间有多少
[05:07] 所以我们会帮大家算一下
[05:09] 如果我们讲说以肺波南西系数来算
[05:13] 台股的历史高是48218点
[05:16] 那昨天的低点是42449点
[05:20] 所以我们波段高档跌下来
[05:22] 跌了5769点
[05:23] 所以一般来讲反弹0.382
[05:26] 就是最基本的门槛
[05:28] 就是最低消费
[05:30] 大概反弹0.382位置
[05:32] 在44651点
[05:34] 离今天来看的话还有空间
[05:36] 那44651点
[05:38] 大概是大盘实现的位置
[05:39] 所以今天大盘尾盘站到50线
[05:41] 你可以期待的是
[05:42] 也许明天到了实现会震荡
[05:45] 那这个叫做最低消费嘛
[05:47] 如果说是一个中等反弹
[05:49] 就反弹0.5的位置
[05:51] 所以5769点
[05:52] 你反弹一半位置
[05:53] 大概可以到45334点
[05:55] 这个位置点
[05:56] 就大概接近到
[05:57] 跨到月线的关卡
[05:58] 所以也代表说
[06:00] 这一波集结过后
[06:01] 我们会讲初步的满足点
[06:03] 因为我觉得
[06:03] 它应该不是一个弱势反弹
[06:05] 毕竟我们台股
[06:06] 基本面没有问题
[06:07] 只是筹码没有问题
[06:08] 所以我们会说
[06:09] 目标大概可以先看到
[06:11] 反弹到月线的关卡
[06:13] 所以我们先把这个
[06:14] 大方向定出来之后
[06:15] 就有后面的操作的准则
[06:17] 也就是说
[06:18] 现在大家的问题就是说
[06:20] 好台股可以到月线的关卡
[06:21] 那接下来我手上的持股
[06:23] 到底要怎么样做一个处理
[06:25] 我会跟大家说
[06:26] 比方说既然大盘已经占到季线
[06:28] 如果你手上持股比大盘更弱
[06:30] 大盘到季线
[06:31] 你的股票还在季线以下
[06:33] 那我觉得就有一个跌身反弹
[06:35] 那你就算一下
[06:36] 你反弹空间有多少
[06:37] 比方说如果你现在股票
[06:39] 类似所谓的台达电
[06:40] 类似所谓的联发科
[06:42] 都在季线以下
[06:43] 那今天可能一根涨停上来
[06:45] 离季限大概有20%到30%
[06:47] 那你就可以期待说
[06:48] 如果大盘到月线
[06:49] 我股票再怎么落
[06:51] 那它只要不是一个有问题的公司
[06:53] 它有可能反弹到季限
[06:55] 那也可以等待
[06:56] 也许有20%空间
[06:57] 我就等到反弹到季限的时候再做处理
[06:59] 那这时候你就不一定要做一个太弱流强
[07:02] 因为你换到强的股票
[07:04] 它可能
[07:04] 比方说我们讲强的股票
[07:06] 你举例类似所谓的台胜科
[07:08] 类似所谓环球金
[07:09] 它有没有机会过滤的新高
[07:11] 也许有
[07:11] 但是他的几率在大盘
[07:14] 弱势的情况里面
[07:15] 过高几率是比较低
[07:16] 那反而是你弱势跌升股票
[07:19] 反弹到基建关卡
[07:20] 富乖离过大的一个跌升反弹
[07:22] 几率比较高
[07:23] 所以我觉得这时间点
[07:25] 你从这个几率
[07:26] 跟你的反弹的风险
[07:27] 报首比来讲
[07:28] 我反而觉得那种
[07:29] 很弱势破底的股票
[07:31] 只要筹码经过沉淀了
[07:33] 基本面没有太大问题
[07:35] 我觉得反而你不如等着他
[07:36] 大盘反弹到月线
[07:38] 你的股票反弹到季线
[07:39] 到那个时间点
[07:40] 你在做太弱流强的动作
[07:41] 会是比较好的
[07:42] 那另外一种就是
[07:43] 那我手上如果是强势股票
[07:45] 我运气很好
[07:46] 我手上这一波都是载板
[07:47] 我都是矽晶圆
[07:49] 载板很痛苦好不好
[07:50] 对啊
[07:51] 如果是南电可能还有
[07:52] 可是后来也吃了两根停办
[07:54] 对啊
[07:54] 载板很痛苦
[07:55] 要是成本低当然还好
[07:57] 矽晶圆相对强势
[07:58] 可是你看今天矽晶圆就休息
[08:00] 就补贴
[08:00] 对不对
[08:01] 你知道谁最强势
[08:02] 工业电脑
[08:03] 对我今天讲到工业电脑
[08:05] 是不是
[08:05] 对
[08:07] 因为之前涨得比人家慢嘛
[08:09] 像烟花有跟大家分享
[08:10] 对
[08:11] 那还有就是比较大的像化汉
[08:13] 对
[08:14] 就很强
[08:15] 对就很强
[08:16] 对所以我说
[08:17] 如果你使用股票
[08:18] 刚好是比大盘更强的
[08:20] 那这时间点
[08:21] 但第一个啦
[08:22] 如果他没有明显的转落之前
[08:24] 你就持股去爆
[08:25] 那我觉得这个时候
[08:27] 持股去爆股票
[08:27] 还是回归到基本面够强
[08:29] 也就是说
[08:30] 你看到这一波很多
[08:32] 为什么股票很多
[08:33] 跌下来跌得很快
[08:34] 就是因为他们基本面
[08:35] 没办法有比较好的一个
[08:37] 进场的支撑买点
[08:38] 那因为我们讲说
[08:40] 在跌的时候
[08:40] 大家都会去互相比较
[08:42] 股票比方说这个被动元件
[08:44] 可能像华兴科
[08:45] 像这个金山店
[08:47] 新商店叠下来
[08:48] 虽然说他们在自己的六月营收
[08:51] 都交出非常亮眼的成绩单
[08:52] 但大家会觉得说
[08:53] 你目前的本益比这么高
[08:55] 那相比之下
[08:56] 台股有一些叠下来
[08:58] 反而这个本益比
[08:59] 看起来比你合理很多的
[09:01] 资金就会往那边跑
[09:02] 所以我觉得这个就代表说
[09:04] 如果大家手上股票
[09:05] 是比大盘更强的
[09:07] 那你就要观察一下
[09:08] 如果基本面真的没有很好
[09:10] 那我们讲
[09:11] 这个高档的股票
[09:12] 一般来讲
[09:13] 如果是破线
[09:14] 不管你破五十线
[09:15] 破十十线
[09:16] 你就先做部分的停利
[09:18] 以避免说
[09:19] 你可能到头来
