[00:00] 欢迎收听赵华宜古货载第1128集
[00:09] 今天是2026年的6月29号
[00:12] 也等于我们的上半年
[00:14] 就剩下今天跟明天两个交易日了
[00:17] 那大家也要为自己的操作可能缴出一份半年报了
[00:22] 那最后这几个交易日不好受啊
[00:24] 不好受啊
[00:25] 虽然现在指数你说他的位置呢
[00:27] 也不能说什么低到哪里去
[00:29] 像今天收44999.9
[00:32] 到底是怎样啦
[00:33] 今天就是45路45000点
[00:36] 你知道45000点是一个很低的位阶吗
[00:38] 可能也不至于
[00:39] 但是正因为在上一个礼拜一
[00:42] 一路暴冲
[00:43] 冲到48000多点
[00:44] 甚至期货盘有到49000多点的情况下
[00:47] 感受就会有一点点凉
[00:49] 对不对
[00:49] 因为上个礼拜变成2345都在跌
[00:52] 那今天是一个反弹盘
[00:54] 不过今天的反弹
[00:55] 恐怕体感温度不能算太好
[00:58] 上涨加速是大于下跌加速的
[01:01] 可是为什么不太好呢
[01:03] 有种说不上来的感觉
[01:05] 第一是今天上涨的
[01:06] 或说涨幅比较大的
[01:08] 很多是比较冷门的公司
[01:10] 包括说像军工
[01:12] 军工出来接棒
[01:13] 可是我想军工
[01:14] 你不会让大家觉得
[01:15] 我有军工我赚好多钱
[01:17] 那今天有部分的设备是不错的
[01:20] 那今天甚至有像
[01:21] 像太阳能的厂商
[01:22] 有涨停办的
[01:23] 大家都不是像上个礼拜
[01:26] 或是之前一段时间
[01:27] 盘面上的主流部队
[01:29] 例如主被动元件
[01:30] 今天其实是比较参差不齐
[01:32] 大部分是下跌的
[01:34] 那像CPU有这个康宁
[01:36] 有新的玻璃桥接技术发展
[01:38] 似乎会打到别人的生意
[01:40] 所以今天CPU的状况也不好
[01:42] 就是大家喜欢的热门族群
[01:44] 在今天反而表现是比较普通一点的
[01:46] 这也是我说为什么体感温度
[01:48] 虽然今天是一个反弹盘
[01:50] 可是并没有到非常理想的状态
[01:52] 甚至观察这个听众朋友
[01:55] 或观众朋友身边朋友的感受
[01:57] 这一波的下跌
[01:58] 大家的压力变大了
[02:02] 压力变大了
[02:03] 我先来欢迎今天的来宾
[02:04] 我们一起来讨论
[02:05] 为什么反而到这个位阶
[02:07] 比起上一次的修正
[02:09] 大家心里的压力比较大
[02:11] 以及该如何解压
[02:12] 来欢迎他
[02:13] 今天是题材猎人
[02:15] 汉维哥
[02:15] 大家好
[02:16] 各位听众朋友大家好
[02:17] 好
[02:18] 那我们先来讲一下
[02:20] 就是为什么今天是反谈盘
[02:22] 可是体感却感受不是那么棒
[02:25] 对
[02:25] 最简单去看
[02:26] 你看今天的大盘指数
[02:28] 碰到月线就压回来
[02:29] 对就压下来
[02:30] 所以大家会觉得
[02:30] 接下来月线要下弯了
[02:32] 从基数线型来看比较偏弱
[02:34] 那今天贵买指数更是开高之后
[02:36] 就尾盘是翻底
[02:37] 所以中小型股基本上来讲
[02:39] 今天大部分都是开高走低
[02:42] 黑黑棒的加速也比较多
[02:44] 所以说你今天会发现到
[02:45] 虽然说整个涨的加速比较
[02:47] 比下跌加速多很多
[02:49] 但是整体上来看
[02:50] 涨的股票也大部分都是
[02:51] 大家手上没有的
[02:53] 或说一些低价股票
[02:54] 或说一些之前没有涨到的股票
[02:57] 所以简单去讲
[02:58] 今天盘面上
[02:58] 虽然整个大盘是反弹了400多点
[03:01] 盘中涨点大概快要900点
[03:03] 但大家的体感温度会觉得说
[03:05] 怎么都没有涨到我手上的股票
[03:08] 或者是说
[03:09] 这盘面上涨的股票
[03:10] 好像都不是主流的股票
[03:12] 所以这感觉上
[03:13] 当然会让大家觉得
[03:14] 好像差了那么一点点反弹的
[03:17] 这种庆祝的一个感觉
[03:19] 所以今天盘面上
[03:20] 大家自然可以看到
[03:21] 你说全足股里面有没有涨
[03:23] 有
[03:23] 台达电是大部分反弹
[03:25] 对
[03:25] 但是他就是跌深的反弹
[03:27] 他跌得有够深
[03:29] 深到我都会觉得
[03:30] 很多人会说
[03:31] 赵华你昨天交易会不会减
[03:33] 我都会跟他讲说
[03:34] 我觉得我有可能会减一点
[03:36] 但是我觉得不能乱减
[03:38] 还有就是你减了
[03:40] 要有跟他长期抗战的
[03:41] 一点点准备
[03:42] 可是你说是不是台达电就完蛋
[03:44] 我倒不觉得
[03:45] 订单延迟这种事情
[03:47] 就不是没有单
[03:48] 只是延迟
[03:48] 好他今天反弹
[03:50] 其实今天反弹也留上一线
[03:51] 对啊
[03:52] 所以就代表说
[03:53] 因为它整个一个空方的结构
[03:55] 虽然说这样讲
[03:56] 好像台达电会很弱
[03:57] 但我觉得其实整个从现行来看
[04:00] 它是跌破了颈线的一个支撑
[04:01] 所以目前来看是法人在做停损
[04:04] 所以赵华刚刚讲的也没错
[04:06] 你说这边你要去接台达电
[04:08] 会不会未来你爆偿一段时间
[04:10] 会有赚钱
[04:11] 我认为机会很大
[04:12] 但这个长时间多久
[04:14] 是大家很难去判断
[04:16] 搞不好就预转
[04:17] 但是那个是一种侥幸的想法
[04:19] 所以大部分来讲
[04:20] 既然破线颈线也破的话
[04:22] 那现阶段好像他本益比又比较偏高
[04:24] 所以修正的卖压
[04:26] 也会让大家体感温度上面觉得说
[04:28] 你看今天台股有涨啊
[04:30] 但是涨股票好像都是这种跌深的反弹的股票
[04:33] 在带动上来的
[04:35] 所以我觉得以这样的一个架构上来讲
[04:37] 先跟大家讲今天的盘
[04:39] 为什么今天尾盘是压下来的
[04:41] 因为今天尾盘是所谓的复台期的结算
[04:43] 所以今天指数是收在44,999.9
[04:48] 对
[04:49] 但是如果大家去看
[04:50] 台子期的期货收盘
[04:53] 是收在45,550点
[04:56] 所以正价差又拉到到550点
[04:59] 那当然大家会觉得说
[05:00] 那这样的情况
[05:01] 可能外资空单会不会又再增加了
[05:02] 但我觉得
[05:03] 最少以今天盘面上的架构上来讲
[05:06] 我就比较偏向就是
[05:07] 指数的部分尾盘压低
[05:09] 因为副台要压低
[05:11] 结算的一个关系
[05:12] 那台子期尾盘的上涨
[05:14] 代表是它反映的是
[05:15] 今天往上美股有可能会
[05:17] 出现比较向上的反弹
[05:19] 那也就代表说
[05:20] 其实明天台股又是所谓的6月30号
[05:23] 除了我们要检讨
[05:24] 我们自己手上的绩效以外
[05:26] 大家有去看投信跟集团做这样的绩效
[05:30] 所以明天我觉得对台股来讲
[05:32] 应该有机会看到
[05:34] 所谓大型股跟中小型股
[05:35] 会出现比较明显的反弹
[05:37] 因为投信也想要做账嘛
[05:39] 那集团也想要美化自己账上的
[05:42] 一些个股的一个情况
[05:44] 那搭配大盘的部分
[05:45] 既然今天有点科技压低
[05:47] 那理论上明天应该是有机会
[05:49] 大型股又有一些反弹的空间
[05:51] 所以我觉得在明天的部分
[05:54] 应该是可以比较乐观来期待
[05:55] 整个指数有反弹的状况
[05:57] 那反弹上去
[05:58] 大家就会觉得说
