[00:00] 欢迎收听赵华宜古货载第1099集
[00:09] 今天是2026年的5月18号
[00:12] 今天我们台股迎来了千点的下杀
[00:15] 在盘中已经算有大幅震荡
[00:18] 像上礼拜五是1400点的上下洗刷
[00:21] 但是往下跌就跌到超过1000点
[00:25] 最近还是比较少出现的
[00:27] 震荡归震荡
[00:28] 下杀归下杀
[00:30] 所以下杀到1000点
[00:31] 比较难见到之外
[00:32] 因为上个礼拜
[00:33] 大概三四五都开始大喜特喜
[00:35] 所以有蛮多的主动式ETF
[00:38] 在今天也是一个跳空
[00:39] 直接灌破月线
[00:41] 好
[00:42] 大跌1000点
[00:43] 加上很多主动式ETF的跌破月线
[00:46] 这样的场景
[00:47] 在什么时间点出现过呢
[00:49] 在三月的时间出现过
[00:51] 只是那个时候是回测
[00:53] 三万二三万一
[00:54] 这次是回测四万点
[00:57] 整整多了一万点
[00:58] 今天我有在我的脸书
[01:00] 有小写了一下
[01:01] 因为在盘中
[01:01] 好久没有发文了
[01:02] 在盘中有时候有点心情
[01:05] 有点想要抒发一下
[01:06] 就写了一根
[01:07] 差一万点
[01:08] 但是同样的事情发生的时候
[01:11] 到底该不该勇敢加码呢
[01:13] 我是选择今天有所谓的经常加码
[01:17] 今天大家众所瞩目的00403A
[01:20] 也正式破发
[01:21] 破发的时候我进去看
[01:23] 还是小福逸这样
[01:24] 那我就发了一篇说
[01:25] 我今天其实有去拉一下
[01:27] 不是把它当重点的持股部位
[01:29] 但受不了
[01:30] 喇一下
[01:31] 因为看到9.75吧
[01:33] 这样的数字
[01:33] 今天最低是9.71
[01:35] 结果我在我脸书上发文的时候
[01:37] 就一堆人说
[01:38] 今天都有进去喇一下
[01:40] 你看各位
[01:41] 在场的各位
[01:43] 你们都是凶手
[01:44] 就是人家溢价的凶手
[01:46] 看到霍霍发都想喇一下
[01:47] 才会溢价
[01:48] 好
[01:49] 话不多说
[01:50] 今天好多的话题要来聊
[01:51] 包括说
[01:52] 台电上礼拜五
[01:53] 我们也有跟大家分享
[01:55] 要这个处分世界先进
[01:57] 今天一架锁跌停锁到尾巴
[01:59] 也有人说他可能还要处分
[02:01] 集团里面其他的子公司
[02:03] 还有三星的罢工
[02:04] 也是今天韩股盘中
[02:06] 黑翻红非常重要的因素
[02:09] 我们有那么多的题材要聊
[02:11] 当然今天来的就是题材猎人汉维哥
[02:15] 大家好 各位听众朋友大家好
[02:16] 汉维哥我们就一项一项来
[02:19] 今天你有做什么吗
[02:21] 今天我有进场去捡一些便宜
[02:23] 什么东西是便宜快说
[02:26] 这个我觉得第一个
[02:28] 像在所谓的机体的股票
[02:30] 盘中有一些错杀的
[02:32] 我觉得是可以留意
[02:33] 那再来就是说
[02:34] 可能有一些未来的题材股
[02:36] 像我们很待会跟大家聊到
[02:37] 机器人 牙眼镜
[02:39] 我觉得这些都是下半年的
[02:41] 牙眼镜又来了
[02:41] 的题材
[02:42] 所以最近我觉得
[02:44] 其实盘面上大致上来讲
[02:46] 有一些族群是慢慢浮现出来
[02:47] 是大家可以留意的
[02:49] 好 这么简单一句话
[02:51] 那我们先来讲好了
[02:52] 因为我想这个周末
[02:54] 大家看的一件事情是
[02:55] 本来川习会对不对
[02:57] 一开始是给美国红利的
[03:00] 因为如果今天中国市场可以卖进去
[03:02] 或是可以再从中国寄一些便宜的原物料等等的
[03:06] 降低通膨的压力
[03:07] 感觉上是一件好事
[03:08] 但后来到了第二天
[03:09] 这个红利似乎就消失了
[03:11] 紧接着是因为美国的30年期的公债殖利率
[03:14] 冲破到了5个百分点以上的时候
[03:16] 大家有点担心
[03:17] 是不是通膨压不住
[03:18] 然后如果是华许上任也不可能降息
[03:21] 甚至现在所谓的升息说越来越强
[03:24] 那大家要知道
[03:25] 债如果今天跌
[03:27] 殖利率涨
[03:28] 不是只有债自己的事情
[03:29] 它会影响到高科技股的评价
[03:32] 对不对
[03:33] 这个是一个很传统历史上面
[03:35] 一个资金流向的理论
[03:37] 而它确实也反映在美股的盘面上
[03:39] 就变成股债起跌
[03:41] 那这样的情况要不要担心
[03:43] 还是你觉得是个短期现象
[03:45] 我觉得其实我现在是有一点担心
[03:48] 你有点担心
[03:49] 对因为现在的情况
