[00:00] 歡迎收聽趙華與古惑仔第1024集
[00:09] 今天是2026年的1月23號
[00:12] 現在的禮拜五都不禮拜五了
[00:14] 現在的禮拜五都還是伴隨著非常熱鬧的盤面
[00:19] 和高額的成交量
[00:21] 今天的上市量有將近大概8000億
[00:24] 上市加上櫃現在天天都在一個兆元的附近晃來晃去
[00:29] 真的很猛
[00:30] 這麼多的錢在市場上
[00:32] 那今天的臺股
[00:33] 盤中摸到了三萬兩千點
[00:36] 最高來到三二零四二
[00:39] 我們常常講說
[00:40] 之前大概十一十二月的時候講
[00:43] 農曆封關前有機會看三萬
[00:45] 結果沒有想到
[00:47] 對不對
[00:47] 這個元月一來
[00:48] 才幾天三萬就來了
[00:50] 那三萬來了
[00:51] 那看三萬一
[00:52] 不用三萬一
[00:53] 現在三萬二了
[00:55] 那這樣到底會一路漲到封關前嗎
[00:58] 那會不會過完長假之後不漲了
[01:01] 漲那麼兇
[01:01] 好我們今天有菜今天炒
[01:04] 我們先來看一下今天盤面上熱的
[01:06] 我想最熱鬧的還是低軌衛星
[01:08] 這個族群我們一直都有幫聽眾朋友有掌握到
[01:12] 因為我們有講說
[01:13] SpaceX在今年的六月中有機會要掛牌
[01:16] 這個是世界上最大的IPO案
[01:20] 那所以預期整個上半年會在低軌衛星的熱潮下
[01:24] 非常熱鬧
[01:25] 但是你說一月就開始動
[01:27] 那自然也是有提前的效應
[01:29] 哇今天看到華通啊
[01:30] 耀華這些很傳統
[01:31] 我們講的低軌衛星股都在噴
[01:33] 那吃了城市豆沙包的金寶
[01:35] 是連續跌停
[01:36] 他說他低軌業務
[01:37] 低軌衛星的業務是暫停中
[01:39] 今天還有一檔
[01:41] 新算出來的
[01:42] 大家可能沒料到
[01:44] 就是連發科
[01:46] 發哥
[01:46] 早上一開盤
[01:47] 沒有多久就漲停
[01:49] 我還想說
[01:50] 是不是因為昨天
[01:51] intel財報很爛
[01:52] 大家對發哥有什麼聯想
[01:54] 還在想的時候
[01:55] 他們就說發哥
[01:56] 也是低軌衛星晶片概念國
[01:58] OK
