[00:00] 歡迎收聽趙華宜股貨載第1035集
[00:09] 今天是2026年的2月9號
[00:12] 有帶著股票的朋友們
[00:13] 這個禮拜最後三個交易日
[00:15] 今天已經用掉一天了
[00:16] 還剩下明天跟後天
[00:18] 我們就要進入到所謂的風關
[00:20] 風關就是股市沒有開盤
[00:23] 但是證券還是要交割的
[00:25] 最後一天的交易
[00:27] T加2還是要進行一個處理
[00:30] 所以券商銀行等等的
[00:31] 還是會幫忙服務
[00:32] 不要以為不用交割
[00:34] 不用付錢
[00:35] 應該不至於
[00:37] 今天當然我想大家在週末看到
[00:39] 美國股市的表現
[00:41] 也知道今天我們會是一個
[00:43] 算是大漲盤
[00:45] 但漲到來也不知道
[00:46] 其實今天盤中有漲到800點
[00:48] 是真的蠻厲害的
[00:50] 中場有稍微下壓一些些
[00:52] 收在漲了621點
[00:54] 而今天的量能持續的又小了一些
[00:57] 上市量是6308億
[00:59] 正常的
[00:59] 因為再怎麼說
[01:01] 我們再怎麼捨不得離場
[01:03] 很多大戶畢竟還是有過年
[01:06] 這個提早修兵
[01:08] 要不然就是不太進出了
[01:10] 所以成交量一定是會降下來的
[01:13] 那當然以今天的盤來說
[01:15] 很多人在六日就一直講
[01:16] 就說你看吧
[01:18] 還是要爆股過年
[01:19] 那如果有這樣想法的朋友
[01:21] 可以回去再思考一下
[01:22] 上禮拜四你是這樣想的嗎
[01:24] 上禮拜五
[01:25] 如果沒有看到夜盤大漲
[01:26] 你是這樣想的嗎
[01:27] 不是嗎
[01:28] 我有念一些留言
[01:29] 看到大碟的時候就說
[01:30] 本來這個要報谷歌年
[01:32] 我現在很猶豫
[01:33] 然後到了今天可能又說
[01:34] 早知道就應該多留一點谷歌年
[01:38] 還是一樣陷入盤面的話
[01:40] 就不理想了
[01:41] 希望不是一個這樣子的情況
[01:43] 而是反正還有三個教育日
[01:45] 我們都還來得及
[01:46] 做一些的調整
[01:47] 或是不調整
[01:48] 因為你已經非常瞭解你自己了
[01:50] 好 我先來歡迎今天的來賓
[01:52] 今天來賓呢
[01:53] 在過去一整年
[01:54] 十二年
[01:54] 我們的Podcast
[01:55] 每次他來我都講說
[01:57] 他的排名都會跑到非常的前面
[01:59] 那他今天也帶來了很獨特的
[02:02] 這個馬年頭之術
[02:04] 好先來歡迎他
[02:06] 接下來是題材獵人漢偉哥
[02:08] 大家好各位聽眾大家好
[02:10] 這個川普說道瓊要十萬點
[02:12] 所以一切的一切還是在
[02:15] 這個可怕的美國總統的嘴巴上面
[02:18] 真的厲害
[02:19] 他現在喊多市場還是非常買單
[02:21] 不過我覺得現在的市場
[02:23] 不管是美股也好臺股也好
[02:25] 都會很希望聽到更多的利多
[02:28] 因為他出來喊的之前
[02:29] 其實美股出現了一些疲態
[02:31] 我們有跟大家分享說
[02:33] 例如Google的財報
[02:34] 明明就是很好
[02:35] 可是卻去說
[02:36] 他的資本支出上調太多了
[02:39] 會有AI無法回收的問題
[02:40] 亞馬遜同樣的問題
[02:42] 一樣財報非常好
[02:44] 資本支出2000億美元
[02:45] 大家又嚇到說
[02:46] 你投那麼多
[02:47] 你不能回收
[02:48] 這個老故事又重新的在
[02:51] 股市漲到比較高檔
[02:52] 或是信心比較薄弱的時候
[02:54] 重新出現了
[02:55] 而川普的喊話
[02:57] 無疑呢
[02:58] 又是給了大家一個理由
[03:00] 繼續在場內的理由
[03:02] 那美股沒有放長假
[03:03] 我們有放長假
[03:04] 這樣就比較尷尬
[03:06] 因為本來上禮拜想說
[03:07] 那就長假前
[03:08] 這個財報利空結束了嘛
[03:10] 那長假中就不用擔心了
[03:11] 可是看得出來
[03:12] 到今天為止的震盪
[03:13] 都還非常大
[03:14] 所以漢偉如果
[03:16] 還有明天后天
[03:18] 對你會建議
[03:20] 就是手上還有股票的朋友
[03:22] 猶豫不定的朋友
[03:23] 該怎麼樣來看待
[03:25] 封關後就是開年的行情
[03:27] 但封關的時間非常長
[03:30] 你說這段時間裡面
[03:31] 臺股放了
[03:32] 如果含禮拜四禮拜五
[03:34] 我們總共有11個休假日
[03:37] 當中可能有7個交易日
[03:39] 這個沒有辦法
[03:40] 我們臺股沒有辦法反映的
[03:41] 所以7天當中
[03:43] 到底美股國際股
[03:44] 是發生什麼樣的事情
[03:45] 我覺得很難去預料
[03:46] 只能夠跟大家講
[03:47] 從過往的一個經驗
[03:49] 只要是一個多頭年
[03:50] 通常農曆春節變盤
[03:52] 不太容易直接變盤往下
[03:54] 除非有一些突發性的事件
[03:56] 是我們沒有辦法預料的
[03:57] 但好在因為我們在封關的前一週
[04:00] 幾乎把那什麼AI泡沫
[04:03] 資本支出的問題
[04:04] 然後一些所謂的基本金屬
[04:07] 然後虛擬貨幣的大跌
[04:08] 這些事情都經歷過了
[04:10] 所以我覺得除非說
[04:11] 你在我們封關期間
[04:13] 遇到比這更大的事情
[04:14] 那不然我覺得農曆春節之後
[04:16] 指數或臺股的大盤
[04:18] 維持現在這樣的多方格局的機會
[04:21] 還是比較大的
[04:21] 所以大家可能不用太過緊張
[04:23] 那當然大家會覺得說
[04:24] 那今天的亮說
[04:26] 或說明後兩天
[04:28] 這個農曆風管之前
[04:30] 你要怎麼樣選擇
[04:30] 你的這個報過年的策略
[04:32] 我覺得其實目前來看
[04:34] 今天的一個亮說
[04:35] 我必須要說一下
[04:36] 很多人都放假了
[04:38] 對啊
[04:38] 對
[04:39] 我就說最後三天
[04:40] 願意陪我們一起錄音錄影的朋友們
[04:42] 都了不起
[04:43] 早就有人飛出去了
[04:45] 你要來先說誰飛出去了嗎
[04:47] 對我們認識的
[04:49] 我自己公司
[04:49] 我身邊的人
[04:50] 或說我們這個同業
[04:52] 我知道很多人都在放假
[04:53] 那就代表說
[04:54] 他們應該就是提前規劃好了
[04:57] 也許在上上禮拜之前
[04:58] 就先做獲瞭解的動作
