[00:00] 欢迎收听赵华与古惑仔第1064集
[00:09] 今天是2026年的3月25号
[00:12] 今天大盘一度涨超过1000点
[00:16] 昨天被没收的1000点今天回来了
[00:20] 为什么呢
[00:21] 我想大家也有看到一些新闻
[00:23] 虽然现在的新闻变化万千
[00:26] 但是现在就是每一确实
[00:28] 双方都觉得要进入到和谈
[00:31] 但是呢
[00:32] 停火协议大概是一个月
[00:34] 那当然川普有提出
[00:36] 这个什么15个
[00:37] 跟这个伊朗和谈的计划
[00:39] 无论如何
[00:40] 这次市场就比较清楚的表态
[00:43] 应该是了
[00:43] 那大家都可以观察
[00:44] 例如说夜盘
[00:46] 虽然我记得夜盘还收蛮高的
[00:48] 涨到680几点
[00:49] 然后涨起来的时候
[00:50] 你可以先看一下台纸期的试戳
[00:52] 看一下日韩股比我们先开盘
[00:54] 那他们持续的往上反弹
[00:56] 所以就几乎可以确定说
[00:58] 昨天的夜盘涨点
[00:59] 至少不太容易被没收
[01:01] 但是今天涨到1000点盘中
[01:03] 也是有一点
[01:04] 真的好猛
[01:05] 真的是昨天没收的
[01:08] 今天又把它还给大家了
[01:10] 那我知道大家心里面
[01:12] 难免还是有点毛毛的
[01:14] 会不会明天翻脸跟翻书一样
[01:16] 两边又打起来又没了
[01:18] 今朝有酒今朝醉
[01:20] 这样讲有点不负责
[01:22] 可是我必须讲
[01:23] 今天盘面上涨的东西
[01:25] 涨的股票
[01:27] 其实今天的上涨加速
[01:28] 还没有到前一阵子
[01:30] 中小型股很热的时候
[01:31] 每天七八十档涨停半
[01:33] 我记得今天应该是
[01:35] 五六十档涨停半
[01:37] 但是因为族群性非常明显
[01:39] 都是我们耳熟能详的老朋友
[01:42] 你会对盘的感觉不一样
[01:44] 要是涨的啊
[01:45] 例如说前一阵子战争
[01:47] 涨二线速化好了
[01:48] 涨一些比较冷门
[01:49] 比较擦边的
[01:50] 你就会觉得
[01:51] 感觉还不是很好
[01:53] 因为你喜欢的PCB
[01:54] 你喜欢的这个细光子
[01:56] 或是你喜欢的记忆体
[01:58] 你喜欢的设备
[01:59] 它没有涨
[01:59] 它今天反过来
[02:01] 今天设备
