[00:00] 欢迎收听赵华语古惑仔第1066集
[00:09] 今天是2026年的3月27号
[00:12] 这个礼拜不太好过哦
[00:15] 今天礼拜五了
[00:17] 礼拜五就今天以台北的天气来说是下大雨
[00:20] 这个也很久一阵子没有下大雨了
[00:24] 今天还是一个下大雨的日子
[00:25] 那今天的股市跟昨天比起来有好一点点的地方是
[00:29] 昨天真的是开高走低
[00:31] 对不对
[00:31] 盘中涨了400多点
[00:32] 尾盘却杀了100点
[00:34] 那今天呢
[00:35] 算是开低略走高啦
[00:38] 因为昨天晚上夜盘
[00:39] 如果大家早上起来
[00:40] 就又凉掉
[00:41] 又怎么跌了六七百点
[00:43] 但是今天最后中场
[00:44] 我们收跌了225点
[00:47] 有蛮多的公司都是
[00:48] 盘中有见低
[00:49] 但慢慢拉高
[00:50] 甚至今天也不乏
[00:51] 有一些例如
[00:52] 低轨卫星概念
[00:53] 设备股啦
[00:54] PCB等等的
[00:55] 表现还是十分的强劲
[00:57] 但我必须讲说
[00:58] 这个礼拜以来啊
[00:59] 我们看到到了礼拜五了嘛
[01:01] 很多的股票是创历史新高没有错
[01:04] 可是更多的股票
[01:06] 可能都陷入了一个
[01:07] 甚至有点小盘叠
[01:10] 就是起起落落之后
[01:11] 整个形态并不是那么好看
[01:12] 对不对
[01:13] 然后或者是说像有重灾区
[01:15] 就是像记忆体
[01:15] 这个礼拜简直是一个杀戮战场
[01:19] 今天没有像昨天那么的惨了
[01:21] 但实在是这个礼拜
[01:23] 很多公司都叠了两成
[01:24] 是蛮惨烈的
[01:27] 所以今天到了礼拜五了
[01:29] 我想大家都知道
[01:30] 今天会有一位固定的来宾
[01:32] 大家也很喜欢他
[01:33] 那今天要就所有的台美股的盘面
[01:37] 美的战士
[01:38] 以及现在我们到底要积极盈盈于
[01:41] 做这些还在涨的热门产业股
[01:44] 还是我们可能真的要有点提高警觉了
[01:47] 先来欢迎他哦
[01:48] 来的就是我们的国家级基金操盘手
[01:51] 黄鹏凯凯哥
[01:52] 早好各位听众大家下午好
[01:54] 下午好
[01:55] 播出的时候是傍晚通勤时间
[01:57] 希望这一个礼拜
[01:59] 大家的疲惫
[02:00] 能够先暂时放到一边
[02:02] 因为这礼拜
[02:03] 如果在台股市场里面的感受
[02:05] 应该不是太理想
[02:06] 除非您买到的是跟凯哥一样
[02:09] 因为他刚刚跟我说
[02:10] 他有军华
[02:10] 他有庸智科
[02:12] 哦不行啦
[02:13] 那是你在高兴
[02:14] 很多人并没有办法开心
[02:18] 那我们先来讲一下
[02:20] 现在这个国际局势
[02:21] 我想这礼拜最特别的
[02:23] 应该就是因为川普有表达出
[02:25] 想要和谈
[02:25] 可是一边表达出和谈
[02:27] 一边例如说
[02:28] 他要派地面的部队
[02:29] 还是往伊朗前进
[02:31] 以及以色列在中间
[02:32] 他也不希望
[02:33] 他好像希望
[02:34] 快把伊朗炸一炸
[02:35] 伊朗也觉得
[02:36] 美国你好像都在骗我
[02:37] 所以事实上
[02:39] 目前为止
[02:40] 所有反反复复
[02:42] 所有的罗生们
[02:43] 说有谈
[02:44] 说没谈
[02:45] 但事实上
[02:46] 战争就是没有结束
[02:48] 甚至并不让人家觉得和缓
[02:50] 对
[02:50] 所以我们如何来看待
[02:52] 这样的状况
[02:53] 到底到什么样的征兆
[02:54] 我们才能去相信事情有转圜
[02:56] 还是其实会有带来严重的后果
[02:58] 我觉得今天的大盘的拉下引线
[03:02] 其实我觉得不是因为战事
[03:05] 我觉得战事可能还会再扩大
[03:07] 但是因为伊朗已经宣布
[03:10] 有五个国家
[03:11] 他的游轮是可以进出荷姆斯海峡的
[03:14] 就是包括中国跟印度
[03:16] 还有五个国家
[03:20] 他们是可以游轮进出
[03:22] 对
[03:22] 好那你看
[03:23] 这五个国家其实大部分都是落后国家
[03:26] 也就是说你的油品到这些国家之后
[03:29] 他们做的中低阶的售卖产品
[03:30] 他就可以供给到全世界去
[03:32] 所以就会让原本大家对油价持续高涨这件事情
[03:36] 的隐忧稍微降低一点点
[03:39] 好那你就想一件事情
[03:40] 如果今天伊朗他没有控制荷姆斯海峡
[03:43] 他没有油的这个issue
[03:45] 伊朗这件事情还是一个很大的事情吗
[03:48] 当然就不是
[03:49] 其实今天假设我们把荷姆斯海峡拿掉
[03:53] 伊朗没有核母车海峡
[03:54] 基本上美国要拿下伊朗
[03:56] 他就是妥妥的
[03:57] 而且不要忘记他已经没有核武器了
[03:59] 所以从这个角度来看
[04:01] 基本上我觉得大家对于战争这件事情
[04:04] 我的看法是一定还是会有地面战争
[04:07] 但是我觉得就油价这个issue
[04:10] 我觉得他就开始在降低了
[04:13] 所以这是从盘的角度来看
[04:15] 就是你感觉从
[04:17] 应该讲说这个战争不会是无止境的
[04:21] 那其實大家之前最擔心的是通膨
[04:24] 就是油價造成的通膨的效應
[04:26] 但因為我說既然它可以開放五個國家的郵輪
[04:29] 可以進出荷姆茲海峽
[04:30] 基本上我覺得通膨的效應它就開始遞減了
[04:33] 所以你可以
[04:34] 我覺得大家可以最近可以去觀察
[04:36] 就是整個十年期
[04:38] 美國的殖利率跟三十年期的殖利率
