[00:00] 欢迎收听赵怀古惑仔第1142集
[00:09] 今天是2026年的7月20号
[00:12] 好今天盘中还是有在破一个新低
[00:14] 有来到41967
[00:16] 也等于今天42000的这一个大关
[00:19] 有一点破掉
[00:20] 但是后面有收上来啊
[00:22] 但尾盘呢还是小小的压下去
[00:24] 所以收在42449
[00:26] 跌了221点
[00:28] 今天的量还是比较小
[00:30] 今天的量是不到一兆元的上市量
[00:33] 今天一度其实贵买开出来是更惨的
[00:36] 贵买今天一度
[00:37] 我也是看到跌到4% 5%
[00:39] 贵买跌到4% 5%
[00:40] 这就有点凄风苦雨了
[00:43] 贵买虽然今天也是一个下影线
[00:46] 但中小型股在开盘大概15到30分钟的时候
[00:50] 应该历经了一个相当大的惊魂季
[00:53] 我想今天晚上可以再看一下融资
[00:56] 因为虽然虽然以整个上市融资来说
[01:00] 以四万两千点还不到全面有所谓大幅的什么融资万件齐发
[01:05] 追缴令这样的一个问题
[01:07] 但个股个股的部分
[01:09] 因为我们都知道有不少个股甚至是已经腰斩了
[01:13] 个股绝对是已经有断头户出现了
[01:16] 特别是在被动元件族群
[01:18] 所以在个股上面的融资减少
[01:20] 大家可能也要留意一下
[01:22] 以及这段时间我们有提醒
[01:24] 第一个货币紧缩之后
[01:26] 第二个杀杠杆
[01:27] 两件事情叠加在一起
[01:29] 比较不是反映
[01:31] 基本面上面的问题
[01:33] 是反映去杠杆的问题
[01:35] 所以在六月初的时候
[01:36] 有一波下杀的时候
[01:38] 又有提醒
[01:38] 那一波其实后来
[01:39] 有开人道走廊
[01:41] 继续往上攻的时候
[01:42] 杠杆最好是稍微降下来
[01:44] 因为如果大家手上是现货的话
[01:47] 这几天的感受是
[01:48] 您的账面大缩水
[01:50] 获利大回吐
[01:51] 获利回吐就已经够痛苦了
[01:53] 更不要提说
[01:55] 如果您是用杠杆的话
[01:56] 你很容易是被迫出场
[01:58] 因为你的线骨
[01:59] 你可以摆着吗
[02:00] 你缩水对不对
[02:01] 凹单
[02:01] 当然不支持凹单
[02:03] 可是至少你不会被迫
[02:06] 被迫离场
[02:07] 被迫离场是最痛苦的
[02:08] 好
[02:08] 我们先来欢迎今天的来宾
[02:10] 上个礼拜三
[02:11] 我们在聊天的时候
[02:12] 当时还只是一个
[02:13] 风雨欲来的感觉
[02:15] 海风就来了
[02:17] 先来欢迎他
[02:18] 就是我们的
[02:18] 型男股神
[02:19] 威良哥
[02:20] 赵娃好
[02:21] 大家好
[02:21] 我还记得礼拜五的时候
[02:23] 叠一千多点的时候
[02:24] 我就跟我两个小聊
[02:26] 我就跟他说
[02:27] 好可怕
[02:28] 今天这个跌势真的很可怕
[02:29] 那时候跌1000多点
[02:30] 然后我两个就跟我说
[02:32] 不要怕
[02:32] 大家都静静的躺在地上睡着了
[02:35] 然后我就跟我两个说
[02:37] 那又后来变2700点
[02:38] 我就说
[02:39] 睡着睡着地层还下陷了
[02:41] 这有点离谱了
[02:43] 所以上礼拜
[02:44] 我们历经了台股史上的第一大跌点
[02:47] 那六日
[02:49] 其实没有什么特别的事
[02:50] 大概只有一个事情
[02:51] 就中国又开发了一个AI模型
[02:53] 叫Kimi K3
[02:54] 有点像当初的
[02:56] 所谓的DeepSeek的事件
[02:58] 很多人又开始想说
[03:00] 这个Kimi K3
[03:01] 又是超越了
[03:02] 这个美国AI顶尖模型
[03:04] 它的这个效能
[03:05] 已经可以跟确GPT的5.6
[03:07] 来相提并论诸如此类
[03:09] 但我觉得市场上
[03:10] 虽然你也可以说
[03:11] AI股有一点点受到影响
[03:13] 但你也可以说
[03:14] 大家也有一点习以为常
[03:16] 所以我觉得今天的盘
[03:18] 对我来说有一点像是
[03:19] 第一融资到底能不能再降
[03:22] 第二这个利空的测试
[03:25] 如果利空测试不会再暴跌的话
[03:27] 那也许也是一个好的现象
[03:29] 当然大家关心的就是
[03:31] 韩国股市去杠杆
[03:33] 那台湾股市会不会复制这样一个模式
[03:35] 我想结论来看是肯定不会的
[03:38] 虽然说我们的融资或者说质押
[03:41] 当然也需要在涨多之后
[03:43] 去做一些沉淀清洗受深
[03:45] 这也是在中长多会必经的一个过程
[03:49] 但是事实上
