[00:00] 欢迎收听赵华谀古惑仔第1058集
[00:09] 今天是2026年的3月18号
[00:12] 台股真的太威猛了
[00:15] 昨天500点今天500点
[00:18] 两天我们又收复了1000点
[00:20] 当然前两天有讲
[00:22] 是不是因为云翔哥跑去买put呢
[00:24] 他买put就说台股会反攻1000点
[00:27] 当是个玩笑话
[00:29] 但现在呢
[00:30] 我要尊称他八屁屁
[00:31] 太厉害了
[00:34] 但是呢
[00:35] 这几天我们也一直跟听众朋友分享
[00:37] 就是中小型股
[00:39] 现在显然不甩川普
[00:41] 不甩美伊战争
[00:42] 不甩有加
[00:43] 继续在中小型股上面
[00:45] 有非常亮眼的表现
[00:46] 今天的涨停加速有86加
[00:49] 比昨天还要再更多
[00:51] 而且又是集中在热门的族群
[00:54] 不管是在记忆体
[00:55] 半导体相关的PCB
[00:57] 或者是说像这次GTC里面讲到的细光子
[01:01] 昨天还在讲说细光子到底有没有光同并进的话
[01:05] 好像没有只用这个我们希望的是光进同退
[01:09] 但今天还是不啰嗦
[01:10] 像光盛就一根涨停板
[01:12] 因为明天要出关了
[01:13] 可能在酝酿些什么
[01:14] 所以今天的热门股还是非常多的情况下
[01:17] 中小型股让大家一个心情来了
[01:20] 我刚刚跟今天的来宾讲
[01:22] 我说我昨天还跟大家分享说
[01:25] 你看前一阵子
[01:26] 你觉得停利是麦菲
[01:28] 跌下来的时候
[01:29] 你就觉得有停利真好
[01:31] 我说我今天要收回这句话
[01:33] 就像今天金元店
[01:36] 涨平板对不对
[01:38] 昨天有跟大家分享一个有趣的事情
[01:40] 第一个是我确实从业界听到
[01:42] 风策股最近的订单
[01:44] 是他们就是从业以来最威风的时候
[01:47] 爱涨多少就涨多少
[01:49] 然后第二个
[01:50] 因为这个在GTC的时候
[01:52] 虽然黄云勋说要拥抱
[01:53] 这个三星的4奈米
[01:55] 但是显然呢
[01:56] 这个三星的4nm
[01:57] 他拿去用吧
[01:59] 因为我们是3nm跟2nm
[02:01] 1.6nm嘛
[02:01] 显件台电产能
[02:03] 一定是一个供不应求的状况之外
[02:05] 也有人说
[02:06] 这个如果用到三星的晶片
[02:08] 它的良率不好
[02:09] 良率不好的话
[02:10] 我们的封测股啊
[02:12] 可能就会接到更多的单子
[02:14] 要来帮你测试良率
[02:15] 话不多说
[02:16] 今天金元店就涨停板了
[02:18] 我们先来欢迎今天的来宾
[02:20] 今天来宾也有很多很多的心得
[02:22] 要跟大家分享
[02:23] 他也好一阵子没有来咯
[02:24] 他刚刚也跟我murmur说
[02:26] 你看我那么看好
[02:27] 一定就一定也是飞走了
[02:29] 人家单月赚16块
[02:30] 不飞走飞谁
[02:31] 先欢迎他
[02:33] 今天来的是好久不见
[02:34] 产业队长张杰
[02:35] Hello 大家好
[02:36] 各位观众朋友
[02:38] 听众朋友大家好
[02:38] 我是财队长张杰
[02:39] 你怎么没有那个
[02:41] 我是迎战胜负
[02:42] 胜在最重财队队长
[02:43] 对啊
[02:44] slogan怎么不见
[02:45] 对不起太久没来了
[02:46] 对对对
[02:47] 陌生了陌生了
[02:48] 好队长先帮我们讲一下
[02:49] 因为我想这两天的台股
[02:51] 他已经有点不太管
[02:52] 美伊战争在干嘛
[02:54] 而是回到了黄仁勋的GTC大会
[02:57] 大家都在抓龙虾
[02:59] 大家都在看费曼晶片
[03:01] 或卢秉晶片用的什么东西
[03:03] 所以今天上涨的加速
[03:04] 依旧是非常的多
[03:06] 然后有一点强很强
[03:07] 例如说载板也在喷
[03:09] 记忆体继续喷
[03:10] 已经卖飞掉
[03:12] 其实也没有关系
[03:14] 因为记忆体已经到达
[03:15] 你跟我讲的目标价
[03:17] 最早最早
[03:18] 群联还没有1000块的时候
[03:20] 队长就跟我说1800
[03:21] 还没有1000块
[03:22] 还没有一千块
[03:24] 跟我讲一千八的时候
[03:24] 我就想是怎样
[03:26] 没错
[03:27] 而且
[03:27] 都到两千四过了
[03:30] 对
[03:30] 所以也不啰嗦
[03:34] 我们现在把主持方交给队长
