[00:00] 欢迎收听赵华语古惑仔第1076集
[00:09] 今天是2026年的4月14号
[00:13] 大家还记得2月是很惊奇的
[00:15] 3月是很惊吓的
[00:17] 4月又是很惊奇的
[00:19] 4月到目前为止已经涨了4000多点
[00:23] 把3月叠的又补回来了
[00:26] 今天台股唱下了
[00:28] 历史新高
[00:30] 好
[00:31] 昨天的来宾云翔哥
[00:33] 他不是有告诉大家
[00:34] 他又买了选择权的put
[00:36] 开个玩笑跟他说
[00:38] 哎呀
[00:38] 你这样会不会台股买到新高
[00:40] 果然
[00:41] 他现在已经很神准
[00:43] 我们都叫他8PP
[00:44] 这个P就是put的意思
[00:46] 好
[00:47] 那今天教训指数
[00:48] 中场大涨了838点
[00:52] 那来到36296点
[00:55] 正式站上了36000点
[00:58] 真的好像一场梦一样
[01:00] 就上个月大家都好害怕
[01:02] 好害怕进入到空头
[01:03] 好害怕我们会跟美股
[01:05] 对不对
[01:05] 一样可能半年限年限什么的
[01:07] 很多很多的猜测
[01:09] 但是
[01:09] 但是我想如果有听
[01:11] 古破仔的朋友
[01:12] 应该知道赵华的论点
[01:13] 就是我们的景气向上
[01:15] 这件事情
[01:15] 是一个很强的防护盾
[01:17] 不排除要跟美股收敛
[01:20] 或是跟美股
[01:21] 做一个乖离率的拉近
[01:22] 但是因为最近美股
[01:24] 也表现也好起来了
[01:25] 谢谢美股
[01:27] 因为美股网上
[01:28] 我们就不需要再往下跟他靠拢了
[01:30] 再加上我们有非常厉害的三月营收
[01:34] 我们有提到三月营收
[01:35] 上一次这个刚好来宾同一位
[01:37] 等一下介绍他出场
[01:38] 正在结三月营收
[01:40] 当天因为我们录音的时候
[01:42] 下午可能还有一些家数没有出来
[01:44] 当天就说已经有160家
[01:45] 那后来通通出来之后
[01:47] 发现是超过180家创营收新高
[01:52] 这个是超过10%的台股上市柜公司
[01:55] 所以说我们的公司体质获利好不好
[01:58] 非常好
[01:58] 我们台湾有没有受惠于AI
[02:00] 有的
[02:01] 这些都是我觉得
[02:02] 非常非常强力的基本面支撑
[02:05] 那当然除了基本面支撑
[02:07] 我们也需要筹码面的努力
[02:09] 那同样也是今天这位来宾
[02:10] 在前一阵子
[02:11] 有一天他有提到
[02:13] 今天是一个拐点
[02:14] 他身边的大户朋友们在进场
[02:17] 其实那天我也没把握
[02:18] 因为我就是采取
[02:20] 反正跌破月线
[02:22] 跌破季线我加码
