[00:00] 欢迎收听赵华宜古货载第1085集
[00:09] 今天是2026年的4月27号
[00:13] 今天的台湾股市正式站上4万点大关
[00:17] 我想上礼拜五或周末有非常多人在讨论
[00:21] 不过我自己是也觉得蛮奇妙的
[00:24] 因为这个政策不是今天才有机会买
[00:28] 上礼拜五其实就有机会买了
[00:30] 对不对
[00:30] 就是所谓金管会放宽了
[00:32] 主动是ETF和台股型基金的
[00:36] 最高单一持股上限
[00:38] 因为其实有的人的持股上限
[00:40] 本来就是30
[00:41] 那有的人是10
[00:42] 那现在统一都是开放到
[00:44] 都可以25这样子
[00:46] 所以这个周末的时候
[00:48] 难免大家就会讨论说
[00:50] 那这样最大的受惠者
[00:51] 其实股货仔也有讲
[00:52] 最大的受惠者可能会是台积电
[00:55] 因为台积电的权重
[00:56] 就是绝对连这个25%都超过的
[00:58] 那可能第二大
[01:00] 例如说最近很夯的发哥
[01:01] 虽然发哥的权重没有超过
[01:04] 可是可以多买嘛
[01:05] 因为他权重大呀
[01:06] 对不对
[01:07] 好
[01:07] 就如此类
[01:08] 那到了周末
[01:10] 又可以看到夜盘的时候
[01:11] 因为台积电ADI是大涨
[01:13] 所以寄生蛋
[01:14] 但生机你也不确定
[01:15] 是因为这个条款放宽了
[01:17] 资金火水冲进来
[01:18] 那也有人吆喝
[01:19] 可能今天就要all in台积电
[01:21] 造成的一个预期心理效果
[01:23] 还是因为这个台积电
[01:25] 本来就相较之下
[01:27] 它真的比较被低估
[01:28] 那其实在开北美论坛的时候
[01:30] 它就已经在涨了
[01:32] 而且在涨的时候
[01:33] 大家可以看到
[01:33] 投信并没有买很多
[01:35] 所以这个鸡生蛋还是蛋生鸡
[01:38] 坦白说到了今天
[01:40] 我们当然可以说
[01:41] 这个资金的效益有跑进来
[01:43] 不过一切
[01:44] 我们可以等一下盘后的筹码
[01:46] 来做定论
[01:47] 因为今天看起来
[01:49] 比较厉害的一些主动式基金
[01:51] 我想他们应该有部分的钱
[01:52] 是挪到台积
[01:53] 但也不是全然
[01:55] 那有没有排挤效应
[01:56] 我想有的今天下跌的加速
[01:58] 也是高达1400加
[02:00] 那这中间CPO可能是一个重灾区
[02:04] 对不对
[02:04] 可是比较低位阶的
[02:06] 像这个记忆体BBU就上来了
[02:08] 所以我会觉得主动式的ETF
[02:10] 他们显然还是有在
[02:12] 中小型热门题材股里面进行换股
[02:15] 因为如果大家都25%台积电
[02:17] 那就不用玩了
[02:19] 大家还是要想办法端出机下来
[02:21] 这也是对经营人的一个智慧
[02:23] 或操作手法上的考验
[02:25] 好 先来欢迎今天的来宾
[02:27] 今天来的是题材猎人汉伟哥
[02:29] 赵华好 各位听众朋友大家好
[02:31] 好 不能错过跟汉伟哥的podcast
[02:33] 其实今天晚上的达人秀
[02:35] 赵华是请假的哦
[02:37] 为什么呢
[02:38] 因为我不是年前做了一个体检吗
[02:41] 后来体检之后呢
[02:43] 很不幸的他就希望我在大长径这个项目
[02:46] 再回去做复诊
[02:48] 没有什么很严重的事情
[02:49] 但是因为有诊出一个
[02:51] 他们觉得有一点点隆起物
[02:53] 但是他们觉得
[02:54] 那个东西是癌细胞的机会也不大
[02:56] 可是为求保险
[02:57] 所以今天又帮我盘了一个
[02:59] 所谓的大肠超音波
[03:01] 还不是大肠
[03:02] 今天大肠超音波
[03:03] 那总之今天因为早上要进行
[03:05] 这个麻醉的关系
[03:07] 所以就想说
[03:08] 下午可能会不太确定
[03:10] 我能不能应付
[03:11] 这个Paracast加上理财达人秀
[03:13] 于是因为这要早早决定
[03:14] 所以我就把这个达人秀交给
[03:17] 佑达
[03:17] 蔡佑达去做代班
[03:19] 但是Paracast是我觉得
[03:21] 跟我的听众朋友
[03:22] 非常重要的一个沟通联系管道
[03:25] 所以我要亲自上阵
[03:26] 那其实还好
[03:27] 我觉得我蛮勇的
[03:29] 就是汉玮哥我看到
[03:31] 就是我脸上有一个
[03:32] 可能刚刚麻醉的时候
[03:34] 一个压痕
[03:35] 就睡太久
[03:36] 一个压痕
[03:37] 但是其实还好
[03:38] 而且我去麻醉前一秒
[03:40] 就是我手机还能在
[03:42] 我手上的最后一秒
[03:43] 我当然还在看台股
[03:45] 出来第一件事情
[03:47] 我同事在外面
[03:48] 也是立刻把手机拿给我
[03:49] 说快看快看
[03:50] 涨一千点
[03:50] 看垃圾板
[03:51] 他们说你到底有没有麻醉
[03:53] 怎么那么生龙活虎
[03:54] 好 先来欢迎汉伟哥
[03:56] 再来帮我们讲一下
[03:57] 今天我们有看到了
[03:59] 上周末大家有预期的
[04:01] 就是资金有可能会涌向台积电
[04:03] 而导致中小型股的排挤
[04:05] 看来确实在今天有发生
