[00:00] 欢迎收听赵华宇古货载第1052集
[00:09] 今天是2026年的3月10号
[00:12] 好最近的行情就是这样子
[00:15] 昨天大跌盘中一度跌到2070点
[00:19] 史上第二大的跌点
[00:21] 但是中场有稍微拉起来
[00:23] 昨天收跌了1400多点
[00:25] 那今天早上起来看到夜盘涨了1500点
[00:30] 昨天其实在那个晚上的时候
[00:32] 有跟朋友在聊天
[00:33] 然后就有讲到说
[00:34] 反弹了我们讲点开心的
[00:36] 因为说实话大碟
[00:37] 大家心情都会比较沉重
[00:38] 然后他就懒洋洋的回我说
[00:40] 现在涨500多点
[00:41] 涨1500点你在叫我
[00:44] 结果涨起来
[00:45] 他就说太夸张了
[00:46] 涨1200点
[00:47] 不过今天我们也必须讲
[00:50] 开盘涨了1000点以上
[00:52] 一度涨越高
[00:53] 涨到将近1200点的时候
[00:55] 去设想一下
[00:56] 一定会有一些些的卖压
[00:58] 为什么
[00:59] 因为前面几天这个爆量下杀是三兆的成交量
[01:04] 所以谈上来肯定还是会有一些余记犹存的人会想要离开
[01:09] 那昨天当然比较好的现象是融资
[01:11] 上市的融资有暴减了100亿
[01:14] 100亿是一个比较多的数字
[01:17] 所以也酝酿着今天确实有反弹的契机
[01:20] 但今天反弹还有一个东西可能略虚
[01:23] 怎么说略虚呢
[01:24] 因为昨天的暴跌是油价爆喷嘛
[01:27] 好我们知道油价
[01:28] 我们昨天有讲得很清楚
[01:30] 是影响到通膨
[01:31] 市场经济和信心的
[01:33] 一个很重要的指标
[01:34] 那因为川普出来说
[01:36] 战争很快会结束
[01:37] 川普头顾
[01:39] 稍微出来缓加
[01:41] 但这样的缓加
[01:42] 说有用也有用
[01:44] 油价马上从100降到90
[01:46] 但是你说是不是真有用
[01:48] 有一个问号
[01:50] 因为他只是讲而已
[01:51] 还没有实际上
[01:52] 两边真的已经和谈了
[01:54] 都已经不打了
[01:55] 和睦这个海峡
[01:56] 已经确定都开放了
[01:57] 没有问题了
[01:58] 因为川普今天也讲
[01:59] 如果你这个荷姆
[02:00] 就是个海峡
[02:01] 不让我这些
[02:02] 再游的游轮通过
[02:03] 我就20倍军力打回去
[02:04] 事情看起来
