[00:00] 欢迎收听赵华宇古货载第1123集
[00:09] 今天是2026年的6月22号
[00:13] 今天的台股气势如虹
[00:15] 中场上涨了1276点
[00:17] 盘中又再创了历史新高
[00:19] 当然也是创下了收盘新高
[00:21] 最高点来到47871点
[00:24] 快要5万点了
[00:26] 那因为我们上个礼拜四也有跟大家聊
[00:28] 我们在等什么
[00:29] 等华许嘛
[00:30] 但是华许确实偏阴
[00:32] 可是华许的偏阴
[00:34] 似乎市场上有稍微收敛了一下
[00:37] 之后就想
[00:38] 那之后没什么事了吗
[00:39] 反正也没有马上要升息
[00:41] 然后呢
[00:42] 也没有什么好像值得非常担心的事情
[00:44] 更何况那一天还讲了
[00:47] 美伊先签了MOU
[00:48] 不过这个周末
[00:50] 大家也是有一点点小提心吊胆
[00:52] 就是因为美伊之间
[00:54] 虽然签了MOU之后
[00:56] 还是有一点点不平静
[00:58] 川普还是有讲说
[00:59] 他要这个控制
[01:00] 横母子海峡
[01:01] 就这个事情
[01:02] 似乎没有办法
[01:03] 完全告一段落
[01:04] 不过今天的台股
[01:05] 或是整个亚股
[01:06] 一开盘出来
[01:07] 我觉得蛮显见
[01:09] 就是不太鸟这事了
[01:11] 不太理这个事情
[01:12] 而且油价在周末
[01:14] 有稍微上去
[01:14] 但是今天也是下来
[01:16] 从油价是最准的
[01:17] 因为我们就是怕
[01:18] 油价上去的通膨问题
[01:20] 油价也没涨
[01:21] 那台股是超乎
[01:23] 这个上礼拜四夜盘的墙
[01:25] 中场涨那么多
[01:26] 涨了一千多点
[01:28] 今天一百多档的涨停板
[01:31] 很多人可能会有一点点的想
[01:33] 到底该怎么样进场呢
[01:36] 如果在今天的来宾
[01:38] 讲的那一天没有进场
[01:39] 后续似乎又差了非常多
[01:42] 先来欢迎他礼拜一固定
[01:44] 我们的题材猎人汉伟哥
[01:46] 大家好 各位听众大家好
[01:48] 我还记得上上礼拜一
[01:50] 我们有讲说
[01:51] 如何判断今天能不能进场买
[01:53] 因为那一天是一个比较恐慌
[01:55] 在开盘 起货盘
[01:56] 甚至有打到这个0050跌停的一天
[01:59] 但是那一天买
[02:01] 还有那一天之后的礼拜三买
[02:04] 之后大概就没有什么特别好的买点了
[02:07] 就有一点金金账
[02:09] 应该算是金金账吧
[02:10] 因为我们都想说
[02:11] 这个联准会的会议应该会带来一些风雨
[02:14] 但没有
[02:15] 反而就是真的是偏阴啊
[02:18] 其实真的偏阴对不对
[02:19] 因为他有讲到
[02:20] 例如说前瞻指引真的取消了
[02:22] 点证图他确实也不投票了
[02:23] 而且有更多的委员投
[02:25] 年底要升息嘛
[02:26] 但市场似乎要的就是一个
[02:28] 反正不确定性拿掉
[02:30] 那时候赵华又跟大家分享说
[02:33] 我觉得接下来可能行情得走一段
[02:35] 因为短线上你看不太到什么压力
[02:37] 但是走得这么急
[02:39] 我自己会有点小担心
[02:41] 现在问一下浩美哥
[02:42] 就是从上礼拜到现在今天
[02:44] 你在干嘛
[02:45] 你主要的布局在干嘛
[02:47] 但如果
[02:48] 我记得我在那一天
[02:50] 就是两个礼拜前的礼拜一
[02:52] 我是有去抄底
[02:53] 台股市正额的ETF
[02:54] 对那时候我记得抄底价格
[02:56] 大概在33块以下
[02:59] 那进行到了42块左右
[03:01] 所以短短一段时间
[03:02] 你发现到指数涨得非常多
[03:04] 那大家也会觉得说
[03:05] 那我已经错过那个绝佳买点
[03:08] 现在台股已经快到48000点
[03:10] 到底还有没有空间
[03:12] 那我觉得这段时间
[03:13] 但你可以看到盘面上
[03:14] 如果你说资金最大化
[03:16] 效率最好的地方在哪
[03:18] 除了指数以外
[03:19] 你买台阶也不错啊
[03:20] 还是你买到所谓涨价相关的题材概念股
[03:23] 都是排面上的重点强势族群
[03:26] 不然从记忆体
[03:27] 被动元件
[03:28] 甚至PCB
[03:29] 到细晶元
[03:30] 还是到所谓电力电源相关
[03:32] 什么功率半导体分离式元件
[03:35] 那甚至连到面板IC封测的族群
[03:38] 其实这段时间里面
[03:40] 这两个礼拜里面
[03:41] 很多股票都在创下波段高
[03:43] 或历史新高
[03:43] 所以这段时间
[03:45] 但大家可能会觉得说
[03:46] 如果那个时候捞到一些股票
[03:48] 我现在可能失货感会比较低一些
