[00:00] 欢迎收听赵华与古惑仔第1115集
[00:09] 今天是2026年的6月9号
[00:12] 今天的台股依旧是有戏剧性的表现
[00:16] 昨天有特别提到
[00:17] 我昨天发现因为我们昨天做了第一次古惑仔的直播
[00:21] 那今天没有直播了
[00:23] 今天我们会拍一场长影片
[00:25] 就直接放在赵华爱伦说的频道
[00:28] 好大家说赵华仁说但没有艾伦
[00:31] 今天来的也不是艾伦
[00:33] 等一下来公布
[00:34] 一定是大家会非常期待的一个人
[00:37] 尤其在历经这两天戏剧性的转变
[00:40] 好六日的时候我看到非常多的达人
[00:42] 开直播的开直播
[00:43] 写文章的写文章
[00:44] 剪影片的剪影片
[00:45] 但是我在压轴礼拜天的晚上
[00:47] 看到这个达人的影片
[00:49] 我觉得他讲的真的是太好了
[00:51] 好那今天的台股是一个大反弹
[00:54] 其实昨天的夜盘就先反弹了
[00:56] 但昨天的夜盘刚反弹的时候
[00:58] 它其实有点反映到
[00:59] 就是所谓的期货跟现货
[01:02] 有一个逆价差
[01:03] 它先把它补起来
[01:04] 它先把它补起来
[01:05] 但到了晚上
[01:06] 因为美股也反弹了
[01:07] 今天早上日韩股开盘也反弹了
[01:09] 你就知道今天的反弹
[01:11] 是确立的没有问题
[01:12] 只是看弹到哪里
[01:14] 那事实上开盘还有点小
[01:16] 半信半疑
[01:17] 后来越涨越高
[01:19] 中场上涨了1201.66点
[01:23] 台积电小压尾盘
[01:25] 不然本来涨得更高
[01:26] 今天涨停板的加速高达110加
[01:30] 所以你就可以看到有很多人
[01:31] 在昨天提到说
[01:33] 好像跌不够啊
[01:34] 就这样就没得减啊
[01:35] 今天又说早知道
[01:36] 昨天就减了
[01:37] 都不要早知道
[01:39] 投资没有早知道
[01:40] 投资的早知道是发生之前
[01:42] 我们就先把策略给做好
[01:45] 那今天还有一个很特别的现象
[01:47] 就是有非常多的外资
[01:49] 调高了台湾很多重要公司的平等
[01:52] 例如说这个大立光
[01:54] 例如说国巨出现了
[01:56] 1500块钱的目标价
[01:58] 我们之前一直讲
[01:59] 外资的目标价
[02:01] 给国巨都超级小气
[02:02] 终于出现一个离他限价
[02:04] 超过一倍的一个目标价出来了
[02:06] 金像店 奇邦等等的
[02:08] 今天有非常多的外资生平报告
[02:10] 怎么那么巧
[02:11] 在这个剧烈的沙盘之后
[02:13] 就立刻有这么多的生平报告
[02:15] 所以今天涨停板的AI股
[02:16] 多到不行
[02:17] 而且都是名门正派的正规军
[02:20] 我先来欢迎今天的来宾
[02:21] 今天的来宾
[02:22] 会让大家知道
[02:23] 这一集就是双重碎碎念
[02:25] 就是AI达人蔡明翰
[02:27] 赵华
[02:28] 听众朋友观众朋友大家好
[02:30] 因为六月的时候
[02:32] 我到处去看大家
[02:33] 就是一定会因应这样的变化
