[00:00] 欢迎收听赵华宜古惑仔第1118集
[00:09] 今天是2026年的6月12号
[00:11] 今天也是星期五
[00:14] 大家会觉得这个星期五
[00:15] 或者这个礼拜的体感温度应该是不太理想
[00:19] 可是如果您把指数打开来看
[00:21] 这个这礼拜一的开盘
[00:24] 当然礼拜一开盘是一个跳空往下跌的开盘
[00:26] 开在44057
[00:27] 那今天的收盘收在44169
[00:31] 这代表什么呢
[00:32] 代表这个礼拜上下呢
[00:34] 就是开盘到收盘
[00:36] 事实上我们历经的是一个上涨112点的行情
[00:40] 上涨112点可是体感温度超级烂
[00:43] 然后很多人看到自己的库存会发现
[00:45] 怎么搞的一个礼拜我的库存消失了十几二十趴的获利
[00:49] 不过我自己是看
[00:51] 因为大家知道我昨天有跟大家分享
[00:53] 我把信仓店和国巨卖了
[00:56] 所以大家如果看到今天早上期货
[00:58] 8点45分的开盘
[00:59] 就知道赵华在干嘛
[01:00] 啊卖飞了
[01:01] 在尖叫
[01:02] 卖飞了
[01:04] 尤其新商店今天几乎是从头锁到尾
[01:07] 没有什么机会再把它买回来
[01:09] 但没关系
[01:10] 因为昨天跟大家分享的就是一个
[01:12] 减压的概念
[01:14] 减压的概念
[01:15] 那刚好昨天盘中也有减了一些ETF
[01:17] 所以呢
[01:18] 也不算是失落太大
[01:20] 那如果把我获利了结的部分
[01:22] 加回来
[01:23] 事实上这个礼拜
[01:24] 我的损益确实没有什么太大的变化
[01:27] 就是被吓到洗出去了
[01:29] 两档股票国际跟信仓店
[01:31] 好那事情结束了吗
[01:34] 事情结束了吗
[01:35] 而且现在影响盘面的东西
[01:36] 你会觉得有一点小荒谬
[01:38] 例如说今天大涨是因为又在讲
[01:41] 跟伊朗的战争要很快的和平
[01:43] 听腻了吧
[01:45] 对不对
[01:45] 好今天有影片版
[01:47] 今天有影片版
[01:48] 所以大家如果记得要看影片的话
[01:50] 到这个赵华艾伦说的YouTube频道
[01:53] 那今天的来宾很特别
[01:54] 今天的星期五男孩
[01:56] 因为以前有固定的人
[01:57] 以前是黄峰凯凯哥
[01:59] 今天不是
[02:00] 今天呢是一个很特别的人
[02:02] 是这个要叫你金玉峰头顾的老板吗
[02:06] 我是那个分析师
[02:08] 是知名的分析师
[02:11] 非常受到年轻人的欢迎
[02:13] 也号称是最年轻的头顾分析师
[02:16] 头顾的董事长
[02:17] 这个雷老板
[02:19] 今天朋友大家好
[02:20] 赵老板好
[02:21] 雷老板在IG上面真的非常火药
[02:23] 对有一次呢
[02:24] 因为我想要约雷老板
[02:26] 来上理财达人秀
[02:27] 我就搜寻一下雷老板
[02:28] 然后我就完了
[02:29] 你们也可以试着搜寻看看
[02:30] 你就完了
[02:31] 你的IG的推荐
[02:33] 会充满了雷老板的各种影片
[02:35] 街访的啦
[02:37] 展场的啦
[02:38] 而且会出现呢
[02:39] 非常多个雷老板呢
[02:41] 从早到晚会关心你的持股
[02:43] 对你只要加了我的IG之后
[02:45] 大概会同时有十几个雷老板分身
[02:47] 开始关心你
[02:48] 诈骗太多就对了
[02:49] 对而且呢
[02:50] 他们还会跟你说
[02:50] 什么股票回涨太多了
[02:52] 差不多可以低阶了
[02:53] 像最近会有很多的雷老板关心你说
[02:56] 群传回到四十几块了
[02:57] 是不错的位置可以低阶
[02:58] 那代表你的分身
[03:00] 或是你的诈骗蛮专业的
[03:01] 我觉得是很专业的诈骗
[03:03] 就是搞不好还有在follow你
[03:04] 真的在讲的事情
[03:05] 他们都知道我的日常作息
[03:06] 包括我出国
