[00:00] 欢迎收听赵华与古惑仔第1077集
[00:09] 今天是2026年的4月15号
[00:12] 今天的台湾加权指数上到了37000点
[00:18] 当然中场太过激情了
[00:21] 还是有一些些的压回
[00:22] 不过盘中最高有到37064
[00:26] 短短两个交易日
[00:28] 一下跨两阶
[00:29] 以下跳到36000
[00:30] 以下又跳到37000
[00:32] 非常的惊人
[00:34] 台股每一次在创历史新高的时候
[00:36] 这个脚步都迈得很大
[00:38] 今天的上市成交量
[00:40] 也有将近一兆
[00:41] 有9800亿
[00:42] 是有价和有量的
[00:44] 当然这两天我们看到
[00:46] 韦台的散户是做空居多
[00:49] 又开始想要摸头
[00:50] 不过这样的现象
[00:52] 反而是一个助长台股的
[00:54] 一个筹码现象
[00:55] 这是蛮有趣的
[00:57] 不过每一次下跌有下跌的烦恼
[01:00] 上涨有上涨的烦恼
[01:03] 大家知道我三月份
[01:04] 非常多人就是私讯我都在讲
[01:07] 很害怕
[01:08] 或者是因为跌下来
[01:10] 破月线基线的时候有被套牢的
[01:12] 甚至是说在三月之前
[01:14] 也是有不少人会反映说
[01:16] 因为可能趋势都是在热门股上
[01:18] 不过我必须讲
[01:19] 从去年的大概年底开始
[01:22] 热门股是扩散的
[01:24] 就是说不是像以前说
[01:26] AI里面只长那几只
[01:27] 不是这样子的
[01:28] 就所谓的腾落指标
[01:29] 它是有改善的
[01:31] 宽度线是有打开的
[01:32] 所以我们常数热门产业
[01:34] 都可以数到六七个
[01:35] 同时都在热
[01:36] 因为量也上来了
[01:37] 所以至少在我想二三月的时候
[01:40] 大家可能会有意识到
[01:42] 要把一些都不会长得万年传产
[01:44] 或是什么的
[01:45] 稍微换一点到热门的AI趋势
[01:47] 我想这是有的
[01:48] 但因为这些股票的波动也大
[01:50] 所以三月我比较多收到的都是
[01:52] 抱怨套牢或害怕的讯息居多
[01:55] 但4月现在有趣了
[01:57] 我现在收到的讯息
[01:57] 都是告诉我
[01:58] 麦菲了心情不好
[02:00] 麦菲了怎么调试
[02:01] 麦菲了我哪里做错
[02:03] 大家没有做错任何事情
[02:05] 大家一定要知道
[02:07] 麦菲是人之常情
[02:09] 甚至你在盘不好的时候
[02:11] 偶尔套牢也是人之常情
[02:13] 但是您一定要知道
[02:14] 在这样的趋势里面
[02:16] 你接下来要怎么调整自己
[02:18] 让自己是最安稳的赚钱
[02:19] 我想这个一定是
[02:20] 赵华的Procrast
[02:21] 每天都在强调的事情
[02:22] 今天我有一个很开心的事
[02:24] 今天我们在录音的同时
[02:26] 我有看到
[02:27] 以这个Apple Parkes
[02:28] 他们有一个所谓的
[02:29] 热门排行榜
[02:30] 它是一个综合的排名
[02:32] 当然它有各分类
[02:33] 什么商业
[02:33] 什么社会
[02:34] 心理等等的
[02:36] 但综合排名
[02:37] 我们今天看到
[02:38] 昨天的那一集是第一名
[02:40] 综合排名的第一名
[02:42] 所以我还蛮开心的
[02:44] 因为之前我都第二名
[02:45] 我前面要不是好位小姐
[02:47] 就是古埃大
[02:48] 所以第一名真的是很开心
[02:50] 夹缝中跑出来的
[02:52] 也谢谢各位听众的支持
[02:54] 那我先来欢迎今天的来宾
[02:56] 今天来宾也是贯穿了
[02:58] 去年到现在所有的涨价题材
[03:00] 一听就应该知道是谁了
[03:02] 好 先来欢迎他
[03:03] 报价天王幸福哥
[03:05] Hello 大家好
[03:06] 各位听众朋友大家好
[03:07] 幸福哥今天也要第一名了
[03:08] 什么奇怪的压力
[03:11] 台股第一名
[03:12] 台股真的太厉害了
[03:14] 因为昨天看到夜盘
[03:15] 也是有上去个两三百点
[03:17] 我想说反正只要能续强就好了
[03:19] 气氛在就好
[03:20] 就今天的气氛也未免太好
[03:23] 尾盘是有点掉下来
[03:24] 但是我们可不可以先来解读一下
[03:26] 三月当然大家笼罩在每一的阴霾中
[03:29] 那现在大家似乎
[03:31] 对不对
[03:31] 就对这个战争是真的把它放一边了
[03:34] 除非可能真的炸到核设施了或什么
[03:36] 大家才会有感觉了
[03:37] 那昨天晚上有所谓的这个生产者物价指数
[03:40] 也没有如预期的走高了
[03:42] 似乎通膨也不见得是个很大的压力
[03:45] 好台股再创历史新高
[03:47] 那我们现在是就可以非常安心的继续追涨吗
[03:50] 还是要怎么来看待现在的行情
[03:52] 好的我想之前我们来
[03:55] 就是说大盘可能还在
[03:57] 美伊战争的一个压力之下
[03:59] 那指数那时候大概就在
[04:01] 三万二到三万三
[04:02] 那我们本来预期就是说
[04:04] 如果战争的状况没有进一步恶化
[04:07] 大概这个区间
[04:08] 我们就先抓三万二到三万四
[04:11] 那低点大概就在
[04:13] 三万一千五还是三万一千六
[04:15] 所以当这个美国跟伊朗
[04:19] 有准备要坐下来
[04:21] 去做一个谈判的时候
[04:22] 这个盘反应也非常迅速
[04:24] 大概从上礼拜大概33000多到现在创新高
[04:28] 其实大概又涨了这个三四千点
[04:32] 那速度其实也蛮快的
[04:34] 一个礼拜的时间大盘就涨了超过一成以上
[04:37] 所以其实这个盘我们之前就讲过
[04:40] 因为今年整体我们还是认为说
[04:42] 在经济会持续成长的情况之下
[04:45] 台股的多头这个大架构是不变的
[04:49] 那既然如此的话
[04:50] 其实每一次的拉回
[04:52] 或者说有一些好的股票
[04:54] 叠回一个相对合理的低档区
[04:58] 或者说一个合理的本利比区间
[05:00] 我们认为说是要做一个进场布局
[05:02] 我认为在经过几天几涨之后
[05:05] 今天大盘盘中过高之后
[05:07] 稍微点压回
[05:08] 主要原因就是因为
[05:10] 最近美股也是涨得蛮快的
[05:12] 美股的一个盘后的一个旗子
[05:15] 是有稍微出现了一个拉回
[05:17] 所以今天台股大概在接近中午左右
[05:21] 后面就稍微有点震荡
[05:23] 不过我想还是一个大前提不变
[05:26] 就是中长多的趋势是没有改变的
