[00:00] 欢迎收听赵华谀古惑仔第1127集
[00:09] 今天是2026年的6月26号
[00:12] 星期五了
[00:13] 这个礼拜三个字
[00:15] 坐白宫
[00:16] 坐白宫
[00:18] 今天指数是大跌
[00:20] 盘中有跌到大概1800多点
[00:22] 中场下跌了1680几点
[00:25] 是史上的第三大跌点
[00:28] 怎么讲坐白宫呢
[00:29] 这礼拜一我们是看到史上的高点
[00:32] 以现货市场来说是48000多点
[00:35] 以期货市场来说是49000多点
[00:38] 等于在礼拜一的时候
[00:40] 你会觉得五万根本不是什么了不起的税
[00:43] 好
[00:43] 但是今天的收盘
[00:45] 以现货市场来说
[00:46] 已经跌到了44571点了
[00:51] 五万跟四万四
[00:53] 这个感受就差很多
[00:55] 那真正的跌点
[00:56] 以现货来说大概3800多点
[00:59] 期货有将近5000点
[01:01] 因为我们有讲期指之前是一个正价差
[01:03] 今天把这个正价差也通通吐回去了
[01:06] 也就是今天期货的收盘比现货还要低
[01:09] 好听到声音了
[01:11] 我们今天有影片版
[01:12] 好我们今天是有影片版
[01:14] 我先来欢迎星期五
[01:16] 我们的固定星期五男孩
[01:18] 我们的国家级基金操盘手黄峰凯凯哥
[01:21] 大家好各位观众听众大家好
[01:23] 我记得你上个礼拜是礼拜四来
[01:25] 不是星期五男孩
[01:26] 不是
[01:26] 但我们也有录影
[01:28] 结果今天的指数
[01:30] 已经跌回到上个礼拜一的开盘了
[01:33] 没错
[01:33] 对
[01:33] 挣大很大
[01:34] 一个A型
[01:35] 白做工
[01:36] 真的叫白做工
[01:37] 白做工的情况下
[01:40] 我想最近的环境
[01:41] 昨天也有比较详细跟大家分享
[01:43] 就是升息和收缩资金的这个问题
[01:46] 从美元的走势就知道
[01:48] 美国真的开始有点担心
[01:49] 是不是9月要升所谓的第一码
[01:51] 那韩国又有所谓的去杠杆的一些想法
[01:55] 台湾呢
[01:56] 不晓得大家有没有收到通知
[01:57] 就是您的券商
[01:59] 有没有让你融资买台积电
[02:02] 已经有非常多
[02:03] 包括像元大吧
[02:04] 已经告诉大家
[02:06] 台积电不能用融资
[02:07] 那我今天也有收到像奇货商
[02:10] 也有告诉大家
[02:11] 你不能再去申请调高你流仓的部位了
[02:13] 这些就是在收缩资金上面
[02:16] 已经也有一些政策和对策出来了
[02:18] 所以美国韩国台湾
[02:21] 现在都有收缩资金
[02:23] 我觉得这是这一波
[02:24] 后来变成一个
[02:25] 有点像是A型反转的一个原因
[02:28] 当然就是说
[02:29] 其实全球都看到
[02:31] 就是全球的资本市场都很热
[02:33] 那台湾不用讲
[02:35] 我们之前上次有讲过
[02:36] 就是说这次跟之前
[02:37] 网络泡沫不太一样
[02:38] 之前网络泡沫是全世界都在涨
[02:40] 然后整个下去
[02:41] 可是这次的这个AI泡沫
[02:43] 应该讲还没有泡沫
[02:45] 就只有强几个国家
[02:47] 就是美国 日本 台湾 韩国
[02:49] 三个国家特别的强
[02:51] 那今天早上其实一开盘的时候
[02:53] 其实大家有点摸不着头绪
[02:55] 就是说怎么好像叠得蛮重的
[02:57] 但其实昨天晚上美国的PPI
[03:00] 就开了这一枪
[03:01] 就告诉你说
[03:02] 看起来景气有点过热的现象
[03:05] 当然因为还有一个油价助长的原因
[03:07] 所以其实现在是一个两难的局面
[03:09] 就是说到底他九月份
[03:11] 会不会真的去做预防性升息的动作
[03:13] 现在变得大家有点模拟两可
[03:15] 因为之前很多人都讲铁定不会
[03:17] 可是现在大家看起来都说好像会
[03:20] 所以这个地方基本上
[03:21] 我觉得不管是挖雪
[03:23] 基本上他們都很難
[03:24] 其實川普更難
[03:26] 因為他還想要做多期中選舉
[03:28] 所以這就造成今天
[03:30] 整個亞洲股市一開盤就攏抓個氣氛
[03:33] 因為今天台股還沒開盤
[03:34] 日經跟韓國一開盤
[03:36] 基本上就是大跌的現象
[03:38] 所以那時候我就知道
[03:39] 今天台股大概不太好
[03:41] 可是今天台股其實是
[03:42] 確實是比較弱的
[03:43] 你仔細看今天日本跟韓國
[03:44] 其實都有收一個小V
[03:46] 它有收一個小角上來
[03:48] 可是台灣是扎扎實實的收最低
[03:50] 幾乎最低
[03:52] 那这有个原因就是因为
[03:54] 台湾的散户因为前年都没在怕
[03:55] 今天突然有点害怕
[03:57] 今天感觉寒风袭来
[03:58] 感觉昨天这个台风没有走
[04:00] 还在台湾的上空笼罩
[04:02] 今天就感觉特别的冷
[04:04] 尤其是中小股
[04:05] 那我刚刚在跟赵老师讲说
[04:06] 仔细看贵买的月线已经下弯了
[04:09] 那通常贵买月线下弯
[04:11] 就不是一件好事情
[04:12] 就告诉你说
[04:12] 短线那个强势的多头
[04:14] 暂时告一个段落
[04:16] 那接下来可能就进入一个修正的行情
[04:18] 那所幸的是
[04:19] 不管是日本
[04:20] 韩国或台湾的大盘指数
[04:22] 目前月线都还在往上走
[04:23] 所以我们基本上
[04:24] 还是认为它是一个修正
[04:25] 所以我们刚才讲说
[04:27] 就是白做工了
[04:28] 就是上礼拜做多了这一段
[04:30] 又要休息了
[04:31] 可能要等再找下一个机会
[04:33] 再重新回来做多
[04:34] 那今天盘中其实
[04:36] 有一些比较遗憾的
[04:37] 就是我们上礼拜推荐的
[04:39] 我们讲的族群
[04:40] 像细金园
[04:41] 像费斯园
[04:41] 其实在这礼拜上半周
[04:43] 其实都还算蛮强的
[04:44] 一直到这两天
[04:45] 就开始陆续吐回来了
[04:47] 但是其实我觉得
[04:49] 他们还是趋势还在这里
[04:51] 所以不用太担心
[04:52] 因为政府摆明的告诉你说
[04:55] 你们不要一直往AI去
[04:56] 就是说他觉得AI已经涨过头了
[04:58] 已经涨多了
[04:59] 就是你让他稍微休息一下
[05:01] 其实在鼓励大家
[05:02] 把资金往非AI的地方去
[05:04] 只是市场人们读懂
[05:06] 不管是资本市场的表态的意思
[05:11] 或者是政府意图的作为
[05:14] 因为你看我们刚才讲说
[05:16] 连台阶融资都被限缩了
[05:18] 被限縮
[05:19] 那大家想說
[05:20] 為什麼投信就可以買到25%台積電
[05:22] 政府為什麼不幫散戶
[05:24] 把融資比例再開高一點
[05:26] 但是因為他會害怕
[05:27] 因為現在大家都在講說
[05:28] 什麼六代同堂
[05:30] 五代同堂
[05:31] 已經變六代
[05:32] 然後連很多企業主都一直在高喊說
[05:34] 各位員工們
[05:35] 你們不要一直在做股票
[05:37] 你們要認真上班
[05:39] 包括四個人就一個人
[05:41] 上班的時候是開著手機在看股票
[05:44] 這怎麼統計的
[05:45] 我很懷疑
[05:45] 我是不知道有沒有這麼明顯
[05:47] 但是确实我在某一家电台的时候
[05:50] 就看到很多同仁都在看股票
[05:52] 我们也是
[05:53] 很多人不太一样
[05:54] 因为我们是财经台
[05:55] 看股票是正常的
[05:56] 可是他们不是财经台
[05:58] 怎么很多同仁都在看股票
[06:00] 就根本确实股票已经
[06:02] 在在的影响到市场的一些状况
[06:05] 我正在讲说
[06:06] 只要你有赚到月薪
[06:07] 就可能考虑要递持成
[06:09] 不得了
[06:10] 你才赚一个月薪就要递持成
[06:12] 像这几天这样一下吐
[06:13] 你不是吐掉不是一个月薪
[06:15] 可能是半年薪都没有了
[06:17] 所以我觉得接下来指数
[06:18] 我觉得还是可以观察一下
[06:20] 观察什么
[06:21] 观察今天相对抗铁的族群
[06:23] 那今天相对上比较弱的
[06:26] 你可能要先避开来了
[06:27] 我们待会再跟赵达做进一步的聊
[06:30] 那基本上目前看起来
[06:32] 大盘的一个站稳的一个位置
[06:35] 大概43,800
[06:36] 现在离不远了
[06:37] 所以它接下来可能还会下去
[06:39] 可能会破
[06:39] 但它还是站稳43,800
[06:41] 大概这行情就进入一个
[06:43] 重新要重新启动的一个格局
[06:45] 那期货期值大概在43,600
[06:48] 所以大家也可以稍微观察一下
[06:50] 这些位置什么时候可以止稳
[06:52] 那今天我刚刚讲
[06:54] 今天盘中里面其实载板算很强
[06:56] 为什么载板很强
[06:57] 因为载板其实在这一两周
[06:59] 都在密集的跟客户讲说
[07:01] 要涨报价
[07:03] 包括像南电 锦硕
[07:06] 其他客户讲说要调整报价
[07:08] 那涨幅分别从5%到15%都有
[07:11] 所以你就看会怎么最近特别的强
[07:13] 其实因为还是那个概念
[07:15] 就是涨价题材
[07:17] 我如果没记错
[07:17] 昨天吕电龙也是大涨的
[07:19] 昨天吕电龙说他要涨价
[07:20] 所以昨天利龙店冲涨停
[07:22] 但今天就
[07:23] 这个涨价题材就一下子而已
[07:25] 就没有办法刺激很久
[07:27] 因为他们已经涨很多了
[07:28] 所以股价涨很多的时候
[07:29] 你再讲说他涨价
[07:30] 基本上他可能就变成是
[07:32] 利用利多在出货
[07:34] 利多在出货
[07:35] 那回过来看
[07:36] 就是说我们
[07:36] 除了刚刚讲的那些以外
[07:37] 其实今天还有一个
[07:38] 很特殊的族群
[07:39] 就是石英元建
[07:40] 石英元建今天特别强
[07:42] 没错
[07:42] 因为我前天还在跟赵老师讲说
[07:45] 要注意
[07:45] 因为市场上有大户
[07:47] 已经开始在撤退了
[07:48] 那大户在撤退什么
[07:49] 他在撤退记忆体
[07:50] 他在撤退
[07:51] 这些相关长比较多的
[07:55] 那我觉得他们一定也感觉到说
[07:56] 盘式可能相对来讲
[07:57] 也长得比较多
[07:58] 所以他们做部分的撤退
[08:01] 但是基本上
[08:02] 因为主力不是涵盖所有的股票
[08:05] 你要知道
[08:05] 主力一定是他
[08:06] 特别cover哪些族群
[08:08] 他可能对哪些族群
[08:09] 比较深入的研究所以他可能有些族群是沒有走或是有些族群他們可能沒有涉掠例如說像矽光子這一塊基本上離開這批人
[08:21] 基本上他們就比較沒有涉掠
[08:22] 所以你看今天像
[08:24] 這個訊心KY
[08:27] 盤中一度從諜亭拉到平盤
[08:29] 就告訴你說其實他們是沒有退場的
[08:32] 所以接下來這個還是可以看一下
[08:33] 那他有退場的
[08:35] 包括記憶體跟被動元件
[08:37] 死因元件
[08:38] 基本上你也發覺到說
[08:39] 好像也别有这么的弱啊
[08:41] 今天里面其实最弱
[08:42] 其实是被动元件
[08:43] 其实机体随着美光强
[08:44] 还跟着强上来了
[08:46] 但是这个地方基本上
[08:47] 机体反而是要特别注意
[08:48] 因为确实韩国
[08:51] 如果这个新闻
[08:52] 如果是属实
[08:53] 就是Hannes要回来做滴滴亚
[08:55] 觉得台湾场上就是很不利
[08:57] 是很不利
[08:58] 而且基本上
[08:59] 我们基本上是挨着打的
[09:01] 因为他们的技术
[09:02] 本来就毫不疑虑
[09:03] 只是他不要把产能
[09:05] 调拨过来而已
[09:05] 所以这就实质的冲击
[09:07] 但是被动元件
[09:08] 我觉得他是长多
[09:09] 但是你看
[09:09] 我说他在调整
[09:11] 基本上
[09:11] 备用件追还只有拉涨停的
[09:13] 所以我觉得
[09:13] 也没有完全的
[09:14] 就是利空
[09:15] 就实质的反应出来
[09:17] 没有
[09:17] 那食用元件更不用讲
[09:19] 今天还有能量灯涨停
[09:20] 好记得
[09:21] 对
[09:21] 那量量涨停
[09:22] 主要是因为
[09:23] 在这个西华的股东会上
[09:25] 他们有讲说
[09:26] 目前看起来
[09:26] 食用元件很缺货
[09:27] 而且国际大厂的交期
[09:29] 拉很长了
[09:30] 所以他们感觉上
[09:32] 他们有机会可以补
[09:33] 感觉好像都是补
[09:34] 就是我们机器也是补
[09:36] 我们食用件也是补
[09:37] 我们备用件也是补
[09:38] 就是补大厂的不足
[09:40] 补大厂的缺短缺的部分
[09:42] 所以看起来
[09:43] 还是有一些族群在酝酿
[09:46] 没有完全的熄火
[09:47] 所以我认为这个大盘
[09:48] 目前看起来
[09:49] 还是比较偏于修正
[09:50] 要先把大前提跟大家聊
[09:53] 刚刚我们有提到
[09:55] 收缩资金的事情
[09:56] 这个已经有点蔓延开来
[09:58] 而且也不是讲一天两天
[09:59] 其实政府从讲四代同堂
[10:01] 变成六代同堂
[10:02] 就是已经觉得符合过多
[10:05] 还要看一个事情
[10:06] 我们在五月底的时候
[10:08] 也历经过一次修正
[10:09] 那一次现货市场
[10:10] 达到四万二嘛
[10:11] 可是融资超级无敌勇敢
[10:13] 我们当然也有讲
[10:15] 这一波融资
[10:15] 长得跟以前不一样
[10:16] 也有很多所谓的
[10:17] 热钱聪明融资
[10:18] 大户融资在里面
[10:20] 但是你也可以看到
[10:21] 时至今日
[10:22] 那个融资在上次
[10:23] 这样洗刷过后
[10:24] 在最近又在洗刷的时候
[10:26] 我们的融资预约
[10:27] 还是勇敢地占上了
[10:28] 六千亿以上
[10:30] 就是这个增加的幅度
[10:32] 根本就没有在洗
[10:33] 然后韦台也是
[10:35] 韦台其实连续两个月
[10:36] 都是一个非常勇敢做多
[10:38] 我们也说
[10:38] 韦台以前我们以为
[10:40] 是大盘的反指标
[10:41] 现在看起来也叫勇敢韦台
[10:42] 聪明韦台
[10:43] 可是这些事情累积到后面
[10:45] 它会不会再产生一个再平衡
[10:47] 我觉得会
[10:47] 所以这一波融资
[10:49] 你都打死不退
[10:50] 今天可能就真的会痛
[10:52] 今天真的会痛
[10:54] 所以我觉得
[10:55] 既然五月底那一波
[10:56] 烧到42000没有洗
[10:58] 这一波现在到44000
[10:59] 凯哥说可能只剩在
[11:00] 43600的部分
[11:02] 这一波如果能够再洗干净一下
[11:05] 是有利于接下来的行情
[11:07] 因为我们进入到
[11:08] 台移电法说前的得点圈了
[11:10] 可是现在却没有办法表现
[11:11] 因为最近在我们福尔的问题
[11:14] 在美国 日本 韩国 台湾
[11:15] 日本可能好一点
[11:17] 连日本是想升息
[11:18] 升息也算是一种温和收缩
[11:19] 那都已经在呈现
[11:22] 这样的现象的时候
[11:23] 我们就留意
[11:24] 我们常常讲基本面
[11:25] 上面有一层泡泡
[11:26] 泡泡多是好喝
[11:28] 可是泡泡消封的时候
[11:29] 我们自己要保护自己
[11:30] 那今天赵华干嘛呢
[11:32] 还是一样
[11:32] 我有跟凯哥报告
[11:33] 我说一样
[11:34] 破月线对不对
[11:36] 大黑K
[11:37] 那甚至早了点
[11:38] 我跌到1000多点的时候
[11:39] 就进去捡了一些ETF
[11:40] 就从跌1000点
[11:42] 变成跌1800点
[11:43] 再捡一些ETF
[11:45] 个股我就有一点小观望
[11:47] 不过确实我发现
[11:48] 载板跟时银元件
[11:49] 应该是今天盘面上最亮眼的
[11:51] 只是涨点有些后来都收敛掉
[11:53] 所以我按照我的纪律
[11:55] 就是我觉得不是因为景气出问题的反转
[11:59] 我就破月线的大黑K
[12:01] 然后1000点以上
[12:02] 我就加码一些
[12:03] 那有没有可能去季线
[12:04] 其实贵买
[12:05] 上一次是有要去测季线的
[12:07] 大盘还没有
[12:09] 如果再去测季线
[12:10] 只要是经济环境的前提
[12:12] 不变的情况下
[12:13] 我还是会在季线附近继续加
[12:15] 这就是我现在的一个策略
[12:17] 因为你会发现有一个好处
[12:19] 你不要再V上去
[12:20] 就是已经停了上去了
[12:22] 然后才急急忙忙的追
[12:24] 压力就会非常大
[12:25] 例如我也承认
[12:26] 我上礼拜或说是礼拜一
[12:28] 我也会觉得
[12:28] 很formal
[12:29] 买一点个股好了
[12:31] 涨得好高
[12:32] 心得個股都漲停耶
[12:33] 今天怎麼樣
[12:34] 吐回去嗎
[12:35] 個股就是這樣
[12:37] 所以我們自己在進出場的邏輯
[12:39] 跟想法上一定要先確立起來
[12:41] 說實話
[12:42] 今天要不要新型差不需要
[12:44] 因為今天又是一個
[12:45] 可能你做中場線波段
[12:47] ETF相對好的賣點
[12:49] 對 因為這盤基本上
[12:51] 確實櫃買就比較弱
[12:53] 因為你仔細看
[12:54] 其實櫃買它是破了近期的
[12:56] 連續三根大量的低了
[12:58] 而且它月線是下彎的
[13:00] 所以勢必告訴你
[13:01] 贵买会进行一段的整理
[13:03] 那你很多个股涨多了
[13:05] 它就跟着整理了
[13:06] 你像被动人间这些
[13:08] 关五分钟
[13:09] 关二十分钟的一大堆
[13:10] 今天就纷纷就打回来了
[13:13] 就是因为这个气氛太冷了
[13:15] 你经不住这样的气氛
[13:17] 你不敢再去追了
[13:18] 就下来了
[13:19] 但是我刚刚讲说
[13:21] 像石英元建他们还在往上走
[13:23] 就告诉你
[13:23] 基本上这个缺货的概念没有结束
[13:26] 老实讲
[13:27] 你就算被动人间这样打下来
[13:29] 他缺乏这个影响数改变了吗
[13:32] 没有
[13:32] 他还是存在的
[13:33] 只是你的股价是要做一个修正之后
[13:36] 回来重新再出发
[13:38] 所以我觉得原先讲的那些族群
[13:41] 还是可以留意
[13:42] 我记得你看
[13:43] 我们昨天在讲说
[13:44] 利龙店要调涨报价
[13:47] 然后这个旅店龙的交集拉长
[13:50] 然后之前是我还有提过
[13:52] 像大义也纳入了
[13:54] 这个NVIDIA的供应链
[13:55] 其实这些都还是回过头
[13:57] 还是可以看
[13:58] 就是说你去看
[13:59] 它涨完之后
[14:00] 我如果没救到大一千
[14:01] 还在大涨停
[14:02] 所以告诉你其实
[14:03] 不要因为今天的大跌
[14:05] 就让你失去信心了
[14:07] 我们应该讲说
[14:08] 今天的大跌
[14:09] 其实某种程度是好处
[14:10] 就是把一些福儿洗掉
[14:12] 然后稍微把干港
[14:13] 做一点收敛
[14:14] 因为今天其实
[14:16] 你看到前几天
[14:18] 都已经就要看到五万了
[14:19] 对啊
[14:20] 这有点太夸张
[14:22] 我必须这样讲
[14:23] 就是建行情走得有点
[14:24] 让大家觉得有点可怕
[14:26] 可怕是说
[14:27] 钱赚进来太可怕了
[14:28] 所以你看很多人就是
[14:30] 只要一个月月薪有
[14:31] 他就想要离职
[14:32] 那这样很多企业主
[14:34] 就会受到影响了
[14:35] 因为很多企业体
[14:36] 很多员工要离开
[14:37] 那所以这不是
[14:38] 一个好事情
[14:39] 还是让专职的
[14:40] 专业经理来做投资
[14:42] 你把钱去买ETF
