[00:00] 欢迎收听赵华一谷货载第1048集
[00:09] 今天是2026年的3月4号
[00:13] 这个礼拜跟上个礼拜
[00:15] 话锋完全是一个颠倒过来的情况
[00:19] 现在如果以今天的指数来说
[00:22] 我们回到了2月10号
[00:25] 也就是风关的前一天
[00:28] 今天台股的跌势相当的惨烈
[00:31] 当然最严重的还是韩国股市
[00:33] 好台股今天跌了1494点
[00:36] 收在最低点来到了32828
[00:40] 我们之前有讲说
[00:42] 月线应该会是一个强力的支撑
[00:44] 但没有想到因为今天收最低
[00:46] 月线是正式跌破
[00:48] 真的是来势很凶猛
[00:49] 那今天亚股的状况全部都不好
[00:53] 日股也跌了将近4个百分点之外
[00:55] 韩股真的是最猛的
[00:57] 盘中一度也跌到所谓的12个百分点
[01:00] 有触动他们的熔断机制
[01:02] 大家要知道像昨天啊
[01:04] 韩股不能算是熔断哦
[01:06] 韩股是有所谓的暂停交易一段时间
[01:10] 但今天是一个全体熔断
[01:12] 是真的跌太惨了
[01:13] 那到我们录音的时候
[01:15] 韩股还跌了有超过10个百分点
[01:17] 真的非常夸张
[01:18] 那今天盘面上就非常有感了
[01:21] 除了指数跌了将近1500点破月线之外
[01:24] 很多很多的热门族群
[01:26] 今天都直接杀到跌停板
[01:28] 载板跌停板
[01:30] 对不对
[01:30] 记忆体跌停板
[01:32] 太阳能跌停板
[01:33] 有一些特化跌停板
[01:35] 就是之前大家觉得
[01:37] 好像都不会回档的PCB上游等等的
[01:40] 今天CPU通通跌停板
[01:42] 好
[01:43] 今天跌停板的加速应该有六七十加以上
[01:46] 这么多家的跌停板
[01:48] 然后一口气杀到月线
[01:50] 然后又大概一千五百点
[01:51] 很多人都会说
[01:52] 那今天是一个勇敢加码的日子吗
[01:56] 还是再等等
[01:58] 跟两天前
[02:00] 可能大家的想法不一样
[02:02] 两天前大家是一看到下沙
[02:05] 哎呀这个非经济因素的下沙
[02:07] 赶快来抢
[02:08] 所以那天的台股是一个V转
[02:10] 立刻上去
[02:11] 但今天我觉得每一个人看着就会想
[02:13] 还要减吗
[02:14] 这个好像怪怪的
[02:16] 是除了这个我们常提到的
[02:19] 美伊战争的扩大
[02:20] 似乎更严重
[02:21] 因为昨天像美国的大使馆
[02:22] 有好几处已经被炸了
[02:24] 还是因为乖离过大的修正呢
[02:27] 那乖离过大的修正
[02:28] 昨天晚停来
[02:29] 也有跟大家分享
[02:30] 不排除哦
[02:31] 不排除会跑到季线去
[02:33] 好
[02:34] 但是这些都不用自己拿来吓自己
[02:36] 正好常常提醒一件事情
[02:37] 如果您有做到好的配置跟策略的时候
[02:41] 不要太担心
[02:42] 尤其是之前一直往上涨
[02:44] 觉得根本就追不上
[02:45] 追不下手
[02:47] 然后哎呀眼睁睁上去
[02:48] 别人财富都增加
[02:50] 那现在很公平
[02:51] 大家的财富
[02:52] 今天有持股的可能都缩水了
[02:55] 那该如何来因应
[02:57] 以及在今年如果还是看多头年的话
[03:00] 有没有机会真的买到比较便宜的股票
[03:03] 先来欢迎今天的来宾
[03:04] 好今天来的是我们的报价天王幸福哥
[03:07] 哈喽赵华还有各位听众朋友大家好
[03:10] 幸福哥今天发生什么事
[03:11] 以你的观察
[03:12] 你觉得今天韩股就几乎整个亚股
[03:15] 跌得那么惨重的主要的原因有哪些
[03:18] 当然这个战争因素的影响
[03:21] 还是占了绝大的因素
