[00:00] 欢迎收听赵华宇古货载第1149集
[00:09] 今天是2026年的7月29号
[00:13] 好所谓的4万点的保卫战
[00:17] 今天真的发生了
[00:19] 真的发生了
[00:20] 本来每一次在下跌的时候都会想说
[00:22] 会不会今天这样下跌是够了呢
[00:25] 不过这几天的量能一直是一个
[00:28] 大家会讨论的话题
[00:30] 因为下杀没有出量
[00:32] 要不呢
[00:33] 就是窒息
[00:34] 要不呢
[00:35] 你就干脆一点
[00:36] 报一个大量
[00:37] 那为什么四万点
[00:38] 大家会讨论的原因
[00:39] 是因为到了昨天
[00:41] 所谓的融资维持率
[00:43] 大盘的
[00:44] 不是个股的
[00:45] 个股已经有很多断头了
[00:47] 个股其实真的蛮惨的
[00:49] 尤其是贵买
[00:50] 所以如果大家手上
[00:51] 是中小型的热门题材股
[00:53] 也不用等到今天
[00:54] 前几天就已经饱受断头
[00:56] 可能被迫出场
[00:57] 觉得大崩
[00:58] 这样的痛苦
[01:00] 但大盘到了今天
[01:02] 融资维持率
[01:03] 它就有可能再度的往下降
[01:05] 降到130几%
[01:07] 接近130%
[01:08] 这在大盘的平均维持率上面
[01:11] 它就会出现比较明显的问题
[01:13] 也就是所谓的
[01:15] 你会看到报纸的头条
[01:17] 或是网路的新闻写
[01:18] 追缴令万箭齐发
[01:20] 就离这边会比较近了
[01:22] 所以今天一度有跌破4万点的大关
[01:25] 最低其实有来到39384
[01:29] 39384
[01:31] 是已经有恐慌的味道跑出来
[01:33] 不过到底今天的量能
[01:35] 能不能算是合格呢
[01:37] 今天的量能是有上兆的
[01:39] 1.08兆接近1.1兆
[01:41] 它是一个有点尴尬的量能
[01:44] 所以可能要搭配一下
[01:46] 看看晚上的融资
[01:49] 能不能再有效的降下来
[01:51] 昨天上市的融资量减200多亿
[01:53] 也是一个尴尬的减市
[01:55] 就是有碱
[01:57] 可是它不是算是让你知道
[01:59] 它清洗得很干净的那种碱
[02:01] 所以今天虽然是一个
[02:04] 破了所谓四万点
[02:05] 也可能大盘融资维持率
[02:07] 降到一个有点危险的位置
[02:09] 可是我们可能得再继续观察一下
[02:12] 再继续观察一下
[02:14] 好 我先来欢迎今天的来宾
[02:15] 我们刚刚在录音前
[02:17] 也有小小的先讨论了一下
[02:18] 对今天盘式
[02:19] 以及到底洗到这边来
[02:21] 算是够了没有的一些讨论
[02:24] 先来欢迎他
[02:24] 今天来的是我们的
[02:25] 寻南古顺威亮哥
[02:27] 大家好
[02:27] 因为昨天威亮哥
[02:29] 还有来上我们的专访
[02:31] 有聊了一下很多可贵的心法
[02:34] 也是说现在开始
[02:36] 他个人可能会先试一点水温
[02:38] 对不对
[02:39] 但如果试了之后
[02:40] 还在往下的话
[02:41] 就会建议大家先停看厅一下
[02:43] 只是这个停看厅的过程
[02:45] 并不是一个非常悲观的想法
[02:48] 而是会继续观察
[02:49] 因为目前有一个东西支撑的
[02:52] 叫做基本面并没有真的转坏
[02:54] 可是市场的气氛跟筹码
[02:56] 确实十分的
[02:58] 你说慌乱也好
[03:00] 风浪大也好
[03:01] 所以它呈现一个比较凌乱的状态
[03:03] 今天继续杀
[03:05] 而且今天盘中叠停板的加数
[03:07] 有超过200加
[03:09] 因为同样叠2000点
[03:11] 昨天跟今天不一样了
[03:12] 今天已经又怎么样
[03:13] 跟昨天比起来
[03:14] 已经又少了点数
[03:16] 所以那个%数会增加
[03:18] %数增加
[03:19] 叠停板的加数也增加
[03:20] 那亮不出来就是
[03:22] 可能它锁住了
[03:23] 锁住没有人愿意去在这个时候
[03:25] 承接把它敲开
[03:26] 所以量就相对不大
[03:28] 也就是买气还不够大的意思
[03:30] 那今天的话比较几个大的事情
[03:34] 第一个当然是
[03:34] 昨天我想大家就看到康宁的财报
[03:37] 很多人就对康宁的财报有意见了
[03:39] 等一下会来聊
[03:40] 然后再来是海力士的财报
[03:43] 其实海力士的财报是非常好
[03:46] 是没有办法挑剔的那种
[03:48] 但海力士今天盘中
[03:50] 我记得是有跌到15、67%以上
[03:54] 对
[03:54] 然后海力士的两倍杠杆
[03:57] 今天盘中有跌到35%
[03:59] 真的是很可怕的一天
[04:00] 所以韩国今天也是一个大失血的状态
[04:04] 大失血的状态
[04:05] 但是为什么这样的震荡
[04:07] 到现在没有办法停住
[04:08] 到底要观察哪一些的指标
[04:11] 才有办法停住
[04:12] 我们先请威良来帮大家纵观一下
[04:15] 现在到底发生什么情形
[04:16] 我们先来确认一下
[04:18] 到底中长期股市的多头
[04:20] 趋势改变了没
[04:22] 反转了没有
[04:23] 那这边第一个我会去留意的就是
[04:25] 我最信任的AI公司
[04:27] 我是台积电
[04:29] 不知道赵华
[04:30] 或者说各位听众朋友是哪一家
[04:31] 其实我觉得
[04:33] 你好好的把这最重要的AI指标股
[04:35] 从它的财报到它未来的展望
[04:38] 彻头彻尾再检视一次
[04:40] 那我想台积电当然这一波股灾之下
[04:42] 它也是外资最大台的提款机
[04:45] 难免会跌
[04:45] 不过相对是抗跌
[04:47] 即便已经要来回探半年线
[04:49] 不过波段最高到最低
[04:51] 到目前大概是跌了14%
[04:53] 所以其实护国神山
[04:55] 仍然是那一座神山
[04:56] 那我想呢
[04:57] 如果你有点忘记了
[04:59] 这个在7月份
[05:01] 台积电法说会的内容
