[00:00] 歡迎收聽趙華宇股貨載第1047集
[00:09] 今天是2026年的3月3號
[00:12] 這個禮拜跟上個禮拜
[00:14] 這個風格差異真的就變得很大
[00:17] 昨天有跟大家聊
[00:19] 昨天早上有發現
[00:20] 哇大家都好想要趕快進去搶股票
[00:23] 那剛好因為是一個開低瞬間走高
[00:26] 非常多人就扼腕說
[00:27] 哎呀沒有來不及啊
[00:29] 搶不到甚至有很多
[00:31] 券商的APP
[00:32] 都當機
[00:33] 我聽到好多災情
[00:35] 這邊不一一點名
[00:37] 各券商應該也知道
[00:38] 自己的APP當機
[00:40] 給大家帶來了一些困擾
[00:41] 但現在看起來
[00:43] 當機導致沒有買到
[00:44] 似乎並不見得是壞事
[00:47] 昨天的節目有提到
[00:48] 因為這個戰爭的因素
[00:50] 雖然目前為止會知道
[00:51] 伊朗的最高首領哈米尼
[00:53] 是身亡
[00:55] 可是這不代表
[00:56] 戰爭會馬上就沒事
[00:58] 可以預期是
[00:59] 它應該不會打得非常久
[01:01] 不太容易像俄烏戰那個樣子
[01:03] 可是你說馬上就沒事嗎
[01:05] 恐怕也不見得
[01:06] 那最大的重點是什麼
[01:08] 趙華昨天有說
[01:09] 最大的重點是臺股的乖離過大
[01:12] 乖離過大
[01:13] 再加上國際情勢不好
[01:15] 再加上目前美股的電子旗
[01:18] 也還在往下走等等的
[01:20] 今天韓股更是一度有暫停交易
[01:23] 跌到暫停交易
[01:24] 所以今天台股是
[01:26] 反而是開高走低
[01:28] 越走越低
[01:29] 最後幾乎是收在最低點
[01:31] 771點的跌點
[01:33] 等於兩天跌了超過1000點
[01:37] 那很多人會想說
[01:38] 哎呀之前三萬漲到三萬五
[01:41] 跨到三萬六都來不及買
[01:42] 那現在呢
[01:44] 今天收34323
[01:46] 跌完了嗎
[01:47] 跌夠了嗎
[01:48] 其實今天我有跟很多達人聊
[01:50] 大家有一致的想法
[01:52] 是真的很一致
[01:52] 包括今天來的人
[01:54] 我想大家也期待非常的久
[01:56] 我上禮拜就跟我團隊說
[01:58] 趕快叫他來啦
[01:59] PCB都已經漲到天上去了
[02:01] 那剛好
[02:02] 那剛好因為這兩天有迴盪
[02:04] 可以聽聽看他的意見
[02:07] 以及今年臺股啊
[02:08] 會不會高點就是在接近三萬六就沒了呢
[02:12] 還是剛好修正之後
[02:14] 還有機會再往上
[02:15] 先來歡迎他哦
[02:15] 趙華的好姐妹哦
[02:16] 統一投顧的
[02:18] 婉婷總經理
[02:19] 嗨趙華
[02:20] 各位觀眾朋友大家好
[02:21] 婉婷跟我說
[02:22] 他最近非常忙
[02:24] 他昨天有八個採訪家的廣告
[02:28] 發飆了
[02:29] 發盧了
[02:31] 但是這好像不見得是好事
[02:33] 對於媒體來講
[02:34] 有可能會是一個過熱的跡象
[02:36] 對不對
[02:36] 如果以你的感受來說
[02:39] 也許是
[02:40] 就是一個人人搶
[02:41] 像以前
[02:41] 我剛開始上電視臺的時候
[02:43] 那時候還在平面媒體
[02:45] 真的很不習慣電視臺的節奏
[02:47] 只有那個時候
[02:48] 有一個人就有發
[02:49] 我是誰呢
[02:50] 就是現在已經換來
[02:51] 我們財經臺的
[02:52] 關鍵時刻的劉寶潔
[02:53] 那時候是歐寨風暴
[02:56] 對
[02:57] 然後歐寨風暴
[02:58] 他們真的不知道該找誰來講
[03:00] 所以就從平面雜誌找到了我
[03:02] 對
[03:03] 所以你就知道說
[03:03] 當時不是多方的恐慌
[03:05] 是空方的恐慌
[03:07] 對
[03:07] 然後我又是一個菜鳥
[03:09] 就是電視節目超菜的菜鳥
[03:11] 就緊張到爆炸這樣子
[03:13] 但婉婷不像婉婷的颱風非常穩健
[03:16] 沒有沒有
[03:16] 就是我覺得可能是
[03:18] 恐慌的時候
[03:19] 需要大家出來幫忙消彌一下擔憂
[03:23] 所以昨天媒體電視臺的
[03:26] 然後報紙的也有
[03:27] 然後上一次這麼多人來採訪
[03:29] 是在去年四月
[03:31] 最熱的時候
[03:32] 對等關稅
[03:33] 對
[03:33] 發生大爆炸
[03:34] 所以恐慌的時候
[03:35] 大家想要找你
[03:36] 恐慌的時候
[03:37] 就會找分析師
[03:39] 那我們剛好被找到
[03:40] 對
[03:41] 但是今天就是也來聊聊
[03:44] 會不會是今年高點已經過了
[03:47] 這件事情
[03:47] 太好了
[03:48] 你看我今天剪到了
[03:49] 昨天只有疊三百多點
[03:51] 對不對
[03:51] 今天疊七百七十一點
[03:52] 我剪到晚停了
[03:53] 我們先發刀
[03:54] 沒有
[03:56] 我們先來聊一下
[03:58] 就是這次的戰爭
[03:59] 因為今天我想有一個新的事情
[04:01] 就是美國朱利亞德的大使館
[04:03] 被炸了
[04:04] 所以這也呼應到
[04:05] 當然第一個臺股瓜裡大
[04:07] 這個大家知道
[04:07] 瓜裡大才有回檔的空間
