[00:00] 欢迎收听赵怀古货仔第1160集
[00:09] 今天是2026年的8月13号
[00:12] 市场的气氛
[00:14] 悄悄的已经从利多不反映
[00:18] 只反映利空
[00:19] 甚至把利多往利空看的部分变成
[00:22] 现在几乎所有的利多都反映
[00:26] 昨天晚上
[00:28] 当然我们说最重视的CPI
[00:30] 消费者物价年增指数
[00:32] 结出来了
[00:33] 它是完完全全符合市场预期的
[00:35] CPI年增3.4%
[00:37] 核心CPI2.5%
[00:38] 它是一分不差的落在这个预测点上
[00:42] 落在预测点上
[00:44] 如果今天市场兴奋比较不好的话
[00:45] 可能就会有一些悲观的解读
[00:47] 但现在市场是乐观的
[00:49] 所以就往好的方向解读
[00:51] 9月升息的几率又往下走了
[00:54] 所以市场松了一口气的情况下
[00:57] 今天的台址到昨天的一盘
[00:59] 是一个差不多的情况
[01:00] 今天上涨了503点
[01:03] 当然涨到这里
[01:04] 已经46000点大关了
[01:07] 涨到这里了
[01:08] 难免大家在这个地方
[01:10] 有一点点
[01:11] 我到底现在做动作来得及吗
[01:15] 我想这是每一次
[01:16] 从底部上来的时候
[01:18] 一定会有的一个想法
[01:20] 我现在就是没有在4万点买
[01:22] 我要在4万6买吗
[01:24] 问题都一模一样
[01:26] 从杀下去谈上来
[01:28] 过程中或是现在是盘整
[01:30] 其实问题都是一模一样的
[01:32] 但我们要注意的是市场的气氛
[01:34] 今天还不止这件事情
[01:35] 今天还包括了MSCI公布了调整的状况
[01:39] 本来以为这一波台股因为有下杀的疑虑
[01:42] 资金流出崖谷
[01:44] 我们的权重有可能
[01:46] 三个指数不一定会全身
[01:49] 没想到这一次三个指数的权重都是上升的
[01:53] 一般的或是小型的新兴的
[01:55] 都是上升的
[01:57] 那当然也给台股一个激励
[01:58] 这次又是三升
[02:00] 以及又再度的
[02:01] 有所谓的挪威主权基金
[02:04] 加码台股
[02:04] 其实这个基金真的蛮大的
[02:06] 它持有的股票市值
[02:08] 换算成台币有五六十兆
[02:10] 不是小基金
[02:12] 那它有加码台股
[02:14] 比较特别的地方是
[02:15] 除了台积电
[02:16] 联发卡
[02:16] 鸿海这种大型股
[02:17] 它还加码很多很多的小型股
[02:20] 去年的代表作就是细光子
[02:23] 所以今年有什么
[02:24] 等一下也可以来探讨一下
[02:26] 以及最近不止小型股厉害
[02:28] 大型股像华硕
[02:29] 昨天绞出了非常亮丽的半年报
[02:32] 一扫大家担心消费性notebook
[02:35] 这类型的阴霾
[02:36] 反而更加着重
[02:38] 他们在AI伺服器上面的进展
[02:40] 华硕今天就是非常强悍的一个代表之外
[02:44] 下午广达也在结成绩
[02:46] 华硕跟广达有一个共通的特性
[02:49] 看看明天市场公不公平了
[02:52] 华硕昨天公布好财报的时候
[02:53] 他也公布了他的筹资计划
[02:55] 他有发海外的ECB
[02:57] 完全不管
[02:58] 我不管你现在要借钱
[03:00] 要筹资要干嘛
[03:01] 还是涨停哦
[03:02] 可是广达前一阵子
[03:04] 发行的一个海外存货凭证的时候
[03:06] 是送他一根叠亭哦
[03:08] 这个市场在气氛好跟不好的时候
[03:11] 差异非常大
[03:12] 好
[03:12] 那那么多的利多
[03:14] 在今天都还是在排名上呈现了
[03:17] 是否又会让人家想说
[03:19] 那接下来咧
[03:21] 接下来还有什么事
[03:22] 先来欢迎今天的来宾
[03:24] 今天是我们的选股教练黄金右下角
[03:27] 韦泰
[03:27] 大家好
[03:28] 我前面先把今天到底发生了哪一些事情
[03:32] 让盘面上还是一个相当不错的状态
[03:35] 跟大家分享
[03:36] 而且这一波的反攻
[03:37] 不再是一开始
[03:38] 当然有所谓的史上最大跌点
[03:40] 又有史上最大涨点等等
[03:42] 一下涨3000多点
[03:43] 但最近就是这种400 500的涨
[03:46] 就是以加权指数来说
[03:48] 而贵买的话可能就是一趴两趴
[03:50] 气氛就是好好的温温的
[03:52] 每天反攻反攻反攻
[03:54] 但是往下叠的温水主青蛙
[03:56] 你会不知不觉叠了很多
[03:58] 往上走的温水主青蛙
[04:00] 不知不觉也涨了很多
[04:02] 那到底现阶段
[04:04] 维泰之前有提过
[04:06] 上次的下杀有伴随很多
[04:08] 你觉得比较担心的因素
[04:09] 这些因素我们先来看
[04:11] 是不是叫做全部都拿掉
[04:13] 例如去杠杆
[04:14] 好的
[04:14] 这一波的反弹
[04:16] 其实就如同刚刚赵华所说的
[04:19] 就是有一点点让大家摸不着头绪
[04:23] 因为到昨天为止
[04:26] 其实我还听到非常多的投资专家
[04:30] 都认为说接下来还有机会再去打第二只脚
[04:34] 或者是说可能还会再做一次的回撤之类的
[04:39] 但是我记得我上次来的时候
[04:40] 我跟大家分享到
[04:41] 这一波的一个反弹其实已经过了0.5
[04:45] 或者是来到了前一波下跌的0.618的位置
[04:49] 已经来到了
[04:50] 所以当时我的这个判断是说
[04:53] 会不会上去不确定
[04:54] 但是至少说要在短时间之内
[04:57] 跌破这个39384的
[04:59] 这个前波低点的机会不高
[05:02] 离得很远了
[05:02] 对 而且那个时候
[05:04] 我还特别提到说
[05:05] 哇 这个7月30跟7月31号
[05:07] 这边有个多方缺口
[05:08] 都没有去做回补
[05:10] 代表着其实这个多方
[05:12] 慢慢慢慢的这个掌控了这个盘面
[05:14] 那只不过在上涨过程当中
[05:17] 大家还是半信半疑
[05:19] 所以成交量的部分
[05:20] 都一直没有说出现
[05:23] 明显的一个放大
[05:24] 那么除了这个OTC
[05:26] OTC其实在这个
[05:28] 前阵子的上涨过程当中
[05:30] 其实是量价结构上
[05:33] 相对比较
[05:34] 像是一个偏多头的一个走势
[05:37] 那么今天台北股市
[05:39] 从今天早盘一开始
[05:41] 我跟我的这个
[05:42] 一些学生在讲
[05:44] 聊天就在讲说
[05:46] 今天好像有一点点就是
[05:48] 过去这一个礼拜
[05:50] 大家在观望这些人
[05:52] 突然受不了了
[05:54] 就全部都冲进来的感觉
[05:58] 今天量有上一兆
[05:59] 对
[05:59] 所以我觉得今天
[06:01] 九点之后的这个所谓的融资雨
[06:05] 应该会比较明显的增加
[06:06] 我觉得这个是有可能会发生的
[06:09] 那为什么我会这么提到
[06:11] 你说其实从今天的一个
[06:13] 早盘的盘式上来看
[06:15] 有非常多的这些的个股
[06:17] 在早盘就强攻涨停板
[06:20] 而且都不是那种犹豫之后的拉抬
[06:24] 而是直接二话不说
[06:26] 就直接就拉涨停板的这种表现
[06:29] 当然有些个股其实我觉得还不错
[06:32] 例如说有些极优的个股
[06:35] 包括像联发科台达电
[06:37] 那么在今天他们两个都有出现
[06:40] 5%的一个上涨幅度
[06:42] 那么至于说一些之前跌的比较深的
[06:46] 包括像是吸金源跟这个被动元件
[06:49] 那么在今天也都还是有出现往上去做走高
[06:52] 那这部分呢是属于这种比较偏跌深的
[06:57] 但是呢我更看到另外一个地方
[06:59] 就是其实从7月31、8月初开始
[07:04] 陆陆续续都有一些就是股价呢
[07:08] 创这个破断性新高的
[07:10] 那这部分呢
[07:11] 其实从这个6669的尾影开始
[07:14] 然后呢
[07:15] 再来包括像川湖
[07:17] OK
[07:18] 然后一些相对的高价股
[07:19] 再往上去做一个带动
[07:21] 那甚至包括像是2408的这个南亚科
[07:25] 那么今天看到的是3017的奇鸿
[07:28] 是
[07:29] OK
[07:29] 这些的个股呢
[07:31] 在往上去做走高的情况之下
[07:33] 他们对我来讲
[07:35] 他们的意义代表的就是
[07:37] 这些所谓的领涨的指标
[07:39] 有这个创新高的一个股
[07:42] 它的加速增加
[07:43] 它加速增加代表着是
[07:46] 之前的这些所谓只是
[07:48] 愿意去做强反弹的
[07:50] 这样子的一个投资心态
[07:52] 它开始做了一点转变
[07:54] 它认为说
[07:55] 有机会呢
[07:57] 一些相对极优股的部分
[07:59] 还有可能会再
[08:00] 愿意去做追高
[08:02] 那这样子的部分呢
[08:04] 对于这种所谓的
[08:05] 之前已经修正过的
[08:07] 像刚刚赵华所问到
[08:09] 这种所谓的修正本益比的这件事情
[08:11] 到底是不是高的段落
[08:13] 如果说从我刚刚的描述
[08:15] 大家可以感受到
[08:17] 如果说修正本益比的这件事情
[08:19] 还没有高的段落的话
[08:20] 那这些个股理论上
[08:21] 它不应该去过高
[08:23] OK
[08:24] 那愿意过高代表大家又重新愿意
[08:26] 给它比较高的这个本益比
[08:28] 当然其实EPS增加调整的一个本益比
[08:31] 我觉得这个也是一个必经的一个过程
[08:34] 但是现在可以观察到
[08:36] 就大家对于所谓的一个本益比
[08:38] 过高
[08:40] 不太敢去做追高的
[08:41] 这样的情况的一个问题
[08:43] 似乎已经慢慢慢慢的淡化
[08:45] 所以我觉得
[08:46] 接下来在盘面的结构上
[08:49] 我个人的看法就是
[08:50] 一些在相对低档的
[08:52] 这些的个股
[08:53] 我们现在一边录音
[08:55] 一边汗光眼熄
[08:57] 所以自然一点
[08:59] 就有收音收进来了
[09:00] 也让大家听一下好了
[09:02] 因为要是以前的话
[09:03] 我们可能就会把这个声音
[09:05] 我们会暂停把它屏蔽掉
[09:07] 但是这个
[09:08] 我觉得还蛮有一点
[09:09] 什么时代背景的感觉
[09:12] 好
[09:13] 所以接下来肋骨轮动的情况之下
[09:16] 还是会持续啦
[09:17] 所以我
[09:18] 这个部分就是
[09:19] 我延续上礼拜跟大家讲了
[09:21] 就如果说
[09:22] 你之前手中的持骨
[09:24] 都还没有反弹到的话
[09:27] 那现在呢
[09:28] 还是请你稍微去做一个忍耐
[09:31] 因为接下来
[09:32] 在肋骨轮动架构之下呢
[09:34] 之前没有轮长轮动到的
[09:36] 这些个骨
[09:36] 都可能会未来的一两周
[09:38] 都有轮流反弹的机会
[09:40] 好一边听着警报
[09:41] 因为现在手机的降速
[09:44] 也即将要恢复了
[09:45] 刚刚我们在准备的时候
[09:47] 手机的降速真的
[09:48] 也让我们在查资料的时候
[09:50] 稍微慢一些
[09:51] 刚刚讲到手上的
[09:54] 如果没有反弹也不用担心
[09:56] 不是担心手上的已经弹了
[09:59] 要不要再加码
[10:01] 也不用担心
[10:03] 怎么讲呢
[10:04] 我们之前也有特别提到
[10:06] 我们往下的时候
[10:07] 不是会往下做一些承接吗
[10:08] 那也有提到会怕的朋友
[10:10] 就不要接了对不对
[10:11] 会怕的朋友
[10:12] 你会怕越接越低
[10:13] 以及资金本来可能就留的不多
[10:16] 好那至少谈到这边
[10:18] 可以证实一件事情
[10:20] 就是我觉得利多
[10:22] 并没有过度被反映
[10:24] 因为财报是好的
[10:26] 而不是说
[10:27] 今天明明就是财报不怎样
[10:29] 结果也不管
[10:30] 反正只要是某某产业就好了
[10:32] 就一起涨
[10:32] 这个我可没办法说
[10:34] 但是今天上涨的很多都是狭带者
[10:37] 财报好
[10:38] 财报有一点问题的
[10:40] 市场其实还是会有一点小犹豫
[10:42] 例如说昨天的鸿海
[10:44] 其实我昨天忽略掉了
[10:46] 华硕三绿三生跟历史新高这件事情
[10:48] 因为我的眼光比较看在
[10:50] 鸿海全职比较大
[10:52] 那鸿海他因为第二季的毛利率
[10:55] 略微下滑
[10:56] 真的下滑非常非常少
[10:58] 可是就成为整个财报上面
[11:00] 可能一个小的瑕疵
[11:01] 因为他另外的两绿是上升的
[11:04] 就是盈利率跟税后净利率
[11:05] 它的营收什么EPS
[11:07] 也都是非常明白的上升的
[11:08] 但市场在今天
[11:10] 还是给了鸿海一个比较压抑的股价
[11:12] 所以现在并不是无理性的去反映
[11:16] 这些好消息
[11:17] 它还算是一个理性反映
[11:19] 它也不是说
[11:20] 今天有这么多
[11:22] 我们台股MSCI调升权重
[11:25] 昨天CPI市场解读成9月不会降息
[11:27] 我们就来喷个1000点
[11:28] 1500点2000点吧
[11:30] 也不是
[11:30] 它是均匀的散布在
[11:33] 刚好我们现在截的
[11:34] 七云收跟半年报
[11:36] 好的公司上面
[11:37] 我觉得这是一个
[11:38] 非常好的现象
[11:40] 因为就像刚刚韦泰讲的
[11:42] 前面叠下来
[11:43] 你不知道叠到哪里
[11:44] 说实话
[11:45] 我们也只能事后告诉你
[11:47] 看起来四万点
[11:48] 这个点位
[11:49] 三千九百多点
[11:50] 这个点位
[11:50] 非常扎实
[11:51] 一边叠下来
[11:54] 我们必须讲
[11:55] 一定可以判断
[11:56] 是基本面没有出问题
[11:57] 可是点位这个事情
[11:58] 它有时候叫市场公式
[12:00] 加上当时有所谓的
[12:01] 储值股的条款
[12:02] 所以确实有让某一些股票
[12:04] 它超跌到你没有办法去评估
[12:06] 它的状态
[12:07] 后来储值股条款也改了之后
[12:09] 又稍微一逼上来
[12:11] 现在就是一个比较直稳
[12:13] 而且反应合理利多的时候
[12:15] 前面不敢下来接的
[12:17] 这边就不要再不敢去买了我的意思是那除非你退出股市真的就是你没没有勇气做那个一路接的人那至少在这边你知道现在是合理反应消息的时候
[12:31] 所以我们就用合理的数据
[12:33] 来评断手上的股票
[12:34] 我觉得这是最好的一件事情
[12:36] 但是有没有第二只脚
[12:37] 也有跟大家分享说
[12:39] 按照惯例
[12:40] 就是按照一些过去的通则来说
[12:43] 有的几率很高
[12:44] 可是没有呢
[12:45] 他可能以盘代叠
[12:46] 或者是过几天
[12:48] 你以为没有了
[12:49] 突然有呢
[12:49] 这些都是有可能在台面上发生的
[12:53] 但是谨记一件事情
[12:54] 现在已经八月了
[12:55] 已经八月的中旬了
[12:57] 无论如何
[12:58] 绝对都是展望第四季到明年的时刻
[13:01] 妥妥的
[13:02] 所以现在反映半年报
[13:04] 那接下来各家公司开发说
[13:06] 会告诉你明年的展望
[13:08] 又历经过修正
[13:10] 因为指数归指数
[13:12] 个股归个股
[13:13] 指数感觉上离前面的高点差2000多点
[13:16] 很多个股离前面的高点
[13:18] 可能还有四五成的空间
[13:20] 所以重新起算的一个状况下
[13:23] 可以去买
[13:24] 已经在新高附近的
[13:26] 因为这个最稳了
[13:27] 他就是已经克服所有困难
[13:29] 爬回原本的位置了
[13:30] 那看明年涨外
[13:31] 又比今年成长
[13:32] 没有理由不再过去
[13:33] 对不对
[13:34] 或者是你是觉得
[13:35] 他是受委屈的
[13:36] 他目前离他过去的前高
[13:38] 位置还有一段
[13:40] 而他今天缴出来的半年报成绩
[13:42] 一样是
[13:43] 例如说历史新高也好
[13:44] 三绿三生也好
[13:45] 都是一个可以重新开始起算的
[13:47] 我觉得这是一个很好的现象
[13:49] 像齐鸿的创高
[13:51] 我必须讲
[13:51] 其实齐鸿在半年爆出来后创高
[13:54] 当然很合理
[13:55] 但我也犹豫过
[13:56] 因为齐鸿这一波反攻是蛮强势的
[13:59] 他很快就来到前高的附近
[14:00] 但是我也会想说
[14:02] 如果他今天的营收
[14:04] 或是获利的年增率
[14:05] 他没有办法像以前是那种150
[14:07] 他可能降到100
[14:08] 那会不会有所谓的年增率
[14:10] 没有那么高的市场修正
[14:13] 可是现在看起来没有
[14:14] 就市场还是愿意给予
[14:16] 持续成长的公司
[14:18] 二次成长发育的机会
[14:21] 转股吗
[14:22] 对
[14:23] 所以这边的话
[14:24] 就变得没有那么难了
[14:26] 你就回到原本
[14:27] 我们在评估AI成长股的方式
[14:30] 去评估就好了
[14:31] 其实就是说白了
[14:32] 就是这样子
[14:33] 上一波我们到48000
[14:35] 我们怎么评估的
[14:36] 这一波就这么评估
[14:37] 当然过去的教训
[14:39] 我们要记取
[14:40] 一个就是杠杆
[14:40] 在怎么样开过高杠杆的时候
[14:43] 你看的再对
[14:44] 你都可能扛不起
[14:45] 一次无量的下跌
[14:47] 这个是第一个
[14:48] 那现在无量下跌这件事情
[14:49] 制度也有改变了
[14:50] 第二个
[14:51] 当它的营收和它的获利成长性
[14:53] 跟不上股价增幅的时候
[14:55] 它下跌的时候
[14:56] 你会没有办法摸到
[14:57] 它的底在哪里
[14:59] 就没有办法判断
[15:00] 这两件事情
[15:00] 我觉得就会是在
[15:02] 这一波修正里面
[15:03] 我个人的体会特别深的
[15:05] 特别深的
[15:05] 所以现在在
[15:07] 即使指数来到46000
[15:08] 即使我是抱持着
[15:10] 比较开放性态度
[15:11] 就是maybe啊
[15:12] 谁知道搞不好下礼拜
[15:13] 有什么事情
[15:13] 所谓的脚就来了
[15:15] 或是你这个时候再回测一下
[15:17] 也没什么大不了奇怪的事
[15:18] 也有可能
[15:19] 谁说要天天涨的
[15:21] 可是我的对策就会回复到
[15:23] 我继续看每个个股的成长性
[15:26] 最近它的财报跟法说怎么讲
[15:28] 对
[15:29] 那我觉得还是一样回到
[15:31] 我自己喜欢的族群
[15:32] 文的就是设备封测类
[15:34] 然后我觉得像散热过去委屈的
[15:36] 那既然齐鸿愿意表态
[15:38] 其他的散热是不是也值得留意
[15:40] 我觉得可以看
[15:41] 因为他回到所谓的
[15:43] 挪威主权基金这件事情
[15:44] 这基金这么大
[15:46] 那他前面的持股都很正常
[15:48] 刚刚讲就那些大型圈子股
[15:50] 后面持股的变化
[15:51] 我觉得很有趣
[15:52] 他上一次
[15:53] 他纳入了五档细光子
[15:55] 光盛联亚
[15:56] 什么波罗威
[15:57] 华星光
[15:58] 你可以想就是有五档
[16:00] 那时候就觉得
[16:01] 这么中小型的他也纳入
[16:03] 那这一次在中小型上面
[16:05] 我觉得他可能某种程度
[16:07] 不是说他一定对
[16:08] 可是他就会告诉你
[16:10] 他可能觉得
[16:11] 现在台湾的一些方向
[16:13] 例如他纳进谁
[16:14] 我跟韦泰刚刚有讨论
[16:16] 例如说他有预帮
[16:17] 这应该是被动元件
[16:19] 和生堂被动元件
[16:21] 日电贸被动元件
[16:23] 被动元件的好处是
[16:25] 7月营收解出来
[16:26] 他们目前跟上市场平均的
[16:29] 上市柜公司的营收年增率了
[16:31] 跟上了
[16:32] 好 这边有三档被动元件
[16:34] 他有坡洛威
[16:35] 他一样对台湾的矽光子
[16:37] 怀宇KY
[16:37] 他还是情有独钟
[16:39] 这个还是有的
[16:40] 有两档
[16:41] 然后再来的话
[16:43] 这个金好科
[16:44] 金好科最近创高
[16:46] 这个归类成记忆体
[16:48] IC设计
[16:49] 金好科
[16:50] 那实权
[16:51] 这个是模组
[16:52] 模组其实蛮委屈
[16:53] 是因为大家一直很怀疑
[16:55] 到底他们手上的库存要怎么卖
[16:57] 他们手上的库存是高价库存
[16:59] 还是低价库存
[17:00] 但至少他纳入了两档
[17:02] 是记忆体
[17:03] 他还买了台数
[17:04] 台数应该是大型股
[17:06] 但是应该是买不多
[17:08] 所以就排在这次新增里面
[17:10] 他买了一档叫创新服务
[17:12] 这是探针
[17:12] 他买了庸智科技
[17:14] 这也是探针
[17:15] 他不是买影威跟旺系
[17:16] 他买的是比较后面的
[17:18] 然后他还买了麦科
[17:20] 这个是散热
[17:21] 好
[17:22] 这边大概稍微念一下
[17:24] 就发现还有尖点
[17:25] 专针
[17:26] 男子店
[17:27] 比较落后涨的PCB
[17:29] 所以他还是在我们的
[17:31] 涨价升级题材里面
[17:32] 颇多琢磨
[17:34] 我觉得这个事情是
[17:36] 不管这个基金
[17:37] 大家说奇怪
[17:38] 要买这些是本土主力
[17:40] 帮他操盘吗
[17:41] 但是我觉得
[17:42] 方向就是这样
[17:43] 我看方向也是这样
[17:45] 是
[17:45] 我刚才看了一下
[17:47] 其实在这一次新增的
[17:49] 这个个股当中
[17:50] 比较多的就是在电子零组件
[17:52] 那电子零组件里面
[17:55] 又其实背后又有这个涨价题材
[17:57] 所以我觉得这一波
[17:59] 他们在这个选股上
[18:01] 其实还是有他的一些
[18:02] 背后的一些主轴
[18:04] 那所以在这部分来讲
[18:06] 我认为这个
[18:07] 这个资金的一个部分
[18:10] 其实以台北股市
[18:12] 回说台湾吧
[18:12] 台湾在今年GDP的一个成长率
[18:15] 是两位数成长
[18:17] 在这种基本面的情况之下
[18:19] 我觉得台北股市
[18:20] 会有涨多的拉回
[18:23] 但是应该不至于说是走空
[18:25] 那么讲到基本面
[18:27] 其实我对7月份营收
[18:28] 创新高的加速
[18:30] 208档这个数字
[18:32] 我有点吓到
[18:33] 因为我本来预期大概107 180
[18:36] 就是跟上一个月份
[18:38] 其实相差不多
[18:38] 我觉得是很合理的
[18:40] 但是结果跑出来
[18:42] 尤其在最后的倒数第二天
[18:44] 它出来的数字竟然超过200家
[18:47] 有点吓到
[18:47] 所以从7月份的营收
[18:51] 这样子来看
[18:52] 预期大概在第Q3
[18:55] 大概也不太会差到哪里去
[18:57] 所以我觉得这部分
[18:58] 可能就是在
[19:00] 为什么在最近这一个礼拜
[19:02] 我们看到就是有一些
[19:04] 本来相对比较保守跟观望的资金
[19:08] 可能在7月份营收公告
[19:11] 或者是Q2财报公告完之后
[19:15] 开始愿意回头去做一个买钞
[19:18] 那么对于投资朋友
[19:21] 现在的操作的一个策略来讲
[19:25] 其实我不知道大家有没有关注到
[19:28] 其实加权指数已经往上上涨
[19:31] 我们先不要抓涨多少
[19:33] 它现在涨的位置就是
[19:35] 已经站稳了所有的短中长期均线
[19:38] 是啊 它已经站上
[19:39] 而且好几天了
[19:40] 而且是在季限附近是45000附近
[19:45] 然后这一撑好几天再往上再走高
[19:47] 所以如果说先前在一些低档的一些个股
[19:52] 在这一波有出现比较强谈
[19:55] 谈到就是它股价已经占稳了
[20:00] 所有的短中期均线的这些个股
[20:02] 我们先确认一下它的基本面是不是OK
[20:06] 如果基本面OK的话
[20:08] 那么这样子的一个现行架构
[20:10] 我认为他的这个低档的一个底部的一个形态是扎实的
[20:15] 那这部分我觉得大家可以去做一个分批做承接
[20:19] 那如果是有一些到目前为止
[20:22] 他还没有完全至于做这个突破
[20:25] 或者是没有站稳所有均线的话
[20:28] 那这些的个股
[20:29] 当然我还是要有一点风险上面的提醒
[20:32] 因为这些个股
[20:33] 其实有很多的个股就是他反弹的幅度还不是这么的大
[20:38] 那这部分
[20:39] 当然它上面的一些解套性的卖压一定还是会有
[20:44] 所以如果说当然又不是一些
[20:47] 你认为说它的基本面很扎实的话
[20:50] 我觉得这些个股可能上去的时候
[20:54] 可以考虑看看是不是要去进行换股或者是减码的操作
[20:59] 像这次我们看到
[21:02] 我觉得矽晶园
[21:04] 矽晶园这一波反弹的幅度相对比较慢
[21:07] 然后他们的EPS的一个部分
[21:12] 其实我觉得成长的速度
[21:14] 没有这么快
[21:15] 不管是合金
[21:17] 还是台胜科
[21:19] 台胜科他在今年上半年
[21:22] 还是亏损
[21:23] 今年的第二季
[21:25] 也是小赚0.12而已
[21:27] 所以我觉得这部分
[21:29] 反弹归反弹
[21:32] 但是反弹到现在这种程度
[21:36] 假设已经当大盘都已经谈过了
[21:40] 所有的短中长期均线
[21:42] 但现在这些个股
[21:43] 它的反弹幅度还没这么大
[21:46] 再加上它的这个获利的状况
[21:49] 也并不是这么好的情况之下
[21:51] 我觉得市场上面
[21:53] 可能还是需要几次的一个震荡跟换手
[21:56] 所以这种个股
[21:57] 我就会比较建议大家逢反弹
[21:59] 可能先去做一次的一个解套
[22:02] 然后把资金抽回来
[22:04] 我们可以去做一些
[22:06] 其他的相对比较强势
[22:07] 或者是基本面
[22:08] 相对扎实的股票
[22:10] 可是你不是黄金右下角吗
[22:12] 因为我们刚刚讲到华硕
[22:14] 华硕很有意思
[22:15] 华硕其实是这一波
[22:17] 像我们之前常常讲到
[22:19] 光通讯对不对
[22:20] 光通讯什么先跌先止跌
[22:21] 什么的
[22:22] 先跌先止跌的是华硕
[22:23] 大家可以看一下
[22:25] 而且华硕呢
[22:26] 有两个人抓得到
[22:27] 一个就是韦泰
[22:28] 他用黄金右下角的角度
[22:30] 觉得华硕委屈了
[22:31] 他其实多次有讲过华硕
[22:33] 另外一个人叫朱老师
[22:34] 因为他在底部有爆大量
[22:36] 对
[22:37] 这一次比较难抓的原因是
[22:40] 有蛮多个股在
[22:41] 谈上来的过程中
[22:43] 他比较没有出现
