[00:00] 欢迎收听赵华宇古货载第1063集
[00:09] 今天是2026年的3月24号
[00:13] 好昨天晚上不晓得大家的感受如何呢
[00:17] 今天先讲一下结果
[00:19] 今天台股中场加权指数跌了110点
[00:24] 但是昨天晚上大家有看到戏剧性的一幕
[00:27] 就是夜盘直线的往上喷
[00:30] 这个最高
[00:31] 有来到大概1400点的突然性涨幅
[00:35] 好 涨点
[00:36] 涨这么多
[00:38] 那到了今天早上我起床一看
[00:40] 还保持着有1000点以上
[00:42] 可是我有观察一个指标
[00:44] 这个指标就是早上的韩股开盘
[00:46] 昨天韩股跌了超过6个百分点
[00:48] 但早上韩股开盘是反弹
[00:51] 三个多百分点
[00:52] 就大概可以预料到说
[00:54] 这个1000点的夜盘
[00:56] 可能会打点折
[00:58] 那我想大家都知道
[00:59] 昨天晚上发生什么事
[01:00] 我自己脸书也半开玩笑的
[01:02] 写了一下我昨天晚上的处境
[01:03] 昨天晚上七点
[01:05] 大概零几分吧
[01:06] 就有人通知我
[01:07] 还不是我自己看到
[01:08] 因为我们那时候录完达人秀
[01:10] 就正要休息
[01:11] 然后大家后制完
[01:12] 正要回家
[01:13] 哇
[01:14] 这个夜盘就直线往上跑
[01:16] 原来川普说
[01:17] 跟这个伊朗宣布了停火
[01:20] 停战
[01:20] 哎呦
[01:21] 这大事耶
[01:22] 如果这个美伊战争是停战
[01:24] 这个是大事
[01:25] 所以即使这个电视节目
[01:27] 已经录完了
[01:27] 很难再做任何的修改
[01:29] 我还是紧急跟大家说
[01:30] 等一下如果是停战
[01:31] 这个是大事
[01:32] 我们可能要想办法
[01:33] 在晚上的达人秀更新
[01:35] 可是到了20分的时候
[01:36] 川普说
[01:37] 我们的协议是五天停火
[01:39] 这个时候大家
[01:40] 其实心里面的火
[01:41] 也要先停一下了
[01:43] 五天
[01:44] 怪怪的
[01:45] 这家伙怪怪的
[01:46] 什么五天
[01:48] 这五天听起来就不太对劲
[01:50] 暂时性的停火
[01:51] 就没什么好高兴的
[01:52] 那偏偏到了
[01:54] 这个四几分的时候
[01:55] 就传
[01:56] 因为这个说实话
[01:57] 我们跟伊朗没有直接联络
[01:58] 所以伊朗就说
[01:59] 他并没有直接跟间接
[02:01] 跟美国取得任何和谈的协议
[02:03] 好吧
[02:04] 大家可以回家了
[02:06] 大家可以回家了
[02:07] 因为理财达人秀是晚上八点播
[02:09] 也来不及了
[02:10] 所以大家可以回家了
[02:12] 我们也不改了
[02:12] 就是这么样一个乌龙的晚上
[02:14] 我写在我的脸书上
[02:15] 听说还传的挺远的
[02:17] 连今天的来宾早上都贴给我看说
[02:20] 大家在传你这篇
[02:21] 我说不就是一个财经日常小废文吗
[02:24] 好 我先来欢迎他出场
[02:26] 今天来的是我们的
[02:27] 选股教练黄金右下角
[02:29] 韦泰
[02:30] 嗨 赵华好 大家好
[02:32] 真的是小废文啦
[02:33] 因为我想大家知道
[02:35] 我平常因为比较忙的关系
[02:36] 其实我的脸书
[02:37] 没有那么常在经营
[02:39] 通常都是在大叠的时候
[02:41] 可能会出来
[02:42] 稍微做一些安慰人心啦
[02:44] 当然偶尔我会写一些小废文
[02:46] 但是我后来发现
[02:47] 都是小废文的流量
[02:49] 好像比较好
[02:50] 怎么回事
[02:50] 那昨天晚上
[02:51] 我想大家会有共鸣是
[02:53] 真的没有想到会这样
[02:54] 昨天白天的时候感受是不好的
[02:57] 因为中小型股从上个礼拜五
[02:59] 就摆脱之前
[03:01] 好像一路势如破竹
[03:02] 管你全支股怎么跌
[03:04] 美股怎么跌
[03:05] 我的中小型热门题材照标不误
[03:07] 可是上礼拜五就已经回档了
[03:08] 那昨天在导一篇的时候
[03:10] 大家的体感温度肯定非常差
[03:13] 所以晚上戏剧性的表现
[03:15] 自然会蛮多人会想
[03:17] 希望真的就此和谈
[03:19] 希望就脾气太来
[03:21] 我手上的股票可以复活
[03:22] 当然有另外一票人会觉得
[03:24] 我白天才刚停损
[03:25] 搞什么东西
[03:26] 但后来最荒谬的就是
[03:29] 因为伊朗始终到
[03:31] 我们现在录Pockets的这一刻
[03:32] 他都说他没有接受任何和谈
[03:35] 但川普在那边洗滋滋
[03:37] 所以这件事情就变成一个
[03:39] 真的叫做
[03:40] 你也可以说是罗生门
[03:41] 可是你一听总之
[03:42] 这个美伊战有一方就说没有停
[03:43] 就是没有停
[03:44] 这也没什么好讲的
[03:46] 对不对
[03:46] 要交往还是要两个人同意
[03:49] 分手一个人同意就好
[03:50] 是这个意思吗
[03:50] 所以今天台股
[03:53] 反而不但是可能
[03:55] 预期涨点的一半都没有
[03:57] 因为预期涨点就是1000点打折
[03:58] 500点也好
[03:59] 但今天最后是收跌
[04:02] 哇这个情况就很不好
[04:03] 等于是你比昨天收的还要低
[04:05] 夜盘1000点是整个没有了之后
[04:09] 你还倒吐
[04:09] 到底发生什么样的情况
[04:11] 我们请韦泰来见证一下
[04:14] 又是一个
[04:15] 怎么讲
[04:16] 一个人的嘴巴可以影响到市场
[04:19] 这么大的情形
[04:20] 可是投资人的方向感该如何建立
[04:22] 其实我昨天看到这个消息的时候
[04:26] 我有猜到伊朗应该会出来否认
[04:28] 对
[04:29] 那果然呢
[04:30] 就像刚刚赵宝所说的
