[00:00] 欢迎收听赵华宜古货载第1135集
[00:09] 今天是2026年的7月8号
[00:11] 这个礼拜的交易日都不是很好搞
[00:14] 都不是很舒服之外
[00:16] 量能还是一样放不出来
[00:18] 今天的量又创下近期的一个比较新低量
[00:21] 没有到一兆元了
[00:22] 是9583亿
[00:24] 没有一兆元就叫低量
[00:26] 但看来是如此没办法
[00:28] 因为之前高的时候有到1.8兆
[00:31] 所以你9000多亿严格来说
[00:34] 不管那天1.8兆什么样一个原因
[00:36] 是一个腰斩量
[00:38] 如果比起最高量的话
[00:39] 所以这样的情况下
[00:41] 交易上面的信心
[00:43] 还有热门族群相对就会减少非常非常的多
[00:46] 那今天当然台股最后上演一个V转秀
[00:49] 就是有收红
[00:50] 收涨了255点
[00:51] 因为韩股的尾盘也拉红
[00:53] 不过这一波的亚股
[00:54] 确实因为韩股的震荡太大
[00:57] 我们真的也是受到一些影响
[00:59] 因为韩国呢
[01:00] 三星的财报非常的好
[01:02] 还是照样的跌
[01:04] 甚至他们今天就传出说
[01:05] 大力的抗议
[01:07] 说政府不应该开放
[01:08] 有这个三星海力士的
[01:10] 三倍做多ETF等等
[01:12] 当发行的时候
[01:13] 不是欢欣鼓舞吗
[01:15] 不是全民皆鼓王吗
[01:17] 现在跌了
[01:18] 就骂这个
[01:19] 不应该通过这类型的商品
[01:21] 这也是一个市场
[01:23] 其实还没有完全成熟的象征
[01:25] 不过没关系
[01:26] 我们最多就是两倍杠杆
[01:28] 而且商品还很少
[01:29] 我们算是一个
[01:31] 在金融发展上相对
[01:33] 我觉得还是偏保守的市场
[01:35] 所以这一波虽然是上下震荡
[01:37] 但说实话
[01:38] 我们是比韩股抗跌的
[01:40] 只是会更跌
[01:41] 那更跌的情况下
[01:42] 因为热门股的波动自然是大一些
[01:45] 我想体感温度真的是比较不理想
[01:47] 今天看到这个一开盘
[01:49] 也是很多股票普通普通
[01:51] 不管六月营收
[01:52] 有没有创历史新高
[01:53] 通通跳水
[01:54] 但反之像位阶比较低的
[01:56] 像工业电脑照常点名的严华
[01:58] 今天也因为六月影收创的新高
[02:00] 反而就逆势拉一根涨停板
[02:02] 我先来欢迎今天的来宾
[02:04] 因为今天来宾是操作比较积极的
[02:06] 他比较积极
[02:07] 他就对这段时间
[02:09] 这个盘面上的波动
[02:11] 格外会有感受
[02:12] 刚刚问他
[02:13] 他居然说有的事情
[02:14] 他已经不看了
[02:14] 直接去睡觉
[02:15] 我先来欢迎他
[02:16] 是我们的冠军操盘手云翔哥
[02:19] 大家好
[02:20] 听到云翔哥
[02:21] 大家应该会有个印象是
[02:22] 云翔哥以前会买所谓
[02:24] 这个Put选择权的空单来救台股
[02:28] 最近问题凶手找到了
[02:31] 因为他最近都不买选择权的空单
[02:34] 他之前有聊过一段时间
[02:36] 选择权空单真的非常难买
[02:38] 要不就非常贵
[02:39] 要不就是波动实在太大了
[02:42] 好不容易把它结算掉了
[02:43] 结果忽然大暴跌
[02:45] 就没有买到这样
[02:47] 诸如此类的
[02:48] 所以这段时间云翔哥观察
[02:50] 说实话大概从上个礼拜一到现在
[02:52] 都是处于一个一兆边缘的低量状态
[02:55] 到底我们在没信心什么
[02:57] 那你会怎么应对
[02:58] 我先讲一下
[03:00] 确实选择权大概前几个礼拜开始
[03:04] 确实是不好买
[03:06] 然后到后面你变成说
[03:08] 这个最大的波动点大概就是都是液盘
[03:12] 因为台股的液盘有时候波动很大
[03:15] 不要小看
[03:16] 台股液盘可能都有上千点
[03:19] 那你也讲说
[03:21] 竟然波动有上千点
[03:22] 那不是你最喜欢的吗
[03:23] 对啊
[03:24] 那应该这个选择权的波动
[03:26] 应该也大
[03:27] 也没有
[03:27] 选择权基本上等于是
[03:29] 比如说我礼拜一去买
[03:31] 这个礼拜五结算的
[03:33] 对
[03:33] 那你想应该很好买啊
[03:34] 不是
[03:34] 几乎都不动
[03:36] 五档基本上都没有人在做价
[03:38] 也就是说这个
[03:39] 没有造势的情况下
[03:41] 你就变成说
[03:42] 挂着也不会成交
[03:43] 那你那边空等空等
[03:45] 你整个晚上不用睡觉
[03:46] 所以我就算了
[03:47] 最近就睡觉
[03:48] 那就乖乖的
[03:50] 不是上次讲说
[03:51] 乖乖的买了2000张这个反一
[03:53] 反一就放在那里
[03:54] 其实有人说
[03:56] 那我干嘛买这个反一
[03:58] 不是应该波动不大吗
[04:00] 对 我问过你同样的问题
[04:01] 其实我的想法是这样的
[04:02] 就是说反一基本上
[04:04] 当然这个指数涨的时候
[04:06] 那反一当然我就跌嘛
[04:08] 对
[04:08] 可是相对于说
[04:10] 你看指数如果涨个两个百分点
[04:12] 不得了
[04:12] 两个百分点就已经降1000点了
[04:15] 是
[04:15] 那对于我的反一来讲
[04:16] 可能就跌两个百分点嘛
[04:18] 可是相对我的现货
[04:20] 很多搞不好会涨停
[04:22] 搞不好涨了五六趴
[04:24] 所以会比这个反应
[04:26] 这个所谓的波动来得大很多
[04:28] 对我是有利的
[04:29] 那相对于说
[04:30] 我怕的是系统风险一样
[04:32] 当比如说这个市场
[04:34] 是突然间暴跌这种两三千点
[04:36] 那反应基本上会赚很多
[04:38] 为什么
[04:38] 因为整个市场是暴跌
[04:40] 只是是往下拉的
[04:42] 相对我的现货
[04:44] 其实大概赔点也差不多
[04:45] 所以等于是这样的一个
[04:47] 一个互补的情况下呢
[04:49] 其实坦白讲
[04:51] 我是当然也是希望说
[04:53] 指数是涨的
[04:54] 可是在跌的时候呢
[04:55] 它基本上还是可以去
[04:57] 弥补我的这个现货损失
[04:59] 就是云翔哥还是做避险
[05:02] 但是因为
[05:03] 本来最好的工具对你来说
[05:05] 因为杠杆最高嘛
[05:06] 就是花小钱买选择全空单
[05:08] 可是现在在选择全空单
[05:09] 已经有一阵子
[05:11] 变得挺难买的
[05:12] 挺难买而且贵
[05:13] 所以后来就决定
[05:15] 如果要这个一段时间
[05:16] 不要理它
[05:17] 而有一个所谓防御型的部位的话
[05:19] 就选择买了2000张的反一
[05:21] 扔在那里
[05:22] 扔在那里
[05:23] 我觉得这是一个市场心理学
[05:26] 当然在云翔哥前面讲这个
[05:28] 有一点搬门弄骨
[05:29] 可是我是可以理解
[05:31] 因为我自己有一块像债券的部位
[05:33] 它当然没有办法像反一一样
[05:35] 就是说完全呈现跟你的现股市反向
[05:37] 来做避险
[05:39] 但是它不太动
[05:40] 它不太动
[05:40] 其实殖利率有点跑上去
[05:42] 可是因为现在我们台币太弱了
[05:44] 所以它是美元资产的情况下
[05:46] 基本上它价格就变成不太动
[05:48] 不太动当今天市场
[05:50] 你的热门股
[05:51] 一下子一开盘
[05:52] 555% 6% 7%
[05:54] 甚至往跌停走的时候
[05:55] 你就有一块是防御资产
[05:57] 其实对于新进上来说
[05:58] 例如说你要不要决定
[06:00] 这个时间点
