[00:00] 欢迎收听赵华与古惑仔第1082集
[00:09] 今天是2026年的4月22号
[00:12] 还记得在二月的时候我们讲过一句话
[00:15] 台股好像得了不会跌的病
[00:18] 现在这个病复发了
[00:21] 因为三月有美伊战争的关系
[00:24] 所以三月我们历经了一个震荡的三月
[00:27] 那时候大家也一度觉得比较没有信心
[00:30] 因为毕竟这个今年以来
[00:31] 一二月涨很多啊
[00:33] 涨很多那三月的修正
[00:34] 再加上美股当时几个指数都跌到年限
[00:39] 三月的气氛真的是相当的悲观
[00:42] 但四月又变了
[00:43] 四月现在台股不会跌的病复发啦
[00:47] 今天台股加权指数最高来到38096
[00:51] 38000点
[00:53] 还真的说来就来
[00:56] 而且为什么今天的感受又特别的诡异呢
[00:59] 等一下我也会跟来宾分享一下
[01:01] 我们最近对市场的一些观察跟想法
[01:04] 现在有一个新资金市场出现了
[01:06] 昨天我在看夜盘
[01:08] 那大家也知道我昨天做了什么事吗
[01:10] 我昨天有在股破仔非常大方的说
[01:12] 想要追高那怎么办呢
[01:14] 在历史高点
[01:15] 我就卖了一部分的债券型的ETF
[01:18] 转进到主动式的ETF
[01:20] 理由在昨天讲的蛮清楚的
[01:22] 那我昨天晚上我看夜盘
[01:23] 一度跌到300多点
[01:25] 我想好像真的有点加早了
[01:27] 但是那也没关系
[01:28] 因为我本来就有保留钱
[01:30] 就是说如果再下跌的话
[01:32] 我要再继续加码进去
[01:34] 昨天是一个用我本来在里面的部位换部位
[01:37] 所以没有加薪钱
[01:39] 结果今天一开盘就没机会了
[01:41] 今天一开盘就200点
[01:43] 然后盘中三四百点上去
[01:45] 尾盘虽然压抑下来
[01:47] 但是中小型股还是很厉害
[01:49] 今天涨停板的加速依旧高达102加
[01:53] 台积电还是收一个平盘
[01:56] 台积电继续让空间给中小型热门题材股
[01:59] 而热门题材股又有一些轮动
[02:01] 联发科再度涨停板
[02:04] 带动着有一些地位界的A设计
[02:07] 消费型的也都上来
[02:08] 连续第二天了
[02:10] 我先来欢迎今天的来宾
[02:11] 我们要好好聊一下
[02:12] 现在的台股
[02:13] 为什么又重新得了不会跌的病
[02:16] 可能有一件事情在影响着他们
[02:18] 今天来宾是我们的型男股神
[02:20] 温亮哥
[02:21] 大家好
[02:21] 大家好
[02:22] 好我们先来讲一下这个盘
[02:24] 因为昨天晚上我在看夜盘的时候
[02:26] 心里想中午要跌一下了
[02:29] 我昨天虽然卖了债券的ETF
[02:32] 买进主动式ETF
[02:33] 但我也做好心理准备
[02:34] 因为是追高
[02:35] 勉强来说
[02:36] 昨天是一个历史高点
[02:38] 那我这样做
[02:39] 即使是部位换部位
[02:40] 都是有点在追高
[02:41] 可是今天一开盘
[02:43] 没有想到昨天夜盘跌的
[02:44] 今天完全消失无踪
[02:45] 而且中小型股依旧非常的热闹
[02:47] 现在台股整个局势
[02:49] 到底是发生了什么样的变化吗
[02:52] 简单来看
[02:53] 我觉得基本面我们本来就很强
[02:56] 而且这个强
[02:57] 或许会超乎大家的想象
[02:59] 像外销订单跟出口
[03:01] 不断不断创新高
[03:02] 基本上因为去年
[03:04] 台湾的上市柜企业获利
[03:06] 已经来到4.5兆历史新高
[03:08] 今年预计多少
[03:09] 将有机会挑战6兆元台币大关
[03:12] 所以这代表
[03:13] YOY年增率是高达三成
[03:16] 我们知道如果年增率两成
[03:18] 或许这个本益比
[03:19] 往20倍就算合理了
[03:20] 那如果年增率三成呢
[03:22] 台股的本益比
[03:23] 往这个25倍以上来做反应
[03:25] 其实也是合理的
[03:27] 所以为什么最近
[03:28] 看到很多很多新的法人研究报告
[03:30] 不断的冒出来
[03:31] 像雨后春笋一样
[03:33] 而且呢
[03:33] 共通的关键字都是两个字
[03:36] 上修
[03:36] 上修EPS
[03:38] 上修目标价
[03:39] 对所以基本面呢
[03:40] 本来就很强
[03:41] 那现在正在反应
[03:42] 那股市除了反应基本面之外
[03:44] 通常还有呢
[03:45] 就是资金跟信心
[03:47] 这也是两个
[03:48] 可以说更为重要的关键
[03:50] 那讲到其实资金
[03:52] 最近台币在转身了
[03:54] 所以钱不断不断的回流
[03:56] 那外资前一段时间因应
[03:58] 地缘政治风险
[03:59] 所以在全球的资产配置
[04:01] 有做了一些再平衡的调整
[04:03] 但是现在也必须要再再平衡
[04:06] 钱要赶快回流了
[04:07] 所以很简单可以看到
[04:09] 为什么台达电继续创新高
[04:11] 为什么联发科连续两天涨停板
[04:14] 因为这个分数是值第二跟第三大的
[04:17] 现在重点来了
[04:18] 连市值第四大的
[04:20] 就是曾经长期霸占第二名的鸿海
[04:24] 今天都大概涨了半根停板
[04:26] 因为外资钱回流了
[04:28] 所以包括像鸿海在内的这些
[04:30] 所谓的老AI伺服器的
[04:32] 下游组装的代工厂
[04:33] 我觉得都有机会
[04:34] 像其实今天也看到
[04:35] 微影也蠢蠢欲动
[04:37] 这个技术面也是一个原型底了
[04:39] 那再来就是刚才讲到的
[04:40] 就是信心这个关键了
[04:42] 现在大家发现了
[04:43] 原来反正川普就是在谈判桌上
[04:46] 不断的taco taco交易
[04:47] 所以呢
[04:48] 哪怕呢
[04:49] 所谓的停火协议
[04:50] 它是有呢
[04:51] 保固期的
[04:51] 当然大家都知道
[04:52] 这个期限呢
[04:53] 可以是延了再延
[04:55] 就跟谈对等关税
[04:56] 是一样的
[04:56] 那台股经过
[04:57] 这么多的利空测试
[04:59] 那不断呢
[05:00] 是不跌
[05:00] 而且还变成呢
[05:01] 在利空当中呢
[05:02] 是走出了历史新高
[05:04] 那就我所知道
[05:06] 蛮多人是在呢
[05:07] 清明年假之前
[05:08] 就有减码了
[05:09] 所以可能持股
[05:10] 所谓不足空手
[05:12] 甚或是呢
[05:12] 空单
[05:13] 像现在的借券卖出的
[05:15] 于二世创下的
[05:16] 历史的一个高档
[05:17] 对所以呢
[05:18] 这几种这个情绪加总之后呢
[05:21] 简单来看
[05:21] 现在就是呢
[05:22] 股市的投资人内外之都有呢
[05:24] 报复性消费
[05:26] 就赶快再补水位
[05:27] 所以我觉得这个行情呢
[05:29] 重点就是多头趋势来的时候
[05:31] 我们就是顺着趋势走
[05:33] 那不要逆势
[05:34] 因为我也是在观察
[05:37] 就是上礼拜是一直跟大家分享说
[05:39] 加个股对不对
[05:40] 因为个股可能会有这种
[05:42] 所谓产业轮动
[05:43] 或是强者很强都会有
[05:44] 其实都发生了
[05:45] 就是强者也有很强
[05:47] 然后产业也有轮动
[05:49] 就是刚刚特别提到的
[05:50] 像最近这种成熟制成的
[05:52] 然后当然他们跟AI
[05:54] 一定也有扯上某种的边
[05:56] 才会长
[05:56] 像联发科就是所谓TPU概念
[05:58] 对不对
[05:59] 那Google又要在4月22号
[06:01] 也有他们的技术论坛
[06:02] 而台积电也在4月22号
[06:04] 有他们的技术论坛
[06:06] 像这类型的
[06:07] 都蛮容易刺激到科技股的上攻
[06:10] 那当然强的
[06:11] 例如说PCB
[06:12] 就一直在往强的路上走
[06:14] 什么载板
[06:15] 通博机板
[06:16] 我们都讲到烂掉了
[06:17] 其实我今天看到
[06:18] 我的库存里面有锦硕
[06:19] 大家也知道我有锦硕
[06:20] 然后当初我一直跟大家讲
[06:22] 想要卖掉什么时候
[06:23] 就接近200块的时候
[06:24] 不是有跟大家分享说
[06:25] 想要卖掉吗
[06:26] 后来不是婉婷阻止我吗
[06:28] 可是
[06:29] 大家到500的时候
[06:30] 你那种感觉很不真实
[06:32] 我根本就
[06:33] 坦白讲哦
[06:34] 他到200到500这一段啊
[06:37] 他完全就是一种
[06:38] 懵到的
[06:39] 对
[06:40] 就是我知道
[06:41] 因为现在市场的资金
[06:42] 在他身上
[06:43] 可是我并不是知道说
[06:44] 哦我跟你讲
[06:45] 仅说现在虽然EPS两块
[06:47] 可是以后会变两百块哦
[06:48] 不是用这种心情
[06:49] 我知道它会成长
[06:51] 包括南电 新兴都一样
[06:53] 但是我不知道市场
[06:54] 到底要让它长到什么程度
[06:56] 这个叫做资金潮
[06:58] 它不见得是叫做单纯成长股
[07:01] 然后也不单纯
[07:02] 只是因为台湾有非常好的
[07:04] 第一季营收
[07:05] 非常好的出口外销订单而已
[07:07] 它有一种资金
[07:08] 就像刚刚魏良讲的
[07:10] 不管是报复性的回来补
[07:12] 还是真的手上没东西
[07:14] 很恐慌的回来补
[07:15] 现在资金有点可怕
[07:17] 而推升他们的
[07:19] 还有股市力
[07:19] 等一下我们会聊
[07:20] 就是所谓的
[07:21] 主动式ETF这件事情
[07:22] 我觉得它有在改变
[07:24] 台湾的资金生态
[07:25] 当然有待观察
[07:27] 因为毕竟从去年五月到现在
[07:28] 也还都不到一年
[07:30] 发行最长的
[07:31] 大概也只是将近一年而已
[07:33] 好 等一下来聊这个
[07:34] 但我这边先来补
[07:36] 请问威良好了
[07:37] 如果先以个股来论
[07:38] 因为盘面上百花齐放
[07:40] 刚刚讲乔连强
[07:41] 他好像细光子
[07:41] 对不对
[07:42] 我往往没有想到
[07:44] 联亚会三千块吗
[07:45] 联亚是五百块
[07:46] 我可能都会觉得
[07:47] 有点胆战心惊的
[07:48] 还会到三千块
[07:49] 刚刚讲的一批是强很强的
[07:51] 到底应该是去着重这个
[07:53] 还是像最近
[07:54] IC设计新开始涨
[07:57] 然后我看到今天像
[07:58] 例如像细创
[07:59] 它是做驱动IC的
[08:00] 它一涨停半
[08:01] 还有像我抱非常非常久
[08:03] 一档股票叫联勇
[08:04] 当初也是觉得
[08:05] 就是一种左侧价值
[08:07] 它其实很久都没有涨
[08:09] 它最近也小小的在涨
[08:11] 这个是属于
[08:12] 比较消费性电子的部分
[08:13] 另外老AI刚刚有提到
[08:16] 也开始低档复苏了
[08:18] 鸿海今天5%
[08:18] 还有记忆体是回档后再涨
[08:21] 还有低轨卫星
[08:24] 很多人说华通你怎么了
[08:26] 这一波创新高
[08:27] 怎么没有你的份
[08:28] 这一些是比较位阶低的
[08:31] 还有一些是位阶高的
[08:32] 到底大家该在这些产业里面
[08:34] 如何做选择跟配置
[08:36] 哇嘞
[08:37] 凌郎满目啊
[08:38] 凌郎满对不起
[08:39] 全部念完了
[08:40] 你选你想要讲的讲就好了
[08:41] 其实我想透露出
[08:43] 头真的心生就是这样子
[08:45] 是 领养满目
[08:46] 谈面真的是感觉
[08:47] 有一点到变成是百花齐放了
[08:49] 对
[08:49] 我想我早上才刚好
[08:51] 跟一个媒体朋友聊到
[08:53] 我觉得大概就在这一个礼拜
[08:56] 台股跟三月或四月的上旬
[08:59] 我觉得长相内容不太一样
[09:01] 是
[09:01] 其实大概在四月初以前
[09:03] 台股说穿了就是呢
[09:05] 总是环绕在大概四大产业
[09:08] 包括就是记忆体
[09:10] PCB
[09:11] CPU
[09:12] 跟低轨卫星
[09:13] 然后那几档呢
[09:14] 还有设备股
[09:15] 人气指标股
[09:16] 你就是白眼后买着放的
[09:18] 白眼后
[09:19] 就是一直往右上角串
[09:20] 没有错
[09:21] 但是如果以今天的台股盘面
[09:23] 简单来形容呢
[09:24] 哇
[09:25] 这真的是高价的低价的
[09:27] 那旧的产业新的产业
[09:29] 其实都在轮动了
[09:30] 那这个就表示说
[09:32] 其实整个市场的多头的力道
[09:36] 它在扩散
[09:36] 不过每一次走到多头力道
[09:39] 在扩散的时候
[09:40] 就会变成呢
[09:41] 其实这个题材
[09:42] 它也会开始真真假假
[09:44] 它会混杂在一起
[09:45] 所以我觉得比较难的是
[09:47] 投资人第一个要说服自己
[09:50] 愿意接受说
[09:51] 其实多头的时候
[09:52] 我们刚才讲
[09:52] 你就要顺势而为
[09:53] 你要进场
[09:54] 对你不要一直想说长多了
[09:56] 因为假设当初大家觉得说
[09:58] 其实要毕竟前一次的历史高
[10:00] 三万五已经长多了
[10:01] 假设你在当时就已经先定毛了
[10:04] 然后提早减码
[10:06] 下策出场
[10:07] 那可能就卖飞
[10:08] 代表后面的三千点
[10:09] 就指数的观点
[10:10] 你已经完全miss掉了
[10:11] 那萬一現在又想說4萬都要到了
[10:14] 假設我們沒有人會知道
[10:15] 但是萬一假設過了4萬
[10:17] 他就繼續再漲兩三千點
[10:18] 那你是不是又錯失一大段
[10:20] 所以我覺得第一個難
[10:21] 你要先說服自己
[10:22] 願意順勢進場做多
[10:24] 那第二個難的可能更難了那我要進場了可是這麼多的題材怎麼辦那我觉得所以要学习练习就是简法哲学其实就像呢在投信经营人
[10:35] 他们在选股的时候
[10:36] 并不会是所谓的cover
[10:38] 就是研究覆盖到呢
[10:40] 所有2000档股票
[10:41] 就是有一些股票
[10:42] 我正面表列
[10:43] 你必须符合什么条件
[10:44] 我才买
[10:45] 那有一些股票呢
[10:46] 我是负面表列
[10:47] 你只要怎么样怎么样
[10:48] 我就不买你
[10:49] 比如说
[10:49] 只要呢
[10:50] 你毛利衰退
[10:51] 我就不买
[10:51] 你营收衰退不买
[10:52] 你过去信用不好
[10:53] 我就不买
[10:55] 我就不买
[10:55] 这大家有点原则
[10:57] 所以回来说
[10:58] 就是我会觉得
[10:59] 今天这个盘
[11:00] 对我自己也是
[11:01] 一个一大考验
[11:02] 因为我们看到呢
[11:03] 这两天大家在讨论
[11:04] 最热心的东西
[11:05] 叫做IC设计
[11:06] 对
[11:06] 新的族群
[11:07] 没错
[11:07] 那我也在犹豫
[11:08] 就是说
[11:09] 我要不要参与
[11:10] 然后
[11:11] 那初步的答案是呢
[11:13] 我觉得要有
[11:14] 选择性的参与
[11:15] 好
[11:15] 因为呢
[11:16] 说到这一次
[11:17] 为什么IC设计会涨
[11:18] 我个人观察
[11:20] 待会赵华帮我补充
[11:21] 两个原因
[11:21] 第一个
[11:22] 联电宣布
[11:24] 成熟制成代工要涨价
[11:25] 一个是要涨价
[11:27] 还有另外一个
[11:28] 好像还有记忆体的
[11:29] 因为IC设计就是这样子
[11:31] 就是说
[11:31] 他们就是联电的客户
[11:33] 投片给联电
[11:34] 那所以呢
[11:35] 联电你现在代工要涨价了
[11:37] IC设计就说
[11:38] 那我们也要把成本
[11:39] 去做一个反应转嫁
[11:41] 所以我们也要涨价
[11:42] 那这种理由
[11:43] 我觉得通常
[11:44] 是比较没办法说服我
[11:46] 因为大家想想看
[11:47] 如果一个专门卖蛋饼的
[11:49] 然后鸡蛋上涨了
[11:51] 所以他觉得我苦不堪言
[11:52] 因此我也要
[11:53] 涨价
[11:54] 我的蛋饼要涨价
[11:55] 你会去攻克这个蛋饼
[11:56] 老板说恭喜你
[11:57] 这是大利多吗
[11:58] 我觉得不是
[11:59] 因为有可能什么
[12:00] 你涨价之后
[12:02] 消费者那我早餐
[12:03] 我换个东西吃
[12:04] 我不吃蛋饼了
[12:05] 那因为所以消费性电子
[12:06] 它没有像AI这种
[12:08] 拼算力基础建设的
[12:10] 这么强劲的刚性需求
[12:11] 所以一旦呢
[12:13] 如果IC设计也试图要涨价
[12:15] 我觉得对于后续的
[12:17] 它的业绩动能
[12:18] 我觉得能见度是不高的
