[00:00] 欢迎收听赵华谊古惑仔第1158集
[00:09] 今天是2026年的8月11号
[00:12] 昨天和今天其实都有呈现一个状况
[00:15] 就是反弹到这里了
[00:17] 对不对
[00:17] 即使他没有再下去打所谓第二只脚这件事情
[00:20] 可是他也出现了有一些些反弹到这里
[00:24] 大家比较止步观望也好
[00:26] 或者是族群各自表现也好
[00:29] 它不再是从4万点那时候弹上来的时候
[00:32] 每天在暴力反弹的一个状况
[00:34] 但也没有关系
[00:36] 因为今天的台股还是相较于
[00:39] 美股昨天晚上废办的表现
[00:41] 我们还是蛮强的
[00:42] 我们不太跌
[00:43] 不太跌
[00:44] 也不太涨
[00:45] 我们好像在这边干嘛
[00:46] 又出现一个状况了
[00:47] 我们又在等人家了
[00:49] 我们在等谁呢
[00:50] 等韩国上来
[00:52] 我们在等什么呢
[00:53] 等废办也慢慢的看能不能上来
[00:55] 那废办的下跌
[00:57] 可能有反映了一些短暂的利空
[00:59] 例如说油价又因为美益之间的这些纠纷
[01:02] 其实纠纷太久了
[01:03] 我们只看油价
[01:04] 油价有上来一些
[01:05] 还有就是辉达
[01:06] 有拉了一些所谓的金融巨头来一起做筹资
[01:10] 那市场现在对筹资很摇摆
[01:12] 一下子觉得筹资是为了更长远的未来
[01:14] 一下子觉得筹资你举再高了
[01:16] 高利率环境其实是不好的
[01:18] 回收会不利
[01:19] 我们现在就进入到有一点点摇摆区的状态
[01:22] 但台股相较之下
[01:24] 依旧是一个
[01:25] 有点冷静一下
[01:27] 我们等一下
[01:28] 等一下也不错了
[01:30] 等一下也不错
[01:31] 但等一下同时
[01:32] 我们7月营收在昨天
[01:34] 已经全部解出来了
[01:35] 其实超级厉害
[01:36] 超级厉害
[01:37] 超级厉害
[01:38] 等一下
[01:39] 那就好了
[01:40] 我们就有时间做思考
[01:42] 我觉得这个很重要
[01:44] 不然每天涨停
[01:45] 大家就会根本没办法思考
[01:47] 管他追
[01:47] 每天跌停也没办法思考
[01:49] 我到底要不要看
[01:50] 现在有好的营收摆在这里
