[00:00] 歡迎收聽趙華與古惑仔第1018集
[00:09] 今天是2026年的1月15號
[00:12] 我們都知道今天在等什麼
[00:14] 今天在等臺積電的法說
[00:16] 但是在法說會前這兩天
[00:18] 當然臺積電看起來有點受到壓抑
[00:20] 我想全市場也難免會覺得
[00:22] 會覺得什麼呢
[00:23] 知道他會講好
[00:25] 可是會不會利多不漲
[00:27] 我們不要說利多出鏡
[00:28] 可能利多暫時會頓化
[00:30] 會不會有這個問題
[00:31] 所以今天呢
[00:32] 臺積電呢
[00:33] 以現股來說是跌了20塊錢
[00:35] 那加權指數在盤中
[00:37] 還一度跌了200多點
[00:38] 尾盤有稍微拉起來
[00:39] 跌了131點哦
[00:41] 好
[00:42] 但是今天的盤
[00:43] 在臺積電開始開法說之後
[00:45] 會覺得好像有一點
[00:47] 沒那麼重要了
[00:48] 為什麼
[00:49] 等一下我們會來跟大家拆解
[00:51] 熱騰騰的跟大家拆解
[00:53] 臺積電的法說
[00:54] 每一次我們都有
[00:55] 第一時間來跟大家分享
[00:57] 每一次趙華都會說
[00:58] 大概最近五次吧好了
[01:00] 我都會說真的講得太好了啦
[01:03] 真的是無懈可擊
[01:04] 100分120分
[01:06] 但今天我們有了一個新的名詞
[01:08] 今天我跟我的來賓
[01:10] 有一個新的名詞
[01:12] 叫做不可思議
[01:14] 今天的法說會內容
[01:17] 給的資料跟展望叫做不可思議
[01:19] 我們等一下再來聊
[01:20] 那今天排面上
[01:21] 這個臺移電受壓抑
[01:23] 是因為大家難免有一點
[01:24] 有點在賭啦
[01:25] 說實話
[01:26] 知道好
[01:26] 但是會不會漲呢
[01:27] 就像臺電
[01:28] 現在一邊開法說
[01:30] 一邊夜盤
[01:30] 它的ADR漲了這個3.5%
[01:32] 會不會能夠持續到晚上呢
[01:34] 這個確實我們都會繼續觀察
[01:37] 那盤面上
[01:37] 今天表現比較亮眼的
[01:39] 我想PCB對不對
[01:40] PCB的上游又來了
[01:42] 潑鉛布潑鉛沙
[01:43] 又說一塊布搶翻天
[01:44] 好同樣的故事
[01:46] 我覺得至少可以代表一件事
[01:48] 今年在漲價升級題材
[01:50] 大家不要擔心
[01:51] 不要太擔心
[01:52] 因為今年是漲價升級
[01:54] 真正落實的第一年
[01:56] 也是他們營收到發發的第一年
[01:58] 所以當你發現有這型別的族群
[02:00] 在休息的時候
[02:01] 給他一點時間
[02:02] 像今天PTP又大復活
[02:04] 那還有像低軌衛星
[02:06] 當然是最近的顯學
[02:07] 但也要留意
[02:08] 低軌衛星一直漲
[02:09] 它總會休息
[02:11] 當它休息的時候
[02:12] 資金就會跑出去到別的地方
[02:14] 那我們儘量就是
[02:16] 你看好的產業
[02:17] 有下來的時候做佈局
[02:19] 我想這個是最安全的
[02:21] 好
[02:21] 那最難的問題就是
[02:23] 臺積電現在算高還是低
[02:25] 臺積電的裝置供應鏈算高還是低
[02:28] 因為今天也公佈了一個超乎市場想象的資本支出的資料
[02:32] 我先來歡迎今天的來賓
[02:34] 特別為了臺積電發出來的
[02:36] 今天的來賓是國泰正齊的蔡明翰
[02:39] 明翰協力
[02:39] 造華好
[02:40] 聽眾朋友大家好
[02:41] 好的
[02:42] 接下來交給你了
[02:44] 好
[02:45] 我簡單的說一下幾個不可思議的點
[02:49] 當然大家如果有看到去年第四季
[02:52] 雖然已經叫做過去式
[02:54] 而且也有人猜
[02:55] 臺積電那麼強
[02:57] 是不是因為第四季的成績很好
[02:58] 但他還是超乎預期
[03:00] 因為毛利率來到了62.3
[03:04] 大家知道
[03:05] 大家都很擔心臺積電到美國設廠之後
[03:08] 拖累毛利率
[03:09] 但他的毛利率卻是越來越高之外
[03:12] 是爆表性的高
[03:14] 這不稀奇
[03:15] 稀奇的在今年第一季的展望
[03:18] 毛利率的高標已經來到了65%
[03:22] 我跟你說
[03:23] 這真的我知道他今天要講好
[03:25] 可是我不知道有這麼好
[03:27] 真的太好
[03:27] 那資本支出其實前幾天
[03:30] 趙華又有聽到大家在討論
[03:32] 大概有拿到一些訊息
[03:33] 是知道至少500億以上
[03:35] 但今天是520億到560億美元的資本支出
[03:40] 這也超越所有外資的預期
[03:43] 光這兩個數字我就已經嚇到了
[03:46] 那因為現在我們在錄音的同時
[03:48] 等一下陸陸續續還會有資訊進來
[03:50] 我先請明漢協理
[03:51] 就我們已經拿到的
[03:52] 2025年第四季的資料
[03:54] 和2026年目前已經講的展望來說
[03:58] 那講述這樣的成績
[03:59] 我們到底該怎麼看待
[04:00] 臺積電和臺積電的供應鏈
[04:02] 好
[04:03] 我們講幾個重點
[04:05] 我個人覺得
[04:06] 這一次的法術會
[04:07] 當然
[04:08] 我老實說比上一次要更驚豔
[04:10] 這是目前看到的結論
[04:12] 怎麼還可以更驚豔
[04:13] 但我覺得數字
[04:15] 其實跟上一季有很多相似的地方
[04:18] 我講幾個相似的地方
[04:20] 就是上一次是
[04:22] 等於是去年十月的時候
[04:24] 在講第四季會怎樣
[04:26] 那結果出來呢
[04:27] EPS結論就是
[04:29] 比市場預期的多了兩塊錢
[04:32] 那我那時候跟大家講
[04:33] 這兩塊錢到底有多重要
[04:35] 就是說EPS多兩塊
[04:38] 同時會有一個問題
[04:39] 就是前一季多兩塊
[04:41] 代表著後一季
[04:42] 你也要再拉高兩塊
[04:44] 因為營收原本是平的
[04:46] 然後原本上一季估15
[04:48] 結果出來是17
[04:49] 你不只是上一季要估17
[04:51] 下一季也要估到17塊
[04:52] 所以就是來來回回
[04:54] 變兩季就增加4塊
[04:55] 那4塊有時候投資人沒有感受
[04:58] 說4塊那又怎麼樣
[04:59] 我跟大家講4塊錢
[05:01] 代表什麼意思
[05:01] 它的本益比高點
[05:03] 就是落在接近25倍
[05:04] 所以多4塊4乘25
[05:06] 代表就是100塊
[05:07] 代表它股價就是要上升
[05:09] 100塊的那個概念
[05:10] 回過頭來
[05:11] 因為上一季就是落在17塊半左右
[05:14] 那這一季呢
[05:15] 已經公佈了營收
[05:17] 其實跟前一季三四季也差不多
[05:20] 所以代表著就是
[05:21] 大家都會期待
[05:22] 就是他第四季
[05:24] 大概就是再賺個17塊半左右
[05:26] 就出來19塊半
[05:27] 又是多2塊
[05:28] 上一次的故事一模一樣
[05:30] 因為上一季多2塊
[05:32] 代表著你明天看到的外資報告
[05:35] 對第一季的EPS
[05:36] 必須再上修2塊錢
[05:38] 所以一樣又多出4塊錢
[05:40] 乘上25倍的本益比
[05:42] 股價又得多100
[05:43] 所以就是這個邏輯
[05:45] 不斷不斷的往上墊高
[05:47] 另外再講到營收的部分
[05:49] 我個人覺得很不可思議
[05:51] 有些人會覺得
[05:53] 因為說上禮拜二
[05:55] 我們在答案秀也提到
[05:56] 其實大家原本給的看法
[05:59] 就是能夠就這一季的展望
[06:02] 能夠計持平就已經很厲害
[06:04] 有些人會
[06:06] 我跟投資人聊的時候
[06:07] 他會說
[06:08] 什麼1700塊的臺積電
[06:10] 居然只要求持平
[06:12] 我先幫他平反一下
[06:14] 這個概念
[06:14] 你會記得一件事情
[06:15] 臺積電他是做這個晶片的
[06:18] 晶片最大的應用端幾乎都在消費性電子
[06:22] 那每一次呢這個全年最大的量就是在美國12月
[06:26] 11月12月的感恩節聖誕節
[06:28] 所以最大的出貨量一定都在第三季
[06:31] 第四季以往就是會季減5到10%
[06:35] 到第一季再季減5到10%
[06:37] 除了淡季還有過年的關係
[06:39] 所以會持續往下
[06:41] 那一直到第一季才是真正的低點
[06:43] 第二季之後再慢慢往上
[06:45] 走
[06:45] 這就是每年的pattern
[06:47] 結果去年第四季
[06:48] 它能夠維持高點
[06:50] 我就覺得
[06:50] 哇真的很不可思議
[06:52] 簡單來講
[06:53] 就是沒有
[06:54] 在臺積電的眼裡
[06:56] 就是沒有淡季
[06:57] 這兩個字
[06:57] 它就是
[06:58] 沒關係
[06:59] 你消費性電子不出貨
[07:00] 可是我AI出貨再增加
[07:02] 我就去補足
[07:03] 消費性電子的不足
[07:05] 那我本來想
[07:06] 來到第一季
[07:07] 我在上禮拜
[07:08] 看到外資的報告
[07:09] 它整體評斷就是
[07:11] 大致上季節一個percent
[07:13] 就算是持平
[07:14] 那我看到說
[07:15] 這個我會覺得
[07:16] 這個要求有點高
[07:18] 我們來看看到底有沒有可能
[07:19] 就出來是計增6%
[07:21] 如果以他的高標
[07:23] 他如果剛剛有人用臺幣來幫他算
[07:26] 會到1.13兆
[07:28] 我記得他上一季是
[07:29] 1.046兆之類的數字
[07:31] 這可能比6%還在多一點點
[07:34] 這實在是非常的
[07:35] 瞠目結舌
[07:37] 是
[07:37] 對
[07:38] 所以我就說
[07:39] 他現在的問題就是
[07:41] 我之前講到
[07:43] 現在問題就是怎麼可以有人
[07:44] 這麼龐大的身軀還跑這麼快
[07:46] 我剛剛講了
[07:49] 就是在我們在看法術會的時候
[07:51] 就過去記錄
[07:52] 過去這個開出來數字不重要
[07:55] 大家看展望
[07:56] 就沒想到因為他的數字
[07:58] 多兩塊實在太不可思議
[07:59] 就是過去數字
[08:01] 太不可思議
[08:01] 他這個不可思議的原因是因為
[08:04] 他必須逼著法人把這一季
[08:06] 你原本的看法不斷的往上拉
[08:08] 所以他這個數字不是過去
[08:10] 就代表了第一季要明顯的要往上走
[08:13] 那另外剛才提到
[08:15] 就是第一季的這個展望也是非常樂觀
[08:18] 另外就剛剛講提到資本支出
[08:20] 其實從這個到上禮拜的外資預估值
[08:25] 都落在等於說接近500左右
[08:29] 就是450到500之間
[08:31] 但是很接近500
[08:32] 那大家看法有所不同
[08:34] 理論上就比較正式報告而言
[08:37] 就目前的角度
[08:38] 確實我在上禮拜看到報告
[08:40] 還沒有人預估資本支出
[08:42] 敢直接突破500億的
[08:45] 那它結果就是很明顯
[08:47] 不管是甚至區間下緣
[08:49] 就已經高過500
[08:50] 所以代表著這個
[08:51] 所謂的資本支出不斷的擴張
[08:53] 那我其實在法術會前
[08:56] 跟大家在聊的時候
[08:57] 就有提到這個問題
[08:59] 就最近就在不斷的謠傳說
[09:01] 美國還要再擴敞
[09:03] 資本支出還要增加
[09:05] 那這個我就回過頭來
[09:07] 順便算一下
[09:08] 兩三年前
[09:10] 它在美國擴敞的時候
[09:11] 大家把它當利空解讀
[09:13] 我那時候就覺得
[09:15] 為什麼會是利空
[09:16] 我不太理解
[09:17] 你是走在很前面的人
[09:18] 我前兩天跟你有一樣的想法
[09:20] 就是我跟大家講說
[09:21] 以前一聽到
[09:22] 美國要臺積電增加投資了
[09:24] 金額還這樣隨便喊
[09:26] 大家都很生氣
[09:27] 覺得這個是賣臺
