[00:00] 欢迎收听赵华宜古惑仔第1069集
[00:09] 今天是2026年的4月1号
[00:12] 不晓得大家听到这一集的时候
[00:14] 有没有人跟你玩了愚人节游戏呢
[00:18] 我今天从一早就非常戒备
[00:19] 但谁跟我们玩愚人节游戏呢
[00:21] 其实川普一直在跟我们玩愚人节的游戏
[00:24] 真的我有在我自己脸书上说
[00:26] 选对男女朋友
[00:28] 天天都是情人节
[00:29] 你选到川普当总统
[00:31] 天天都是愚人节
[00:33] 昨天还在非常的惊吓的状态
[00:36] 因为中小型股真的倒成一片
[00:39] 呼应到美股在前一天是记忆体
[00:41] 西光子倒地了
[00:43] 所以我们昨天
[00:44] 哇 跌停板的记忆体
[00:46] 跌停板的西光子
[00:47] 甚至有一些PCB
[00:48] 就所谓的热门题材
[00:49] 昨天是一个非常凄惨的行情
[00:52] 昨天说实话
[00:53] 如果要进去捡跌停板的个股
[00:55] 恐怕大家都需要很大的勇气
[00:58] 可是如果在昨天去加码一些
[01:01] 比较市值新的
[01:02] 主动式的ETF
[01:03] 应该是还做得到的
[01:04] 所以有跟大家聊说
[01:05] 手上还有资金想加的
[01:07] 昨天确实可以加一些
[01:08] 但如果没有了呢
[01:10] 手上资金已经在前几次子弹打完了
[01:12] 那当然可以再等一等
[01:14] 因为愚人节
[01:16] 我们真的不知道
[01:17] 今天中场大涨了1451点的明天
[01:22] 或下礼拜
[01:23] 是继续维持
[01:24] 还是又谈崩了
[01:26] 这一次能够这么凶
[01:28] 是因为
[01:28] 当然川普又提到和谈的事情
[01:30] 而伊朗没有再回嘴
[01:32] 目前没有
[01:33] 目前没有再回嘴
[01:35] 那明天早上台湾时间的9点
[01:37] 川普还要针对
[01:38] 这个美伊战争
[01:39] 进行一个全国演说
[01:41] 所以这些可能都让市场觉得
[01:43] 似乎这一次
[01:46] 似乎是不是真的有一点不一样了
[01:48] 但这一切也有可能等到伊朗一回嘴
[01:51] 又没了
[01:52] 又没了
[01:53] 好 如何在三月到现在四月
[01:56] 要所谓的亲民廉价钱
[01:57] 这么样的大涨大跌行情
[01:59] 找到对的节奏呢
[02:01] 除了我碎碎念
[02:02] 我想来宾对于产业的见解
[02:04] 还有他个人的心法
[02:05] 稳定大家的信心
[02:07] 也非常重要
[02:07] 先来欢迎他
[02:08] 今天来的是我们的
[02:10] 新南谷生 威良哥
[02:11] 早安好 大家好
[02:13] 我们刚刚跟威良哥有小闲聊
[02:15] 因为威良哥是一个
[02:16] 口才非常好的人
[02:17] 每一次来上谷货仔
[02:19] 大家都会留言说
[02:20] 好喜欢听
[02:21] 我两个很有条理和逻辑的说法
[02:24] 然后我两个跟我说
[02:25] 可是他是觉得自己是一个口才很差的人
[02:28] 我想这很欠打
[02:29] 是真心的
[02:31] 但是因为我们都有训练过
[02:33] 我想我们也曾经在这个方面
[02:35] 是我们的痛点
