[00:00] 欢迎收听赵华与古惑仔第1125集
[00:09] 今天是2026年的6月24号
[00:12] 今天是一个下跌千点的日子
[00:15] 不过也不会太意外
[00:17] 因为昨天下午夜盘就已经跌1000点了
[00:20] 提早谢提
[00:21] 昨天的日盘台股跌的是少了一些些
[00:25] 因为昨天韩国其实有发生一件事
[00:27] 刚刚跟来宾还小讨论了一下
[00:29] 觉得可能性应该不高
[00:31] 但是如果真的发生了
[00:33] 我觉得那个是国家级灾难
[00:35] 等一下可以也顺便聊一下
[00:37] 因为今天韩股就反弹了
[00:38] 所以显见韩国市场目前的共识
[00:41] 应该也觉得可能性不高
[00:43] 就是所谓的你为实现利益
[00:45] 到底要不要被克税这件事情
[00:47] 我觉得实现利益被克税
[00:49] 就已经大家够崩溃
[00:51] 你为实现还要被克税
[00:53] 台湾如果发生这个事情
[00:55] 不要讲这个
[00:56] 我们也会熔断的
[00:57] 跌到很夸张的
[00:59] 那今天呢
[01:01] 中场是下跌了1057点
[01:03] 不过我想今天盘中
[01:05] 大家的体感温度不会算太差
[01:07] 因为今天贵买是收红的
[01:09] 也等于是
[01:11] 其实今天中小型股的跌幅
[01:13] 不像昨天比较重
[01:14] 今天中小型股反而表现比较好
[01:17] 跌呢都跌到哪里去呢
[01:20] 台积电啦
[01:20] 联发科啦
[01:22] 台光电啦
[01:23] 就是各大领头羊把它扛走了
[01:26] 所以今天除非您的持股
[01:28] 全部都是这类型的大型全值股
[01:31] 要不然体感温度还可以
[01:33] 好先来欢迎今天的来宾
[01:35] 要来好好聊聊
[01:36] 因为这两三天其实严格来说
[01:39] 没有什么国际性的利空
[01:41] 就是一个感觉上是涨多的回吐
[01:44] 或是说有点受到像韩国的影响
[01:45] 或是美光财报公布前
[01:47] 美光的股价震荡影响
[01:49] 大概是这样的事情
[01:50] 都不是极大的事件
[01:52] 那到底回到今天1000点够了没有呢
[01:55] 好先来欢迎他
[01:55] 来的是我们新南股神
[01:58] 威良哥
[01:58] 小娃好 大家好
[01:59] 威良最近都以东森为家
[02:02] 录完下午的节目
[02:05] 还会再接
[02:05] 就是我们现在晚间七点
[02:07] 有个打打的新节目
[02:08] 对 六月份开始的新节目
[02:11] 对 然后录影的时间变很长
[02:13] 然后偶尔我看到他在那儿
[02:15] 我就觉得也不能浪费人才
[02:17] 赶快捞过来讲我们的Podcast
[02:19] 昨天今天都叠
[02:21] 两天加起来
[02:22] 大概叠了一千六七百点
[02:24] 在一个比较没有事件性利空的情况下
[02:28] 或者是你觉得
[02:29] 有我们没有发现的利空的情况下
[02:31] 这样的回档幅度
[02:33] 这样的一个小修正
[02:34] 算是已经满足了吗
[02:35] 我觉得真的不用太过担心
[02:38] 因为基本上第一个
[02:39] 大家也知道这一波充满快的
[02:41] 而且一度已经算是面临五万的大关
[02:44] 濒临成效
[02:45] 那过去其实不管是说在闯两万
[02:48] 或拼三万或挑战四万
[02:50] 每一个整数大关前
[02:52] 往往都会有这种关钱的洗盘震荡
[02:54] 那实际上大家也清楚
[02:56] 因为现在都是在创历史新高
[02:58] 每一个阶段上档只要突破之后
[03:00] 它都是没有任何真正实质的套牢反压
[03:03] 所以这个纯粹只是在一种心理面上
[03:05] 大家觉得说
[03:05] 毕竟这个关卡了
[03:07] 是不是有一些涨多的
[03:08] 要解码一下卖一下
[03:09] 那这个反而是一个好现象
[03:11] 因为现在市场
[03:12] 当然有很多的报道
[03:14] 看起来好像蛮热
[03:15] 可是我觉得投资人
[03:16] 现在虽然是热衷股市
[03:18] 但是真的也没有到
[03:20] 这个疯狂的失序
[03:22] 大家这种
[03:23] 大家盲目的去做追价
[03:24] 我觉得并没有
[03:25] 所以很明显
[03:26] 你看像昨天
[03:27] 稍微震荡一下之后
[03:29] 融资又单日减了百亿
[03:31] 其实在6月份以来
[03:32] 单日也都出现过
[03:34] 前面有两次
[03:35] 减少百亿
[03:36] 后面很快也都回稳了
[03:38] 所以其实有点像是
[03:40] 在平常
[03:41] 有时候可能会有一些
[03:42] 小小的二级地震
[03:43] 三级地震
[03:44] 甚至是五感地震
[03:45] 让一些地壳运作的能量
[03:48] 释放一下
[03:49] 这个就不会去应让出
[03:51] 一个毁天灭地的灾难
[03:52] 所以第一个来讲
[03:53] 我觉得台股呢
[03:54] 现在大家是有点怕怕的
[03:56] 可是有点期待
[03:57] 这种氛围呢
[03:58] 就所谓的一个半信半疑嘛
[04:00] 那代表呢就是
[04:01] 真正的高点或者是泡沫
[04:03] 还不会出现
[04:04] 那当然第二个来看的话
[04:05] 我觉得最近当然呢
[04:07] 所谓的双高族群
[04:09] 是比较揣在蛋啦
[04:10] 那种高是指呢
[04:11] 就第一个高位阶
[04:12] 第二个高本益比
[04:13] 那很典型来看
[04:15] 你看像昨天美股
[04:15] 虽然很多股票都跌
[04:16] 不过算是重灾区的板块
[04:19] 应该就逛了通讯
[04:20] 那最近台股的光通讯
[04:22] 尤其是比较偏我所谓的老光
[04:24] 老光
[04:25] 我跟你讲
[04:26] 我们在讲光通讯的时候
[04:27] 在讲老光通讯
[04:28] 我们自己内心都会觉得有点纠结
[04:30] 但就是讲所谓第一线
[04:33] 第一批上去的
[04:33] 第一批开始涨的那一些光通讯
[04:35] 对啊
[04:36] 大家想想像上泉啊
[04:37] 波罗威啊
[04:38] 甚或像这个
[04:39] 光圣
[04:39] 光圣 莲雅
[04:40] 这些特别高价的
[04:42] 然后距离他们之前的高点
[04:43] 其实也都蛮明显的修正幅度了
[04:45] 没错
[04:46] 对 那这个呢
[04:47] 就是因为过去大家是按市场信心很强
[04:49] 氛围很好的时候
[04:50] 他们可以享受这种
[04:51] 可能动辄是70倍
[04:53] 100倍的本益比
[04:54] 但是现在这个高本益比呢
[04:55] 就可能会稍微受到一些
[04:57] 修正挤压了
[04:58] 因为呢
[04:59] 毕竟呢
[05:00] 这个市场对于年底之前
[05:01] 会不会升息
[05:02] 升息是一码两码
[05:04] 或三码
[05:05] 每银都喊出了三码
[05:06] 这样的空间
[05:06] 对所以这个
[05:07] 有点让市场有点
[05:08] 摸不着头绪
[05:10] 那通常呢
[05:10] 因为只要有预期
[05:12] 心理在做反应
[05:13] 发酵的时候呢
[05:14] 本益比的评价
[05:15] 它会先去冲击到股价
[05:16] 那这个部分
[05:17] 我觉得就是最近
[05:19] 股票市场的价格
[05:20] 他重新再找他适合的位置
[05:23] 所以确实也等于数不太出来
[05:27] 有什么大利空
[05:27] 当然唯一的
[05:28] 刚刚有讲到
[05:29] 美银有突然说出一个
[05:31] 年底要升息三码
[05:33] 当然以目前搜集到的资讯
[05:37] 年底一码是真的有可能性
[05:39] 三码还真没有听过
[05:41] 所以这件事情
[05:42] 姑且先把它放在旁边
[05:44] 而且先不要忘记
[05:45] 最近的油价并没有什么爆充
[05:47] 通膨有可能在下半年
[05:49] 只要油价没有爆冲的情况下
[05:51] 是有可能受控的
[05:52] 所以三马我个人是觉得
[05:54] 不知道从何而来
[05:55] 它太违背现况
[05:57] 跟所谓的川普意志了
[05:59] 对
[05:59] 我觉得如果是因为这件事情的话
[06:01] 它也是一个小的
[06:02] 就像刚刚讲的二级地震
[06:03] 因为它有一点点小不切实际
[06:05] 当然如果它发生
[06:06] 它会是黑天鹅
[06:07] 因为就是市场目前完全不这么像
[06:09] 对
[06:10] 那刚刚讲到韩国的事呢
[06:12] 你怎么看
[06:12] 就是既然说
[06:13] 账上未实现利益要来克税
[06:16] 要是磕到你头上
[06:17] 你会有什么想法
[06:18] 我觉得韩国政府呢
[06:20] 当然不希望说股市
[06:21] 太热然后失控
[06:23] 对终究是因为热的关系
