[00:00] 欢迎收听赵华语古货载第1050集
[00:09] 今天是2026年的3月6号
[00:12] 今天的大盘就比较温和一点
[00:14] 历经了这个礼拜的大起大落
[00:17] 今天是小跌73点
[00:20] 不过如果大家昨天有看夜盘的话
[00:22] 会知道现在的多空拉锯非常的剧烈
[00:25] 昨天的夜盘看着看着跌五六百点
[00:29] 又拉回平盘
[00:30] 那今天我们台股算厉害的
[00:32] 因为今天韩股
[00:33] 它还是一个持续下跌的状况
[00:35] 但我们是小跌73点
[00:37] 盘中还有拉起来过
[00:38] 但今天的成交量已经缩小了
[00:41] 今天是6311亿的上市成交量
[00:45] 那今天的热门股看起来
[00:47] 都偏向是在例如油
[00:49] 或是低价像面板
[00:51] 可是像低轨卫星
[00:53] 或是像记忆体
[00:54] 或像矽光子
[00:55] 就可能各自有各自的表现
[00:58] 戏光子其实今天
[00:59] 这个赖总统有做演说
[01:01] 也有提到戏光子
[01:02] 所以有少数几档
[01:03] 表现还是很好
[01:05] 可是大多数
[01:05] 依旧是因为博通把这个法说
[01:08] 开成法会的关系
[01:10] 所以还是一个下修的状况
[01:12] 好那这个礼拜大起大落
[01:14] 上一个礼拜是一路上涨
[01:16] 那下个礼拜呢
[01:17] 下礼拜
[01:18] 所以我们今天呢
[01:19] 特别邀请到一个
[01:21] 平常很少来上我pocket
[01:23] 但今天特别来的人
[01:25] 也是我的好partner
[01:26] 今天来的是我们的爱伦
[01:28] 风火轮
[01:29] 哈喽大家好
[01:30] 赵华好
[01:31] 好生疏
[01:32] 为什么很生疏
[01:35] 比较久没有来
[01:36] 可是我们当初
[01:37] 其实赵华爱伦说
[01:38] 就是从Pocket起家
[01:40] 没有错
[01:40] 这个其实就是我的根
[01:42] 你的根是不是
[01:44] 那下次把你连根拔起
[01:47] 不要
[01:47] 我们先来讲一下盘式
[01:50] 因为这一次你年前年后
[01:52] 有稍微休假
[01:53] 但是年前年后休假的时间
[01:56] 就是盘式长最多的事件
[01:58] 所以现在又是在怪我
[02:00] 从达人秀怪到赵华尔伦说
[02:02] 然后再怪到你的podcast
[02:03] 对
[02:04] 所以也没有要否认的意思
[02:06] 不是啊
[02:07] 这是事实啊
[02:08] 事实摆在眼前来掏出事实块
[02:10] 对不起大家
[02:10] 但是我们
[02:11] 我们现在帮听众
[02:13] 就是聊一下这个盘式
[02:14] 因为你是做右侧动能
[02:16] 没错
[02:16] 事实上这个礼拜盘式
[02:17] 应该会对你有点困扰
[02:18] 是的
[02:19] 但是我最近
[02:21] 我有在加深我的
[02:23] 对于选股的这个逻辑
[02:27] 那有点
[02:29] 眼神飘逸
[02:31] 对对对
[02:31] 为什么
[02:32] 因为就主要还是会锁定在
[02:34] 其实因为这一次下跌的原因
[02:36] 并不是台积电出问题
[02:38] 或者说科技股出问题
[02:40] 当然有一个质疑就是
[02:41] 美国CSP大厂是不是资本支出太多
[02:43] 可是主要下跌原因
[02:44] 应该是归类在就是
[02:46] 每以一的战争
[02:47] 也就是说它其实是一个
[02:49] 军事冲突的系统性风险
[02:51] 所以呢
[02:51] 在因為這個因素去做下跌的時候
[02:54] 我並沒有到
[02:55] 當然行情不好一定難受
[02:57] 但我並沒有極度看壞後續的行情
[03:01] 主要原因還是因為
[03:02] 其實我們台灣股市或者說整體的景氣
[03:04] 應該都還是非常強勁的
[03:06] 也就是說等戰事消停的時候
[03:08] 這個行情應該都會呈現一個
[03:10] 回歸上行軌道的狀態
[03:12] 也就是說我其實覺得這一波下跌
[03:14] 是剛好可以第一個休息一下嘛
[03:17] 畢竟行情前面太強了
[03:18] 那第二个你很多股票前面都很难买
[03:21] 对那如果这一波回落的时候
[03:23] 一些好的族群
[03:24] 有一些好的这个产业
[03:26] 那回到一个相对合理的价格
[03:27] 其实我反而觉得应该是要把握这次机会
[03:30] 好但是我觉得机会如果只有到月线
[03:33] 好像其实也很难把握
[03:35] 对不对
[03:35] 因为我们最近的话
[03:37] 这一波美股的科技股下跌
[03:39] 不晓得大家还有没有印象
[03:41] 反而是从科技的超级财报周开始
[03:44] 其实在这个超级财报周之前
[03:46] 美股就已经表现平平了
[03:48] 是台股涨得非常的凶
[03:50] 因为我们发现说
[03:52] 只要大家的资本支出增加
[03:53] 我们就是一个绝对受益者
[03:55] 可是后来就发现
[03:56] 好像有点奇怪了
[03:58] 就是不管
[03:58] 就是美国端出多好的财报
[04:00] 然后资本支出调得多高
[04:03] 他们现在统一的反应就是
[04:05] 你能不能回收
[04:06] 对嘛你能赚钱
[04:07] 像辉达也是啊
[04:09] 甚至我们那时候觉得老AI会涨
[04:11] 是因为有期待
[04:13] 辉达的财报会给大家经验
[04:14] 事实上辉达的财报是不错的
[04:16] 是好的
[04:16] 可是大家还是
[04:17] 回答就是只有涨那天一点点
[04:20] 马上就开高走低杀下去
[04:21] 没有那是涨盘前
[04:22] 涨盘后
[04:24] 然后涨一点点而已
[04:26] 对
[04:27] 所以这一波到底
[04:28] 虽然说有一个所谓的美伊战争
[04:31] 可是其实美国的AI科技股
[04:34] 早就已经修正了
[04:35] 没错
[04:35] 所以我们要怎么样等到
[04:38] 这两件事情都可以过去
[04:39] 好其实我觉得
[04:40] 如果大家觉得
[04:41] 哇你要看很多东西
[04:42] 我觉得可以从技术面上
[04:44] 简单去做短线的观察
[04:46] 这也可以从技术面
[04:47] 对对对
[04:47] 我觉得可以把它简单
[04:48] 因为其实技术面表达是什么
[04:50] 表达是市场上一个大部分人的看法
[04:53] 对嘛
[04:53] 那大部分人看法
[04:54] 既然是能够改变均线的走势
[04:56] 那一定是有钱人嘛
[04:58] 对嘛
[04:58] 那有钱人都已经比较偏空或偏多
[05:00] 那当然我们思维上就跟着他们走就好了
[05:02] 这逻辑应该会比较简单一点
[05:04] 那所以观察转线重点就是月线
[05:06] 跟这个礼拜三的那个最低点
[05:09] 为什么
[05:09] 因为这边碰到之后
[05:11] 我们其实周四的行情是大反弹的
[05:14] 只是碰到五日均线又下完
[05:15] 那今天是呈现一个非常明确的亮说
[05:17] 所以观察的重点就是什么
[05:18] 第一个我到底能不能去站上
[05:21] 五日均线的短均线
[05:22] 因为它下完了嘛
[05:23] 所以下完是这五日的人全部赔钱
[05:25] 那我只要能够站上五日均线
[05:27] 表示什么
[05:27] 表示这些人都赚钱了
[05:28] 或者是卖完了
[05:30] 那另外一个就是什么
[05:31] 就是月线
[05:31] 月线是不能破的
[05:32] 如果是近期啦
[05:34] 近期如果月线做跌破
[05:35] 那大家要记得
[05:36] 可能行情就会在相对的
[05:37] 往下一个支撑去做靠拢
