[00:00] 欢迎收听赵华一股货载第1155集
[00:09] 今天是2026年的8月6号
[00:12] 今天在加权指数上面
[00:14] 稍稍的做了一点回荡
[00:16] 那在贵买指数还是很强
[00:19] 今天已经是第五天的反弹了
[00:23] 第五天的反弹也让这个中小型股
[00:25] 因为毕竟之前贵买说实话摔得比较惨
[00:28] 所以这波的反弹
[00:29] 贵买弹多一点
[00:31] 周小新股涨多一点
[00:32] 我想大家的情绪也会好一点
[00:35] 那你说加权跌吗
[00:36] 也没有跌多少
[00:37] 中场只跌了214点
[00:39] 以最近这样一个
[00:40] 弹了大概4000多点的情况来说
[00:43] 今天只能说是一个小小的休息
[00:46] 如果看到贵买
[00:47] 有这么多的股票在上涨的时候
[00:49] 也不见得有休息感
[00:51] 还是有微微的回血感
[00:53] 今天就是一个温和的一天
[00:56] 温和的一天
[00:57] 当然今天从盘面有族群性
[00:59] 盘面的族群性
[01:01] 倒有一种感觉就是
[01:02] 其实这个盘
[01:04] 有想要照顾每个角落
[01:06] 尤其是跟AI相关的每个角落
[01:08] 怎么讲呢
[01:09] 像今天散热是续强的
[01:11] 大家都记得
[01:12] 赵华一直觉得散热在前一波
[01:14] 杀的是真的
[01:15] 我个人是觉得
[01:16] 最有点看不下去
[01:17] 为什么
[01:18] 因为他们的营收是
[01:19] 很多家都在创历史新高
[01:21] 而且那个年增率很凶的情况
[01:23] 你说长多了休息很正常
[01:26] 但它不但是涨多了
[01:28] 也因为有一些市场杂音的关系
[01:30] 是整个后来又杀下去
[01:32] 杀下去在这个底部来回来回洗了很久
[01:35] 最近倒是转强的阵营中
[01:38] 我觉得相对之下营收合理
[01:40] 然后也反弹的像很强劲的
[01:43] 好这个在第二季受到委屈的散热
[01:45] 哇这两天的状况表现非常好
[01:48] 到今天还是哦
[01:49] 那当然还有像细光子已经反弹好几天了
[01:52] 我们常常讲细光子是不是叫做先跌先落底呢
[01:55] 哇 之前不但没落底
[01:57] 有时候还破底
[01:57] 不过最近细光子的好消息
[02:00] 是特别的多
[02:01] BBU也是啊
[02:03] 光宝科终于比这个大哥台达店
[02:06] 还要强
[02:07] 也有带动所谓的
[02:08] 这个BBU相关的
[02:10] 今天盘面上的表现
[02:11] 不过BBU就是一个
[02:12] 长势相对比较不连贯的族群
[02:14] 什么时候可以再连贯一些
[02:16] 那今天还有一个比较特别的
[02:18] 记忆体模组哦
[02:20] 我们刚刚有花一点时间
[02:21] 讨论记忆体模组场
[02:23] 因为我们都知道
[02:24] 大家说不管怎样
[02:25] 你买颗粒厂
[02:26] 因为现在就是涨价
[02:27] 缺货
[02:28] 那就是颗粒厂一定收回
[02:30] 可是模组呢
[02:31] 它倒是高价库存
[02:32] 还是低价库存
[02:33] 还是低价可以卖高价
[02:34] 还是高价可以更高价
[02:35] 大家会有点抓不准
[02:37] 但接下来我等一下
[02:38] 会有以鼎的财报
[02:40] 以鼎的财报
[02:41] 大家就很关注了
[02:42] 等一下有些小故事
[02:44] 可以跟大家做分享
[02:45] 但总之
[02:46] 今天记忆体的模组
[02:47] 是有全面复苏的一个现象
[02:49] 昨天SanDisk也公布财报
[02:52] 一样是一个状况
[02:53] 是财报是好的
[02:54] 但是对前景只要觉得
[02:55] 华尔街觉得没有华尔街要的那个数字
[02:59] 就立刻给你来一个盘后
[03:00] 闪迪变闪崩
[03:02] 会出现一个这样的现象
[03:04] 可是我们今天集体没有太受这样的影响
[03:07] 好来欢迎今天的来宾
[03:09] 他说今天呢
[03:10] 我们刚刚讲那些问题
[03:11] 他全部都可以回答
[03:13] 还有别的也可以一起回答
[03:15] 谁呢
[03:15] 就是我们的选股教练
[03:17] 黄金右下角
[03:18] 韦泰
[03:19] 嗨赵华好
[03:20] 大家好
[03:21] 好因为我们讲说大盘啊
[03:23] 反弹啊
[03:24] 彩虹技术面一定会讨论一件事嘛
[03:26] 就是V转了吗
[03:27] 还是第二只脚
[03:28] 我觉得很有趣
[03:29] 因为每一次叠都会回来这个讨论
[03:32] 那为什么要这个讨论
[03:34] 大家是矛盾的
[03:35] 一波杀下去
[03:37] 有人会少数啦
[03:39] 说实话
[03:39] 拍手叫好
[03:41] 好什么呢
[03:41] 就是要洗容汁啊
[03:42] 之前就超涨啊
[03:44] 你不洗干净
[03:44] 真的不会回来啦
[03:46] 但是呢
[03:47] 杀着杀着所有人都安静了
[03:49] 所有人都会觉得
[03:50] 好像变空头了
[03:51] 好像很恐怖耶
[03:52] 我跟你讲这四万守不住啦
[03:54] 三万六
[03:55] 下一个关卡三万四
[03:57] 跟你讲怎样怎样怎样
[03:58] 之前这些全部都
[03:59] 一万多点全部都是乱涨的
[04:00] 这种言论就开始充斥在整个环境中
[04:04] 但是呢
[04:05] 涨上去的时候
[04:06] 大家的想法又不一样了
[04:07] 对不对
[04:08] V了
[04:09] 谈两天就会下来了啦
[04:11] 谈三天
[04:12] 谈四天
[04:12] 谈五天
[04:13] 都V四五千点了
[04:14] 你现在要我怎样
[04:15] 所以才会有一个讨论嘛
[04:19] 如果一直V上去
[04:20] 我不就又没了
[04:21] 我砍在阿呆鼓
[04:22] 我又没了
[04:23] 希望有第二只脚
[04:25] 可是到底有没有呢
[04:27] 这个讨论有没有意义呢
[04:28] 好我个人觉得
[04:29] 还是有意义的
[04:30] 因为说实话
[04:31] 这个市场是有一个惯性的
[04:33] 没有错啊
[04:34] 你谈到这边
[04:35] 会有一个集体共识吗
[04:36] 我低档超底的
[04:37] 我都赚两三根停板了
[04:39] 短暂的走一下
[04:40] 很合理吗
[04:41] 所以这样的现象
[04:42] 是合理的
[04:43] 可是我们怎么做
[04:44] 可能就会跟我们
[04:45] 手上持股的状况
[04:47] 你持有什么样的产业
[04:48] 你的信念在哪里
[04:49] 有很大的差异
[04:50] 那因为我们的维太学过
[04:52] 这个很深厚的技术分析
[04:55] 即使后来他是以基本面为导向
[04:57] 也可以聊一下你对这个盘面
[04:59] 像现在下来
[05:00] 所有的利多又可以开始像利多一样呈现了
[05:03] 你会怎么看待接下来的发展
[05:05] 跟大家的对策
[05:06] 好的
[05:07] 刚刚赵华提了非常多的一个问题
[05:12] 那我一一的来帮大家来去做一个回答
[05:16] 当然这是我个人的观点
[05:18] 不代表说一定是这样
[05:20] 首先这个第一个问题
[05:22] 刚刚好像问到
[05:23] 就是说这个到底会不会拉回来
[05:25] 打第二只脚
[05:26] 这个讨论你觉得没有意义
[05:28] 其实我刚才还问韦泰说
[05:30] 你觉得这个讨论有没有意义
[05:31] 我觉得所有问题都是有意义的
[05:33] 你太有智慧吧你
[05:35] 哲学系吗
[05:36] 好我们现在讲一下
[05:38] 就是说这一波的一个反弹的强度
[05:40] 到底够不够
[05:41] 我特别在昨天大概算了一下
[05:46] 就是现在的一个以加权指数来说
[05:49] 这一波的这个反弹
[05:52] 其实已经到了
[05:53] 就是接近快要到了0.5以上
[05:57] 对
[05:57] 然后甚至蛮接近
[06:00] 这个所谓的0.618的位置
[06:03] 所以如果说就强度来看
[06:05] 这一波的一个反弹的强度
[06:08] 我认为其实是够的
[06:09] 是
[06:09] OK
[06:10] 那么在强度是够的情况之下
[06:14] 我认为之前的低点
[06:17] 39384这个点
[06:19] 会比较不容易直接被跌破
[06:22] 那么我这样子的推论
[06:25] 其实我们可以从7月31号
[06:29] 这边的一个跳空缺口
[06:32] 至今都没有被回补
[06:34] 然后可以去做一个佐证
[06:36] 所以代表说现在其实多方
[06:39] 可以算是略胜一筹
[06:41] 但是只有一筹
[06:43] 一筹也会末站
[06:45] 你中文好好
[06:48] 还会文字接龙
[06:51] 陈语机我们等一下来玩
[06:53] 好
[06:54] 那么为什么我说只有一筹
[06:57] 因为现在的这个成交量
[06:59] 说真的
[07:00] 今天成交量又萎缩了下来
[07:03] 对
[07:03] 又不到一兆了
[07:05] 所以在加权指数
[07:07] 这成交量没有办法
[07:09] 进一步的去做推升之前
[07:12] 我认为这边要直接往上的机会
[07:16] 相对比较小
[07:17] 所以他才会去做一个回撤
[07:19] 但是回撤又不会去跌破
[07:22] 这个前次的一个39384
[07:24] 所以我对于加权指数的看法
[07:28] 就会比较倾向于说
[07:30] 可能就在45000
[07:33] 然后再到40000之间
[07:35] 或者是再拉高一点
[07:36] 我们说在之前那个7月31号的
[07:39] 这个空方缺口
[07:40] 对方缺口410000这个地方
[07:42] 然后大概去做一个
[07:43] 比较区间的一个震荡
[07:46] 这个是我对加权指数的一个看法
[07:49] 那为什么要特别去强调是加权指数
[07:52] 其实刚刚赵华也有提到
[07:55] 就是在OTC的部分
[07:57] OTC在最近这几天比较强
[08:00] 那有人说这个比较强原因是因为
[08:04] 这个之前跌比较深
[08:06] 它跌到了就是年限附近的位置
[08:09] 但是我要说的事情是
[08:12] 这个比较强还包括了成交量的变化
[08:16] 因为呢
[08:18] 贵买指数啊
[08:20] 这几天的一个上涨
[08:21] 他其实是带着就是量增的一个格局
[08:25] 换句话说贵买指数这边的一个上涨
[08:29] 他是有追价买盘的
[08:31] 那这件事情呢
[08:33] 跟我们现在所看到的这个盘式
[08:36] 可以说是相辅相成
[08:38] 为什么呢
[08:39] 因为其实最近的一个行情
[08:42] 我们可以看到中小型股的表现相对比较强势
[08:46] 包括今天我们看到像是台药
[08:50] 然后这个金居
[08:52] 或者是联贸
[08:54] 大家很关心的PCB的部分
[08:56] 上游
[08:56] 对对
[08:57] 电商店也涨了
[08:58] 然后再来这个细光子的部分
[09:02] 也蛮多的个股光通讯
[09:05] 其他都是属于在电斗市场里面的一个股票
[09:09] 所以在目前看起来
[09:12] 在整个所谓的一个盘式结构上来看
[09:15] 因为资金的部分
[09:19] 似乎比较往这个电投市场去做一个靠拢
[09:23] 或者是说他的人气相对比较旺
[09:26] 所以在操作上来讲
[09:28] 会比较偏向于就是中小型电子
[09:31] 但是我必须要讲
[09:33] 我更赞同刚刚赵华所说的
[09:35] 目前是属于类股轮动的架构
[09:37] 因为今天连钢铁股都来了
[09:40] 是
[09:41] 我们之前跟大家分享过
[09:43] 像东钢
[09:44] 东钢已经连续好几天
[09:47] 都往上在做冲高
[09:49] 甚至呢
[09:50] 已经有一点去接
[09:52] 就是突破就是之前
[09:54] 今年1月
[09:56] 2月3月当时的一个高点
[09:58] 那东钢往上去做走高的过程
[10:01] 今天还带动了不锈钢
[10:02] 包括像是大成钢
[10:05] 今天涨3.95%
[10:06] 那还有像是新钢
[10:08] 今天涨7.99%
[10:10] 盘中一度有看到涨停板的表现
[10:13] 那还有我们国内最大的
[10:15] 这个钢卷的这个所谓裁剪厂
[10:18] 2031的新光钢
[10:20] 在最近的一个股价
[10:22] 也是反不往上做垫高
[10:24] 今天上涨5.5%
[10:26] 那像这样子的一个族群
[10:29] 还有像今天还有汽车零组件
[10:34] 今天包括1319的东洋
[10:37] 甚至包括像是维生
[10:40] 在今天都有很不错的一个表现
[10:44] 那有维生
[10:45] 有东洋
[10:46] 当然就会有提维希
[10:47] 所以今天提维希也涨了5.5%
[10:52] 所以我讲到这边
[10:54] 漏漏等讲那么多
[10:55] 我只想跟大家分享
[10:57] 就是如果你的股票
[10:58] 在过去这两周都没有动
[11:01] 请你给它一点时间
[11:03] 因为就目前市场上面的资金的一个动态来看
[11:08] 目前还没有动到的这些族群
[11:11] 很可能在未来的两天三天
[11:14] 可能晚一点下个礼拜
[11:16] 他就会动了
[11:17] 他就会动了
[11:19] 所以我觉得如果还没有动的股票
[11:21] 先不要急着去卖潮
[11:24] 不要去把它贱卖
[11:25] 我觉得稍微等一下
[11:27] 然后呢
[11:28] 一些相对比较就近比较久但是呢 他沒有持續破底的就像剛剛提到的像3017的七紅然後他轉投資的富士達
[11:41] 然後再來
[11:43] 雙紅
[11:44] 高麗今天散熱非常整齊
[11:47] 他們其實是比較早修正的
[11:50] 然後在
[11:51] 大盤在7月
[11:53] 下旬暴跌的時候
[11:55] 他們其實有跌
[11:57] 但是跌不多
[11:58] 就是有点点跌不太下去的味道
[12:01] 所以在今天像富士达就是涨停板
[12:04] 然后呢
[12:06] 它的成交量是有出现
[12:08] 持续的一个放量的情况
[12:10] 相较于其他的股票
[12:12] 像这种量价结构就相对比较扎实
[12:15] 那它的底部也比较像是
[12:18] 就形态来讲
[12:20] 也比较像是一个双脚底的概念
[12:22] 但是目前的一个行情
[12:26] 我个人觉得
[12:27] 就是还是属于就是
[12:29] 跌深的股票会有人去买
[12:32] 但是呢
[12:34] 涨了三天四天之后
[12:36] 例如说像前两天涨的
[12:38] 那个所谓奇邦
[12:39] 是
[12:39] 这些所谓的风策族群
[12:43] 奇邦
[12:44] 或者是说像是
[12:46] 这个晶圆店
[12:48] 他们今天就熄火了
[12:50] 就熄火了
[12:51] 然后
[12:52] 什么
[12:54] 这个成熟制成相关的
[12:56] 今天也是熄火
[12:57] 然后前几天涨的矽晶圆
[13:00] 今天合金有在涨
[13:03] 但是其他的就相对没有
[13:05] 这么样的有表现
[13:07] 所以我觉得现在的整个的一个行情
[13:10] 它叫做上下其手行情
[13:14] 名字不好听
[13:16] 叫做拉上去卖
[13:18] 拉下来买的行情
[13:20] 对
[13:21] 所以这边操作上来讲
[13:23] 比较适合就是
[13:25] 操作比较灵活的
[13:27] 例如说像云翔哥
[13:29] 小哥
[13:32] 对小哥
[13:33] 这些哥
[13:33] 对爱伦哥
[13:35] 这些
[13:36] 爱伦哥反而比大家想象中的谨慎很多
[13:38] 真的吗
[13:39] 好
[13:41] 那大概就这样
[13:43] 是
[13:43] 我最喜欢
[13:45] 维泰来的时候
[13:46] 会完全立刻点到
[13:49] 我自己没有注意到的东西
[13:51] 例如
[13:51] 之前的速画
[13:52] 对不对
[13:53] 我们讲数化
[13:54] 每次讲南亚
[13:55] 都会一直讲到
[13:56] 因为它有这个
[13:57] 同博的材料
[13:58] 有这个拨签的材料
[13:59] 等等的
[13:59] 有多少比重
[14:00] 投资南亚科什么的
[14:02] 但是
[14:02] 韦泰他都会很细腻
[14:05] 去看看
[14:06] 例如说油价
[14:07] 数化产品的转型
[14:09] 到底有没有真的
[14:10] 报价有没有起来
[14:11] 然后像钢铁
[14:12] 其实我必须承认
[14:14] 在刚刚韦泰讲之前
[14:15] 我完全没有留意到
[14:16] 今天钢铁
[14:17] 也是其中一个族群
[14:18] 我还是会把眼光
[14:19] 看向我平常
[14:20] 非常爱注意的
[14:21] 这些所谓的科技股上面
[14:22] 可是这样的话
[14:23] 就是长期以来
[14:25] 台股一个比较偏的一个状态
[14:27] 比较挑食的状况
[14:29] 好处当然是
[14:30] 主流一定在这些东西上面
[14:32] 那坏处就是
[14:33] 我会错过了
[14:34] 曾经我也是研究过
[14:36] 钢铁塑化的一员
[14:38] 但是我还是持续地看
[14:40] 我还记得我们分享过一件事情
[14:42] 就是炒冷饭
[14:43] 就是现在是很热
[14:45] 族群性很明显
[14:46] 可能无法体会
[14:47] 可是我们也曾经遇过
[14:48] 股市很惨淡
[14:49] 然后但是各个研究员
[14:51] 或是记者们
[14:52] 都会在自己的线上
[14:53] 即使这家公司没有新闻
[14:55] 它也没有涨
[14:55] 还是保持一个好一点的关系
[14:57] 因为你说不准
[14:58] 它什么时候变成标股
[14:59] 它的新闻就只会由你有
[15:01] 因为你愿意跟它保持一个好的互动
[15:04] 同样的
[15:05] 如果今天你一直在follow
[15:06] 这些传产原物料
[15:08] 这些很机油的传统产业
[15:10] 它在发动的时候
[15:12] 维太就肯定是第一个发现的
[15:14] 而且它有时候发动起来
[15:16] 它会连贯性的时候
[15:18] 那就很可怕
[15:18] 就像我常会跟大家讲说
[15:20] 那个航运我都抓不到啊
[15:22] 什么东西我都抓不到
[15:23] 我是真抓不到
[15:25] 因为我没在follow了
[15:27] follow的人会抓到
[15:29] 那像我这种就很容易变成
[15:30] 他长三根了
[15:32] 好像动了动了
[15:33] 搞定看报价什么的
[15:35] 然后就不长了
[15:36] 对不对
[15:36] 所以这个事情
[15:37] 我很谢谢韦泰会提醒
[15:39] 现在真的叫照顾到每一个族群
[15:41] 不只是科技族群
[15:43] 现在传产族群
[15:44] 排名也有照顾到
[15:45] 但是这个盘
[15:46] 为什么刚刚提到
[15:47] 有没有第二只脚
[15:48] 有那么重要吗的原因
[15:50] 是以合理的市场共识来说
[15:53] 是应该要有的
[15:54] 对不对
[15:54] 因为大家谈了几天
[15:56] 各个都谈了
[15:57] 也轮流谈了
[15:58] 对不对
[15:58] 那如果有抓到的这群人
[16:00] 他们会找一些时机点
[16:01] 做获利了结
[16:03] 长久不动的人
[16:05] 有没有打脚
[16:06] 没差吧
[16:06] 对不对
[16:07] 你不会动吗
[16:08] 下去你也不动
[16:09] 上去你也不会动吗
[16:10] 你的信念可能跟人家不一样
[16:12] 所以
[16:12] 也许
[16:14] 他会呈现在盘面上一个现象
[16:16] 但是这个现象对谁有帮助
[16:18] 我觉得其实对我就有帮助
[16:19] 例如说我就是属于
[16:21] 在往下跌的时候我有结
[16:22] 那弹上来的时候
[16:23] 我可能就不会动作了
[16:25] 可是我也不会这么快
[16:26] 就把东西卖掉
[16:27] 我在等什么机会呢
[16:28] 我在等真的有所谓的
[16:30] 我喜欢的族群
[16:31] 他在弹这几根的时候
[16:32] 我来不及往上追
[16:34] 或是我之前有布了一些的
[16:35] 也不急着现在追
[16:36] 他在回头的时候
[16:38] 大户吐了
[16:39] 主力短线客走了
[16:41] 他又回头的时候
[16:42] 我就敢接再接一次了
[16:44] 对
[16:45] 也许这个次的成本
[16:46] 不一定比上次便宜多少
[16:48] 但相对便宜
[16:49] 我觉得这个就是
[16:50] 对我会比较有信心的
[16:52] 也是比较安稳的做法
[16:53] 因为像我们这种
[16:54] 比较俗辣的人
[16:56] 对不对
[16:56] 我们虽然嘴巴上
[16:57] 一直告诉大家
[16:58] 没有错
[16:59] 我们看到的成绩
[17:00] 就是基本面没有问题
[17:02] 可是跌到后来
[17:03] 也会僵僵
[17:04] 我也不会有办法
[17:05] 在什么破四万那天all in
[17:07] 我就不是这种个性
[17:09] 所以其实有没有打第二只脚
[17:11] 它对我某种程度上
[17:12] 我关注的领域
[17:13] 是有帮助的
[17:15] 这个可以跟大家分享
[17:16] 那你说
[17:17] 那假设真的没
[17:18] 我喜欢的股票
[17:19] 他就从此不回头就V上去
[17:21] 那就一样
[17:22] 我们就享受资产回血的感觉
[17:24] 还有就是
[17:26] 如果他真的V到
[17:27] 又到了你的停利点的时候
[17:30] 这一次是不是
[17:31] 我们就大大方方做部分的停利
[17:33] 不要再抱过一座山
[17:35] 我觉得没有不好
[17:36] 没有哪一件事是不好
[17:37] 最不好的就是
[17:39] 第一
