[00:00] 欢迎收听赵华与古惑仔第1090集
[00:09] 今天是2026年的5月5号
[00:12] 昨天晚上呢我们看到了美国跟伊朗又有一些新的进度
[00:16] 美国说炸毁了伊朗的一些快艇在荷姆兹海峡
[00:19] 这件事情一出来呢
[00:20] 其实昨天的夜盘跟美股是有下修的
[00:23] 我想现在大部分人看到这个讯息
[00:26] 应该第一个念头是终于吗
[00:28] 终于有回档
[00:29] 可以捡的机会吗
[00:31] 但是说实话
[00:32] 美股跌的也不多
[00:33] 而今天的台股
[00:35] 我觉得几乎没有给机会
[00:37] 加权指数最多
[00:39] 大概有跌到快要200点的附近
[00:40] 就拉起来了
[00:41] 那贵买呢
[00:42] 贵买今天再创历史新高
[00:45] 贵买从一开盘就是红的
[00:47] 越拉越高收最高
[00:49] 贵买今天就涨了2.31个百分点
[00:52] 所以今天的中小股的状况
[00:53] 还是非常的热
[00:55] 那涨停板的加数
[00:57] 也还是接近100加
[00:58] 今天其实我跟一些大人朋友在聊的时候
[01:01] 都有一些觉得是不是要有一点逢高获利了结的想法了
[01:06] 但台股实在太强
[01:08] 实在太强
[01:09] 然后有一些轮涨的状况
[01:10] 所以大家就觉得在这样如果说是健康轮涨呢
[01:14] 今天猛的还有谁
[01:15] 联发科又是一次锁
[01:17] 从来没看过这种事
[01:19] 那他的强势也带动了红海
[01:22] 今天也大涨了5%以上
[01:23] 全职股还在撑盘
[01:25] 那中小股又很热闹
[01:27] 有一个感受是
[01:28] 会不会不回啦
[01:30] 不回的话是不是要硬买啊
[01:32] 硬上啦
[01:33] 有没有这样的一个问题
[01:35] 虽然赵华是比较左派
[01:36] 希望跌的时候买
[01:37] 但到了这当口
[01:39] 也常常会觉得
[01:40] 如果要大家等
[01:41] 那个FOMO感
[01:42] 那种害怕跟不上的感觉
[01:44] 会不会越来越强
[01:44] 会不会一下子变四万五
[01:45] 如果变五万呢
[01:47] 我想大家可能现在心里面
[01:48] 都有一点点这样的感受
[01:50] 先来欢迎今天的来宾出场
[01:51] 今天的来宾就是比我还会碎碎念的
[01:54] AI达人明汉哥
[01:56] 赵华好
[01:57] 听众朋友大家好
[01:58] 先来讲一下
[01:59] 因为其实我们之前就有聊过
[02:01] 美股跟台股的乖离
[02:03] 还有台股跟所谓的越际线的乖离
[02:05] 但是就不回
[02:07] 怎么样都不回
[02:08] 不回的情况下
[02:10] 我有跟听众朋友也有分享
[02:11] 例如说我可能就把
[02:12] 我的债券部位已经卖掉的部分
[02:14] 平移到主动式的ETF
[02:16] 像昨天我就跑去买0052
[02:18] 因为开牌没多久
[02:19] 我看台积电那么强
[02:20] 联发科那么强
[02:21] 我想说就买一下电子股的ETF好了
[02:24] 我就用这样来克服一下
[02:26] 我这种好像怕追不上的感觉
[02:28] 但是大部分的朋友
[02:29] 可能在这个四万点都会很犹豫
[02:31] 如果他不回呢
[02:33] 有什么理由可以让他回吗
[02:34] 现在连美伊战争看起来都不会回了
[02:36] 如果就所谓的市场分析来讲
[02:41] 确实是想不到
[02:42] 当然我们要先提醒大家
[02:45] 所谓的黑天鹅就是你想不到
[02:46] 所以绝对没有把握说
[02:49] 因为想不到就代表不会回
[02:51] 但是简单而言
[02:53] 就是怪力率相对比较高
[02:54] 上檔就會有壓力
[02:56] 這也是不爭的事實
[02:57] 所以應該說
[02:59] 目前一直維持很高的水位
[03:00] 它只要兩三天稍微壓回來
[03:03] 它很快又有這個強勢往上走
[03:05] 所以乖離率一直沒有辦法壓下去
[03:08] 但是剛剛提到震盪的時候跌不多
[03:10] 但是它往上的時候漲比較多
[03:12] 所以指數是持續創高的
[03:14] 那我個人覺得還是維持這些理念
[03:17] 剛剛就像趙華提到
[03:19] 我也是左派
[03:20] 當然希望說有拉回的時候買
[03:22] 但是我覺得在這裡
[03:24] 应该说投资人要自己分清
[03:27] 自己的所谓的位阶在哪里
[03:30] 如果你真的持股比较低的
[03:31] 其实你真的不要一直想说
[03:34] 到底要跌到哪里才能满
[03:36] 因为你的持股就是不高
[03:38] 我个人觉得
[03:39] 老实说我先讲
[03:41] 这没有一定的答案
[03:42] 因为有些人持股五六成
[03:44] 就已经觉得很高了
[03:45] 压力就大了
[03:46] 有些人觉得八九成
[03:47] 他都觉得我手上还有现金
[03:49] 有人说恨不得手上
[03:50] 现在全部的一分钱
[03:51] 都丢进股市里
[03:52] 我有看到今天早上有人在说
[03:54] 所以我觉得这每个人的说法不同
[03:56] 那我个人就比较中性的角度
[03:59] 如果真的要数字
[04:00] 我个人觉得如果持股真的不到五成的
[04:03] 那你这个时间点真的就应该要买
[04:05] 或者是我们这样讲
[04:08] 就我自己的投资理念而言
[04:10] 你所谓投资理论上是两个方向选择
[04:13] 第一个就是你选择标的
[04:16] 第二个是选择你的投资时间
[04:18] 我以前都跟投资人讲
[04:21] 你选择标的
[04:22] 有时候你没办法选择
[04:23] 你就是走ETF的部分
[04:25] 这个经理人帮你分散
[04:27] 那你只要趋势抓好
[04:29] 你到底是要高股息
[04:30] 市值型还是主动型抓好
[04:32] 然后你就进去就不会错
[04:34] 那另外一个就是
[04:36] 现在其实大部分投资人
[04:38] 应该都自己有一个想法
[04:40] 到底你要买个股
[04:41] 还是这个投
[04:43] 或者是主动型或市值型
[04:46] 大家都有想法
[04:46] 可是现在的问题是进不去
[04:48] 所以进不去就是第二个问题
[04:50] 就是刚刚提到投资时间
[04:52] 投资时间常常抓不准
[04:55] 最后能怎么样
[04:56] 就是定期定额而已
[04:57] 对
[04:58] 没有错
[04:59] 对定期定额有时候
[05:01] 你要记得一件事情
[05:02] 定期定额有时候被人家一锁住
[05:04] 就觉得说
[05:05] 所谓定期定额就是每个月买
[05:07] 其实不是
