[00:00] 欢迎收听赵华宜古惑仔第1079集
[00:09] 今天是2026年的4月17号
[00:12] 每天录节目录着录着就有着在陪大家过生活的感觉
[00:17] 像今天又是星期五
[00:20] 星期五不管是不是工作要忙碌
[00:23] 都还是挺有一种不一样的感受
[00:26] 就是一般上班族来说
[00:28] 通常明后天应该是休假的
[00:30] 所以星期五的气氛
[00:32] 总是格外的不同
[00:33] 那台股呢
[00:34] 在星期五
[00:35] 以前都会觉得要放假了
[00:37] 会比较冷清
[00:38] 现在都不一定
[00:39] 现在都不一定
[00:41] 像昨天我们有跟大家
[00:43] 率先分享了台积电的法说会
[00:45] 还记得昨天是明汉来
[00:47] 那我们两个都觉得
[00:48] 虽然台积电表现是真的亮眼的
[00:51] 可是比起前一次跟前前一次
[00:53] 是让市场大为惊艳来说
[00:56] 这一次的法说
[00:57] 是属于比较中规中矩
[00:58] 当然也因为市场上对他的期待
[01:01] 已经拉到非常高非常满了
[01:03] 已经到一种吹毛求疵的地步
[01:05] 所以我们也预期
[01:06] 今天台积电是不容易有表现的
[01:08] 但今天的盘有让我比较意外
[01:12] 为什么台积电没有表现
[01:13] 这个是合理的正常
[01:14] 我们昨天就讲原因了
[01:16] 当然今天我们会再稍微探讨一下
[01:18] 到底这样
[01:19] 大家因为有点跌
[01:21] 大家就会有点担心
[01:22] 想说是不是有什么样的状况
[01:24] 但我们昨天已经有聊了
[01:26] 那今天为什么说有点出乎预料之外的
[01:29] 是并没有整个盘都因为台电的法术会
[01:32] 比较中规中矩就被拖下来哦
[01:34] 虽然大盘指数是跌了327点
[01:36] 可是今天上市加上柜的涨停板加数有95加
[01:42] 95加相当的多
[01:45] 那也代表中小型热门题材股在今天是大为发威
[01:50] 尤其是柜买指数今天盘中有涨2.5还是2.6个百分点之多
[01:55] 又在创下历史新高
[01:57] 贵马也代表了一些热门的中小型股
[02:00] 总之加在一起
[02:01] 哇今天的体感不能算差
[02:04] 真的是不能算差
[02:05] 甚至你说设备股
[02:07] 有没有因为昨天完全没有调高资本
[02:09] 之处有什么很失望性的反应
[02:10] 似乎也没有
[02:11] 也没有
[02:13] 那到底怎么看呢
[02:15] 照理来说
[02:16] 这几天给大家的方向是
[02:18] 先不用管这个ETF
[02:20] 当然如果你很害怕
[02:21] 你只敢用ETF加码的
[02:23] 你就加
[02:23] 但是这几天绝对是一个个股百花争鸣的一个情况
[02:27] 所以呢今天来的人也会跟大家好好聊个股
[02:30] 而且之前是不是有段时间没有在礼拜五出现呢
[02:34] 先来欢迎他
[02:34] 就是我们的国家级基金操盘手黄峰凯凯哥
[02:38] 大家好各位听众大家好
[02:40] 你的节奏最近有点乱掉
[02:42] 以前是固定星期五来陪我们
[02:44] 但因为现在凯哥礼拜二跟礼拜四晚上都有一些课程
[02:46] 所以就会变得比较比较凌乱
[02:49] 像下个礼拜凯哥就会比较早来
[02:52] 不过我们先把握这个星期五的周末时光
[02:55] 台积电的压回
[02:56] 却把空间浪回给了中小型类股
[02:59] 凯哥对于现阶段整个投资气氛
[03:02] 到底怎么看
[03:03] 因为自从川普跟伊朗谈崩了
[03:06] 股市就涨了
[03:07] 涨到都创新高了
[03:09] 那我们现在是不是就用比较多头的心态
[03:12] 去比较积极的操作呢
[03:13] 我先来回应一下
[03:16] 就是整个国际市场的氛围
[03:18] 就是我常常讲说
[03:19] 其实你也不要管川普跟伊朗到底怎么样
[03:22] 你就看油价的走势就好了
[03:24] 基本上油价目前位置
[03:25] 就是在大量中值之下
[03:27] 可是大量低没有破的情况
[03:29] 基本上就告诉你说
[03:31] 其实那个紧张的气氛
[03:32] 可以稍微的放松一下
[03:34] 如果它又站回大量中值之上
[03:36] 就告诉你说
[03:37] 你的这个荷尔蒙又要拉高
[03:39] 就告诉你又要害怕
[03:40] 所以回过来看
[03:42] 基本上这个油价
[03:43] 没有对资本市场
[03:44] 造成很大的紧张
[03:45] 所以大家就各走各的路
[03:47] 我很早就讲过了
[03:48] 台湾不要看别人
[03:50] 我们看自己就好
[03:51] 因为我们其实全世界最强的AI国家
[03:54] 所以不用去跟什么日本比
[03:56] 不用去跟韩国比
[03:57] 跟台湾比就好了
[03:58] 那时候更常讲说
[04:00] 大盘因为会受到外资的影响
[04:02] 所以你也不要过度的担心大盘
[04:04] 而是要专注于贵买
[04:06] 从我们那时候讲
[04:07] 基本上其实贵买都在我们的预期的走势里面
[04:11] 好回过来看就是说
[04:12] 昨天其实市场最关注的是台积电
[04:15] 我觉得前几天的贵买
[04:18] 其实有两天破盘中的均价
[04:20] 就是它有两天是没有再上军架
[04:22] 所以告诉你说
[04:23] 基本上连贵买都在害怕
[04:25] 会不会造成一段时间的
[04:28] 只有台积电的行情
[04:30] 不过还好没有
[04:31] 因为它只有法税完就立刻降温了
[04:34] 所以这个航空母舰
[04:35] 从水底下浮出水面
[04:37] 只有把它的这个探望镜
[04:39] 伸出来之后
[04:40] 它就又下去了
[04:41] 台建出了什么问题
[04:43] 其实大家都说台建数字非常的好
[04:45] 可是你看到外资有很大的买盘吗
[04:47] 没有
[04:47] 所以其实台建的好
[04:50] 大家知道
[04:51] 但是大家有两件事情没有解决掉
[04:54] 一个就是
[04:55] 第一个是国际局势
[04:56] 目前的油价没有破底
[04:58] 所以外资不敢大回来买
[04:59] 这是一个
[05:00] 再来就是
[05:01] 他在他昨天里面的这个占比的部分
[05:05] 他说7奈米以下占74%
[05:07] 可是你把他的3奈米
[05:09] 5奈米加上7奈米加起来
[05:10] 就是74%
[05:11] 奇怪
[05:12] 可是他昨天有讲说
[05:13] 他们的2奈米正在积极的扩敞
[05:16] 客户需求非常的强
[05:18] 可是昨天的占比里面
[05:20] 没有看到二奈米的东西
[05:21] 所以就让市场会觉得说
[05:23] 这不是你明年最大的竞争的产品
[05:27] 而且是毛利率最高的
[05:29] 我们之前在讲特化之后
[05:30] 在讲说他们什么
[05:31] 谁谁谁拿到二奈米的认证
[05:33] 谁谁拿到二奈米的认证
[05:34] 所以我想说
[05:35] 连挑剪机都在积极的往二奈米去
[05:37] 可是在昨天的法税会里面
[05:39] 他没有讲到二奈米的占比
[05:42] 所以告诉你说
[05:42] 二奈米现在是有点卡关的
[05:44] 就是他的这个材料
[05:46] 可能是有一些问题
[05:47] 因为美伊战争影响
