[00:00] 歡迎收聽趙華與古惑仔第1012集
[00:09] 今天是2026年的1月7號
[00:12] 哈嘍大家好
[00:13] 我是趙華
[00:14] 理財達人秀2026年第一場的實體講座
[00:18] 將在本週六1月10號跟大家見面咯
[00:22] 地點在臺北的富邦國際會議中心
[00:24] 這次我們邀請到五位超強來賓
[00:26] 題材獵人林漢偉
[00:27] 喜南股神陳偉良
[00:29] 還有存股教父古瑜
[00:31] 安聯投信的投資長張偉敏
[00:33] 以及基金經理人施正廷
[00:36] 要帶來最關鍵的投資指引哦
[00:38] 到底今年的至勝配置怎麼抓
[00:40] 這個AI會不會在馬年再衝一波嘞
[00:43] 主動式的ETF好熱哦
[00:45] 現在該怎麼選呢
[00:46] 希望幫大家在投資路上
[00:48] 跑得更快看得更準
[00:49] 當然感謝各位粉絲的支援
[00:52] 現在報名是額滿的
[00:53] 是要提醒大家有報名的朋友
[00:55] 這個星期六1月10號
[00:57] 約好了不見不散哦
[00:59] 那還是要提醒
[01:00] 投資一定有風險
[01:02] 基金投資有賺有賠
[01:04] 深扣錢應享月
[01:05] 公開說明書
[01:07] 終於跌了
[01:08] 怎麼說終於跌了
[01:09] 2026年每天都在大漲
[01:11] 那我們在做節目也在講說
[01:14] 哎呀
[01:14] 這個三萬點怎麼一天就到了
[01:16] 那昨天又大漲
[01:18] 也是嚇一跳
[01:18] 昨天還收最高
[01:20] 今天稍微回跌正常啦
[01:22] 正常今天跌了140點
[01:24] 但今天比較不正常的是
[01:26] 成交量
[01:28] 還記得大漲
[01:29] 就是盤中有到
[01:30] 900多點的那一天
[01:31] 成交量其實開盤的時候
[01:33] 也非常大哦
[01:33] 不過因為後來發現
[01:35] 都是漲臺積電
[01:36] 跟臺積電的好朋友
[01:37] 大家可能覺得
[01:37] 無聊了起來
[01:38] 所以最終收的量
[01:40] 是臺股史上的
[01:41] 第二大量
[01:42] 7000多億哦
[01:42] 那昨天也7000多億
[01:44] 其實也不小
[01:44] 今天猛咯
[01:45] 今天光是上市量
[01:47] 還沒有加入盤後
[01:48] 就已經8500多億
[01:50] 如果上市
[01:51] 加上櫃
[01:52] 是破兆
[01:53] 破兆的成交量
[01:55] 這個有點驚人
[01:56] 它已經是臺股史上第一大量
[01:59] 高檔爆大量到底是好還是不好
[02:03] 尤其今天是下跌盤
[02:05] 如果今天是強漲
[02:06] 可能你還會想說
[02:07] 這個爆量上攻厲害了
[02:09] 大家好有信心
[02:10] 而且今天
[02:11] 我跟今天等一下會公佈的來賓
[02:14] 我們都有發現一個很奇妙的現象
[02:16] 今天小作文無敵多
[02:19] 無敵多
[02:20] 看多的也有小作文
[02:22] 看空的也有小作文
[02:24] 都有用
[02:25] 在盤面上現在看起來
[02:27] 低位階的有小作文
[02:29] 拉掌亭連點
[02:30] 高位階的有小作文
[02:32] 殺到跌停板
[02:33] 臺光店冒連KY都中錯
[02:35] 到底發生什麼事
[02:37] 我先來歡迎他
[02:37] 今天來的是我們的PCB女王
[02:40] 統一投顧的總經理廖婉婷
[02:42] 嗨 趙華
[02:43] 各位觀眾朋友大家好
[02:44] 好 婉婷來了
[02:45] 好像每一次來
[02:47] 我們在講產業的時候
[02:48] 哇 都會有一些很奇妙的事情
[02:50] 今天我也貼了好幾篇給婉婷參考
[02:53] 因為這個小作文
[02:54] 有一篇就針對臺光店
[02:55] 其實在這次的CS戰
[02:58] 雖然這個黃文勳講的是
[02:59] 他接下來的VR Rubin
[03:01] 他們的一些效能有多好
[03:04] 可是因為他們會有強調
[03:05] 成本會降低
[03:06] 我覺得大家一聽到成本降低
[03:09] 不知道為什麼
[03:10] 就開始緊張了
[03:11] 那是不是代表
[03:11] 有些東西就不用用到那麼好
[03:13] 有些東西可能就要降規
[03:14] 有些東西就不會給臺廠
[03:16] 那麼多錢
[03:16] 那麼多單
[03:17] 或者是你推出一個新的
[03:20] 效能好的成本低的
[03:21] 那舊的就不要用了
[03:22] 所以原本的單會被砍單
[03:24] 所以這兩天其實盤面上還蠻多充斥著這型別講法
[03:29] 那今天就有掃到臺光店
[03:31] 所以我們先從這個盤面整個大盤來講好了
[03:35] 因為統一投顧看今年是34988
[03:38] 對 這沒有改變還是看的很多
[03:41] 但是一下子像昨天一下你就覺得都快要3萬1了
[03:44] 那34988也只差400點而已
[03:47] 不過今天的回檔以及現在開始充斥著一些亂流了
[03:51] 怎麼樣來看大盤在近期的想法
[03:54] 好
[03:55] 其實我們在12月份的時候
[03:58] 我們看這個技術面
[03:59] 它是有形成一個W底
[04:00] 因為它突破28500之後
[04:02] 它上攻
[04:03] 那對稱漲幅的話
[04:05] 其實大概抓滿足點
[04:06] 大概在30000到30500
[04:08] 所以它突破往31000的時候
[04:11] 其實我是覺得
[04:12] 指數應該會沒有空間
[04:14] 但是中小型個股
[04:15] 可能會有一些空間會出來
[04:17] 所以資金應該會轉向中小型股
[04:20] 那以今天或是昨天的盤面
[04:22] 其實OTC比大盤來的強
[04:24] 就確實有這個現象
[04:26] 那再來就是
[04:28] 黃文勳講的這個
[04:29] 就是成本下降
[04:31] 其實他比較偏向是講說
[04:33] 單位算力成本下降
[04:35] 實際上Rubin還是一臺
[04:37] 還是比Blackwell貴
[04:38] 那一臺Blackwell又比之前的Harper貴
[04:40] 而且是貴非常之多
[04:42] 但是因為現在強調的是
[04:44] 要讓效能更大幅的提升
[04:46] 所以這樣算起來就是會變成
[04:48] 你每買一臺新的很貴的新AI
[04:51] 但是你的算力成本
[04:53] 單位算力成本就會降非常非常多
[04:55] 他這次是有強調
[04:55] 好像在降十分之一
[04:58] 對
[04:58] 那當然就是我們
[05:00] 我覺得研究員或是市場的小作文很厲害
[05:03] 他們喜歡去抓關鍵字
[05:04] 降價
[05:05] 降價
[05:06] 對
[05:06] 我昨天就有聞到這個味道
[05:08] 就很多人說
[05:09] 那你這個東西
[05:10] 可能我們的利潤就會被砍掉
[05:12] 或是有一些升級潮就會被delay
[05:14] 對
[05:15] 但是我們其實可以發另外一篇小作文
[05:17] 強調效能提升
[05:19] 可是大家都很怕
[05:21] 變成CP值之真這樣子
[05:24] 對啦
[05:24] 其實這個好像
[05:25] 每一代的時候
[05:26] 都會發生一次
[05:27] 因為上次Blackwell也有
[05:28] 是
[05:29] 對然後後來Deep Seek
[05:30] 然後引發這個Blackwell
[05:32] 都其實都一直有
[05:33] 這件事情發生
[05:34] 而且我記得在
[05:35] 什麼GB200 300
[05:36] 那個過程中
[05:37] 就有人抱怨
[05:38] 所以匯達就是一直
[05:39] 很快的推出
[05:40] 什麼下一代效能更好
[05:42] 這樣子
[05:42] 對
[05:42] 然後結果那上一代
[05:44] 都還沒賣完
[05:44] 所以大家就很
[05:45] 覺得很討厭這樣
[05:46] 就這個之前就撐過了
[05:48] 對
[05:48] 所以就是供應鏈
[05:50] 其實確實會有一點辛苦
[05:52] 對
[05:52] 然後會
[05:53] 如果你沒有跟上
[05:54] 你就會受傷
[05:55] 然後如果
[05:56] 規格沒有太明顯的改變的話
[05:58] 確實就會有價格的壓力
[05:59] 對啊
[05:59] 而且就等一等啊
[06:00] 就像我們在換手機
[06:02] 哦
[06:02] 那現在這一代功能還好嗎
[06:04] 我等會就忍一年
[06:05] 有時候會不會有這個想法
[06:07] 對
[06:08] 好像會有這個現象
[06:09] 所以還好
[06:10] 它Blackwell有點delay
[06:11] 然後讓這個週期有拉長
[06:13] 有拉長
[06:13] 對
[06:14] 那當然就是
[06:15] 以今天台光店
[06:16] 盤面上的這個小作文來看
[06:18] 他就抓到關鍵字
[06:20] 降軌
[06:21] 好 我就是把這個小作文
[06:22] 第一時間
[06:23] 我就立刻傳給婉婷
[06:24] 因為我想說
[06:25] 這個絕對你才分得出來
[06:27] 他講的是真的還是假的
[06:28] 然後婉婷就說
[06:29] 到底為什麼市場會相信一個
[06:31] 完全沒名沒姓的
[06:32] 研究的
[06:33] 研究機構
[06:34] 的小作文
[06:36] 對
[06:36] 不相信我們外資
[06:37] 或是統一
[06:38] 對不對
[06:38] 對啊 對啊
[06:39] 因為其實昨天
[06:40] 應該是前天李揚先發
[06:43] 然後他也是上修了
[06:45] 臺光店的目標價
[06:46] 然後他提到
[06:47] 就是有非常多的板子
[06:49] 都會改成用M9
[06:50] 會規格升級
[06:51] 然後在這個AI的趨勢之下
[06:53] 這個規格升級
[06:54] 會讓整個C-Cell的TEM
[06:56] 就是產值會大幅的增加
[06:57] 然後昨天廣發也有發報告
[07:00] 今天早上高盛也有
[07:02] 其實內容是大同小異的
[07:04] 都是看得比較正面的
[07:05] 然後都全面上修臺光店
[07:07] 我把小字文裡面
[07:08] 可能大家比較想得到的
[07:10] 例如說降規這個M9
[07:13] 要降規到M8
[07:14] 對
[07:15] 然後呢
[07:16] 還有就是M9
[07:17] 還有在這個CX9的
[07:18] 網絡卡相關元件
[07:20] 還要大幅降級到M7
[07:22] 中繼版的部分
[07:24] 原定M9
[07:25] 現在是可能M8加LK2
[07:27] 或是M8.5
[07:28] 他覺得這些
[07:29] 寫得很詳細
[07:30] 但是因為這些很細的
[07:32] 什麼CPX CX9
[07:33] 中繼版是婉婷非常熟的
[07:37] 所以他一看應該就知道
[07:38] 到底這樣講有沒有道理
[07:39] 我覺得看到這個
[07:41] 我相信一般投資人看到
[07:43] 就覺得哇太專業了吧
[07:45] 一堆重要的名詞
[07:46] 然後全部降規
[07:47] 完蛋了我要趕快賣股
[07:48] 因為太專業了
