[00:00] 欢迎收听赵华语古惑仔第1100集
[00:09] 今天是2026年的5月19号
[00:12] 这两天的盘不太舒服了
[00:14] 不太舒服了
[00:15] 有点什么样的记事感呢
[00:17] 就是三月的记事感来了
[00:19] 刚刚呢
[00:21] 录音前正在跟今天的来宾在那边掐指一算
[00:24] 三月发生什么事呢
[00:26] 三月发生了美伊战争
[00:27] 油价上涨通膨的疑虑爆发
[00:29] 所以我们从大概
[00:31] 当时的高点将近三万六千点
[00:33] 就下修到了三万一千五百点附近
[00:36] 算了一下这样的跌幅
[00:38] 大概十二趴多
[00:39] 十二趴多
[00:40] 那如果对应起这一次
[00:42] 我们是涨到了四万两千多点
[00:43] 十二趴多的话
[00:45] 就有可能回到三万七千多点的附近
[00:49] 可能要跌个五千多点
[00:50] 听起来有点可怕
[00:53] 可是现在又回想三月
[00:55] 那时候跌了四千五百点
[00:57] 没有减
[00:58] 好可惜哦
[00:58] 后面是涨了一万点
[01:00] 谁知道
[01:01] 因为在跌的时候
[01:03] 一定会有非常非常多的利空的因素
[01:05] 非常非常多的心理的压力
[01:07] 那当时赵华是站在
[01:09] 多头是没有死亡
[01:10] 没有结束的立场上面
[01:11] 也提出了很多证据
[01:12] 但说实话
[01:13] 到了现在
[01:14] 进入到5月要6月了
[01:16] 就等于第二季要迈入最后一个月的时候
[01:18] 我们面临到的状况
[01:20] 可能就会比第一季又有些许的不同
[01:23] 例如我们的机器已经垫高了
[01:25] 能不能持续冲冲冲
[01:27] 可能业绩不错
[01:29] 但业绩有办法像第一季
[01:31] 这么样的大幅成长的亮眼吗
[01:33] 然后再来的话
[01:34] 因为当时是三万点
[01:36] 那现在是四万点
[01:38] 已经又多涨了这个一万点
[01:40] 会不会回吐的力道更强
[01:42] 我想在这个当口
[01:43] 大家都还是有非常大的问号
[01:45] 每一次都是这样
[01:46] 上涨时懊恼
[01:47] 哎呀买太少
[01:48] 下跌时害怕
[01:49] 这一次可能真的会崩哦
[01:51] 怎么样来克服这样的看法
[01:53] 然后还有用各种的证据来证实
[01:56] 现在应该不会是个崩盘的时候
[01:59] 先来欢迎今天的来宾
[02:00] 今天来的是我们的
[02:02] 寻南古生 威良哥
[02:03] 赵华女神好 大家好
[02:05] 赵华女神好
[02:06] 因为刚威良还跟我说
[02:08] 我等一下也要反问你这个问题
[02:10] 如何能确定这一次下跌
[02:12] 不会崩
[02:12] 而是又像上次跌一跌
[02:14] 会恢复上涨
[02:15] 但是当然来者是客
[02:17] 先请威良哥分享
[02:19] 因为上一次回头看就觉得
[02:22] 哇 三月你在破月季线的时候
[02:24] 去捡东西
[02:25] 或者是买一些比较热门族群的
[02:27] 现在看起来
[02:28] 就算这两天回跌
[02:30] 应该都不会上到
[02:31] 都是回吐而已
[02:33] 可是就变成很疑虑说
[02:35] 现在听到一些新的
[02:36] 例如说油价怎么还是没有下来
[02:39] 油价昨天布兰特远远到112元
[02:41] 怎么搞的
[02:42] 这个每一站
[02:43] 感觉上大家没有这么关心
[02:45] 可是油价没下来
[02:45] 然后再来滑雪要上任
[02:47] 本来滑雪要上任
[02:48] 大家想川普人嘛
[02:49] 怎么样也要逼着降息
[02:51] 没有现在传出来
[02:52] 搞不好要升息
[02:53] 就不会是立刻
[02:55] 可是搞不好明年有升息的压力等等的
[02:58] 然后其实美国有一些所谓的
[03:00] 所谓的车贷
[03:02] 有一些信贷
[03:03] 他们有这一种还不出来的那个危机
[03:06] 有一点点在引燃成型
[03:08] 因为高利率环境实在太久了
[03:10] 会不会产生真正的黑天鹅
[03:13] 或者是比上比三月更严重的跌幅
[03:17] 不晓得威良怎么看
[03:19] 好那首先呢
[03:20] 我认为了
[03:21] 我们在操作的过程当中
[03:23] 一定会遇到一些波动拉回
[03:25] 那自己呢
[03:26] 可能有时候也会陷入低潮
[03:27] 比较不顺的时候
[03:28] 那这个就像呢
[03:29] 那你现在是低潮吗
[03:31] 现在还蛮低潮的
[03:31] 才两天你就低潮了
[03:34] 但是呢
[03:35] 通常碰到这种
[03:36] 我们比较
[03:38] 可能不是那么如意的时候呢
[03:39] 大家就要找到呢
[03:41] 你内心那个安定的信仰
[03:43] 有的人是拿圣经
[03:44] 有人是拿香
[03:45] 有人是拿佛珠
[03:46] 是已经到玄学的地步是
[03:48] 那我们的信仰是什么呢
[03:49] 我的信仰就是基本面
[03:51] 对
[03:53] 因为有的时候你会担心说
[03:54] 现在有卖压
[03:56] 然后或者说现在
[03:57] 有一些明显的利空消息
[03:59] 其实慢慢把这些
[04:01] 就是波云见雾
[04:03] 我们要看到的就是
[04:04] 基本面的阳光
[04:06] 到底有没有转暗淡
[04:08] 所以其实我认为
[04:09] 市场如果真正要发生
[04:12] 就所谓的空头降临
[04:14] 生活是一个
[04:15] 真的是大规模的泡沫后的股灾
[04:17] 我觉得通常它必须要
[04:19] 同时符合两个条件
[04:20] 第一个就是
[04:21] 基本面开始转差了
[04:25] 变得恶化了
[04:26] 另外一个部分就是
[04:27] 估值评价太高太高了
[04:30] 我们先就基本面来讲
[04:31] 先看台湾
[04:33] 台湾其实第一季GDP来到13.69%
[04:37] 各位要知道
[04:38] 这个是创下近39年来最高
[04:41] 所以我们从小到大
[04:42] 没有看过这么高的成长
[04:44] 要强调一下
[04:45] 我们还年轻
[04:47] 当年公告这个数据
[04:50] 三十几年前的时候
[04:51] 我们还小也不会去注意GDP
[04:52] 不是因为说实话
[04:54] 我们在讲这些的时候
[04:55] 只有一个人会打断我们
[04:56] 就是施工有的老师
[04:57] 他会说我跟你讲
[04:58] 民国七十几年
[04:59] 说怎么样怎么样
[05:00] 对
[05:01] 是是是
[05:02] 所以从我们开始投资以来
[05:03] 开始研究以来
[05:04] 没看过单季有13.69%的
[05:07] 是
[05:07] 那这个只是一个开端
[05:09] 包括我们看到其实
[05:10] 台湾在第一季的
[05:12] 外销订单
[05:13] 出口上市柜的营收表现
[05:15] 都非常强
[05:16] 这告诉大家
[05:17] 在淡季之中都如此不淡了
[05:19] 那接下来下半年
[05:21] 旺季会更强
[05:21] 所以整体AI的一个
[05:24] 正向的循环
[05:26] 然后带动整个经济好转的力量
[05:28] 我觉得还在增强当中
[05:30] 而没有减缓
[05:31] 因为预估今年
[05:32] 美国的前五大CSP厂商
[05:35] 他们的合计资本支出
[05:36] 可能会上看8000亿美元
[05:38] 所以这个部分跟去年相比
[05:40] 又是一个大幅度的跳增
[05:42] 这个就是牵动到台湾供应链
[05:44] 最大的一个商机跟红利
[05:46] 所以我认为
[05:47] 经济跟企业的获利
[05:49] 还是非常强
[05:50] 那基本面我只要想到这个部分来讲的话
[05:53] 我就觉得其实拉回就不要太过于担心自己吓自己
[05:57] 那第二件事情刚才提到就是
[05:59] 除非估值严重的高估了
[06:01] 泡沫化像过去金融海啸之前
[06:03] 或者是网络科技之前
[06:05] 大概是近二十几年来
[06:07] 这个为二两次估值大幅度的偏离不合理
[06:11] 但是我们就看台湾的这个正店之宝
[06:14] 护国神山台积店
[06:15] 今年如果赚95到100
[06:17] 明年如果赚120到130
[06:20] 那后年呢赚到150以上
[06:21] 好所以呢你其实用今年开始呢
[06:24] 因为也慢慢到年度中间
[06:26] 然后进入到下半年
[06:27] 势必会去反映2027明年的EPS
[06:31] 那这样来看明年如果赚120到130元的话
[06:34] 这边2200块真的不贵
[06:36] 而且我还觉得蛮便宜的
[06:38] 好那当然台积电就会影响到整个台股的
[06:41] 整个大盘的定价层面
[06:43] 所以现在看起来呢
[06:44] 本益比也不高
[06:45] 本益比也不高
[06:46] 那美股的部分当然也是重中之重了
[06:49] 那美股呢
