[00:00] 欢迎收听赵华谊古惑仔第1157集
[00:09] 今天是2026年的8月10号
[00:12] 这个周末呢
[00:13] 感觉上是比较风平浪静一些的
[00:16] 但今天的盘是真的非常的强
[00:18] 今天盘中有涨到快1000点左右
[00:21] 有把45000点这个数字一度站上
[00:25] 一度站上
[00:26] 但中场是上涨了702点
[00:29] 所以呢就差一咪咪
[00:31] 总之也是在四万五千点的附近
[00:33] 到了四万五千点这个地方
[00:36] 就难免呢
[00:37] 大家会开始讨论了
[00:39] 有两个方向
[00:40] 第一个当然以指数来说
[00:41] 你会觉得哇
[00:42] 这一波的强弹好猛哦
[00:44] 一下子就只差大概三千点
[00:46] 就要回到前高了
[00:48] 好但第二呢
[00:49] 第二是没有啊
[00:50] 我手上的股票没有啊
[00:52] 我手上的股票就算
[00:54] 已经回弹了五成甚至六成好了
[00:56] 可能都还是离起跌点
[00:58] 蛮远的
[00:59] 因为如果下跌50%
[01:01] 是要上涨100%才会回来
[01:03] 所以如果是反弹50%
[01:05] 听起来很厉害
[01:06] 可是因为我们不可能
[01:07] 在它的最低点all in
[01:09] 不可能在最低点
[01:10] 大家全部人都那么聪明
[01:11] 我手上有这张股票
[01:12] 在最低点
[01:13] 我全部都大买特买去摊品
[01:14] 也不可能
[01:15] 所以还是有很多人觉得
[01:17] 谈到这里
[01:18] 意犹未尽
[01:20] 就是手上的持股
[01:22] 不一定有全数大回血
[01:25] 那又好怕像上次一样
[01:27] 抱过一座山
[01:29] 就是抱上抱下
[01:30] 如果谈到这个地方
[01:32] 有点阻碍了
[01:33] 卡关了
[01:34] 这种心情
[01:34] 这种滋味很难形容
[01:36] 所以今天要来跟大家分享
[01:38] 因为正因为个股
[01:40] 还离前面的前高
[01:42] 有蛮多都蛮远的
[01:43] 所以换句话说
[01:45] 换句话说
[01:46] 只要指数没有太过严重的震荡
[01:49] 也许在个股上面
[01:50] 现在就进入到
[01:52] 可以分门研究的
[01:53] 之前是无差别的下杀
[01:54] 后来是无差别的反弹
[01:56] 那现在可能叫做有差别
[01:58] 有差别之外
[01:59] 今天更希望跟大家聊的
[02:01] 还是在配置上面的想法
[02:03] 因为谈到这里
[02:04] 回血了嘛
[02:05] 回血了其实事情也好做了
[02:07] 怎么说
[02:07] 你会比较心里面比较踏实
[02:10] 你可以获利了结一部分
[02:11] 去配置你想要配的东西
[02:13] 或者是你比较能够区分什么东西
[02:15] 也许你在这个地方
[02:16] 你还敢稍微加一点点
[02:18] 好
[02:19] 先来欢迎今天的来宾
[02:20] 礼拜一通常是他
[02:21] 就是我们的题材猎人
[02:23] 汉伟哥
[02:24] 大家好
[02:25] 各位听众朋友大家好
[02:26] 今天的体感应该算是还不错
[02:29] 因为上涨加速是远远高于下跌加速的
[02:32] 而且它有均匀的分散在各个领域
[02:35] 尤其是今天下午
[02:36] 是台移电7月营收公布
[02:37] 创历史新高
[02:39] 有来到4600亿元以上
[02:41] 但这样的好成绩
[02:42] 反而在早上
[02:44] 台移电是一个
[02:45] 就是小涨而已的一个状况
[02:48] 甚至有点压尾盘
[02:49] 把空间是让给了其他的股票
[02:51] 所以可以看到今天的股票
[02:53] 它也是类似有点百花齐放
[02:55] 小涨跟大涨的差别
[02:57] 那例如说像我们看到
[02:59] 这个电源
[02:59] 广宝科继续涨停板之外
[03:02] 台达电今天终于也涨停板
[03:04] 会让大家觉得相对比较安慰
[03:06] 相信大家如果打开
[03:07] 今天手上自己的持股
[03:09] 应该是大部分都是红的
[03:11] 然后小部分才是绿的
[03:13] 当然也有一些小型股
[03:15] 它是比较开高走低的
[03:16] 不过今天族群性强的
[03:18] 还有像CPO
[03:19] 因为这个AOI
[03:20] 也杰出很好的财报
[03:22] 感觉上最近CPO的利多
[03:24] 是狭带着大老家基本面
[03:27] 真的是蛮强劲的
[03:28] 那即使谈到这里
[03:30] 大家可以把图打开来看
[03:32] 你说CPU离他们的高点远不远
[03:35] 还是很远
[03:36] 这件很有趣
[03:37] 还有记忆体
[03:38] 美光被降频
[03:40] 我们的记忆体超级猛
[03:42] 然后高盛又讲了一个说
[03:43] 记忆体的新循环
[03:45] 会循环到2030年
[03:46] 到底什么样的新循环
[03:48] 刚好这些都是浩尔哥的强项
[03:50] 但是我们先就大盘来说
[03:52] 因为大盘到这边
[03:54] 你也知道
[03:54] 我们很多人
[03:55] 我们上礼拜
[03:56] 花了一些力气跟大家讲
[03:57] 有没有所谓第二只脚呢
[03:59] 按照惯例
[04:00] 应该是出现的几率比较高
[04:02] 但是如果没有呢
[04:04] 叫做V转上去
[04:05] 那就先享受回血
[04:07] 好
[04:07] 我们已经享受一个礼拜回血了
[04:09] 那这个礼拜
[04:11] 我们的策略
[04:11] 你觉得怎么做比较对
[04:13] 我觉得当然啦
[04:14] 如果说就整个大盘的一个架构
[04:16] 我认为应该都还有反弹的空间
[04:18] 因为大家如果会去算技术面
[04:20] 从大盘的高点回落下来
[04:23] 到4万点以下
[04:25] 那今天反弹商业的位置
[04:26] 刚好反弹
[04:27] 已经超过了
[04:28] 0.618的位置
[04:29] 那一般来讲
[04:30] 我们讲V型反转的条件就是
[04:32] 如果反弹过了
[04:33] 0.618能够站稳
[04:35] 那就会达成
[04:36] 有可能会出现反转
[04:37] 甚至回升创新高的一个格局
[04:39] 所以整体上来看
[04:41] 我觉得最少就大盘的一个线型
[04:43] 跟它的一个形态来看的话
[04:45] 是真的已经走出
[04:46] 所谓的破底的阴霾
[04:48] 那大家可以观察的是
[04:49] 第一个是季线的支撑
[04:51] 那我们讲季线支撑
[04:52] 在今天是重新站回去
[04:54] 上个礼拜我是小路跌破
[04:56] 那跌破一天又重新站稳
[04:58] 那也就代表说
[04:59] 如果这个礼拜到礼拜三之前
[05:01] 季线能够守稳
[05:02] 大家如果去看那个大盘的形态
[05:04] 我们的月线目前是下弯的
[05:06] 但月线到礼拜四
[05:08] 刚好扣底到7月17号
[05:10] 台股历史最大单日跌点那一天
[05:13] 也代表说整个月线均线
[05:16] 在礼拜三礼拜四
[05:17] 它就转为上弯
[05:18] 所以如果现在形态一旦完成了
[05:21] 所谓均线多头排列
[05:22] 那整个大盘指数又收稳0.618
[05:25] 大概在44750点的位置的话
[05:29] 我觉得这边
[05:30] 就有机会维持一个金银掌的格局
[05:32] 那金银掌格局
[05:33] 但不能够只有台湾掌嘛
[05:35] 所以你可以看到
[05:36] 上个礼拜五在美股
[05:38] 标普指数创下收盘率是新高
[05:41] 然后纳达克指数离前高非常接近
[05:43] 那道雄指数在上个礼拜
[05:45] 也创下率是新高
[05:46] 所以美股最少跟大家讲
[05:48] 川普有在顾他的期中选举的行情
[05:50] 所以希望让整个美国股市
[05:53] 在第三季选举之前
[05:55] 能够交出一个股市的一个政绩
[05:57] 所以这个情况
[05:58] 我觉得当然对于整个台股
[06:00] 最少我们有一个领头羊
[06:01] 你不能够只有台股
[06:03] 一个独自的武林
[06:04] 自己在创高
[06:05] 如果美股也回到创高轨道
[06:07] 加上说亚洲的拖油瓶
[06:09] 韩国股市能够回稳的话
[06:11] 那也许我觉得这个礼拜
[06:12] 应该还是可以比较乐观来看待
[06:14] 那当然这礼拜大家要关注的是
[06:16] 上个礼拜五元股
[06:17] 为什么能够强势
[06:18] 甚至今天台股
[06:19] 为什么会看到
[06:20] 可能外资有一些所谓资金的回流
[06:22] 还是因为上礼拜五的非农就业数据
[06:25] 对意外的衰退
[06:27] 对而且还是下修了五月六月的一个就业的人口
[06:31] 所以大家会觉得说
[06:32] 美国经济看起来好像没有那么好
[06:35] 所以看起来这个万事俱备
[06:37] 只欠这个华许能够再做一个鸽派的表态
[06:41] 所以整体上来看
[06:43] 你会发现到美股为什么上礼拜五
[06:44] 有一些所谓成长性股票特别强
[06:46] 是因为原本在7月份造成
[06:49] 美国股市很大压力的美国
[06:50] 不管是十年级公债殖利率
[06:52] 三十年级公债殖利率都不断的飙高
[06:55] 那到了礼拜五非农数据出来之后
[06:57] 这个利率就开始转头往下
[07:00] 那当然就会让你看到美股当中
[07:02] 什么AOI啊
[07:03] 矽光光通的族群大涨啊
[07:05] 然后一些IC设计的啊
[07:07] 克希伦啊
[07:08] 麦威尔啊
[07:09] 然后一些所谓的微星科技
[07:11] 这些的都是大幅度的走高
[07:13] 我觉得都是跟所谓的利率走低的环境有关
[07:17] 所以当美国的公债利率
[07:19] 开始往下走的时候
[07:20] 你会发现到美股当中
[07:22] 像软体股表现也很好
[07:23] 微软是创造今年的新高
[07:25] 然后亚马逊在上礼拜
[07:27] 是创造历史新高
[07:28] 所以美国的科技巨头股
[07:30] 也开始出现回稳
[07:32] 甚至慢慢走到创高轨道
[07:34] 甚至连这一波
[07:35] 让大家很多人失望的
[07:37] SpaceX
[07:38] 对它礼拜四礼拜五两天
[07:41] 加起来涨了快要30%
[07:42] 我觉得SpaceX
[07:44] 或是像特斯拉
[07:45] 它已经很难用
[07:46] 失不失望来形容了
[07:47] 它是信仰类
[07:48] 请归在信仰类
[07:50] 对
[07:51] 但是就是
[07:52] 它也能够出现跌身反弹的话
[07:54] 我觉得最少是一个
[07:56] 我觉得可以比较多方来看待
[07:58] 因为你会发现到
[07:59] 他们这些其实美股
[08:00] 从第二季的财报
[08:01] 入去公布完毕之后
[08:03] 其实每家公司
[08:04] 就业绩的表现都很好
[08:06] 那展望其实也都不差
[08:08] 但市场都拿放大镜来解读
[08:10] 对
[08:11] 股价你会发现到
[08:12] 都先跌一段之后
[08:13] 很多都回到创高
[08:14] 你看Google
[08:14] Google这个说自由现金流为负
[08:18] 就是财报那一天就来到最低点
[08:20] 后面就回到多方轨道
[08:22] 是
[08:22] 对那你看到美股当中
[08:24] 我觉得其实到八月份下旬
[08:26] 大家还可以关注到美股的AI
[08:28] 所带动了台股的AI的联动关系
[08:30] 因为你看到辉达的股价
[08:33] 在上个礼拜美股当中
[08:35] 是涨了快要10个百分点
[08:36] 一个礼拜涨了快10个百分点
[08:38] 所以它离它的前高历史新高
[08:40] 232美元
[08:42] 那礼拜五收盘是224美元
[08:44] 所以非常接近
[08:46] 汇达即将创下历史新高
[08:48] 所以到了月底财报之前
[08:50] 汇达如果创下历史新高的话
[08:51] 我觉得对于大盘指数
[08:53] 甚至你看到现在大盘的多方轮动
[08:55] 都会有比较有利的帮助
[08:57] 所以今天我觉得盘面上来讲
[08:59] 为什么很多人会觉得说
[09:00] 这个体感温度还不错
[09:02] 是因为有一些所谓的
[09:04] 你所认识的AI指标股
[09:06] 全面性的大涨
[09:07] 像你看到很久没有涨的台达电
[09:09] 今天涨停板
[09:10] 光宝科也往上攻高
[09:12] 那甚至你看到日月光啊
[09:14] 联发科啊
[09:15] 然后还有我们这个
[09:17] 最强的股后川湖
[09:19] 台中的长龄板
[09:20] 都被关了
[09:21] 那这些我觉得都代表说
[09:23] 你看到盘面上
[09:24] 这些有在创高
[09:25] 或有在多方发动的股票
[09:27] 各个都是我们台湾AI供应的龙头
[09:30] 那我觉得整个盘面上的气氛
[09:32] 就会慢慢变成多方在掌控的
[09:35] 好
[09:35] 说到这个川湖
[09:36] 因为它被涨到分盘交易
[09:38] 现在都是两分钟分盘交易了
[09:40] 那我今天用我的APP试着去买
[09:42] 这个两分钟分盘交易是要圈存的
[09:44] 对
[09:45] 但因为之前五分钟的
[09:47] 我是不用圈存的
[09:48] 据说这可能
[09:49] 也许跟各家APP的设定
[09:51] 也许有点关系
