[00:00] 欢迎收听赵华宜古惑仔第1114集
[00:09] 今天是2026年的6月8号
[00:12] 今天是一个很特别的日子
[00:14] 因为礼拜六礼拜天
[00:16] 我想大家又开始惶惶不安了
[00:18] 就因为礼拜五的夜盘
[00:20] 有发生了戏剧性的变化
[00:22] 这个戏剧性的变化
[00:24] 其实礼拜五晚上
[00:25] 大家可能都比较晚睡
[00:27] 我也稍微晚睡
[00:28] 但是我睡前
[00:29] 看到的是跌了大概1000多点
[00:32] 想说这礼拜五已经跌了
[00:34] 礼拜四也跌了
[00:35] 跌这1000多点感受不是很好
[00:37] 我觉得这边有个很巧妙的事情
[00:39] 大家可以继续听下去
[00:40] 然后早上起来就看到
[00:42] 哇塞
[00:42] 这个盘中最大的跌点
[00:44] 有跌到4500多点
[00:46] 也就是几乎台址期
[00:47] 叫做跌停板
[00:49] 赶快搜集资料
[00:51] 赶快跟达人朋友们聊一聊
[00:53] 那当然会跌到跌停板
[00:54] 它就有一点反映到
[00:56] 城市单交易出来
[00:58] 没有买盘
[00:59] 没有买盘的时候
[01:00] 就直接灌到跌停板
[01:02] 它是有点流动性枯竭的问题
[01:04] 因为如果看到美股
[01:06] 虽然费半杀10%是很可怕
[01:08] 但是也不至于到这样的程度
[01:10] 然后习近平就在想说
[01:12] 好吧
[01:13] 那我们就这两天看看
[01:14] 看什么呢
[01:15] 看一下川普会不会说什么
[01:16] 看一下有没有更新一步的
[01:18] 国际上事情的变化
[01:20] 也来不及了
[01:21] 礼拜六礼拜天了
[01:22] 那礼拜六礼拜天
[01:24] 也就跟达人们就聊了一下
[01:26] 各自有各自的对策
[01:28] 因为大家知道
[01:29] 达人大概80%
[01:30] 还是觉得AI的行情是往上的
[01:32] 那到底要不要减呢
[01:34] 什么地方减呢
[01:36] 那也有达人是本来就看得比较保守的
[01:39] 就会有嘿嘿嘿
[01:40] 被我看中了吧
[01:41] 一直飙一直飙
[01:42] 总会有这一天吧
[01:43] 但是今天的开盘
[01:45] 我想大家也要注意到一件事
[01:47] 有好多人跑到我的脸书上留言说
[01:50] 好像没有想到中严重嘛
[01:52] 没有那种什么史诗级的蝶服
[01:54] 都是有原因的
[01:56] 都是有原因的
[01:57] 其实礼拜天我自己也发文
[01:58] 告诉大家
[01:59] 不会有史诗般的沙盘
[02:02] 但是会沙盘
[02:03] 等一下我们来细细的拆解
[02:05] 因为如果今天叫做
[02:06] 没有预期中的叠
[02:08] 那明天会不会补叠
[02:09] 会不会什么时候又来
[02:11] 那么一下子
[02:12] 好那今天我们这一集比较特别
[02:14] 今天这一集除了
[02:15] 这个Podcast的声音在空中
[02:17] 跟大家相会之外
[02:18] 我也会尝试做所谓的
[02:21] Live直播
[02:22] 直播到哪里去呢
[02:23] 大家有兴趣的话
[02:25] 可以搜寻一下
[02:26] 赵华艾伦说的YouTube频道
[02:29] 我们今天会试着在那上面做直播
[02:31] 那还会有一些精华的片段
[02:33] 我可能就会改放在理财达人秀的频道
[02:36] 但是首先我们这个实验性的做法
[02:39] 我们就从赵华艾伦说的YouTube频道开始
[02:41] 如果没有订阅过的
[02:42] 上YouTube搜寻一下赵华艾伦说
[02:45] 就会找到
[02:45] 我先来欢迎今天的来宾
[02:47] 今天来宾不是艾伦
[02:48] 怎么第一集就那个人呢
[02:52] 先来欢迎他
[02:53] 我们来的是题材猎人
[02:56] 哈美哥
[02:56] 大家好
[02:57] 各位听众朋友大家好
[02:58] 各位观众朋友大家也很好
[03:00] 刚刚有简单的讲一下
[03:02] 整个六日的一个情形
[03:04] 六日的时候你在想什么
[03:06] 第一个因为我们
[03:07] 大概礼拜六一大早起来
[03:09] 发现到让行情不得了了
[03:11] 因为台积电的期货
[03:14] 夜盘曾经跌停满过
[03:15] 然后台子铁部分
[03:16] 跌了4400多点
