[00:00] 欢迎收听赵华宇古货载第1095集
[00:09] 今天是2026年的5月12号
[00:12] 今天的台股盘中再创历史新高来到了4253
[00:17] 最近我们都知道多头的气势非常强
[00:20] 并不是不提醒大家风险
[00:23] 但是我们更希望从机会的角度来帮大家做分享
[00:28] 因为这一波一路的上来
[00:30] 中间虽然有震荡
[00:31] 像今天也有震荡
[00:32] 今天盘中有一度翻黑
[00:33] 跌了300多点
[00:35] 那个时候我也在犹豫说
[00:36] 会不会就只跌这样
[00:38] 就还在想他又回去了
[00:40] 所以现在的跌
[00:41] 好像就只是一天盘中的震荡洗刷
[00:45] 叫做跌
[00:46] 总体来说并不容易产生大跌
[00:49] 这个立场我们有跟大家说过
[00:50] 目前看不到任何的黑天鹅
[00:53] 而盘面上的利多消息
[00:55] 又多于利空消息
[00:56] 所以目前不设限
[00:58] 目前不设限
[00:59] 但是震荡一定会加大
[01:01] 好消息就是
[01:03] 现在依旧呈现的是产业轮动
[01:06] 个股轮动
[01:07] 像今天涨停板的股票连电
[01:09] 对不对
[01:10] 还有像维影大涨
[01:12] 以及这几天很凶悍的光宝科
[01:15] 前一阵子很凶悍的联发科
[01:17] 他们都是之前还没有办法创高
[01:19] 但最近开始回来创高
[01:22] 今天旺系也创高
[01:23] 好
[01:24] 那洗洗刷的股票往上涨
[01:27] 而且涨的并不是我们会觉得
[01:29] 哎呦怎么今天刷一排涨停的
[01:31] 都是一些没有获利的
[01:32] 很投机的股票都不是哦
[01:33] 是哦天啊轮到他了
[01:36] 没想到连连店都能涨停
[01:37] 没想到光宝科可以三颗涨停
[01:39] 没想到连八颗可以涨到四千块
[01:41] 是这样的一个情形
[01:43] 所以相对之下是健康的
[01:45] 那今天的来宾也曾经提醒我们
[01:47] 我们跟美股的乖离率相对比较高
[01:49] 可是现在费办也在喷涨
[01:51] 也在急涨
[01:52] 我们这个乖离率的问题
[01:54] 是不是也暂时得到了舒缓
[01:56] 先来欢迎他
[01:57] 就是我们的AI达人明汉哥
[02:00] 召唤好
[02:01] 听众朋友大家好
[02:02] 每天都在找我们
[02:03] 刚才在聊
[02:04] 4月营收也全数出入了
[02:06] 大概150几家创新高
[02:08] 比3月少一点点
[02:09] 但还是蛮厉害的
[02:10] 在这样的情况下
[02:12] 美股也不弱的状态
[02:14] 废办尤其强
[02:15] 那我们是不是就很安心的
[02:18] 坐着这个顺风车
[02:20] 找股票就对了
[02:21] 是不是很安心的
[02:24] 我个人觉得还是没办法很安心
[02:27] 应该这样讲
[02:28] 比之前相对比较好一些些
[02:30] 就是现在领头羊并不是我们
[02:34] 是肺瓣
[02:35] 是
[02:36] 那相对而言风险就小得很多
[02:39] 你从四月开始
[02:40] 整个肺瓣的指数涨幅
