[00:00] 欢迎收听赵华谊股货载第1122集
[00:09] 今天是2026年的6月18号
[00:13] 也是端午节廉价前我们最后一个交易日
[00:17] 大家众所瞩目在今天就是要听听看
[00:21] 凌晨到底华许的会后记者会上面讲了些什么
[00:25] 讲了些什么
[00:26] 其实如果看夜盘和美股也是有比较戏剧性的表现
[00:29] 在华许这个演讲开会之前
[00:32] 其实股票是先拉上去的
[00:34] 液盘是先拉的相当的高
[00:35] 可是后来开会的时候就刷
[00:37] 几乎是拉回快平盘的位置
[00:40] 所以本来预期今天的台股
[00:42] 应该是有一点受到压力的
[00:44] 可是今天实在太厉害了
[00:45] 今天台股是创下了历史新高
[00:48] 也创下了收盘新高
[00:50] 今天最高是来到46565
[00:53] 而且不止台股
[00:54] 整个亚股都非常的厉害
[00:57] 韩股日股也都创下了历史新高
[01:01] 那今天晚上美股会开盘
[01:03] 明天美股也是有这个节日的关系
[01:07] 所以他们明天是休市的
[01:08] 因此今天晚上美股也是同步是四五日
[01:11] 想必也会有一番比较震荡的洗刷
[01:14] 但是我本来预期是下个礼拜
[01:17] 这些变数都过了之后
[01:19] 应该可以万里无云的好好的来聊
[01:20] 可是今天就创高了
[01:22] 而且今天因为有复始指数的调整
[01:24] 在尾盘爆量
[01:25] 今天的量也来到1.5兆以上
[01:27] 是不是所有的好事情
[01:30] 提早发生了
[01:31] 还有一件事
[01:32] 因为美衣很厉害
[01:34] 我本来以为6月19号
[01:35] 他们才要签
[01:36] 我还在想说
[01:37] 等一下你在放假
[01:38] 就他们就没签
[01:39] 丢起来或什么
[01:40] 结果签了
[01:41] 还提早签了
[01:42] 这个MOU提早签了
[01:44] 所以好像就没有什么
[01:47] 要令人担心的
[01:48] 我先来欢迎今天的来宾
[01:50] 本来是礼拜五男孩
[01:51] 现在提早一天
[01:53] 也是礼拜四来
[01:54] 就是我们的国家级基金操盘手
[01:57] 黄峰凯凯哥
[01:58] 大家好
[01:58] 观众观众大家好
[01:59] 我们前几天其实也在讨论这件事情
[02:02] 就是觉得还是得听一下华许的态度
[02:04] 好 这边简单的帮大家讲一下
[02:07] 华许有一些事情说到做到
[02:09] 例如他就说了
[02:11] 以后不想要什么给市场前瞻指引了
[02:14] 有什么好前瞻的
[02:15] 最后决定怎么样就是怎么样
[02:17] 大家就等着听结果
[02:19] 还有他说他不喜欢点阵图要投票
[02:22] 因为投票也是一个指引
[02:23] 也是告诉你
[02:24] 大家对升降席的态度
[02:25] 他就昨天
[02:27] 19个人里面只有18票
[02:30] 因为华许没有去投票
[02:32] 所以点证图
[02:33] 现在是少一个点点的
[02:34] 好那昨天投出来的话
[02:36] 其实大部分人
[02:37] 还是觉得今年不升席
[02:38] 昨天投出来
[02:39] 大部分的人还是觉得
[02:41] 今年是一个不升不降
[02:42] 但是倾向升席一码的人
[02:45] 有变多
[02:46] 有变多
[02:47] 以及下修了GDP的预估
[02:49] 把这个美国GDP预估
[02:50] 从2.4下修到2.2
[02:52] 失业率也同步下修
[02:54] 这些资讯混合在一起
[02:55] 其实我觉得没有到非常好
[02:58] 可是我觉得市场好像有点松口气
[03:00] 所以今天整个雅谷是一个大涨的态势
[03:03] 想要请教凯哥
[03:05] 危机是不是彻底已经解除了
[03:07] 对 我觉得大家不知道记不记得
[03:09] 我们之前我来上节目的时候
[03:11] 我讲过其实这次的利率会议
[03:14] 基本上没有什么特别要注意的
[03:16] 但是要特别注意的就是
[03:18] 有没有可能做预防性的动作
[03:20] 那其实为什么昨天先涨
[03:22] 后来又跌下来
[03:23] 就是因为涨的时候是告诉你说
[03:25] 这次是按兵不动
[03:27] 可是惠后声明告诉你说
[03:29] 未来有可能要做升息的动作
[03:32] 所以才这个整个掉下来
[03:34] 再加上未来就没有点正图
[03:36] 也没有前瞻指引
[03:38] 所以大家变成是
[03:39] 未来是没有方向
[03:40] 所以突然就一阵的shark
[03:42] 就往下跌
[03:42] 但是其实整个市场来看
[03:45] 我觉得还蛮符合华许的作风
[03:48] 就他基本上就是一个比较强硬派的人
[03:50] 但是他又卡在川普的下面
[03:53] 我们都知道
[03:53] 其实川普现在就希望说
