[00:00] 欢迎收听赵华谊古货载第1062集
[00:09] 今天是2026年的3月23号
[00:12] 还记得上周五的时候
[00:14] 因为中小型股有率先的杀盘
[00:17] 那时候就有提醒大家有几个要素
[00:20] 第一个台股的要素
[00:22] 就是因为我们跟美股乖离已经到了非常非常大
[00:26] 美股的道琼标普都在年限的附近
[00:28] 但台股呢在上个礼拜都在涨中小型
[00:31] 涨着涨着也有在提醒大家
[00:34] 中小型涨着涨着
[00:36] 你会跟非常弱势
[00:37] 像鸿海今天跌破年线
[00:38] 你会跟非常弱势的全资股
[00:40] 可能也要来一个乖离绿的靠拢
[00:42] 怎么那么累
[00:43] 但这么累的情况下
[00:45] 就是因为台股在过去几周
[00:47] 始终比别人强这件事情
[00:49] 在今天虽然有所修正
[00:52] 但修正够了吗
[00:53] 上礼拜我特别提到六日特别会有事情
[00:56] 那这六日什么事情呢
[00:58] 这六个事情还是围绕在美伊的战争
[01:01] 尤其是因为油价
[01:02] 布兰特原油又一度冲上了112美元
[01:05] 大家对通膨的压力
[01:07] 突然之间好像到了一个
[01:09] 一个临界点
[01:11] 有一点小崩溃
[01:12] 这个崩溃崩溃在哪里呢
[01:13] 例如说债券的殖利率突然的往上喷
[01:16] 连黄金
[01:17] 大家想说黄金不是一个
[01:19] 怎么讲
[01:20] 这个避险工具吗
[01:21] 却是大跌
[01:23] 为什么
[01:23] 因为黄金涨得非常高
[01:25] 涨到例如说5000美元
[01:27] 以上的时候
[01:28] 它几乎已经成为一个
[01:30] 比较投资或投机型的工具
[01:33] 它也有避险功能
[01:34] 不是完全没有
[01:35] 可是现在担心市场热钱要退的时候
[01:37] 涨得非常多的资产
[01:39] 就率先会修正
[01:41] 这是一个排名上的现象
[01:43] 那今天台股
[01:44] 其实今天台股还是强
[01:46] 大家可能觉得中小型股已经够惨了
[01:49] 怎么还是强
[01:49] 去看看韩股
[01:51] 韩股跌了6个百分点以上
[01:53] 那我们呢
[01:55] 大盘跌了2.45%
[01:56] 跌了821点
[01:58] 其实在六日的时候
[02:00] 好多人觉得
[02:00] 这个气氛不太对
[02:01] 因为随着油价涨
[02:03] 这个美国说
[02:04] 要去炸伊朗的电厂
[02:05] 那伊朗就反击说
[02:07] 如果你敢弄我
[02:09] 我就把你的资料中心
[02:10] 通通炸光
[02:11] 因为你们资本主义
[02:12] 邪恶的资本主义
[02:13] 看你们没有AI资料中心
[02:15] 你们去哪玩
[02:16] 现代人的武器越来越多
[02:19] AI可以殖民
[02:20] 人家AI可以拿来当做
[02:22] 就是恫吓别人的武器
[02:24] 如果我AI资料中心被炸了
[02:26] 那美股可能有一半的科技股
[02:27] 真的会完蛋哦
[02:28] 好
[02:29] 总而言之
[02:29] 因而总之
[02:30] 很多人在今天
[02:31] 因为礼拜五中小型已经跌了
[02:33] 今天再跌一天
[02:34] 感受已经变得很不好了
[02:36] 也想要问
[02:37] 那本来以为战争叫做
[02:39] 意识性的地缘性政治影响嘛
[02:41] 会不会延续下去
[02:42] 我先来欢迎今天
[02:44] 楚变不惊
[02:45] 在旁边老神仔
[02:47] 在亲了几次喉咙的来宾
[02:49] 就是我们的存股教父古鱼
[02:52] 哈喽各位听众朋友大家好
[02:54] 我是古鱼
[02:55] 你上礼拜有发表一篇
[02:57] 脸书的贴文
[02:58] 对没有错
[02:59] 然后我就去给你回了留言
[03:00] 是
[03:01] 说不愧是我鱼
[03:02] 是没有错
[03:03] 因为那篇贴文就在讲
[03:05] 整个很简易的
[03:07] 不用羡慕别人的心态
[03:08] 然后还有就是
[03:09] 资产配置的真谛
[03:11] 对短短几句话
[03:13] 我觉得就非常非常的受用了
[03:15] 有的事情看似简单
[03:17] 但是只要照着这个简单的方式
[03:20] 执行起来
[03:21] 就大家不干预很简单的事
[03:23] 你知道吗
[03:23] 但是如果执行起来
[03:25] 那就会发现成效很惊人
[03:27] 就像我们等一下会讲
[03:28] 这样的盘怎么办
[03:29] 其实这样的盘定期定了就好了
[03:31] 对没有错
[03:32] 我们先来讲今天盘面上的变化
[03:34] 虽然你并不是一个盯盘的人
[03:36] 但我有发现你都有默默在看盘
[03:38] 我先来讲国际情势
[03:41] 国际情势
[03:42] 因为这一次的美伊战
[03:43] 刚开始的时候
[03:44] 川普这个刚开始打大概两礼拜吧
[03:46] 就说这个战争很快就会结束
[03:48] 有一天喊话的时候
[03:50] 台股和美股还同步大涨
[03:52] 可是后来发现
[03:53] 它好像有一点搞不定
[03:54] 现在甚至说
[03:56] 它有去想要炸伊朗的电厂
[03:58] 然后有一些飞弹
[04:00] 可能快要炸到伊朗的
[04:01] 一些核能设施
[04:03] 所以那种核能设施的味道
[04:06] 就是核战的味道飘出来之外
[04:09] 还有就是中东国家
[04:10] 有所谓的氦气
[04:11] 是半导体要用的
[04:12] 也继续传说会有断气危机
[04:15] 那油价上涨
[04:16] 联准会这一次开会已经讲了
[04:18] 非常担忧油价上涨
[04:19] 所以不但没有要降息
[04:22] 甚至现在市场已经开始传说要升息
[04:25] 这件事情对美债就有相当大的杀伤力
[04:27] 这么多的变数
[04:29] 你要如何解读
[04:30] 会不会演变成最坏的状况
[04:33] 我们先从一个角度上来看这个问题
[04:38] 美国他去炸其他的国家
[04:41] 有可能他很快可以让
[04:44] 那个国家的领导层
[04:46] 达到一个转换的效果
[04:48] 因为我们以前常常在讲说
[04:50] 战争这种东西
[04:51] 擒贼先擒王
[04:52] 只要先把那个头给干掉了
[04:54] 那下面的人的话
[04:56] 他很快就会去臣服于
[04:58] 他新的领导阶层
[05:01] 然后去换班
[05:02] 然后去换一个新的统治
[05:03] 甚至换一个比较亲美的政权上来
[05:06] 做替换的动作
[05:07] 但是有一些国家
[05:10] 他就是不一样
[05:11] 他从头到尾
[05:13] 就没有所谓的真正的领导层
[05:16] 那个国家的话就叫做伊朗
[05:18] 可是伊朗不是他们那个首领已经被击毙
[05:22] 对
[05:22] 那你要先想
[05:23] 伊朗他们选择领导人的方式
[05:27] 跟一般的民主国家
