[00:00] 欢迎收听赵华宇古惑仔第1084集
[00:09] 今天是2026年的4月24号
[00:13] 今天依旧是有一点戏剧性的表现哦
[00:16] 当然跟昨天比起来
[00:17] 昨天真的也是我觉得非常罕见的一天啦
[00:21] 大风大浪
[00:23] 那个风浪是因为已经在非常高的高点了
[00:26] 冲上去在1000点的时候
[00:28] 你已经有点惊吓了
[00:29] 就又再杀下来700点
[00:31] 而且昨天跌停板的加速非常多
[00:33] 整个中小型股市这个哀鸿遍野
[00:36] 所以昨天那样的惊吓之后
[00:38] 我发现各个财经频道的点阅率应该都有上升
[00:42] 那今天呢
[00:44] 本来想说昨天通常人在
[00:46] 例如说你受到很大刺激
[00:48] 或是你有点生病了或什么的
[00:50] 你隔天应该是比较没有活力嘛
[00:52] 但今天的盘勒
[00:53] 却是中场大涨了1200多点
[00:57] 盘中只差11点
[00:59] 因为最高来到38989
[01:01] 就要来到39000点的只差11点
[01:04] 也就是说今天又再创了一个历史新高
[01:07] 那大家也看到今天跟昨天有点类似的是
[01:10] 台电的北美技术论坛给了台电一个很大的助力
[01:13] 今天台电是直接上涨高达5%以上
[01:18] 最高来到2190
[01:20] 收盘是2185
[01:22] 所以台电本身就贡献大盘指数大概800多点了
[01:26] 所以今天的千点行情
[01:28] 有一大半是台移电所贡献的
[01:32] 但是不要忘记还有像联发科
[01:34] 还有像微影
[01:35] 还有像台光电
[01:37] 还有像奇鸿
[01:38] 就是围绕在所谓的AI上面的
[01:41] 全职股
[01:42] 龙头股
[01:43] 各产业的领头羊们
[01:46] 今天大部分的表现也很好
[01:48] 所以今天上市加权指数涨了3.23%
[01:51] 但贵买指数就比较辛苦
[01:53] 贵买指数在盘中有翻黑
[01:55] 尾盘是勉勉强强拉到一个几乎平盘
[01:57] 小红的状态
[01:59] 那中小型股显然今天的状况又不太好了
[02:02] 因为今天的下跌加速也是高达1200多加
[02:05] 昨天是16700加
[02:07] 所以这两天大部分的投资人
[02:10] 虽然看到指数是一个爆喷的状态
[02:12] 可是体感其实并不是很理想
[02:15] 除非像我今天看了一下最快的是什么
[02:17] 看一下你手上的ETF
[02:19] 今天涨最多的谁
[02:20] 如果是买比较全值大的
[02:22] 像什么未来50
[02:24] 市值50
[02:25] 或者是台电含量高的
[02:27] 像0052
[02:27] 这种就是所谓小台积的
[02:29] 今天都缴出大概5%附近的
[02:32] 一个ETF的涨幅
[02:34] 所以这很有趣
[02:35] 有时候为什么说
[02:36] 之前讲很多主动式的很充
[02:39] 你就只要配最充的
[02:41] 可是上市执行的
[02:42] 有时候就是跟着最大的拳王
[02:45] 忽然表现的时候
[02:46] 你也不会寂寞
[02:47] 这就是一个配置的有趣的地方
[02:49] 好那早上这边今天的量
[02:51] 上市加上柜也是有1.3兆
[02:53] 昨天是1.8兆
[02:55] 如果昨天加计盘后可能是两兆了
[02:57] 连续爆量
[02:59] 然后又往上攻
[03:00] 到底该FOMO
[03:02] 就是觉得持股真的不够多
[03:04] 还是像这两天你会觉得
[03:06] 其实你的总获利搞不好是下降的
[03:09] 有没有什么问题
[03:11] 是不是应该要有点风险意识呢
[03:14] 先来欢迎今天的来宾
[03:15] 今天来的是我们的选股教练
[03:17] 黄金右下角韦泰
[03:19] 嗨 张华好 大家好
[03:21] 因为我刚刚有在跟韦泰先小聊一下
[03:23] 当然这两天拉的是全职
[03:25] 如果您是一直台积电的死忠派
[03:28] 这两天就开心了
[03:29] 因为之前台积电法说会后
[03:31] 我们都知道
[03:32] 他让空间给中小型股
[03:33] 中小型股这个遍地开花
[03:35] 每天热门产业
[03:36] 都有好多人在掌听
[03:37] 但这两天的情况就匹变了
[03:40] 除非你报的是台积电联发科
[03:42] 或是你已经回去报维影
[03:44] 这一类的老AI
[03:45] 而且是报到维影
[03:46] 其他的也还好
[03:48] 或者是你真的很猛
[03:50] 你一路以来
[03:51] 你就坚信宅版CCL
[03:54] 这两个族群今天也是猛中猛
[03:57] 但昨天晚停来我就讲了
[03:59] 这两个族群猛中猛
[04:01] 我也听到大家都讲超级缺
[04:03] 可是能怎么推
[04:05] 他也说怎么推啊
[04:07] 明年的本益比每一家都30倍以上
[04:09] 怎么推啊
[04:10] 但是资金就是要啊
[04:12] 好先来请教韦泰
[04:13] 到底这两天的报大量洗刷
[04:17] 然后呢
[04:18] 你看到的到底是機會高還是風險高
[04:21] 我以這兩天的一個盤中的一個走勢來看
[04:27] 我們講盤勢
[04:28] 我們說台北股市
[04:30] 我們看價量勢
[04:33] 三者去同時看
[04:34] 再加上籌碼
[04:35] 那麼這兩天我個人感受比較深的
[04:38] 就是盤勢的變化
[04:39] 為什麼呢
[04:40] 因為其實在昨天
[04:43] 有非常多的就是市場上面熱門族群
[04:46] 包括像是地軌衛星
[04:48] 包括像是PCB
[04:49] 甚至包括像光通讯
[04:51] 那么在昨天呢
[04:52] 这个盘中都有出现比较明显的一个卖压
[04:56] 然后再回到今天
[04:59] 今天其实早上一开盘
[05:01] 我其实心中的那个大石头有稍微放下
[05:04] 因为其实昨天相对弱势的这些热门族群
[05:08] 在今天基本上他们的跌势没有扩大
[05:12] 虽然还是有一些震荡
[05:14] 然后在平盘之下
[05:15] 但基本上他们没有呈现跌势扩大的一个情况
[05:19] 所以我觉得在原主流的一个部分上
[05:22] 大家就不用太担心
[05:24] 那我跟我的学生是讲说
[05:26] 至少在今天早上看起来
[05:29] 台北股市没有V转的一个几率
[05:32] 但是如果说从今天的一个上市
[05:36] 跟电动市场的一个上涨跟下跌加速的比例来看的话
[05:42] 我刚刚特别看了一下
[05:44] 在集中市场上涨加速467加
[05:47] 然后下跌的加速是763加
[05:52] 然后在OTC上涨加速更少392加
[05:57] 然后下跌加速也一样有700加
[05:59] 所以在今天其实
[06:01] 集中市场加上电头市场
[06:04] 合计起来的上涨加速是859加
[06:07] 但是下跌加速有1463加
[06:10] 好
[06:10] 这个可能还包括
[06:11] 也许有新贵的部分
[06:13] 因为这个加速加起来
[06:15] 看起来是超过目前上市上柜
[06:16] 对
[06:17] 那个加起来是2000多档
[06:19] 2000多档
[06:19] 但是我回头一看
[06:21] 今天的收盘我有点吓到
[06:23] 因为今天收盘
[06:24] 是大涨1200多点
[06:25] 是收盘高
[06:26] 对
[06:26] 传说中的千里行情一日环
[06:29] 就在今天看到了
[06:30] 好
[06:32] 当然刚刚漏讲一个
[06:33] 因为还有一个就是金管会
[06:35] 要放宽所有的基金跟ETF
[06:37] 单一持股上限10个百分点的
[06:39] 这个限制
[06:39] 因为有些基金跟ETF
[06:41] 当初在设定的时候
[06:42] 尤其是基金
[06:43] 单一持股上限10%
[06:45] 这个应该是老规矩了
[06:46] 那ETF就看各家写的规则是如何
[06:48] 那现在全部都可以放宽到25%
[06:50] 那最大受惠股是台积电
[06:52] 这件事情就会有点
[06:54] 因为台积电你一下10%
[06:56] 当然就满了
[06:57] 因为它毕竟是全网
[06:58] 然后第二大受惠
[06:59] 他们说是联发科
[07:00] 所以这两家今天除了
[07:02] 各自有所谓的Google论坛
[07:04] 和台积电的技术论坛的利多之外
[07:07] 还包括了资金活水
[07:09] 可以挹注到这两大的全职股
[07:11] 关于这个消息
[07:13] 今天早上就有一些消息传出来
[07:16] 什么消息
[07:16] 例如说有人早就知道啊
[07:19] 不是他如果要做这个事
[07:22] 他一定要跟所有的投信讲吧
[07:24] 至少要如此嘛
[07:25] 对不对
[07:25] 因为这跟他们手上的部位
[07:26] 有很大的关系啊
[07:27] 对对
[07:28] 所以可能我不知道
[07:30] 因为我也没有办法去证明
[07:31] 说这个事到底是不是有人早知道
[07:33] 所有的事情都一定有人早知道的了
[07:35] OK
[07:35] 好
[07:36] 那所以在这种情况之下
[07:38] 我会觉得他今天的一个上涨
[07:40] 可能在部分的一个全支股的一个上涨的带动之下
[07:46] 就形成了一个刚刚所提到的
[07:48] 竟然有出现就是一天之内大涨超过这个1200点的情况
