[00:00] 歡迎收聽趙華與古惑仔第1014集1014
[00:10] 今天是2026年的1月9號
[00:14] 哈嘍大家好我是趙華
[00:16] 理財達人秀2026年第一場的實體講座
[00:20] 將在本週六1月10號跟大家見面咯
[00:23] 地點在臺北的富邦國際會議中心
[00:26] 這次我們邀請到五位超強來賓
[00:28] 題材獵人林漢偉
[00:29] 西南股神陳偉良
[00:30] 還有存股教父古瑜
[00:32] 安聯投信的投資長張偉敏
[00:35] 以及基金經理人施正廷
[00:37] 要帶來最關鍵的投資指引哦
[00:39] 到底今年的制勝配置怎麼抓
[00:42] 這個AI會不會在馬年再衝一波咧
[00:45] 主動式的ETF好熱哦
[00:46] 現在該怎麼選呢
[00:48] 希望幫大家在投資路上
[00:49] 跑得更快看得更準
[00:51] 當然感謝各位粉絲的支援
[00:53] 現在報名是額滿的
[00:55] 是要提醒大家有報名的朋友
[00:56] 這個星期六1月10號
[00:59] 約好了不見不散
[01:01] 那還是要提醒
[01:02] 投資一定有風險
[01:04] 基金投資有賺有賠
[01:05] 申扣前因祥越公開說明書
[01:09] 這個禮拜五
[01:10] 本來是想說比較輕輕鬆鬆
[01:12] 悠悠哉哉的
[01:13] 但今天看起來
[01:15] 盤面上要討論的事情
[01:17] 實在太多了
[01:18] 由大到小
[01:19] 由總經到產業
[01:21] 有好多好多的事情
[01:22] 要來跟大家分享
[01:23] 那因為像今天晚上
[01:25] 這個美國的最高法院
[01:27] 就要來審理
[01:28] 這個川普的關稅案
[01:29] 到底是合法還是不合法
[01:32] 其實有非常多人
[01:33] 也會在問說
[01:34] 如果真的不合法
[01:35] 你去收的這些關稅
[01:37] 怎麼辦
[01:37] 目前說實話
[01:39] 要預測這個事情
[01:40] 蠻困難的
[01:41] 但也不會說
[01:42] 一個判決就一翻兩瞪眼
[01:44] 川普如此之頑強
[01:46] 然後下個禮拜一
[01:48] 國安基金會開會
[01:49] 那這個開會到底
[01:51] 要不要退場呢
[01:52] 這個三萬點以上
[01:54] 感覺上留在場內很怪
[01:56] 但退場
[01:57] 大家好不有點嚇到
[01:58] 因為今天的盤
[01:59] 就是屬於一個
[02:00] 在產業裡面震盪比較大的盤
[02:02] 像今天如果
[02:04] 大家手上有記憶體的
[02:06] 我想都是一場驚魂劑
[02:08] 都是一場驚魂劑
[02:09] 那當然有很大的原因
[02:11] 是因為太多的記憶體被關了
[02:13] 等一下也會一一點名
[02:15] 大概有十檔以上的記憶體
[02:16] 現在是被處置
[02:18] 而且即將聽牌的也有好幾檔
[02:20] 所以在這樣的情況下
[02:22] 資金集體離開記憶體
[02:24] 不一定是因為產業出了什麼問題
[02:27] 再加上昨天晚上美光也跌
[02:29] 這個加重了今天整個記憶體的壓力
[02:32] 那到底還有沒有呢
[02:34] 跌每一次下來又會創新高
[02:36] 是該減嗎
[02:37] 這一次還是嗎
[02:38] 我想大家的問號很多
[02:40] 那被動元件常常很脫模
[02:42] 就今天有好幾檔漲停
[02:44] 讓人家覺得
[02:45] 哎呀到底什麼時候才能介入
[02:47] 介入會不會沒有效率
[02:48] 好今天在產業上事情多
[02:50] 總監的事情也多
[02:51] 我就不囉嗦
[02:52] 我就先歡迎今天的來賓出場
[02:54] 今天來的是我們國家級基金操盤手
[02:57] 黃峰凱凱哥
[02:58] 超好各位聽眾大家好
[03:00] 感覺我每次來好像都是這個禮拜五的時間
[03:03] 都要解很多難題耶
[03:04] 本來禮拜五我們會覺得
[03:06] 像今天成交量是縮
[03:07] 但是今天盤面的震盪就非常非常大
[03:10] 盤中還要翻紅
[03:11] 我朋友殺下去
[03:12] 那當然因為太多的散戶朋友有記憶體了
[03:15] 今天這個洗洗刷肯定大家的壓力也很大
[03:18] 還有今天有公佈臺積電營收
[03:19] 這個其實也蠻不錯的哦
[03:21] 臺電營收是一個小福越簡單年增二級趴
[03:24] 第四季的話是正式宣告營收破照啦
[03:28] 當然這個又是一個里程碑
[03:31] 不過臺電漲上來到今天這個位置
[03:34] 我發現今天幾乎沒有什麼人
[03:35] 在跟我討論他的營收
[03:36] 大家可能都會覺得
[03:38] 那就在等法說對不對
[03:40] 凱哥要從哪一條先講起呢
[03:42] 從美國講回來呢
[03:43] 好我們先從這個川普的關稅
[03:45] 這個事情講起好了
[03:46] 基本上川普的關稅
[03:48] 其實只是一個手段
[03:50] 其他的重點就是要
[03:51] 吸引大家到美國投資
[03:53] 那他這件事情做到了沒有
[03:54] 做到了
[03:55] 所以其實大家都
[03:56] 因為這個關稅
[03:57] 就紛紛地來到美國投資
[03:59] 所以其實
[03:59] 關稅其實已經不是那麼重要
[04:01] 其實對川普而言
[04:03] 他最後就只是一個
[04:04] 證明說我是對的
[04:06] 所以就算
[04:07] 法院判決他是輸了
[04:09] 他應該還會繼續上訴
[04:10] 所以這件事情是
[04:11] 就是我覺得
[04:12] 會無疾而終
[04:13] 其實對整個產業
[04:14] 沒有太大的變化
[04:15] 其實講到最近的產業
[04:18] 其實有一件事情很重要
[04:20] 就是第一個是我們剛剛提到的
[04:22] 就是下禮拜國安基金要開會
[04:24] 他會講他到底怎麼樣
[04:26] 要不要繼續退場
[04:27] 可是你不要忘記
[04:28] 他之前還講說
[04:29] 他的國安基金規模不夠大
[04:30] 他還要擴大規模
[04:32] 所以我認為這次的國安會
[04:34] 他也不會明著講他要退場
[04:36] 因為其實他就沒有進場很多
[04:38] 所以沒有進場很多
[04:40] 你退場其實那也就是口水戰而已
[04:43] 其實沒有太大意義
[04:44] 但是重點是他在後面那句話
[04:46] 就是他還要持續擴大規模
[04:48] 所以告訴你這個盤
[04:49] 目前政府的態度
[04:51] 他仍然是一個很抗拒的
[04:53] 就是他要試圖把這個盤往上沉
[04:55] 所以我覺得最最關鍵
[04:58] 其實在下個禮拜臺建法所會
[05:00] 其實下禮拜臺建法所會
[05:01] 剛剛趙懷講
[05:02] 其實營收出來
[05:03] 其實大家都沒有給掌聲
[05:05] 其實大家因為都知道很好
[05:07] 其實不用說去年12月很好
[05:09] 其實我現在就直接告訴你
[05:11] 臺建今年的營收很好
[05:12] 今年26年會很好
[05:13] 已經不用看去年的12月了
[05:15] 直接告訴你今年
[05:16] 今年他就是兩三成的成長
[05:18] 他今年會很好
[05:19] 重點是在於說
[05:20] 他的資本投入到底要多少
[05:22] 我覺得其實市場上
[05:23] 對這件事情開始有點疑慮
[05:24] 有點擔心
[05:25] 不是說他不好
[05:27] 而是他的資本投入
[05:29] 會不會像市場想那麼誇張
[05:31] 就是
[05:31] 500億
[05:33] 550億
[05:34] 我們之前就有講過
[05:35] 他大概會落在
[05:36] 450到551這個區間
[05:38] 對
[05:38] 那現在萬民已經有傳到600億
[05:40] 600億太誇張了
[05:41] 這有聽過最高的了
[05:42] 那萬一假設他今天老實數
[05:44] 而且過去臺銀
[05:45] 從來就不是一個很誇張的公司
[05:47] 他不可能隨著市場起舞
[05:48] 所以市場價很高
[05:49] 其實他大概都不會買單
[05:51] 所以他可能會講一個
[05:52] 很本於他自己的進度的狀況
[05:55] 再加上他可能會預留一點保守的空間
[05:59] 讓他後面可以做調整
[06:00] 所以我覺得他大概會講
[06:02] 大概落在481上下
[06:03] 但是會不會他講的這個數字
[06:05] 其實市場是覺得有點失望的呢
[06:08] 這個就是讓指數在這個地方
[06:09] 開始有點比較大的一個忐忑
[06:12] 再來就是最近才剛報大量
[06:14] 這個大量是史上最大量
[06:16] 所以通常最大量之後
[06:19] 通常都會有一個整理修正
[06:20] 所以其實很多人都在等它跌
[06:23] 很多人都在等它跌
[06:24] 而且很多人其實
[06:25] 手腳快了
[06:26] 其實對人在賣了
[06:27] 但是法人沒有
[06:29] 因為法人手腳不是那麼快
[06:30] 法人不能賣
[06:31] 法人不能賣就變成這樣
[06:32] 那就有人先賣
[06:33] 所以記憶體也是一樣
[06:35] 就是在這個大量之後
[06:36] 其實很多人的記憶體
[06:37] 都已經在把擋跑了
[06:39] 但是高手跑了
[06:41] 可是大咖還沒有跑
[06:42] 對
[06:43] 第一個是法人沒有跑
[06:44] 第二個是我所知道的
[06:45] 記憶體的大咖也都沒有跑
[06:47] 對
[06:48] 所以我認為
[06:49] 他應該是洗洗起床出門
[06:53] 而不是洗洗去睡覺
[06:55] 這個就是我對記憶體的看法
[06:57] 我覺得這邊當然比較掙扎的是
[07:00] 其實凱哥有一直跟大家強調
[07:02] 還是看好記憶體的序長
[07:04] 只是到了這個階段
[07:05] 你要賺到記憶體的錢
[07:06] 你就會格外的辛苦
[07:08] 怎麼講呢
[07:09] 像這個他們其實今天一開盤
[07:11] 並沒有隨著美光下跌
[07:12] 而大幅立刻下殺
[07:14] 是開盤一陣子之後
[07:15] 突然開始一個一個
[07:16] 撲通撲通撲通跳水
[07:17] 那跳水之後呢
[07:19] 這個像被處置的華邦電威剛
[07:21] 南雅科就率先就
[07:23] 可能有看到疊停板嘛
[07:25] 哇這個20分鐘分盤又疊停板
[07:27] 這令人焦慮啊
[07:28] 有沒有
[07:29] 可是後面又看到
