[00:00] 歡迎收聽趙華與古惑仔第1027集
[00:09] 今天是2026年的1月28號
[00:13] 天天漲天天漲
[00:14] 大家覺得怎麼會這麼誇張之外
[00:17] 總是還會讓大家覺得更意外
[00:20] 為什麼呢
[00:21] 今天大盤指數是收在最高點
[00:24] 上漲了485點將近500點
[00:28] 在這種天天漲的行情下
[00:30] 還能再大漲這麼多
[00:32] 那總廠收在32803點
[00:36] 幾乎要接近33000了
[00:39] 每天都是一個驚奇之旅
[00:41] 那一直漲一直漲
[00:43] 好像都不會回檔了
[00:45] 我想這個大家的壓力也越來越大
[00:47] 最近說真的
[00:48] 這個私訊越來越多
[00:50] 剛剛還跟今天來賓有小討論
[00:52] 不但私訊越來越多
[00:54] 問個股的越來越多
[00:55] 有一些有點奇妙留言
[00:58] 也越來越多了
[00:59] 等一下如果有機會再聊
[01:01] 因為平常我不太聊這個東西
[01:02] 那我們還是來看一下今天盤面
[01:04] 那我們講最近散戶的參與的意願
[01:08] 或者是那種覺得好慌張
[01:10] 還沒有上到車
[01:11] 還沒有賺夠的心情會越來越濃
[01:13] 是因為現在不只是漲
[01:15] 所謂的高價清金股
[01:16] 現在的低位階都在做輪動
[01:18] 像今天的話
[01:19] 我們看到有很多的MCU公司
[01:22] 繼續的大漲
[01:23] 有一些是之前就有漲了
[01:24] 像盛群其實之前就有漲了
[01:26] 然後例如像松漢啦
[01:28] 星塘啦
[01:29] 這型別在2021年
[01:31] 曾經因為晶圓缺貨
[01:33] 而暴漲的MCU概念
[01:35] 現在也開始在噴漲了
[01:38] 在噴漲了
[01:38] 他們位積都很低
[01:39] 都是三四十塊五六十塊
[01:42] 這樣子的公司而已
[01:43] 所以像這樣子的公司
[01:45] 在漲的時候
[01:46] 就會讓大家覺得
[01:47] 兩三萬我就能參與
[01:49] 又一根漲停板
[01:50] 那種心情會更加的緊張
[01:52] 那今天還是一個高低
[01:54] 都有東西漲
[01:55] 記憶體自然還是在漲
[01:57] 很猛
[01:58] 像金豪科昨天開高走低
[01:59] 今天是直接鎖漲停
[02:01] 有鎖到最後
[02:02] 華邦電也漲停板
[02:03] 利基電也漲停板
[02:05] 好
[02:06] 那這個電源相關的
[02:08] 例如說像試電
[02:09] 重電股也有在輪流漲
[02:11] 今天試電也拉一根漲停板
[02:12] 是在尾盤才拉上來的
[02:14] 光是在Alicia出了報告之後
[02:16] 今天是第二天
[02:17] 也是開盤沒多久就鎖漲停板
[02:20] 那甚至今天連這個
[02:22] 曾及一段時間的裝置股
[02:24] 亞翔也領軍有漲上來
[02:26] 所以今天在排面上
[02:28] 不管是CPU啦
[02:29] 裝置啦
[02:30] 有休息的裝置
[02:31] 或者是說有低軌衛星相關的
[02:33] 還是有在漲
[02:34] 好
[02:35] 那我們今天的來賓
[02:36] 還有一個東西叫散裝航運
[02:38] 跟報價也有關
[02:39] 我們來賓跟這些都有關係
[02:40] 我來歡迎他出場
[02:41] 今天來的是報價天王幸福哥
[02:44] 哈嘍
[02:45] 趙環美女
[02:45] 還有各位聽眾朋友大家好
[02:47] 其實這段時間幸福哥
[02:48] 是離開原本的頭顧
[02:50] 然後有點算是
[02:52] 休養生息一段時間
[02:53] 有新的動向要記得再跟我們講
[02:56] 可是還是天天我看到
[02:58] 幸福哥在做研究
[02:59] 以及在他的粉絲團
[03:00] 也會公佈他每一天
[03:02] 有在觀盤的一些想法
[03:03] 幸福哥長到今天
[03:05] 只差不到200點
[03:07] 就要33000點了
[03:08] 這個元月以來
[03:10] 真的很急
[03:10] 長了3000點
[03:11] 那大家可能會想要問的是
[03:14] 也許已經不是問
[03:16] 什麼時候回檔了
[03:17] 是問說
[03:18] 那像這樣盤面高低
[03:19] 在輪漲的時候
[03:20] 你會怎麼樣建議
[03:21] 用什麼方式切入
[03:23] 或者是真的要居高思維
[03:25] 稍微獲利調節比較好
[03:26] 其實這個今年
[03:29] 或者說從去年大概第四季行情
[03:32] 可以說在10月11月有稍微拉回以後
[03:38] 其實進入12月
[03:39] 這個大盤不止臺股
[03:41] 美股也又開啟一波的上漲
[03:43] 那特別是臺股
[03:44] 這個進入2026年之後
[03:47] 可以說是一路開掛
[03:48] 這個外掛真的開很大
[03:50] 就一路往上衝
[03:51] 那動輒呢
[03:53] 一天就漲個300點500點
[03:54] 然後呢
[03:55] 即便有回檔
[03:57] 其實也都可能一天兩天就反應完畢
[03:59] 那我記得我上禮拜來錄影的時候呢
[04:02] 剛好那一天有那個美國的商務部長
[04:05] 叫盧克尼尼吧
[04:06] 我們叫他老盧
[04:07] 老盧說
[04:08] 誒趕快你們這些記憶體不來這個美國設廠
[04:12] 以後要給你課徵100%的關稅
[04:14] 那訊息一出來之後呢
[04:16] 其實隔天呢
[04:17] 這個臺灣的這個記憶體的股票是大跌的
[04:20] 剛好那一天我也有來打人秀
[04:21] 我就說從另外一個角度來看
[04:24] 其實這也間接證明了
[04:26] 美國對於記憶體
[04:28] 已經把它除了所謂的像臺積電
[04:31] 這種的先進製程之外
[04:32] 再度的把一個非常重要的科技產品
[04:36] 就是記憶體
[04:36] 列入科技業的戰略物資
[04:38] 所以這個角度來看的話
[04:40] 我反而認為說
[04:41] 你用這個方向去解讀
[04:43] 就代表記憶體未來在科技業
[04:45] 半導體業
[04:46] 或者說AI產業裡面的
[04:47] 這個需求會越來越重要
[04:49] 然後呢這個訊息大概就反映了
[04:51] 我記得連兩天都沒有就反映一天
[04:53] 然後呢就開始整理
[04:55] 那時候市場什麼點名說什麼
[04:57] 什麼華邦店南亞科
[04:58] 可能會因此受到影響
[05:00] 就反映一天
[05:01] 然後再經過一兩天整理之後
[05:03] 接下來就是這個前兩天
[05:06] 上禮拜這個旺宏有開法說會
[05:10] 然後又剛好陸陸續續幾個大咖
[05:12] 南亞科華邦店旺宏
[05:14] 地基店剛好都是從處置被關出來
[05:17] 大家就開始又大展拳腳
[05:19] 所以我是認為說
[05:21] 這個行情真的是斤斤漲
[05:22] 那主流其實還是圍繞著AI不變
[05:26] 記憶體PCB
[05:28] 甚至今天很強的這個西光子
[05:31] 還有包括像是一些
[05:33] 這個電力相關的
[05:34] 因為其實不管是美國也好
[05:37] 或者說是這個之前
[05:38] 這個輝達CEO黃仁勳
[05:41] 他們都認為說
[05:42] 未來除了算力之外
[05:44] 可能最需要
[05:45] 再去做大幅度的基礎建設的
[05:49] 就是在電力的供給
[05:50] 所以最近很多電力股
[05:52] 不管像是傳統的
[05:54] 像是電機
[05:56] 那幾檔什麼華晨
[05:57] 中興電亞力這些
[05:59] 或者說像做Power相關的
[06:01] 當然最具有代表性就是臺達電
[06:03] 臺達電之前
[06:04] 我記得有一度跌破千元
[06:07] 我記得最低好像跌到
[06:09] 接近900塊
[06:10] 那時候我就說
[06:10] 其實1000元以下
[06:11] 可以慢慢開始買
[06:12] 然後股價說著說著
[06:14] 12月打底完之後
[06:16] 現在又創高了
[06:17] 就代表說
[06:18] 其實只要產業趨勢對
