[00:00] 欢迎收听赵华谊古惑仔第1083集
[00:09] 今天是2026年的4月23号
[00:13] 前两天才在聊太古好像得了不会跌的病哦
[00:17] 今天早上一看这个病好重啊
[00:19] 今天早上一开盘大涨800点开出来哦
[00:23] 我都傻眼了
[00:25] 真的傻眼了
[00:26] 想说大涨800点我能干嘛
[00:27] 真的太强了吧
[00:29] 800点
[00:29] 900点
[00:30] 1000点
[00:31] 台股大涨1000点
[00:33] 就像前两天
[00:35] 说实话
[00:35] 涨那样稳
[00:36] 都已经有点不知道
[00:36] 该怎么跟大家解释了
[00:38] 涨这1000点是为什么呢
[00:40] 但更难解释的来了
[00:42] 因为1000点之后就
[00:44] 800点
[00:45] 700点
[00:46] 600点
[00:46] 500点
[00:47] 跌600点
[00:48] 跌700点
[00:49] 好
[00:50] 今天的上下振幅
[00:51] 高达1700点以上哦
[00:55] 很夸张哦
[00:57] 满地都是皮啊
[00:58] 大家被洗破皮了
[00:59] 而且在下杀的过程中
[01:02] 今天的体感真的非常非常的糟糕
[01:04] 你说叠个700点
[01:07] 或者是说最后我们收叠
[01:08] 其实只收叠164点
[01:10] 那为什么体感很糟糕呢
[01:12] 因为第一今天台积电是率先冲出来
[01:14] 因为昨天晚上
[01:15] 这个所谓的北美技术论坛开始之后
[01:18] 大家还是觉得有受到了振奋
[01:19] 尤其最近的盘又非常热
[01:21] 台积电又自己长得比较慢
[01:22] 对不对
[01:23] 所以今天台积电一马当先冲出来
[01:25] 先创历史新高
[01:26] 那不得了了
[01:27] 这个钱赶上就被台积电吸走了
[01:29] 那今天的下跌加速
[01:31] 在盘中最多有到1700加
[01:34] 就是几乎全部的股票
[01:37] 都在下跌的这个状况
[01:39] 今天盘中跌停板的加速
[01:41] 也一度超过100加
[01:43] 所以我自己看我的库存
[01:45] 哇早上有灯
[01:46] 这个灯不是红灯是绿灯
[01:47] 早上一看我库存有五颗灯
[01:50] 我觉得这话超猛
[01:51] 怎么会一下一夕之间变成这样
[01:53] 但你说很不合理吗
[01:55] 也不至于
[01:56] 也不用硬要找理由
[01:58] 就是涨多了
[01:59] 其实就是涨多了
[02:00] 但今天有创下一个记录
[02:02] 今天上市量是报到1.4兆
[02:05] 这是历史新量
[02:06] 上柜量4100亿历史新量
[02:09] 上市加上柜1.8兆
[02:11] 这个是我们从来没有看过的数字
[02:14] 幸好最后尾盘是有稍微拉上来
[02:16] 但终究留下的是一个黑K
[02:18] 所以到底要不要来留意
[02:20] 今天这样的现象
[02:22] 会不会会是一个短线要休息呢
[02:24] 那今天的来宾
[02:25] 最近我就跟他开玩笑
[02:26] 我说我怎么一打开YouTube
[02:28] 就是到处都是你
[02:30] 到处都是你
[02:32] 还有很多人
[02:33] 帮他做了梗图
[02:34] 很多梗图
[02:35] 我传给他
[02:36] 他说这样有点恐怖了
[02:37] 我先来欢迎他
[02:38] 今天来的是
[02:39] 我的好姐妹
[02:40] 统一头顾的PCB女王
[02:42] 廖婉婷
[02:43] 婉婷总经理
[02:44] 嗨 昭华
[02:45] 嗨 各位朋友大家好
[02:46] 现在是不是有点压力了
[02:48] 有 蛮大压力的
[02:50] 就是曝光量很大
[02:51] 然后还坊间
[02:52] 因为这个统一嘛
[02:54] 统一头部总经理PCB女王
[02:56] 大家知道
[02:56] 那现在因为统一头性
[02:58] 有这个981A
[03:00] 陈川瑶经理人
[03:02] 也是女生
[03:02] 所以大家就批了一个
[03:04] 那种像圣母啊
[03:05] 女神啊
[03:07] 的图
[03:08] 网络上到处都有
[03:09] 对
[03:10] 然后我昨天就收到
[03:11] 应该二三十个
[03:12] 来丢这张图给我
[03:14] 给你的
[03:14] 对
[03:15] 然后每一个都要回说
[03:16] 回一句话
[03:17] 我光是回这个话
[03:19] 我就觉得好累
[03:20] 好
[03:20] 因为婉婷也有回
[03:21] 婉婷说好恐怖
[03:22] 对
[03:23] 然后因为其实我觉得
[03:25] 这个现象有点过热
[03:26] 对通常就是创造一个话题的时候
[03:29] 而且这个话题好像集中度太高的时候
[03:31] 就是一个过热的现象
[03:32] 然后最近台股乖离又很大
[03:34] 所以我每天都胆战心惊的
[03:37] 因为我很怕这个资金狂潮
[03:39] 一结束的时候
[03:41] 它会休息
[03:42] 我不会把它当做就是结束
[03:44] 因为多头还没结束
[03:45] 可是钱
[03:47] 应该说价格或者是指数
[03:49] 你要往上堆
[03:50] 一定是钱买上去的
[03:51] 那当你钱滚不上去的时候
[03:53] 它一定就会掉下来
[03:54] 就跟皮球一样
[03:55] 就会掉下来
[03:56] 对我们不知道是什么时候
[03:57] 就没想到那么快
[03:58] 就今天
[03:59] 好因为我们之前也讨论过
[04:01] 统一头股本来估的
[04:02] 台股高点是34988
[04:04] 就瞬间过了之后
[04:05] 那当然现在大家都面临要上调
[04:07] 但是我们先回到婉婷身上
[04:09] 当然因为这一波PCB实在太猛了
[04:11] 就是从去年开始猛
[04:13] 猛到现在还是猛
[04:14] 无限上纲的猛
[04:16] 台光电已经4000块钱以上了
[04:19] 那当然到高档
[04:21] 有的是一路不回头
[04:22] 那当然我们前几天
[04:24] 也陆续来分享
[04:25] 我们发现主动式的ETF
[04:27] 俨然成为台股的一些标股的涌动机
[04:30] 因为资金规模真的涨得太快了
[04:33] 大家可能还是要分清楚
[04:34] 统一投信是投信
[04:36] 统一投股是投股
[04:37] 当然是统一家体系里面的
[04:39] 但是各司其职
[04:41] 那婉婷是总经理
[04:42] 当然她就要管很多研究方面的
[04:44] 她就专门从这个PCB
[04:46] 也要带研究部门
[04:47] 其实大大小小的事情都要管
[04:49] 所以今天早上婉婷跟我说
[04:51] 很忙耶
[04:52] 看到涨1000点以后
[04:53] 后面发生什么事
[04:54] 其实没什么机会看到
[04:55] 就去开会了
[04:56] 那投信这边自然是因为
[04:58] 发行了ETF跟基金
[04:59] 就有这个操盘的压力
[05:01] 都很棒都很厉害
[05:02] 好不过投信这边的988
[05:04] 确实创造了旋风
[05:06] 因为现在不止1000亿的规模
[05:07] 可能要往2000亿迈进了
[05:09] 然后发了一个所谓的亲生儿子
[05:13] 亲生弟弟亲生女人
[05:15] 就是403A
[05:16] 也募集中
[05:18] 对这两天募集
[05:19] 也是快速累积
[05:20] 据说已经快400亿了
[05:22] 对
[05:22] 昨天
[05:23] 今天不知道还没看到
[05:25] 因为一直募集到明天
[05:26] 对
[05:26] 很可怕
[05:27] 那大家就会觉得说
[05:29] 这些钱来了
[05:29] 也是要进股市嘛
[05:30] 所以今天盘中
[05:31] 为什么有很大的多空交战
[05:33] 多多少少跟主动式
[05:35] 我又拿到钱了
[05:36] 因为今天98页的成交量
[05:37] 是破百万张
[05:38] 拿到钱了
[05:39] 那是不是得买点东西
[05:41] 那买点东西
[05:41] 好像有一些就起死回生
[05:43] 灯就打开了
[05:44] 到底这样永东机
[05:45] 该怎么样来处理
[05:47] 那婉婷就说太热了
[05:49] 可是她现在这个永动机
[05:50] 就是热的来源
[05:51] 今天有无数的散户
[05:53] 又把钱砸进去
[05:54] 而且不止981
[05:56] 可能其他绩效好的
[05:57] 全部都拿到钱了
[05:58] 那拿到这笔钱
[05:59] 还是得买啊
[06:00] 对
[06:01] 其实最近大家有在聊几个
[06:03] 就是观察指标
[06:05] 然后我记得去年也有发生过
[06:07] 去年大概五月份开始
[06:08] 有券商不限用途借款借不到
[06:10] 好那因为股价要上去
[06:14] 其实股价就是来自于供需
[06:15] 供是什么
[06:16] 就是有人要卖
[06:17] 他就是供给这个股票给你
[06:19] 那有人要买就是需求
[06:20] 那你需求买的力道比较强
[06:22] 股价就推上去嘛
[06:23] 所以现在大家一窝蜂的
[06:25] 想要买主动式ETF
[06:26] 发现哇
[06:26] 981或者是其他的
[06:29] 投信的主动式ETF很强
[06:30] 我怎么买怎么赚的时候
[06:32] 大家一窝蜂钱一直进来
[06:33] 那主动式ETF就要帮你们买股票
[06:35] 然后所以股票的需求变大了
[06:37] 股价就一直往上推
[06:39] 好那当申购可能停止了
[06:42] 结束了买完了
[06:43] 然后当大家钱可能堆进来的成长性放缓了
[06:47] 那就退不上去
[06:48] 他可能就会休息
[06:49] 好所以我们就在讨论说
[06:50] 不现用途这件事情也是钱进来的一个水
[06:53] 然后还有就是今年其实坦白讲
[06:56] 很多受险法人
[06:58] 其实今年获利已经达标了
[07:00] 已经大大达标
[07:02] 第一季就达标
[07:02] 对那达标的状况之下
[07:05] 我要赌后面吗
[07:06] 我如果赌了
[07:07] 我让我达标变成不达标
[07:09] 然后或者是
[07:11] 我还反而可能像三月份这样
[07:14] 不小心被停权了
[07:15] 那怎么办
[07:16] 所以有些法人就会干脆降低持股
[07:19] 到可能一两成三成
[07:21] 低持股操作
[07:22] 然后就不做了
[07:23] 那这也是一种资金水位往外退的一个概念
[07:27] 所以如果不先用途借不到
[07:29] 然后融资可能也变得比较紧
[07:31] 然后利率往上弹
[07:32] 然后或者是法人也开始减少进场
[07:36] 有时候就是某些资金就开始退潮
[07:39] 那当然就是
[07:41] 大家的这个定期定额
[07:43] 或者是追逐
[07:44] 主动式的钱还在进来中
[07:46] 可是这个强度
[07:47] 如果慢慢去缓的话
[07:49] 其实就会有可能会休息
[07:51] 对那我不认为是多头结束
[07:53] 因为整个AI的这个架构
[07:55] 看起来有动机的概念等等
[07:58] 可能我觉得两三年
[07:59] 三四年都跑掉
[08:00] 而且我们现在看到
[08:02] 非常多的新的技术
