[00:00] 歡迎收聽趙華與古惑仔第1010集
[00:09] 1010集
[00:10] 今天是2026年的1月5號
[00:13] 1010會想要什麼呢
[00:14] 猜10嗎
[00:15] 或者是國慶日1010
[00:17] 今天還真的是再放了煙火
[00:20] 這煙火持續放
[00:22] 今天台股真的登上三萬點了
[00:25] 而且我想這個是比大多數的投資人預期的還要快
[00:29] 非常之突然
[00:30] 因為今天盤中一度大漲900多點
[00:34] 900多點
[00:35] 今天最高有來到30339
[00:39] 收盤是30105
[00:41] 雖然漲點收鏈
[00:42] 但是確實是收在3萬點之上
[00:45] 今天的成交量
[00:46] 其實開盤的時候
[00:47] 如果大家有觀測股市的狀況
[00:49] 有APP或者是下單軟體的
[00:51] 應該會嚇一跳
[00:52] 剛開盤10分鐘的預估量
[00:54] 大概說今天會有一兆
[00:56] 我覺得超級好笑
[00:57] 我截了很多圖
[00:58] 不過收盤的時候
[01:00] 因為今天說實話
[01:02] 漲的大部分還是屬於臺積電
[01:04] 以及臺積電的好朋友
[01:06] 是比較無聊一點
[01:08] 所以中場成交量是7658億
[01:12] 並不是一個臺股全面大漲的格局
[01:15] 因為今天下跌的加速是超過1400加
[01:19] 也就是如果手上不是臺積電
[01:22] 臺積電的好朋友
[01:23] 或是說面板散出行風樁這型別的
[01:26] 應該今天的體感反而不好哦
[01:29] 不過如果是聽古惑仔看理財達人秀的朋友都知道
[01:32] 我們最近蠻琢磨在臺積電相關的機友們說
[01:35] 1月是臺積電月
[01:37] 但我們也沒有想到臺積電今天盤子要漲到110塊啊
[01:40] 發生什麼事呢
[01:42] 當然因為最近有這個外資接連出報告
[01:45] 除了這個Alicia講說要2400
[01:47] 但是Alicia很喜歡很高嘛
[01:48] 大家可能不以為意
[01:49] 高盛也出了最新的報告
[01:51] 把臺積電2027年的目標價直接設定2330
[01:55] 所以這兩份報告接連出來之後
[01:59] 高盛的影響力看來也蠻大
[02:00] 今天臺積電盤中漲了110塊
[02:03] 但是大家也就可以看得出來了
[02:05] 今天的漲點
[02:06] 如果用臺積電漲1塊乘以8點來算的話
[02:10] 那就是全數由臺積電
[02:13] 幾乎全數由臺積電所供應的
[02:16] 這就是一方面我們很開心神山的表現
[02:19] 一方面也知道
[02:20] 如果大家沒有重壓在神山或是半導體相關
[02:24] 可能今天就有點小落寞了
[02:25] 而今天也是這個CS展的
[02:28] 開始暖身了
[02:29] 已經有一些新產品了
[02:30] 或者是說像明天陸續就會有
[02:33] 黃仁勳 蘇之鋒發表演說
[02:35] 像這型別的在暖身中
[02:37] 也可能會有輪動的行情
[02:39] 所以大家不要灰心
[02:40] 好 今天來的人呢
[02:42] 會把今天的狀況
[02:43] 全面性的幫大家做解讀
[02:45] 因為我知道有很多人擔心
[02:46] 今天的量會不會有一點點太大
[02:49] 會不會是高檔爆量
[02:51] 快要回檔了
[02:52] 還是可以續報沒有臺積電怎麼辦等等的
[02:55] 今天來的是題材獵人漢偉哥
[02:57] 大家好 跟你們大家好
[02:59] 又是一個歷史性的一天
[03:01] 最近歷史性的一天越來越多了
[03:04] 我們先簡單的聊一下今天的盤面
[03:07] 對不對
[03:08] 我想今天很明白
[03:09] 因為臺積電一開盤就爆衝了
[03:11] 越衝越高盤中漲到110塊
[03:14] 也等於是貢獻880點到盤中的時候
[03:17] 那尾盤是小友收鏈
[03:19] 收在1670元
[03:20] 我想大家都有點錯愕
[03:22] 因為最近並沒有臺電的
[03:24] 例如說法說
[03:25] 對不對
[03:26] 也沒有說公佈什麼營收很厲害
[03:28] 就純粹是外資突然又提出了新的報告
[03:32] 然後通通目標價都開始上挪到2000塊以上
[03:35] 那也有人在講說
[03:37] 臺電在這個法說的時候
[03:38] 會公佈2025年第四季的狀況
[03:41] 那第四季會比大家想的更好
[03:44] 就毛利率可能真的有往六字頭靠近
[03:47] EPS會比大家想要的更高
[03:49] 再加上有資本支出可能的利多
[03:51] 不過呢
[03:52] 這個畢竟是1月15號開發售
[03:55] 今天呢是1月5號
[03:57] 漲到1670元的臺積電
[04:00] 那這個盤到底
[04:02] 我們來幫大家解讀
[04:03] 還有沒有輪動的可能性
[04:05] 因為今天開心的人變成是少數
[04:08] 對我覺得當然有機會啦
[04:10] 第一個我們講臺積電
[04:11] 畢竟是臺灣的市值的拳王
[04:13] 所以當他把整個股價天花板頂高之後
[04:16] 我覺得大家今天
[04:16] 但有一些人會覺得有點氣餒
[04:18] 好像今天就垃圾盤
[04:19] 但我覺得如果臺積電
[04:21] 把整個臺股的歷史新高的價位
[04:23] 往上抬高
[04:24] 那當然我覺得接下來
[04:25] 只要臺建稍微休息一下
[04:27] 資金就有機會輪動到其他族群
[04:29] 所以我覺得今天
[04:30] 雖然說是一個垃圾盤的感覺
[04:32] 但我覺得只要臺建接下來
[04:34] 高檔整理
[04:35] 不要每天這種大漲
[04:36] 五八七八的
[04:37] 那我覺得其實其他個股
[04:39] 都會有機會
