[00:00] 欢迎收听赵华与古惑仔第1080集
[00:09] 今天是2026年的4月20号
[00:12] 好台股的传奇还在继续的上演
[00:16] 我们有看到上个礼拜五的台股夜盘是一个大喷的情况
[00:20] 因为当天就传出来说伊朗已经宣布要全面开放荷姆兹海峡
[00:26] 那当然当时也会有点觉得半信半疑
[00:29] 真的吗
[00:30] 怎么突然之间就说要开放了
[00:31] 就到了礼拜六呢
[00:33] 应该是下午吧
[00:34] 就说了
[00:35] 一切又是川普这边单方面说
[00:38] 这个伊朗要开放
[00:40] 根本就没有开放
[00:41] 甚至有说有通过的货轮
[00:43] 有被炮火打到什么的
[00:45] 到底是怎样
[00:47] 可是呢
[00:48] 六日两天我在家就有观察
[00:50] 例如说像虚拟币好了
[00:52] 虚拟币有回档
[00:53] 可是回的并不是很多
[00:55] 那今天当然一看
[00:57] 油价有上去
[00:58] 但是市场似乎也并没有完全想要反映这个油价上去
[01:03] 或者是战争这个反反复复这件事情
[01:05] 台股说实话是蛮勇的
[01:08] 因为大盘到了最后一盘
[01:10] 有因为台积电收黑给压了下来
[01:12] 所以今天中场加权指数是涨了154点
[01:15] 可是如果您是做贵买
[01:17] 也就是所谓的比较偏中小型股
[01:19] 今天的体感温度是非常的热
[01:22] 一天贵买
[01:24] 这个盘中就3%以上的涨幅
[01:27] 收盘还是涨3%以上
[01:28] 今天涨停板的加速
[01:30] 上市加上柜是125档
[01:34] 125档
[01:36] 这个比有一天涨了1500点
[01:38] 也是还要多
[01:39] 涨154点
[01:40] 就有125档公司涨停板
[01:43] 所以如果大家手上是所谓的热门中小型
[01:45] 今天应该感受到的是
[01:47] 这盘有没有点失控
[01:49] 有没有点太过热了
[01:51] 好像什么事情都已经压不下来了
[01:53] 所以指数跟个股的体感
[01:56] 并不是很一致
[01:57] 但我希望股货仔的听众
[02:00] 都有从中赚到钱
[02:01] 因为上个礼拜我特别提醒
[02:02] 台股的气氛好转
[02:04] 中小型股在强势的时候
[02:06] 您可以来选择个股
[02:08] 当然如果会害怕的朋友
[02:10] 患得患失的朋友
[02:12] 选择主动式的ETF帮你赚
[02:14] 也是可以的
[02:15] 只是个股现在
[02:16] 如果您选个股又是热门股
[02:19] 这几天应该感觉是真的是
[02:20] 每天你的库存都会有亮灯
[02:23] 好 先来欢迎今天的来宾
[02:25] 今天的来宾也是大家非常喜欢的
[02:27] 题材猎人汉伟哥
[02:29] 大家好 各位听众朋友大家好
[02:30] 好 今天题材可多了
[02:33] 实在无法一一细数
[02:36] 那今天因为中小型股强势的关系
[02:38] 我想如果大家有比较积极的主动市益贴付
[02:41] 各自也是有2%到5%不等的涨幅
[02:44] 也算是蛮厉害的
[02:45] 也不会错过
[02:46] 那如果想要挑个股
[02:49] 我这边其实这段时间
[02:51] 我的来宾讲个股的也讲得非常多
[02:53] 我想大多数都非常的准确
[02:56] 那也有提醒大家
[02:57] 如果您真的想要做个股
[02:59] 你还是要稍微分配
[03:01] 最好是比较会动的
[03:03] 活泼的热门题材要有一些
[03:05] 然后你觉得他有点低估
[03:07] 他有点委屈的
[03:08] 那就也配一些
[03:09] 两个互相才不会有一种
[03:12] 当然如果你刚好都配到很热门的
[03:14] 你就不用听我讲这番话
[03:15] 恭喜你
[03:16] 今天满满的库存应该都是灯
[03:18] 但因为也有看到有人说
[03:19] 他是选的是热门题材里的低估股
[03:22] 可能他布的比较多
[03:23] 比较多那就要花点耐心
[03:26] 那这一两天看到一百多档在喷的时候
[03:28] 当然您就会可能有一点患得患失
[03:30] 但这是不必要的
[03:31] 没有必要
[03:32] 因为说不准
[03:33] 谁就是你讲的这些热门题材里面的
[03:36] 比较低估股就会喷起来
[03:37] 但是我心情捍卫讲一下
[03:39] 这个六日我们也看到了
[03:41] 这个伊朗川普啦
[03:42] 这些战火的问题反反复复
[03:45] 那事实上今天油价一开
[03:47] 是往上跑的哦
[03:48] 但是为什么看起来台股
[03:50] 还是这个什么都不怕
[03:52] 我觉得第一个
[03:53] 大家对这种战争的议题
[03:55] 慢慢在顿化
[03:56] 真的是顿化
[03:57] 对因为第一个
[03:57] 我们台湾看起来
[03:59] 短线没有遇到
[04:00] 能源危机的问题
[04:01] 政府没有给你收到限电
[04:03] 那这些所谓台积电
[04:04] 这些各家电子大厂的法所
[04:07] 也都提到说
[04:07] 看起来在五月底之前
[04:09] 台湾能源应该不会
[04:10] 受到战事的一个影响
[04:12] 所以代表台湾这一波
[04:13] 我觉得是反映到
[04:14] 基本面的一个题材
[04:15] 所以不管是台积电法所会
[04:17] 或说公布出来的
[04:18] 失业份营收
[04:19] 陆陆续续公布出来的第一季的季报
[04:21] 甚至最近因为每天都一大堆处置的股票
[04:23] 然后被公布字节
[04:25] 他们的第一季获利或三月份获利
[04:27] 也都交出非常好的成绩单
[04:29] 所以我会跟大家讲就是说
[04:30] 为什么台股这一波看起来
[04:32] 是比全国股市来得更强
[04:33] 就是因为第一个
[04:35] 我们是搭上AI的浪潮
[04:36] 所以基本面是真的非常好
[04:38] 第二件事情就是
[04:39] 因为毕竟是发生在中东的能源危机
[04:43] 那对台湾目前我觉得影响
[04:45] 没有很全面性的一个浮现出来
[04:47] 所以外围的影响当然会有
[04:49] 你看外资在期货空单水位
[04:51] 见到了四万两千口
[04:52] 那现货虽然说十分回补
[04:55] 但是最近的一个买超力道也在放缓
[04:57] 所以你说完全都不受战争影响
[05:00] 我觉得并没有
[05:01] 但是整体上来看的话
[05:02] 我觉得影响相对轻微
[05:04] 也导致整个台股表现相对比较好
[05:06] 那我觉得简单去讲
[05:07] 所谓的战事的影响
[05:09] 我觉得看几个重点指标就好
[05:10] 第一个你看所谓的西德州原油
[05:14] 或所谓的布兰特原油
[05:15] 有没有创下战争以来的新高
[05:18] 如果以布兰特的原油来看的话
[05:19] 大概是120美元
[05:21] 那希特勒的原油
[05:22] 我觉得一样抓120美元
[05:23] 如果没有越过120美元以上的话
[05:26] 那我觉得代表说
[05:27] 整个战争的风险期
