[00:00] 歡迎收聽趙華語古貨載第1030集
[00:09] 今天是2026年的2月2號
[00:12] 好進入到2月了
[00:13] 畫風變了
[00:14] 畫風變了
[00:15] 其實上個禮拜我就有點變了
[00:17] 也有跟大家做分享
[00:19] 有這個回檔的味道
[00:20] 不過呢
[00:21] 週末的美股更加的精彩刺激
[00:24] 是在原物料的部分
[00:26] 包括黃金跟白銀
[00:28] 白銀可以在一個交易日裡面
[00:32] 跌了40%
[00:34] 這個實在是打六折
[00:37] 這個實在是很驚人很驚人的事情
[00:40] 那今天可以看到臺股裡面
[00:41] 有關於白銀期貨的ETF
[00:43] 也是跌了三十幾%
[00:45] 這真的是很猛
[00:47] 那原物料就是所謂的貴金屬
[00:49] 這樣子跌
[00:50] 比特幣也跌
[00:52] 比特幣一度就跌到七萬八左右
[00:54] 所以變成是股票每股有跌
[00:58] 然後呢黃金白銀跌
[01:00] 然後呢這個比特幣也跌
[01:02] 所有東西都在跌
[01:03] 只有債券沒有跌
[01:05] 所以有時候還是會跟大家分享說
[01:07] 雖然我現在實在是不喜歡跟大家講債券
[01:09] 因為大家對債券的想法
[01:11] 總是充滿了高度的恐懼
[01:13] 最安穩的資產卻變成最恐懼的東西
[01:17] 可是你也可以看到
[01:18] 在這一波他還是有擔任著
[01:20] 所謂避險資產的角色
[01:22] 但不講這
[01:23] 我們來講一下到底為什麼會跌成這樣
[01:26] 像今天的盤中
[01:27] 其實臺股最高有跌到700點左右
[01:30] 不過因為我們有一個厲害的臺積電
[01:33] 今天只跌了10塊錢
[01:35] 連一趴都沒有跌到
[01:37] 所以我們今天整體的加權指數到最後
[01:40] 是收跌439點
[01:42] 其實並不算是一個大跌
[01:44] 盤中有碰到月線就收繳了
[01:47] 我們還是相對抗跌的一個市場
[01:49] 因為今天韓股有跌到熔斷5分鐘
[01:53] 因為海力士跟三星佔他們的權重
[01:56] 終究是比較大
[01:57] 也引爆了科技的壓力
[01:59] 其實今天很多事情要探討
[02:01] 到底兇手是因為
