[00:00] 欢迎收听赵华宇古货载第1129集
[00:09] 今天是2026年的6月30号
[00:12] 也就是我们上半年的最后一天
[00:14] 最后一个交易日
[00:15] 今天大家也可以想一想过去半年
[00:18] 结束一个怎么样的半年报
[00:20] 当然今天的盘我觉得挺有意思的
[00:22] 今天跟昨天就好像上一次
[00:25] 大盘跌破月线的时候
[00:28] 复制贴上
[00:30] 复制贴上
[00:31] 我今天就有接到
[00:34] 我们的可爱听众
[00:35] 传讯息关心我
[00:37] 因为昨天有跟大家聊说
[00:38] 我要减压
[00:39] 所以我要把一半的付顶卖掉
[00:42] 那就恭喜手上有付顶的朋友
[00:44] 有点翻开玩笑
[00:45] 因为其实主被动元件
[00:47] 这段时间都是强势族群
[00:49] 为了减压卖掉相对赚的比较多的
[00:52] 很可能就会面临卖飞
[00:54] 不过这一次我已经做好准备
[00:56] 不会像上次信仓店
[00:57] 一口气不知道怎样全卖了
[00:59] 这次卖一半
[01:00] 结果今天付顶就锁涨停
[01:02] 锁到最后
[01:03] 好 大家就关心我
[01:05] 说赵华 你真的把它卖飞了
[01:06] 没有关系
[01:08] 因为今天整体的水位
[01:10] 相信大家一定是一个明显回温的状况
[01:14] 跟昨天前天的感受
[01:15] 一定是非常的不一样
[01:17] 今天整体水位回温了
[01:19] 那有股票卖飞是没有什么关系的
[01:21] 因为有讲了
[01:22] 为了减压而做的事情
[01:24] 最重要的是
[01:25] 在上个礼拜跌破月线的时候
[01:27] 有请大家还是遵照
[01:29] 加码不管是执行
[01:31] 或是主动型的ETF
[01:32] 让您自己比较安心的商品都可以
[01:34] 这件事情它是成立的
[01:36] 以及到了今天
[01:37] 它也在盘面上
[01:38] 在大家的总报酬上
[01:40] 应该都会出现不错的成效
[01:42] 不过这样子复制贴上
[01:44] 也有一些缺点
[01:46] 因为上一次就是跌破月线后
[01:48] 立刻反攻
[01:48] 而且反攻没有亮
[01:49] 所以当反攻的时候
[01:51] 大家是半信半疑的
[01:52] 没有亮的反攻
[01:53] 能到哪呢
[01:54] 就一口气就反攻好几千点
[01:57] 那这次也是
[01:58] 今天盘中应该有涨到1600点
[02:01] 但今天的量能
[02:03] 其实还是相对比较小的
[02:05] 是尾盘灌杀500点
[02:07] 量才放到1.2兆
[02:09] 所以
[02:10] 复制贴上的缺点是什么
[02:13] 缺点就是
[02:14] 第一
[02:14] 可能还是会有一点点
[02:15] 措手不及的感觉
[02:16] 会急着想要在今天
[02:18] 去追一些强势股
[02:20] 这也是这几次轮回下来
[02:23] 比较容易让您的成本
[02:25] 垫高的一个原因
[02:26] 如何能够在相对低点去建部位
[02:29] 我觉得这个是最近的一个考验
[02:31] 然后再来就是
[02:32] 说好的洗融资
[02:35] 说好的想要清余额
[02:37] 这个福额
[02:38] 各国都有一些政策
[02:39] 这件事情显然
[02:40] 他还是没有办法
[02:42] 在这段时间呈现
[02:44] 那优点是什么
[02:45] 优点就是也提到
[02:47] 其实7月来看
[02:48] 目前有呈现一个
[02:49] 你看不太到什么样大的问题
[02:52] 例如说
[02:52] 每一站
[02:53] 其实大家真的蛮淡化
[02:55] 都懂得去看油价
[02:56] 油价没上来
[02:57] 自己就不用自乱阵脚
[02:59] 那你说财报
[03:00] 第二季财报肯定是好的
[03:02] 半年报也肯定是好的
[03:03] 你说汇率
[03:04] 现在台币在走弱
[03:05] 肯定在第二季
[03:06] 大家多多少少都有汇兑的收益
[03:08] 以外销股来说
[03:09] 所以基本面
[03:12] 这种GDP企业的财报
[03:15] 看不出什么大问题
[03:16] 升息的疑虑
[03:17] 确实也让台股修正了4000点
[03:20] 那到底够了吗
[03:21] 够了吗
[03:22] 我们如何在这样子突然击掌突然击跌的盘
[03:25] 是中安稳
[03:26] 叫做刚刚跟来宾讲说叫做定镜安律德
[03:30] 先来欢迎他
[03:32] 今天来的是选股教练韦泰
[03:35] 嗨 赵华好 大家好
[03:37] 好 韦泰有定镜安律德吗
[03:39] 我最近倒是蛮定的
[03:41] 因为上一次来韦泰也有特别提到
[03:45] 没有受到盘面上大跌或大涨
[03:48] 可是有提到因为现在的融资的状态
[03:51] 杠杆的状态是前所未见的
[03:54] 所以你会比较注意奉献
[03:56] 对
[03:56] 其实刚刚赵华一开始
[03:59] 讲到了这些所谓富士贴上
[04:01] 然后跟之前的所谓几掌几叠的一个模式很像
[04:07] 当然其实背后的一个很主要的原因
[04:10] 就是因为融资鱼儿的部分
[04:12] 真的相当相当的积极
[04:15] 踊跃
[04:16] 对 很积极
[04:17] 所以在这个融资逾越持续的
[04:21] 这个威斯高档情况之下
[04:22] 我认为在这个行情的震荡
[04:25] 应该就还是会持续
[04:27] 讲到行情的部分
[04:30] 其实在前几个交易日
[04:33] 一直都有人在讨论说
[04:34] 这个行情会不会过热
[04:36] 什么三代同堂
[04:39] 四代同堂
[04:40] 五代同堂的事情
[04:41] 对
[04:42] 会不会太热
[04:43] 然后甚至好像还引发了
[04:46] 金管会或者央行的一些关切
[04:49] 关于这件事情
[04:51] 我想跟各位投资朋友分享的是
[04:54] 过热它并不会让行情
[04:57] 从多头转为空头
[04:59] 过热它只会让
