[00:00] 欢迎收听赵华宜古货载第1141集
[00:09] 今天是2026年的7月17号
[00:12] 今天应该可以算是黑色星期五
[00:16] 黑色星期五因为今天台股创下了史上最大跌点
[00:21] 这个史上最大跌点以前有两种
[00:24] 一个叫盘中最大跌点
[00:26] 一个叫收盘最大跌点
[00:27] 今天两个一起来统一
[00:30] 统一在今天
[00:31] 今天跌了2953点
[00:34] 而且就是收在这个点位
[00:36] 所以今天盘中最大跌点
[00:37] 跟收盘最大跌点都出现了
[00:40] 好
[00:41] 今天发生什么事
[00:43] 严格来说
[00:44] 还是原来的事
[00:46] 什么叫原来的事
[00:47] 就是各国的资金紧缩政策
[00:51] 在韩国特别的严重
[00:52] 对不对
[00:52] 所以韩国的去杠杆
[00:54] 其实韩国去杠杆
[00:55] 真的叫做已经去到出事情了
[00:57] 去到已经很多人想不开之类的
[01:00] 那我们一直想说
[01:01] 台股这段时间相对是比较强
[01:03] 可是比较强的缺点是什么呢
[01:05] 就是我们始终没有做一个
[01:07] 符额的清洗
[01:09] 真的没有
[01:09] 所以每一次下来
[01:11] 大家就觉得没关系啊
[01:12] 跌升了减
[01:13] 很快就会再上去
[01:14] 那这件事情
[01:15] 这几天也跟大家聊
[01:16] 其实惯性已经有所改变了
[01:19] 这一次跌破月线下之后
[01:21] 一直站不回来
[01:22] 在占步回来的情况下
[01:25] 我记得前两天有一天讲说
[01:26] 希望晚上看到融资上市
[01:28] 至少减250亿
[01:29] 结果那天也没有
[01:30] 那天也减100多亿而已
[01:32] 所以一直都是在一种
[01:34] 我觉得很勇猛的状况下
[01:36] 久约讲一句
[01:38] 可能大家觉得比较刺耳的是
[01:40] 其实像今天
[01:41] 希望今天晚上看到
[01:42] 是融资真的大减
[01:44] 而且在个股上面
[01:45] 应该有人是面临断头
[01:47] 这样的话会比较符合我们讲的
[01:50] 去杠杆会比较健康一点
[01:52] 当然如果这段时间
[01:54] 大家都没有说开杠杆开到满
[01:56] 有听正华讲的
[01:57] 你有做好了资金的配置
[01:58] 有防御型的资产
[01:59] 那也许今天是比较能放心
[02:02] 把手上的资金再打一部分下去的
[02:04] 这个很见仁见智
[02:06] 因为前一阵子已经有很多人说
[02:08] 钱都已经打完了
[02:09] 钱都已经打完了
[02:10] 今天可能就有点痛了
[02:12] 那今天是个很特别的一天
[02:14] 今天是很特别的一天
[02:15] 因为今天除了指数是很特别的一天
[02:17] 我们的来宾也是很特别的一位
[02:19] 我们一个月前就敲好这个通告
[02:22] 那他最近呢
[02:23] 在网路上呢
[02:24] 讨论的声量非常之大
[02:26] 所以我们刚刚在开录前
[02:28] 我们也小小的也
[02:29] 也talking了一番
[02:30] 就是说
[02:31] 网路声量讨论的那么大
[02:33] 会不会有压力
[02:34] 他说难免会有压力
[02:35] 不过因为我们这个是一个月前
[02:36] 就讲好的约定
[02:38] 我觉得也很好
[02:39] 这也许就是一种注定
[02:41] 我们先来欢迎他
[02:42] 今天来的是这个
[02:43] 我们的大户筹码专家
[02:45] 这个雷老板王维敏
[02:47] 观众朋友大家好
[02:48] 听众朋友大家好
[02:49] 好
[02:50] 这个我刚刚一时之间
[02:51] 想说要把你的头衔挂什么
[02:53] 好像就叫你雷老板
[02:54] 雷老板因为他的网络粉丝
[02:57] 非常的多
[02:58] 有时候叫做爱之深
[03:00] 就会择之切
[03:02] 爱的反面
[03:03] 不是很是冷漠
[03:06] 那现在他们还没有放弃爱你
