[00:00] 欢迎收听赵华宜古货载第1134集
[00:09] 今天是2026年的7月7号
[00:12] 今天有一点七七古灾
[00:14] 七七古变
[00:16] 说有什么事呢
[00:17] 似乎也不能说是有什么国际性非常严重的大事
[00:21] 早上一看呢
[00:23] 是什么三星公布了财报
[00:25] 三星公布财报不错啊
[00:26] 第二季的获利大增19倍
[00:29] 可是韩股一开盘三星先崩
[00:31] 韩股一样崩到这个暂停交易
[00:34] 哎呦糟糕
[00:35] 这个台股就不太妙了
[00:37] 不过我们台股今天一开盘还撑了半场
[00:40] 中场开始下跌
[00:41] 跌跌跌
[00:42] 最后跌超过1000点
[00:45] 体感温度非常的不好
[00:47] 因为我们看到很多的热门族群
[00:50] 例如说被动元件
[00:51] 国际华星科都跌停
[00:53] 这个细金元环球金跌停
[00:55] 连最强的这个所谓的功率元件
[00:58] 今天也有像台办跌停
[01:00] 状况好像有点凄风苦雨
[01:03] 那如果看涨的加速
[01:04] 涨的公司
[01:05] 其实就是很零散
[01:07] 没有族群性之外
[01:08] 可能还像什么生技股啊
[01:10] 一些就是边边角角的跑出来
[01:12] 就知道今天的盘体感温度
[01:15] 非常的不好
[01:17] 但是不好
[01:18] 我们之前讲了
[01:19] 管理率大啊
[01:20] 涨上去
[01:20] 那大家也没办法追啊
[01:22] 那下来又很害怕
[01:24] 不知道该怎么剪
[01:25] 今天我们的救星来了
[01:26] 今天的救星来了
[01:27] 今天我们的来宾是我们的AI达人
[01:31] 蔡明翰欢迎他
[01:32] 造化好
[01:33] 观众朋友听众朋友大家好
[01:35] 听到观众朋友就知道
[01:36] 今天这集势必要有影片版的啦
[01:39] 明翰就是我已经决定
[01:42] 今天我要全部都让你讲
[01:43] 今天其实国际上面除了三星的财报
[01:49] 是非常好确
[01:50] 利多不长之外
[01:51] 当然这几天也围绕在我们讲的
[01:54] 这个研调机构
[01:55] 这个Semi-Analysis
[01:56] 他的报告一直出
[01:58] 一直出
[01:59] 从打记忆体
[02:00] 打CPU
[02:01] 打到电源
[02:02] 再接下来打到载板
[02:04] 通波机板一起打了
[02:05] 因为他说NV机归会延后
[02:07] 可是黄乐勋有出来讲
[02:08] 黄乐勋有出来讲
[02:09] 没有啊
[02:09] 没有这回事
[02:11] 但似乎无力回天
[02:12] 盘面上就是非常的围绕着一个担心
[02:15] 到底你觉得
[02:16] 这几天在叠哪件事情
[02:19] 本来开盘还没亮
[02:20] 慢慢的叠出一些亮
[02:21] 不过说实话
[02:22] 从上个礼拜一到现在
[02:23] 我们都处于一个稍微比较低亮的状态
[02:25] 好
[02:26] 到底发生什么事
[02:27] 有没有事情
[02:28] 其实蛮容易解释的
[02:30] 因为如果有事
[02:32] 我常常讲
[02:32] 有事不会让你开盘
[02:34] 让你开红
[02:35] 让你跑
[02:35] 对不对
[02:36] 其实蛮理解的
[02:38] 就是效率市场
[02:39] 应该直接下去
[02:40] 如果真的有事
[02:40] 那你说会不会盘中有事
[02:42] 我说亚洲
[02:43] 不会有什么重要的事
[02:44] 那我们大部分都是跟美国
[02:46] 美国人在睡觉
[02:47] 哪会有什么事情
[02:48] 对
[02:48] 所以其实蛮容易理解
[02:50] 就是人才人
[02:51] 那其实我觉得
[02:53] 应该说不容易
[02:55] 应该说很容易推顿这个结果
[02:58] 那结论应该是什么
[02:59] 其实比较明显的
[03:01] 并不是我们开杀的
[03:02] 其实应该最主要关键点
[03:04] 是因为昨天的台积电ADR
[03:06] 是大幅骤扬的
[03:07] 所以台股自然就呈现往上
[03:10] 可是一开盘的时候
[03:11] 就看得出来
[03:12] 其实市场那个买多的戏份
[03:15] 并没有那么热络
[03:16] 有点被韩股教习了
[03:17] 因为韩股开低
[03:18] 对 韩股开低
[03:19] 那亚股
[03:21] 等于我们在开的时候
[03:22] 有台积电撑盘
[03:23] 那其他人一开始还跟着开高
[03:25] 当他们发现就觉得
[03:27] 那个气势越来越不对
[03:28] 因为韩国股市不断走弱
[03:30] 那我觉得这个也没有很意外
[03:32] 因为你有一个问题
[03:34] 就是美光其实已经走在前面给你看
[03:36] 美光说的这么漂亮
[03:39] 当天有没有大涨
[03:41] 有啊涨超过一成
[03:42] 后面怎么样就一直软掉
[03:43] 一直往下走
[03:44] 结论就是讲的再好
[03:46] 隔天开高的追进去都是套牢
[03:49] 那今天韩国就直接跳过那个
[03:54] 开高去把人家骗进来那一套
[03:56] 直接就开低了
[03:58] 那我觉得这个结论而言
[04:00] 今天台股就是真的就是韩国股市所拖累
[04:03] 那毕竟啊
[04:05] 今天我在跟人家讲这个观念
[04:08] 人家就讲说
[04:09] 那这样了不起影响到台湾记忆体
[04:11] 记忆体也不至于到台股大跌吧
[04:14] 而且记忆体开盘是红的
[04:15] 对啊
[04:16] 那他会讲说
[04:17] 这个好像跟台湾也没太大关系
[04:20] 我说没错
[04:20] 可是人家韩国股市跌了快5%
[04:24] 难道我们都不影响吗
[04:26] 不可能
[04:26] 所以一定是跟着这个开低
[04:29] 没关系
[04:29] 现在问题在哪里
[04:31] 就是因为涨太多
[04:32] 先杀再说
[04:33] 反正在里面都赚钱
[04:35] 我怎么知道
[04:36] 会不会连续杀好几天
[04:38] 我先跑
[04:39] 先入袋为安
[04:40] 然后就会导致人踩人
[04:42] 第一个人卖一卖之后就开始跌
[04:44] 第二个人就跟着进来
[04:45] 所以就会导致卖压会越来越重
[04:49] 我觉得这是蛮合理的现象
[04:51] 所以结论来讲
[04:52] 你先回过头来
[04:53] 先讲到韩国股市
[04:56] 这个到底会不会代表高点已经过了
[04:59] 应该说最近记忆体确实有降很大的压力
[05:03] 所以费办包含韩国股市
[05:06] 有出现比较明显的拉回
[05:07] 但是我觉得
[05:09] 简单而言
[05:11] 就今年上半年这个涨幅
[05:12] 不是大家设飞镖就跟着买的
[05:15] 就是他们真的是获利
[05:17] 获利很扎实的提升
[05:20] 应该说结论而言
[05:22] 包含台湾跟韩国
[05:24] 今年的涨幅
[05:25] 结论而言
[05:26] 就是股市的涨幅
[05:28] 其实都还不及
[05:29] 获利上修的幅度
[05:31] 这个大概就是
[05:32] 大家有这个概念
[05:34] 就是说获利上修的幅度
[05:36] 其实比股市涨幅更大
[05:37] 你是说记忆体吗
[05:39] 还是说整体
[05:39] 其实我觉得整体
[05:42] 可能要看族群对不对
[05:43] 有的族群确实是如此
[05:45] 有的族群是有点跟不上
[05:46] 就是获利跟不上涨幅
[05:48] 我讲的整体是从台湾角度出发
[05:51] 跟韩国角度出发
[05:52] 但是你会说不对
[05:53] 我看很多
[05:54] 对没有错
[05:55] 就是两家记忆体拖上去
[05:59] 导致整个韩国
[06:00] 获利上修的幅度
[06:03] 比韩国的涨幅还要大
[06:05] 台湾也是一样
[06:07] 就是台积电
[06:09] 今年以来获利
[06:10] 从七十几块已经上修
[06:12] 到现在已经突破一百
[06:14] 那台股的获利上修幅度也很大
[06:17] 那台股呢
[06:18] 其实现在的应该说
[06:19] 或者是讲简单的光台积电
[06:22] 它的股价涨幅
[06:23] 其实还不如它的获利涨幅
[06:26] 所以结论而言
[06:27] 其实并没有超涨的问题
[06:29] 但是乖离率大嘛
[06:31] 大家自然就会害怕
[06:32] 就会有卖压
[06:33] 我觉得是很合理的
[06:35] 但是就目前为止
[06:37] 趋势是没有改变的
[06:38] 那又回过头来
[06:40] 投资人常常讲
[06:41] 那是不是应该
[06:43] 先下车
[06:44] 尤其我们上次才来讲说
[06:46] 七月之后搞不好再上去会有点害怕
[06:49] 可是我个人觉得
[06:49] 那个等于说第三季的这个慢压
[06:54] 其实到目前为止
[06:55] 我觉得还没有真正开始
[06:57] 我觉得这个时间点
[06:58] 一定是在台积电把说会之后
[07:01] 台积电把说会之前
[07:02] 就算开杀空间都很有限
[07:05] 因为大家期待的是
[07:07] 最起码要听到这个利多之后
[07:09] 我要杀我再来开杀
[07:11] 我觉得这是很合理的现象
[07:13] 所以理论上不可能在台积电法收钱
[07:15] 所以这个震荡拉回是很正常的现象
[07:18] 我个人觉得以今天这个股市的角度
[07:22] 我觉得大家的那个体感温度
[07:25] 跟现实温度有这么大落差
[07:27] 最主要的原因还是卡在第二季的那个荣景之内
[07:33] 就是会觉得照理讲就应该每天大涨才合理
[07:37] 每天就应该涨1000点
[07:39] 怎么可能会有跌1000点的状况
[07:41] 那常常我常常講股市本來就是漲漲跌跌
[07:45] 就目前的角度
[07:46] 根本完全談不上任何空頭的邊緣都沒有
[07:50] 純粹就是漲多震盪而已
[07:53] 那會有這麼大的體感
[07:55] 就是我剛剛提到
[07:55] 卡在第二季的那個感受
[07:58] 應該是要每天往上
[07:59] 那稍微一點拉回就會覺得壓力很大
[08:02] 我覺得我之前就講
[08:05] 這種事件要連續三天
[08:07] 所有人才會回到
[08:08] 才会把第二季的那个荣景给忘掉
[08:12] 因为现在的状况
[08:14] 应该说从第二季以来
[08:16] 就是只要有拉回就是买
[08:18] 一点都不害怕
[08:20] 那我个人觉得
[08:21] 这个对台湾投资看起来是正向
[08:24] 但老实讲对盘面不是那么正向
[08:27] 当所有人都觉得台股
[08:29] 绝对不会跌的时候
[08:31] 其实对台股不是好事
[08:33] 你应该回到
[08:34] 刚刚提到第一季或去年
[08:37] 就是涨涨跌跌
[08:38] 总有涨总有跌
[08:39] 才是一个比较健康的状态
[08:41] 今年第二季
[08:42] 因为在一季的时间点
[08:44] 就涨了超过一万点
[08:46] 然后中间几乎不休息
[08:47] 然后每一次拉回就闭着眼睛
[08:49] 然后杠杆越开越大
[08:52] 就是越赚越多的代表
[08:54] 这个思维你必须要像今天
[08:56] 这种连续修正三天
[08:58] 整个市场就会回到原本的状态
[09:00] 至于会不会出现
[09:02] 我刚刚提到
[09:03] 我觉得这种事件应该
[09:05] 比较可能会发生在法术后
[09:07] 所以我觉得现在的修正
[09:10] 其实不用太紧张
[09:11] 至于刚刚提到的
[09:13] Seminar之类的
[09:15] 讲到很多的这些鬼故事
[09:17] 其实我觉得这些细节
[09:19] 你会猜解会发现老实讲
[09:22] 都没有很大的重点所在
[09:24] 其实只有一个
[09:25] 他讲的各产业
[09:27] 我觉得都不重要
[09:28] 因为结论只有一个
[09:30] 因为AI到底结束了没
[09:32] 因为如果AI没有结束
[09:34] 代表所有的人都在同一艘船上
[09:37] 所以大家要往前走
[09:39] 大家都不会脱队
[09:40] 只有一种比较大
[09:41] 比较夸张的可能性
[09:43] 举个例好了
[09:43] 就像如果你做散热
[09:45] 以前是从气冷转
[09:48] 义冷跟气冷合并
[09:50] 到这一次来讲
[09:51] 未来是不会再有气冷
[09:52] 如果你任何公司一直卡在气冷
[09:55] 没办法进到义冷
[09:56] 那你确实有可能会被淘汰
[09:58] 但是简单而言
[10:00] 散热主权大家的公司
[10:02] 不可能有这种事情
[10:04] 所以理论上一定会跟上部队
[10:06] 所以只有一种可能性
[10:07] 你最后要觉得未来会有一个比较大幅修正
[10:11] 代表你认为AI已经见顶
[10:13] 可是我觉得AI见顶
[10:14] 这个故事已经两三年来怎么听都永远都有
[10:19] 但是我觉得很多的数字都告诉你
[10:21] 这个是不可能
[10:22] 短时间来讲是不可能发生的
[10:25] 所以结论就是AI还在持续往上
[10:27] 所以他所讲各个产业
[10:29] 我觉得都不需要去听
[10:30] 唯一一个可能性
[10:32] 他讲的就是有道理的
[10:34] 就是讲到
[10:34] 他的是不是有可能delay
[10:36] 甚至现在讲
[10:37] 有可能会delay一年
[10:38] 那其实我们之前
[10:39] 在podcast也提到
[10:40] 我就说
[10:41] 其实下半年
[10:42] 唯一要面临
[10:43] 最大的可能性的利空
[10:45] 就是最后Vera Rubin
[10:47] 出来的时间点
[10:48] 不如预期
[10:49] 那我那时候也提到
[10:51] 这个概念也很简单
[10:52] 因为挥打就是每两年
[10:54] 他就是会改潮换代一次
[10:56] 而且公司的说法
[10:58] 一定是讲一个
[10:59] 出来那个时间点
[11:00] 因为做生意的人
[11:01] 他在讲他一定是讲一个最乐观
[11:04] 简单来讲就是上万个零件组起来
[11:07] 他的想法就是这一上万个零件是都没有出状况的
[11:11] 我会告诉你下半年会出
[11:14] 就是因为这一万多个零件都没有状况的情况下
[11:18] 我下半年就可以出货
[11:19] 可是每一次这么多东西就不可能
[11:22] 全部都刚好
[11:24] 对全部都刚好
[11:24] 而且你要知道中间只要卡一个东西就是出不来
[11:28] 那所以结论而言会发生什么事
[11:30] 大家回去看一下2022年就知道
[11:33] 反正结论就是当时出不来
[11:35] 其实股市也没有太大的跌幅
[11:38] 但是确实就是整理了蛮长一段时间
[11:41] 而且有个特色
[11:43] 中间整理的时间点
[11:45] 代表了业绩转弱
[11:46] 答案一点都没有
[11:48] 因为上一次要进入Brightway的时候
[11:51] 卡了半年
[11:53] 这半年的场景是就是股市横向整理
[11:56] 但是业绩面
[11:57] 我们看到AI相关主权的营收
[12:00] 还在往上
[12:01] 就是新的产品拿不到
[12:03] 但是大家都还在排队
[12:05] 买旧的Harper
[12:06] 所以这一次来讲
[12:08] 就是说
[12:08] 它到底是delay一季两季三季
[12:10] 还是根本不delay
[12:11] 我个人觉得根本不重要
[12:13] 反正只要delay
[12:14] 它你股价就得整理
[12:16] 但是记得一件事情
[12:17] 业绩不会受到影响
[12:19] 就是Vera Rubin
[12:21] 可能出来的时间会卡关
[12:22] 可是现在的Blackwell的出货
[12:25] 它还是会持续接上
[12:27] 所以这些个股的业绩
[12:29] 并不会往下掉
[12:30] 所以你只要看到
[12:32] 营收都还在创高
[12:33] 它修正的空间就不会太大
[12:35] 所以我觉得整个结论
[12:37] 就是我个人觉得
[12:38] 其他讲的鬼故事
[12:40] 我也懒得去猜解
[12:41] 我觉得根本一点意义都没有
[12:42] 因为你如果各自的产业
[12:44] 我刚刚讲就在同一艘船上
[12:46] 不可能突然告诉你
[12:48] 记忆体不要了
[12:49] 也不可能告诉你说
[12:50] 散热不要了
[12:51] 或者什么载板不要了
[12:53] 这些我觉得都不合逻辑
[12:56] 反正结论就是
[12:57] 所有最后组装成一台
[12:59] 任何东西都是要的
[13:01] 现在唯一可以
[13:02] 我觉得有可能发生的
[13:04] 就是所谓的新产品的delay
[13:07] 但是影响的程度是相对有限
[13:09] 投资人自己就拿捏
[13:11] 如果你真的
[13:12] 假设真的
[13:13] 因为现在连黄元轩都
[13:15] 都先出来说没有
[13:18] 但是跟两年前就有点不同
[13:21] 因为两年前那时候是
[13:22] 那时候的delay的发生现象是
[13:25] 研究员去跑各产业听回来的消息
[13:29] 所以大家就开始传delay
[13:30] 可是比较明显的特色
[13:32] 就是那时候市场传得沸沸扬扬
[13:34] 可是辉达就是不出来讲话
[13:37] 所以他现在呢
[13:39] 我说没有是
[13:40] 我认为他讲没有就是真的没有
[13:43] 但是要有一种可能性就是
[13:45] 假设未来越来越明确了
[13:47] 然后辉达就再也不讲话了
[13:49] 那就可能像两年前那个格局
[13:52] 那也许就是一季到两季的时间
[13:55] 可能会稍有压抑
[13:56] 但记得重点是趋势不会改变
[13:59] 大家要关注的并不是
[14:01] 它什么时候出来
[14:02] 是你看到这些AI族群的营收
[14:05] 是不是持续往上
[14:06] Vera Rubin暂时不出来
[14:08] 不会有太大的影响
[14:10] 但是你如果新产品不出来
[14:13] 但你旧的不能掉那你只要跟这个架构跟两年前一样股市修正的空间老实讲真的不大那反而是这些之前大家要买这种基优的AI股
[14:25] 那反而是在这个时间点
[14:27] 就是很好的机会
[14:28] 你可以分散一段时间
[14:29] 定期持续扣款
[14:31] 那等到他只要新产品一出来
[14:34] 他自然又回到原本的轨道之上
[14:36] 好 所以其实刚刚明翰的逻辑
[14:39] 从以前到现在啦
[14:40] 我们入Podcast那么多集到现在
[14:42] 逻辑没有改变
[14:43] 就是AI的前景
[14:45] 和这些零组件
[14:46] 到底需不需要
[14:47] 都很需要
[14:47] 那你说有没有可能
[14:49] 回答的机会有一点延后
[14:50] 其实不是第一次
[14:51] 常常的是
[14:52] 只要有新产品
[14:54] 甚至它的新产品还有分
[14:55] 有的是过渡型产品
[14:57] 有的是正宗
[14:58] 一定要推出来的产品
[14:59] 这中间有很多细腻的调整
[15:02] 当然这一次华人选
[15:03] 是立刻出来说
[15:04] 其实回答股价
[15:05] 也跌了非常多了
